Name,Patronym,"Family name",Gender,Owns,"Attestation ID",ind.Name,ind.Patronym,"ind.Family name",ind.Gender,Biography,PID,Probability,"Museum no.",Duplicate,Publication,Archive,Type,Date,"Julian date","Place of writing",Has,"Cdli URL","Nabucco URL","Achemenet URL","Oracc URL","British Museum URL","Tablet ID",Role,Title,"Type and objects"
Adad-nāṣir,,,Male,,1039,Adad-nāṣir,-,-,Male,,11459,"highly probable","HS 702",,"Hackl, Jursa and Schmidl 2014, no. 113","Ea-ilūtu-bāni, Ilī-bāni, Nanāhu",Correspondence,-,-,"Not mentioned",,,http://nabucco.arts.kuleuven.be/item/25666,,,,129,"mentioned in letter",-,TypeCorrespondenceSubtypeletter
Ahāssu,,,Female,,46881,Ahāssu,-,-,Female,,16190,"highly probable","UM 52-30-046",,"UET 4, 182",Sîn-uballiṭ,Correspondence,-,-,"Not mentioned",,https://cdli.ucla.edu/P414878,-,-,,,5372,"mentioned in letter",-,"TypeCorrespondenceSubtypetrial-related letter"
Ahhēmāya,,,Male,,60993,Ahhēmāya,-,-,Male,,21998,"highly probable","BM 87313",,"Hackl, Jursa and Schmidl 2014, no. 127","Ilšu-abūšu A",Correspondence,-,-,"Not mentioned",,,,,,https://www.britishmuseum.org/collection/object/W_1900-1013-93,7198,sender,-,"TypeCorrespondenceSubtypebusiness-related letter"
Amat-Bābu,,,Female,,65684,Amat-Bābu,Kalbāya,Nabāya,Female,,18931,"highly probable","BM 33075",,"Hackl, Jursa and Schmidl 2014, no. 60","Egibi Nūr-Sîn",Correspondence,-,-,"Not mentioned",,https://cdli.ucla.edu/P365606,https://nabucco.arts.kuleuven.be/item/29737,-,-,https://www.britishmuseum.org/collection/object/W_1879-0301-1,7789,"mentioned in letter",-,"TypeCorrespondenceSubtypefamily-related letter"
Amīltu,,,Female,,46958,Amīltu,-,-,Female,,16197,"highly probable","UM 52-30-051",,"UET 4, 188",Sîn-uballiṭ,Correspondence,-,-,"Not mentioned",,https://cdli.ucla.edu/P414884,-,-,,,5436,"mentioned in letter",-,"TypeCorrespondenceSubtypebusiness-related letter"
Ana-muhhi-Bēl-taklāku,,,Male,,61282,Ana-muhhi-Bēl-taklāku,-,-,Male,,22199,"highly probable","BM 25897",,"Hackl, Jursa and Schmidl 2014, no. 122","Ibnāya B-C-D",Correspondence,"22.VI.00 Še",484,"Not mentioned",,-,-,-,-,https://www.britishmuseum.org/collection/object/W_1898-0216-951,7250,"mentioned in letter",-,"TypeCorrespondenceSubtypebusiness-related letter"
Andahar,,,Male,,1037,Andahar,-,-,Male,,11399,"highly probable","HS 702",,"Hackl, Jursa and Schmidl 2014, no. 113","Ea-ilūtu-bāni, Ilī-bāni, Nanāhu",Correspondence,-,-,"Not mentioned",,,http://nabucco.arts.kuleuven.be/item/25666,,,,129,"mentioned in letter",-,TypeCorrespondenceSubtypeletter
Anonymous,,,Female,,45767,Anonymous,-1,-1,Female,-,16228,"highly probable","BM 131208",,"UET 4, 174",Sîn-uballiṭ,Correspondence,-,-,"Not mentioned",,https://cdli.ucla.edu/P414870,-,-,-,https://www.britishmuseum.org/collection/object/W_1953-0411-43,5281,"mentioned in letter",qallatu,"TypeCorrespondenceSubtypebusiness-related letter"
Anonymous,,,Female,,46882,Anonymous,-1,-1,Female,-,16229,"highly probable","UM 52-30-046",,"UET 4, 182",Sîn-uballiṭ,Correspondence,-,-,"Not mentioned",,https://cdli.ucla.edu/P414878,-,-,,,5372,"mentioned in letter",-,"TypeCorrespondenceSubtypetrial-related letter"
Anonymous,,,Female,,60826,Anonymous,-,-,Female,,22055,"highly probable","Amherst 261",,"Hackl, Jursa and Schmidl 2014, no. 126","Ilšu-abūšu A",Correspondence,-,-,"Not mentioned",,-,-,-,-,-,7194,"mentioned in letter",-,"TypeCorrespondenceSubtypefamily-related letter"
Anonymous,,,Male,,7857,-,-,-,-,-,-,"less probable","BM 33077",,"Abraham 2004, no. 88","Egibi Nūr-Sîn",Correspondence,-,-,"Not mentioned",,https://cdli.ucla.edu/P365551,https://nabucco.arts.kuleuven.be/item/32239,-,-,https://www.britishmuseum.org/collection/object/W_1879-0301-3,1056,"mentioned in letter","rab dūri",TypeCorrespondenceSubtypeletter
Anonymous,,,Male,,8384,-,-,-,-,-,-,"less probable","BM 31438",,"Abraham 2004, no. 48","Egibi Nūr-Sîn",Correspondence,-,-,"Not mentioned",,-,http://nabucco.arts.kuleuven.be/item/30712,-,-,https://www.britishmuseum.org/collection/object/W_1876-1117-1165,84,"mentioned in letter","bēl pīhati",TypeCorrespondenceSubtypeletter
Anonymous,,,Male,,45266,Anonymous,-1,-1,Male,-,16239,"highly probable","BM 131209",,"UET 4, 176",Sîn-uballiṭ,Correspondence,-,-,"Not mentioned",,https://cdli.ucla.edu/P414872,-,-,-,https://www.britishmuseum.org/collection/object/W_1953-0411-44,5210,"mentioned in letter",-,TypeCorrespondenceSubtypeletter
Anonymous,,,Male,,45768,Anonymous,-1,-1,Male,-,16230,"highly probable","BM 131208",,"UET 4, 174",Sîn-uballiṭ,Correspondence,-,-,"Not mentioned",,https://cdli.ucla.edu/P414870,-,-,-,https://www.britishmuseum.org/collection/object/W_1953-0411-43,5281,"mentioned in letter",-,"TypeCorrespondenceSubtypebusiness-related letter"
Anonymous,,,Male,,45769,Anonymous,-1,-1,Male,-,16237,"highly probable","BM 131208",,"UET 4, 174",Sîn-uballiṭ,Correspondence,-,-,"Not mentioned",,https://cdli.ucla.edu/P414870,-,-,-,https://www.britishmuseum.org/collection/object/W_1953-0411-43,5281,"mentioned in letter","šākin māti","TypeCorrespondenceSubtypebusiness-related letter"
Anonymous,,,Male,,45771,Anonymous,-1,-1,Male,-,16871,"highly probable","BM 131208",,"UET 4, 174",Sîn-uballiṭ,Correspondence,-,-,"Not mentioned",,https://cdli.ucla.edu/P414870,-,-,-,https://www.britishmuseum.org/collection/object/W_1953-0411-43,5281,"mentioned in letter",-,"TypeCorrespondenceSubtypebusiness-related letter"
Anonymous,,,Male,,45972,Anonymous,-1,-1,Male,-,16224,"highly probable","UM 52-30-050",,"UET 4, 186",Sîn-uballiṭ,Correspondence,-,-,"Not mentioned",,https://cdli.ucla.edu/P414882,-,-,,,5295,"mentioned in letter",sukkallu,"TypeCorrespondenceSubtypebusiness-related letter"
Anonymous,,,Male,,45973,Anonymous,-1,-1,Male,-,16873,"highly probable","UM 52-30-050",,"UET 4, 186",Sîn-uballiṭ,Correspondence,-,-,"Not mentioned",,https://cdli.ucla.edu/P414882,-,-,,,5295,"mentioned in letter",-,"TypeCorrespondenceSubtypebusiness-related letter"
Anonymous,,,Male,,46349,Anonymous,-1,-1,Male,-,16225,"highly probable","UM 52-30-054",,"UET 4, 191",Sîn-uballiṭ,Correspondence,-,-,"Not mentioned",,https://cdli.ucla.edu/P257280,-,-,,,5369,"mentioned in letter",qallu,"TypeCorrespondenceSubtypebusiness-related letter"
Anonymous,,,Male,,46351,Anonymous,-1,-1,Male,-,16867,"highly probable","UM 52-30-054",,"UET 4, 191",Sîn-uballiṭ,Correspondence,-,-,"Not mentioned",,https://cdli.ucla.edu/P257280,-,-,,,5369,"mentioned in letter",-,"TypeCorrespondenceSubtypebusiness-related letter"
Anonymous,,,Male,,46899,Anonymous,-1,-1,Male,-,16869,"highly probable","UM 52-30-046",,"UET 4, 182",Sîn-uballiṭ,Correspondence,-,-,"Not mentioned",,https://cdli.ucla.edu/P414878,-,-,,,5372,"mentioned in letter",-,"TypeCorrespondenceSubtypetrial-related letter"
Anonymous,,,Male,,46905,Anonymous,-1,-1,Male,-,16872,"highly probable","UM 52-30-047",,"UET 4, 183",Sîn-uballiṭ,Correspondence,-,-,"Not mentioned",,https://cdli.ucla.edu/P414879,-,-,,,5434,"mentioned in letter",-,"TypeCorrespondenceSubtypebusiness- and family-related letter"
Anonymous,,,Male,,46906,Anonymous,-1,-1,Male,-,16224,probable,"UM 52-30-047",,"UET 4, 183",Sîn-uballiṭ,Correspondence,-,-,"Not mentioned",,https://cdli.ucla.edu/P414879,-,-,,,5434,"mentioned in letter",sukkallu,"TypeCorrespondenceSubtypebusiness- and family-related letter"
Anonymous,,,Male,,46960,Anonymous,-1,-1,Male,-,16232,"highly probable","UM 52-30-051",,"UET 4, 188",Sîn-uballiṭ,Correspondence,-,-,"Not mentioned",,https://cdli.ucla.edu/P414884,-,-,,,5436,"mentioned in letter","rab kissati","TypeCorrespondenceSubtypebusiness-related letter"
Anonymous,,,Male,,46975,Anonymous,-1,-1,Male,-,16231,"highly probable","UM 52-30-053",,"UET 4, 190",Sîn-uballiṭ,Correspondence,-,-,"Not mentioned",,https://cdli.ucla.edu/P414886,-,-,,,5443,"mentioned in letter",šandabakku,"TypeCorrespondenceSubtypebusiness-related letter"
