Name,Patronym,Family name,Gender,Owns,Attestation ID,ind.Name,ind.Patronym,ind.Family name,ind.Gender,Biography,PID,Probability,Museum no.,Duplicate,Publication,Archive,Type,Date,Julian date,Place of writing,Has,Cdli URL,Nabucco URL,Achemenet URL,Oracc URL,British Museum URL,Tablet ID,Role,Title,Type and objects
Širku,,,Male,,248,Marduk-nāṣir-apli,Itti-Marduk-balāṭu,Egibi,Male,,5,probable,BM 30641,,"Abraham 2004, no. 19",Egibi Nūr-Sîn,Administrative document,30.VII.- -,-,Not mentioned,,-,http://nabucco.arts.kuleuven.be/item/30985,-,-,https://www.britishmuseum.org/collection/object/W_1876-1117-368,33,creditor,-,TypeAdministrative documentSubtypememorandum
Kalbāya,,,Male,,59003,Kalbāya,Nabû-ahhē-iddin,Egibi,Male,"He was the son of Šumu-ukīn and of the sister of Nabû-ahhē-iddin. Nabû-ahhē-iddin from the Egibi family adopted him, cf. CTMMA 3, no. 53.",17,less probable,MMA 79.7.36,,"CTMMA 3, no. 73",Egibi Nūr-Sîn,Administrative document,-,-,Not mentioned,,https://cdli.ucla.edu/P412351,-,-,-,-,6973,"creditor
recipient",-,TypeAdministrative documentSubtypeoutgoing
Madānu-bēlu-uṣur,,,Male,,60037,Madānu-bēlu-uṣur,-,-,Male,,18,highly probable,BM 30780,,Camb 369,Egibi Nūr-Sîn,Administrative document,22.II.07 Cam,523,Borsippa,,-,-,http://www.achemenet.com/fr/item/?/sources-textuelles/textes-par-langues-et-ecritures/babylonien/archives-egibi/1681943,-,https://www.britishmuseum.org/collection/object/W_1876-1117-507,7101,broken/unclear,-,TypeAdministrative documentSubtypebalanced account
Madānu-bēlu-uṣur,,,Male,,52644,Madānu-bēlu-uṣur,-,-,Male,,18,highly probable,BM 30884,,"Wunsch 1993b, no. 329",Egibi Nūr-Sîn,Administrative document,10.X.02 Cam,527,Not mentioned,,-,https://nabucco.arts.kuleuven.be/item/30739,-,-,https://www.britishmuseum.org/collection/object/W_1876-1117-611,6183,represented by agent,-,TypeAdministrative documentSubtypeoutgoing
Madānu-[...],,,Male,,66116,Madānu-bēlu-uṣur,-,-,Male,,18,probable,BM 33538,,Nbn 570,Egibi Nūr-Sîn,Administrative document,17.XI.11 Nbn,544,Babylon,,-,-,-,-,https://www.britishmuseum.org/collection/object/W_Rm-IV-94,7827,payer,qallu,TypeAdministrative documentSubtypelist
Madānu-bēlu-uṣur,,,Male,,52984,Madānu-bēlu-uṣur,-,-,Male,,18,highly probable,BM 31918,,"Wunsch 1993b, no. 376",Egibi Nūr-Sîn,Administrative document,-,-,Not mentioned,,-,https://nabucco.arts.kuleuven.be/item/28468,-,-,https://www.britishmuseum.org/collection/object/W_1876-1117-1645,6231,recipient,-,TypeAdministrative documentSubtypeoutgoing
Madānu-bēlu-uṣur,,,Male,,52711,Madānu-bēlu-uṣur,-,-,Male,,18,highly probable,BM 31204,,"Wunsch 1993b, no. 339",Egibi Nūr-Sîn,Administrative document,-.-.04 Cam,526/525,Not mentioned,,-,https://nabucco.arts.kuleuven.be/item/32131,-,-,https://www.britishmuseum.org/collection/object/W_1876-1117-931,6194,creditor,qallu,TypeAdministrative documentSubtypeoutgoing
Nabû-ahhē-iddin,,,Male,,59172,Nabû-ahhē-iddin,Šulāya,Egibi,Male,He died in 13 Nbn.,21,highly probable,BM 41400,,Ner 5,Egibi Nūr-Sîn,Administrative document,04.IX.00 Ner,559,Not mentioned,,-,-,-,,https://www.britishmuseum.org/collection/object/W_1881-0625-11,6995,recipient,-,TypeAdministrative documentSubtypenote
Iddin-Marduk,,,Male,,52434,Iddin-Marduk,Iqīšāya,Nūr-Sîn,Male,,36,probable,BM 35529,,"Wunsch 1993b, no. 325",Egibi Nūr-Sîn,Administrative document,23.V.02 Cam,528,Not mentioned,,-,https://nabucco.arts.kuleuven.be/item/32545,-,-,https://www.britishmuseum.org/collection/object/W_Sp-III-35_1,6159,recipient,-,TypeAdministrative documentSubtypeincoming
Iddin-Marduk,Iqīšāya,,Male,,50764,Iddin-Marduk,Iqīšāya,Nūr-Sîn,Male,,36,highly probable,MNB 1830,,"Wunsch 1993b, no. 277",Egibi Nūr-Sîn,Administrative document,03.VIb.02 Cyr,537,Not mentioned,,https://cdli.ucla.edu/P387191,https://nabucco.arts.kuleuven.be/item/31036,-,-,-,5961,payer,-,TypeAdministrative documentSubtypeoutgoing
Iddin-Marduk,,,Male,,49482,Iddin-Marduk,Iqīšāya,Nūr-Sîn,Male,,36,probable,BM 31106,,"Wunsch 1993b, no. 236",Egibi Nūr-Sîn,Administrative document,05.V.15 Nbn,541,Not mentioned,,-,https://nabucco.arts.kuleuven.be/item/28522,-,-,https://www.britishmuseum.org/collection/object/W_1876-1117-833,5764,debtor,-,TypeAdministrative documentSubtypenote
Iddin-Marduk,Iqīšāya,Nūr-Sîn,Male,,49141,Iddin-Marduk,Iqīšāya,Nūr-Sîn,Male,,36,highly probable,BM 31215,,"Wunsch 1993b, no. 218",Egibi Nūr-Sîn,Administrative document,14.XII.13 Nbn,542,Babylon,,-,https://nabucco.arts.kuleuven.be/item/32401,-,-,https://www.britishmuseum.org/collection/object/W_1876-1117-942,5725,"payer
represented by agent",-,TypeAdministrative documentSubtypememorandum
Iddin-Marduk,,,Male,,47911,Iddin-Marduk,Iqīšāya,Nūr-Sîn,Male,,36,highly probable,BM 33914,,"Wunsch 1993b, no. 204",Egibi Nūr-Sîn,Administrative document,21.X.12 Nbn,543,Not mentioned,,-,https://nabucco.arts.kuleuven.be/item/28954,-,-,https://www.britishmuseum.org/collection/object/W_SP-10,5555,husband (of woman acting),-,TypeAdministrative documentSubtypenote
Iddin-Marduk,,,Male,SlaveAgent,47486,Iddin-Marduk,Iqīšāya,Nūr-Sîn,Male,,36,highly probable,BM 31043,,"Wunsch 1993b, no. 190",Egibi Nūr-Sîn,Administrative document,16.X.11 Nbn,544,Babylon,,-,https://nabucco.arts.kuleuven.be/item/28687,-,-,https://www.britishmuseum.org/collection/object/W_1876-1117-770,5503,payer,-,TypeAdministrative documentSubtypememorandum
Iddin-Marduk,,,Male,Slave,66117,Iddin-Marduk,Iqīšāya,Nūr-Sîn,Male,,36,probable,BM 33538,,Nbn 570,Egibi Nūr-Sîn,Administrative document,17.XI.11 Nbn,544,Babylon,,-,-,-,-,https://www.britishmuseum.org/collection/object/W_Rm-IV-94,7827,master (of a slave),-,TypeAdministrative documentSubtypelist
Iddin-Marduk,Iqīšāya,Nūr-Sîn,Male,,46042,Iddin-Marduk,Iqīšāya,Nūr-Sîn,Male,,36,highly probable,MMA 79.7.35,,"Wunsch 1993b, no. 160",Egibi Nūr-Sîn,Administrative document,16.XII.08 Nbn,547,Borsippa,Fingernails,https://cdli.ucla.edu/P412354,https://nabucco.arts.kuleuven.be/item/30619,-,-,-,5318,recipient,-,TypeAdministrative documentSubtypememorandum
