Name,Patronym,"Family name",Gender,Owns,"Attestation ID",ind.Name,ind.Patronym,"ind.Family name",ind.Gender,Biography,PID,Probability,"Museum no.",Duplicate,Publication,Archive,Type,Date,"Julian date","Place of writing",Has,"Cdli URL","Nabucco URL","Achemenet URL","Oracc URL","British Museum URL","Tablet ID",Role,Title,"Type and objects"
Anonymous,,,Female,,58824,Anonymous,-1,-1,Female,-,29647,"highly probable","MMA 79.7.4",,"CTMMA 3, no. 53","Egibi Nūr-Sîn","Legal document","04.VIII.10 Nbn",546,Babylon,,https://cdli.ucla.edu/P412331,https://nabucco.arts.kuleuven.be/item/30184,-,-,-,6949,"passive (mentioned in relation to sb or sth else)",-,"TypeLegal documentSubtypeadoption"
Aplāya,[Ša-Nabû-šū],,Male,,19321,Aplāya,Ša-Nabû-šū,-,Male,,15204,"highly probable","Unknown (IM)","UET 4, 2 (U. 17238, 13)","UET 4, 1","Gallābu (Ur)","Legal document","[23].[I].[09] [Art III]",350,Ur,Seals,https://cdli.ucla.edu/P414697,-,,,,2419,"sealer of the tablet
witness, regular (mukinnu)",ardu,"TypeLegal documentSubtypeadoption"
Arad-Marduk,Kittia,Šangû-Ea,Male,,58830,Arad-Marduk,Kittia,Šangû-Ea,Male,,1912,"highly probable","MMA 79.7.4",,"CTMMA 3, no. 53","Egibi Nūr-Sîn","Legal document","04.VIII.10 Nbn",546,Babylon,,https://cdli.ucla.edu/P412331,https://nabucco.arts.kuleuven.be/item/30184,-,-,-,6949,"scribe (ṭupšarru)",-,"TypeLegal documentSubtypeadoption"
Ardia,Zabin,,Male,,19429,Ardia,Zabin,-,Male,,15205,"highly probable","Unknown (IM)","UET 4, 2 (U. 17238, 13)","UET 4, 1","Gallābu (Ur)","Legal document","[23].[I].[09] [Art III]",350,Ur,Seals,https://cdli.ucla.edu/P414697,-,,,,2419,"sealer of the tablet
witness, regular (mukinnu)",-,"TypeLegal documentSubtypeadoption"
Bānia,Sūqāya,Bēl-eṭēri,Male,,3081,Bānia,Sūqāya,Bēl-eṭēri,Male,,3415,"highly probable","BM 77344",,"Baker 2004, no. 54",Nappāhu,"Legal document","10.VIII.03 Cyr",536,Babylon,,https://cdli.ucla.edu/P512043,https://nabucco.arts.kuleuven.be/item/22114,-,-,https://www.britishmuseum.org/collection/object/W_1884-0211-78,399,"scribe (ṭupšarru)",-,"TypeLegal documentSubtypeadoption"
Bēl-iddin,Arad-[...],,Male,Land,3075,Bēl-iddin,Arad-[...],-,Male,,5062,"highly probable","BM 77344",,"Baker 2004, no. 54",Nappāhu,"Legal document","10.VIII.03 Cyr",536,Babylon,,https://cdli.ucla.edu/P512043,https://nabucco.arts.kuleuven.be/item/22114,-,-,https://www.britishmuseum.org/collection/object/W_1884-0211-78,399,neighbour,-,"TypeLegal documentSubtypeadoption"
Bēl-iqīša,Šumu-ukīn,Ša-ṭābtīšu,Male,,31369,Bēl-iqīša,Šumu-ukīn,Ša-ṭābtīšu,Male,,22918,"highly probable","BM 26538",,"Waerzeggers 2010, no. 152","Rē’i-alpi (Borsippa)","Legal document","11.IX.08 Nbn",548,Borsippa,,https://cdli.ucla.edu/P404842,-,-,-,https://www.britishmuseum.org/collection/object/W_1898-0514-356,3598,"witness, regular (pāni)",-,"TypeLegal documentSubtypeadoption"
Bēl-uballiṭ,Iqīšāya,Ṣāhit-ginê,Male,,1276,Bēl-uballiṭ,Iqīšāya,Ṣāhit-ginê,Male,,13788,"highly probable","BM 67208+",,"Waerzeggers 2014, no. 9","Ṣāhit-ginê A","Legal document","02.II.02 Cam",528,Sippar,,-,http://nabucco.arts.kuleuven.be/item/27790,-,-,https://www.britishmuseum.org/collection/object/W_1882-0918-7204,161,"parent who gives person into adoption",-,"TypeLegal documentSubtypeadoption"
Cambyses,,,Male,,8299,Cambyses,-,-,Male,,16420,"highly probable","BM 67208+",,"Waerzeggers 2014, no. 9","Ṣāhit-ginê A","Legal document","02.II.02 Cam",528,Sippar,,-,http://nabucco.arts.kuleuven.be/item/27790,-,-,https://www.britishmuseum.org/collection/object/W_1882-0918-7204,161,"king in date","šar Bābili šar mātāti","TypeLegal documentSubtypeadoption"
Cyrus,,,Male,,11390,Cyrus,-,-,Male,,16416,"highly probable","BM 77344",,"Baker 2004, no. 54",Nappāhu,"Legal document","10.VIII.03 Cyr",536,Babylon,,https://cdli.ucla.edu/P512043,https://nabucco.arts.kuleuven.be/item/22114,-,-,https://www.britishmuseum.org/collection/object/W_1884-0211-78,399,"king in date","šar Bābili šar mātāti","TypeLegal documentSubtypeadoption"
