Name,Patronym,"Family name",Gender,Owns,"Attestation ID",ind.Name,ind.Patronym,"ind.Family name",ind.Gender,Biography,PID,Probability,"Museum no.",Duplicate,Publication,Archive,Type,Date,"Julian date","Place of writing",Has,"Cdli URL","Nabucco URL","Achemenet URL","Oracc URL","British Museum URL","Tablet ID",Role,Title,"Type and objects"
Adad-ibni,Bābu-ēreš,,Male,,17323,Adad-ibni,Bābu-ēreš,-,Male,,7288,"highly probable","BM 79048","BM 79046","Waerzeggers 1999-2000, no. 2",fInṣabtu//Naggāru,"Legal document","08.VII.26 Dar I",496,Bīt-Madāja,,,-,-,-,https://www.britishmuseum.org/collection/object/W_1889-0426-345,2017,"witness, regular (mukinnu)",-,"TypeLegal documentSubtypeannulment"
Ahāssunu,,,Female,,64268,Ahāssunu,-,-,Female,,13517,"highly probable","BM 31547",,"Dar 429","Egibi Nūr-Sîn","Legal document","[-].[-].16 Dar I",506/505,Broken/Unclear,,-,https://nabucco.arts.kuleuven.be/item/30310,http://www.achemenet.com/en/item/?/textual-sources/texts-by-publication/Strassmaier_Darius/1661695,-,https://www.britishmuseum.org/collection/object/W_1876-1117-1274,7610,"object of transaction",amīlūtu,"TypeLegal documentSubtypeannulment"
Amat-Bābu,Kalbāya,Nabāya,Female,Slave,64271,Amat-Bābu,Kalbāya,Nabāya,Female,,18931,"highly probable","BM 31547",,"Dar 429","Egibi Nūr-Sîn","Legal document","[-].[-].16 Dar I",506/505,Broken/Unclear,,-,https://nabucco.arts.kuleuven.be/item/30310,http://www.achemenet.com/en/item/?/textual-sources/texts-by-publication/Strassmaier_Darius/1661695,-,https://www.britishmuseum.org/collection/object/W_1876-1117-1274,7610,"plaintiff
seller",-,"TypeLegal documentSubtypeannulment"
Amat-Ninlil,,,Female,,2164,Amat-Ninlil,Balāṭu,Egibi,Female,,11,probable,"VAT 111","VAT 112","Baker 2004, no. 20a",Nappāhu,"Legal document","05.I.01 Cam",529,Babylon,"Other markings",https://cdli.ucla.edu/P371779,https://nabucco.arts.kuleuven.be/item/21850,,,,280,"donee
witness, special (ina ašābi)",-,"TypeLegal documentSubtypeannulment"
Anonymous,,,Male,,53955,Anonymous,-,-,Male,,18251,"highly probable","VAT 5383",,"VS 5, 102","Rē’i-alpi (Borsippa)","Legal document","14.VI.29 Dar I",493,Babylon,,https://cdli.ucla.edu/P371836,,,,,6364,"passive (mentioned in relation to sb or sth else)",abarakku,"TypeLegal documentSubtypeannulment"
Anonymous,,,Male,,59969,-,-,-,-,-,-,"less probable","BM 30698","Ash. 1924.1642","Camb 388","Egibi Nūr-Sîn","Legal document","11.X.07 Cam",522,Humadēšu,,-,https://nabucco.arts.kuleuven.be/item/29905,http://www.achemenet.com/fr/item/?/sources-textuelles/textes-par-langues-et-ecritures/babylonien/archives-egibi/1682341,,https://www.britishmuseum.org/collection/object/W_1876-1117-425,7092,representative/agent,"mār šipri","TypeLegal documentSubtypeannulment"
"Anonymous group",,,Male,,23839,-,-,-,-,-,-,"less probable","Unknown (IM)",,"UET 4, 194","Gallābu (Ur)","Legal document","05.X.39 Art I",425,Ur,,https://cdli.ucla.edu/P414890,-,,,,2893,co-owner,-,"TypeLegal documentSubtypeannulment"
"Anonymous group",,,Male,,23842,-,-,-,-,-,-,"less probable","Unknown (IM)",,"UET 4, 194","Gallābu (Ur)","Legal document","05.X.39 Art I",425,Ur,,https://cdli.ucla.edu/P414890,-,,,,2893,co-owner,"bēl qašti","TypeLegal documentSubtypeannulment"
Anu-ana-kussêšu,Balāṭu,,Male,,17329,Anu-ana-kussêšu,Balāṭu,-,Male,,7291,"highly probable","BM 79048","BM 79046","Waerzeggers 1999-2000, no. 2",fInṣabtu//Naggāru,"Legal document","08.VII.26 Dar I",496,Bīt-Madāja,,,-,-,-,https://www.britishmuseum.org/collection/object/W_1889-0426-345,2017,"witness, regular (mukinnu)",-,"TypeLegal documentSubtypeannulment"
Aplāya,Rēmūt-Gula,Rē’i-alpi,Male,Garden,37750,Aplāya,Rēmūt-Gula,Rē’i-alpi,Male,,18263,"highly probable",M.408,,"NBBAD 54 (Moore 1935, no. 54)","Rē’i-alpi (Borsippa)","Legal document","02.X.02 Nbn",553,Borsippa,,,,,,,4393,"passive (mentioned in relation to sb or sth else)",-,"TypeLegal documentSubtypeannulment"
Aplāya,Šulāya,Maṣṣar-abulli,Male,,57897,Aplāya,Šulāya,Maṣṣar-abulli,Male,,20783,"highly probable","BM 29061",,"No publication","Ibnāya A","Legal document","24.IV.01 Nbn",555,Borsippa,,-,-,-,-,https://www.britishmuseum.org/collection/object/W_1898-1112-237,6831,"witness, regular (mukinnu)",-,"TypeLegal documentSubtypeannulment"
Arad-Gula,Nabû-uballiṭ,Kidin-Nanāya,Male,,58234,Arad-Gula,Nabû-uballiṭ,Kidin-Nanāya,Male,,20776,"highly probable","BM 29198",,"No publication","Ibnāya A","Legal document","30.I.06+[x]? Nbn","after 550",Broken/Unclear,,-,-,-,-,https://www.britishmuseum.org/collection/object/W_1898-1112-374,6877,"witness, regular (mukinnu)",-,"TypeLegal documentSubtypeannulment"
Arad-Marduk(?),Nabû-šumu-iddin,Esagil-amassu,Male,,44894,Arad-Marduk,Nabû-šumu-iddin,Esagil-amassu,Male,,25429,"highly probable","BM 26586","BM 94644",unpublished,"Rē’i-alpi (Borsippa)","Legal document","06.XI.04 Cam",525,Borsippa,,,-,-,-,https://www.britishmuseum.org/collection/object/W_1898-0514-404,5151,"witness, regular (mukinnu)",-,"TypeLegal documentSubtypeannulment"
Ardia,Dādia,Nabāya,Male,,64275,Ardia,Dādia,Nabāya,Male,,7,"highly probable","BM 31547",,"Dar 429","Egibi Nūr-Sîn","Legal document","[-].[-].16 Dar I",506/505,Broken/Unclear,,-,https://nabucco.arts.kuleuven.be/item/30310,http://www.achemenet.com/en/item/?/textual-sources/texts-by-publication/Strassmaier_Darius/1661695,-,https://www.britishmuseum.org/collection/object/W_1876-1117-1274,7610,"witness, regular (mukinnu)",-,"TypeLegal documentSubtypeannulment"
Ardia,Nabû-ahhē-iddin,Gallābu,Male,,34216,Ardia,Nabû-ahhē-iddin,Gallābu,Male,,26179,"highly probable","BM 26647",,"Waerzeggers 2010, no. 193","Rē’i-alpi (Borsippa)","Legal document","16.XII.20 Dar I",501,Borsippa,,https://cdli.ucla.edu/P521645,-,-,-,https://www.britishmuseum.org/collection/object/W_1898-0514-465,3931,"witness, regular (mukinnu)",-,"TypeLegal documentSubtypeannulment"
Artaxerxes,,,Male,,23851,Artaxerxes,-,-,Male,,16717,"highly probable","Unknown (IM)",,"UET 4, 194","Gallābu (Ur)","Legal document","05.X.39 Art I",425,Ur,,https://cdli.ucla.edu/P414890,-,,,,2893,"king in date","šar mātāti","TypeLegal documentSubtypeannulment"
Asalluhi-ahu-uṣur,Šilāya,,Male,Slave,65233,Asalluhi-ahu-uṣur,Šilāya,-,Male,,21445,"highly probable","Liverpool 29-11-77, 15",,"Liv 19","Egibi Nūr-Sîn","Legal document","07.VI.03 Cam",527,Babylon,,-,https://nabucco.arts.kuleuven.be/item/28783,-,-,-,7704,buyer,-,"TypeLegal documentSubtypeannulment"
Balāṭu,Ina-tēšî-ēṭir,Esagilāya,Male,,14978,Balāṭu,Ina-tēšî-ēṭir,Esagilāya,Male,,6748,"highly probable","MMA 86.11.148",,"CTMMA 3, no. 22","Esagilāya B","Legal document","[-].IX.04 Nbk II",601,Babylon,,https://cdli.ucla.edu/P412300,,,,,1817,debtor,-,"TypeLegal documentSubtypeannulment"
Basia,Sūqāya,Basia,Male,,64278,Basia,Sūqāya,Basia,Male,,1894,"highly probable","BM 31547",,"Dar 429","Egibi Nūr-Sîn","Legal document","[-].[-].16 Dar I",506/505,Broken/Unclear,,-,https://nabucco.arts.kuleuven.be/item/30310,http://www.achemenet.com/en/item/?/textual-sources/texts-by-publication/Strassmaier_Darius/1661695,-,https://www.britishmuseum.org/collection/object/W_1876-1117-1274,7610,"witness, regular (mukinnu)",-,"TypeLegal documentSubtypeannulment"
Bēl-aplu-iddin,Zēria,Bēl-aplu-uṣur,Male,,65235,Bēl-aplu-iddin,Zēria,Bēl-aplu-uṣur,Male,,13622,"highly probable","Liverpool 29-11-77, 15",,"Liv 19","Egibi Nūr-Sîn","Legal document","07.VI.03 Cam",527,Babylon,,-,https://nabucco.arts.kuleuven.be/item/28783,-,-,-,7704,"witness, regular (mukinnu)",-,"TypeLegal documentSubtypeannulment"
Bēl-eṭēri,Nabû-bēlšunu,Šamaš-[...],Male,,57031,Bēl-eṭēri,Nabû-bēlšunu,Šamaš-[...],Male,,19465,"highly probable","BM 32525+",,"Wunsch 2000b, no. 222","Egibi Nūr-Sîn","Legal document","29.I.[-] Dar I",-,Babylon,,https://cdli.ucla.edu/P405017,https://nabucco.arts.kuleuven.be/item/30472,http://www.achemenet.com/en/item/?/textual-sources/texts-by-publication/Wunsch_CM_20/1328854,,https://www.britishmuseum.org/collection/object/W_1876-1117-2267,6726,"witness, regular (mukinnu)",-,"TypeLegal documentSubtypeannulment"
Bēl-gabbi-[umma],,,Male,,64267,Bēl-gabbi-Bēlumma,-,-,Male,,21485,"highly probable","BM 31547",,"Dar 429","Egibi Nūr-Sîn","Legal document","[-].[-].16 Dar I",506/505,Broken/Unclear,,-,https://nabucco.arts.kuleuven.be/item/30310,http://www.achemenet.com/en/item/?/textual-sources/texts-by-publication/Strassmaier_Darius/1661695,-,https://www.britishmuseum.org/collection/object/W_1876-1117-1274,7610,"object of transaction",amīlūtu,"TypeLegal documentSubtypeannulment"
Bēl-ibni,[...],Eppēš-ilī,Male,,14981,Bēl-ibni,[...],Eppēš-ilī,Male,,6916,"highly probable","MMA 86.11.148",,"CTMMA 3, no. 22","Esagilāya B","Legal document","[-].IX.04 Nbk II",601,Babylon,,https://cdli.ucla.edu/P412300,,,,,1817,"witness, regular (mukinnu)",-,"TypeLegal documentSubtypeannulment"
Bēl-iddin,Arad-Nabû,Maṣṣar-abulli,Male,,42196,Bēl-iddin,Arad-Nabû,Maṣṣar-abulli,Male,,22909,"highly probable","VAT 4950",,"VS 6, 105","Rē’i-alpi (Borsippa)","Legal document","12.IX.08 Cyr",51,Borsippa,,,,,,,4873,"witness, regular (mukinnu)",-,"TypeLegal documentSubtypeannulment"
Bēl-iddin,Arad-Nabû,Maṣṣar-abulli,Male,,44890,Bēl-iddin,Arad-Nabû,Maṣṣar-abulli,Male,,22909,"highly probable","BM 26586","BM 94644",unpublished,"Rē’i-alpi (Borsippa)","Legal document","06.XI.04 Cam",525,Borsippa,,,-,-,-,https://www.britishmuseum.org/collection/object/W_1898-0514-404,5151,"bride’s agent",-,"TypeLegal documentSubtypeannulment"
Bēl-iddin,Itti-Marduk-balāṭu,Ahu-bani,Male,,57024,Bēl-iddin,Itti-Marduk-balāṭu,Ahu-bani,Male,,3067,"highly probable","BM 32525+",,"Wunsch 2000b, no. 222","Egibi Nūr-Sîn","Legal document","29.I.[-] Dar I",-,Babylon,,https://cdli.ucla.edu/P405017,https://nabucco.arts.kuleuven.be/item/30472,http://www.achemenet.com/en/item/?/textual-sources/texts-by-publication/Wunsch_CM_20/1328854,,https://www.britishmuseum.org/collection/object/W_1876-1117-2267,6726,"witness, regular (mukinnu)",-,"TypeLegal documentSubtypeannulment"
Bēl-iddin,Mār-bīti-iqīša,Banâ-ša-ilia,Male,,31114,Bēl-iddin,Mār-bīti-iqīša,Banâ-ša-ilia,Male,,25096,"highly probable","BM 94606",,"Waerzeggers 2010, no. 143","Rē’i-alpi (Borsippa)","Legal document","22.[-].03 Nbn",553/552,Borsippa,,https://cdli.ucla.edu/P404856,-,-,-,https://www.britishmuseum.org/collection/object/W_1901-1012-259,3556,"witness, regular (mukinnu)",-,"TypeLegal documentSubtypeannulment"
Bēl-iddin,Nabû-ahhē-bulliṭ,Ea-pattānu,Male,,2173,Bēl-iddin,Nabû-ahhē-bulliṭ,Ea-pattānu,Male,,3520,"highly probable","VAT 111","VAT 112","Baker 2004, no. 20a",Nappāhu,"Legal document","05.I.01 Cam",529,Babylon,"Other markings",https://cdli.ucla.edu/P371779,https://nabucco.arts.kuleuven.be/item/21850,,,,280,"scribe (ṭupšarru)",-,"TypeLegal documentSubtypeannulment"
Bēl-iddin,Zababa-šumu-iddin,Zērāya,Male,,17113,Bēl-iddin,Zababa-šumu-iddin,Zērāya,Male,,7306,"highly probable","BM 79122",,"Waerzeggers 1999-2000, no. 4",fInṣabtu//Naggāru,"Legal document","15.XI.26! Dar I",495,Borsippa,,,-,-,-,https://www.britishmuseum.org/collection/object/W_1889-0426-419,2023,buyer,-,"TypeLegal documentSubtypeannulment"
"Bēl-īpuš (?)",,Rē’i-alpi,Male,,17209,Bēl-īpuš,-,Rē’i-alpi,Male,,22679,probable,"BM 26574",,"Waerzeggers 2010, no. 132","Rē’i-alpi (Borsippa)","Legal document","11.V.04 Npl",622,Borsippa,,https://cdli.ucla.edu/P404845,-,-,-,https://www.britishmuseum.org/collection/object/W_1898-0514-392,2233,witness,-,"TypeLegal documentSubtypeannulment"
Bēl-ittannu,Ea-iddin,Itinnu,Male,,4671,Bēl-ittannu,Ea-iddin,Itinnu,Male,,3856,"highly probable","VAT 378",,"Baker 2004, no. 112",Nappāhu,"Legal document","14.X.27 Dar I",494,Babylon,,https://cdli.ucla.edu/P371833,https://nabucco.arts.kuleuven.be/item/22078,,,,598,"witness, regular (mukinnu)",-,"TypeLegal documentSubtypeannulment"
Bēl-ittannu,Nabû-uṣuršu,Amīl-Ea,Male,,64277,Bēl-ittannu,Nabû-uṣuršu,Amīl-Ea,Male,,21508,"highly probable","BM 31547",,"Dar 429","Egibi Nūr-Sîn","Legal document","[-].[-].16 Dar I",506/505,Broken/Unclear,,-,https://nabucco.arts.kuleuven.be/item/30310,http://www.achemenet.com/en/item/?/textual-sources/texts-by-publication/Strassmaier_Darius/1661695,-,https://www.britishmuseum.org/collection/object/W_1876-1117-1274,7610,"witness, regular (mukinnu)",-,"TypeLegal documentSubtypeannulment"
Bēl-kēšir,Nabû-mukīn-apli,Pahāru,Male,,2199,Bēl-kēšir,Nabû-mukīn-apli,Pahāru,Male,,671,"highly probable","MLC 1816",,"Baker 2004, no. 22",Nappāhu,"Legal document","22.III.24 Dar I",498,Babylon,,https://cdli.ucla.edu/P296483,https://nabucco.arts.kuleuven.be/item/22060,,,,283,"witness, regular (mukinnu)",-,"TypeLegal documentSubtypeannulment"
Bēl-rēmanni,Marduk-šākin-šumi,Nūr-Papsukkal,Male,,55037,Bēl-rēmanni,Marduk-šākin-šumi,Nūr-Papsukkal,Male,,18540,"highly probable","BM 26682",,"No publication",Atkuppu,"Legal document","22.V.07 Cam",523,Borsippa,,-,-,-,-,https://www.britishmuseum.org/collection/object/W_1898-0514-500,6494,"witness, regular (mukinnu)",-,"TypeLegal documentSubtypeannulment"
