Name,Patronym,"Family name",Gender,Owns,"Attestation ID",ind.Name,ind.Patronym,"ind.Family name",ind.Gender,Biography,PID,Probability,"Museum no.",Duplicate,Publication,Archive,Type,Date,"Julian date","Place of writing",Has,"Cdli URL","Nabucco URL","Achemenet URL","Oracc URL","British Museum URL","Tablet ID",Role,Title,"Type and objects"
Ardia,Gimillu,Itinnu,Male,,59553,Ardia,Gimillu,Itinnu,Male,,19132,"highly probable","BM 31341",,"Camb 245","Egibi Nūr-Sîn","Legal document","[-].VI.04 Cam",526,Babylon,,-,https://nabucco.arts.kuleuven.be/item/29398,http://www.achemenet.com/en/item/?/textual-sources/texts-by-regions/babylonia/babylon/1679360,-,https://www.britishmuseum.org/collection/object/W_1876-1117-1068,7037,"witness, regular (mukinnu)",-,"TypeLegal documentSubtypeapprenticeship"
Atkal-ana-Marduk,,,Male,,50773,Atkal-ana-Marduk,-,-,Male,,20056,"highly probable","BM 30251",,"Wunsch 1993b, no. 278","Egibi Nūr-Sîn","Legal document","20.VII.02 Cyr",537,Babylon,,https://cdli.ucla.edu/P507634,https://nabucco.arts.kuleuven.be/item/29146,-,-,https://www.britishmuseum.org/collection/object/W_1876-1016-1,5962,employee,qallu,"TypeLegal documentSubtypeapprenticeship"
Balāṭu,Gimillu,Ba[...],Male,,59556,Balāṭu,Gimillu,Ba[...],Male,,23794,"highly probable","BM 31341",,"Camb 245","Egibi Nūr-Sîn","Legal document","[-].VI.04 Cam",526,Babylon,,-,https://nabucco.arts.kuleuven.be/item/29398,http://www.achemenet.com/en/item/?/textual-sources/texts-by-regions/babylonia/babylon/1679360,-,https://www.britishmuseum.org/collection/object/W_1876-1117-1068,7037,"witness, regular (mukinnu)",-,"TypeLegal documentSubtypeapprenticeship"
Basia,,,Male,,58143,Basia,-,-,Male,,26827,"highly probable","BM 30952",,"Cyr 248","Egibi Nūr-Sîn","Legal document","19.I.07 Cyr",532,Babylon,,-,https://nabucco.arts.kuleuven.be/item/29524,http://www.achemenet.com/fr/item/?/sources-textuelles/textes-par-langues-et-ecritures/babylonien/archives-egibi/1670752,,https://www.britishmuseum.org/collection/object/W_1876-1117-679,6865,"master (of a slave)",-,"TypeLegal documentSubtypeapprenticeship"
Bēl-erība,Kalbāya,Šumu-libši,Male,,7644,Bēl-erība,Kalbāya,Šumu-libši,Male,,9,"highly probable","BM 41442","RCT 20(A)","Abraham 2004, no. 84","Egibi Nūr-Sîn","Legal document","15.XII.26 Dar I",495,Babylon,,-,https://nabucco.arts.kuleuven.be/item/31555,-,,https://www.britishmuseum.org/collection/object/W_1881-0625-53,1038,"witness, regular (mukinnu)",-,"TypeLegal documentSubtypeapprenticeship"
Bēl-ēṭir,Aplāya,Bēl-eṭēri,Male,,50776,Bēl-ēṭir,Aplāya,Bēl-eṭēri,Male,,15389,"highly probable","BM 30251",,"Wunsch 1993b, no. 278","Egibi Nūr-Sîn","Legal document","20.VII.02 Cyr",537,Babylon,,https://cdli.ucla.edu/P507634,https://nabucco.arts.kuleuven.be/item/29146,-,-,https://www.britishmuseum.org/collection/object/W_1876-1016-1,5962,"trainer of a profession",išparu,"TypeLegal documentSubtypeapprenticeship"
Bēl-iddin,Nabû-uṣuršu,Egibi,Male,,58145,Bēl-iddin,Nabû-uṣuršu,Egibi,Male,,19178,"highly probable","BM 30952",,"Cyr 248","Egibi Nūr-Sîn","Legal document","19.I.07 Cyr",532,Babylon,,-,https://nabucco.arts.kuleuven.be/item/29524,http://www.achemenet.com/fr/item/?/sources-textuelles/textes-par-langues-et-ecritures/babylonien/archives-egibi/1670752,,https://www.britishmuseum.org/collection/object/W_1876-1117-679,6865,"witness, regular (mukinnu)",-,"TypeLegal documentSubtypeapprenticeship"
Cambyses,,,Male,,58279,Cambyses,-,-,Male,,16420,"highly probable","BM 30976",,"Cyr 325","Egibi Nūr-Sîn","Legal document","06.XII.08 Cyr",530,Babylon,,https://cdli.ucla.edu/P507667,https://nabucco.arts.kuleuven.be/item/29272,http://www.achemenet.com/fr/item/?/sources-textuelles/textes-par-langues-et-ecritures/babylonien/archives-egibi/1672511,,https://www.britishmuseum.org/collection/object/W_1876-1117-703,6882,"master (of a slave)
passive (mentioned in relation to sb or sth else)","mār šarri","TypeLegal documentSubtypeapprenticeship"
Cambyses,,,Male,,59558,Cambyses,-,-,Male,,16420,"highly probable","BM 31341",,"Camb 245","Egibi Nūr-Sîn","Legal document","[-].VI.04 Cam",526,Babylon,,-,https://nabucco.arts.kuleuven.be/item/29398,http://www.achemenet.com/en/item/?/textual-sources/texts-by-regions/babylonia/babylon/1679360,-,https://www.britishmuseum.org/collection/object/W_1876-1117-1068,7037,"king in date","šar Bābili šar mātāti","TypeLegal documentSubtypeapprenticeship"
Cyrus,,,Male,,50781,Cyrus,-,-,Male,,16416,"highly probable","BM 30251",,"Wunsch 1993b, no. 278","Egibi Nūr-Sîn","Legal document","20.VII.02 Cyr",537,Babylon,,https://cdli.ucla.edu/P507634,https://nabucco.arts.kuleuven.be/item/29146,-,-,https://www.britishmuseum.org/collection/object/W_1876-1016-1,5962,"king in date","šar Bābili šar mātāti","TypeLegal documentSubtypeapprenticeship"
Cyrus,,,Male,,58141,Cyrus,-,-,Male,,16416,"highly probable","BM 30952",,"Cyr 248","Egibi Nūr-Sîn","Legal document","19.I.07 Cyr",532,Babylon,,-,https://nabucco.arts.kuleuven.be/item/29524,http://www.achemenet.com/fr/item/?/sources-textuelles/textes-par-langues-et-ecritures/babylonien/archives-egibi/1670752,,https://www.britishmuseum.org/collection/object/W_1876-1117-679,6865,"king in date","šar Bābili šar mātāti
šar Bābili u mātāti","TypeLegal documentSubtypeapprenticeship"
Cyrus,,,Male,,58283,Cyrus,-,-,Male,,16416,"highly probable","BM 30976",,"Cyr 325","Egibi Nūr-Sîn","Legal document","06.XII.08 Cyr",530,Babylon,,https://cdli.ucla.edu/P507667,https://nabucco.arts.kuleuven.be/item/29272,http://www.achemenet.com/fr/item/?/sources-textuelles/textes-par-langues-et-ecritures/babylonien/archives-egibi/1672511,,https://www.britishmuseum.org/collection/object/W_1876-1117-703,6882,"king in date","šar Bābili šar mātāti","TypeLegal documentSubtypeapprenticeship"
Darius,,,Male,,8425,Darius,-,-,Male,,16371,"highly probable","BM 41442","RCT 20(A)","Abraham 2004, no. 84","Egibi Nūr-Sîn","Legal document","15.XII.26 Dar I",495,Babylon,,-,https://nabucco.arts.kuleuven.be/item/31555,-,,https://www.britishmuseum.org/collection/object/W_1881-0625-53,1038,"king in date","šar Bābili šar mātāti","TypeLegal documentSubtypeapprenticeship"
Dummuqu,Bēl-ahhē-iddin,Egibi,Male,,50780,Bēl-udammiq,Bēl-ahhē-iddin,Egibi,Male,"He was married to a daughter of Nabû-ahhē-iddin of the Egibi family.",15343,"highly probable","BM 30251",,"Wunsch 1993b, no. 278","Egibi Nūr-Sîn","Legal document","20.VII.02 Cyr",537,Babylon,,https://cdli.ucla.edu/P507634,https://nabucco.arts.kuleuven.be/item/29146,-,-,https://www.britishmuseum.org/collection/object/W_1876-1016-1,5962,"scribe (ṭupšarru)",-,"TypeLegal documentSubtypeapprenticeship"
Gūzānu,,,Male,,7637,Gūzānu,-,-,Male,,13567,"highly probable","BM 41442","RCT 20(A)","Abraham 2004, no. 84","Egibi Nūr-Sîn","Legal document","15.XII.26 Dar I",495,Babylon,,-,https://nabucco.arts.kuleuven.be/item/31555,-,,https://www.britishmuseum.org/collection/object/W_1881-0625-53,1038,"trainer of a profession",nuhatimmu,"TypeLegal documentSubtypeapprenticeship"
Gūzu-ina-Bēl-aṣbat,,,Male,,58277,Gūzu-ina-Bēl-aṣbat,-,-,Male,,23346,"highly probable","BM 30976",,"Cyr 325","Egibi Nūr-Sîn","Legal document","06.XII.08 Cyr",530,Babylon,,https://cdli.ucla.edu/P507667,https://nabucco.arts.kuleuven.be/item/29272,http://www.achemenet.com/fr/item/?/sources-textuelles/textes-par-langues-et-ecritures/babylonien/archives-egibi/1672511,,https://www.britishmuseum.org/collection/object/W_1876-1117-703,6882,apprentice,qallu,"TypeLegal documentSubtypeapprenticeship"
Hašdāya,,,Male,,58284,Hašdāya,-,-,Male,,23366,"highly probable","BM 30976",,"Cyr 325","Egibi Nūr-Sîn","Legal document","06.XII.08 Cyr",530,Babylon,,https://cdli.ucla.edu/P507667,https://nabucco.arts.kuleuven.be/item/29272,http://www.achemenet.com/fr/item/?/sources-textuelles/textes-par-langues-et-ecritures/babylonien/archives-egibi/1672511,,https://www.britishmuseum.org/collection/object/W_1876-1117-703,6882,"trainer of a profession","purkullu
qallu ša mār šarri","TypeLegal documentSubtypeapprenticeship"
Iddia,Kī-Sîn-[...](?),,Male,,59552,Iddia,Kī-Sîn,-,Male,,28961,"highly probable","BM 31341",,"Camb 245","Egibi Nūr-Sîn","Legal document","[-].VI.04 Cam",526,Babylon,,-,https://nabucco.arts.kuleuven.be/item/29398,http://www.achemenet.com/en/item/?/textual-sources/texts-by-regions/babylonia/babylon/1679360,-,https://www.britishmuseum.org/collection/object/W_1876-1117-1068,7037,"trainer of a profession",-,"TypeLegal documentSubtypeapprenticeship"
Iddin-Nabû,Iqīšāya,,Male,,50779,Iddin-Nabû,Iqīšāya,Ea-ibni,Male,,15348,probable,"BM 30251",,"Wunsch 1993b, no. 278","Egibi Nūr-Sîn","Legal document","20.VII.02 Cyr",537,Babylon,,https://cdli.ucla.edu/P507634,https://nabucco.arts.kuleuven.be/item/29146,-,-,https://www.britishmuseum.org/collection/object/W_1876-1016-1,5962,"witness, regular (mukinnu)",-,"TypeLegal documentSubtypeapprenticeship"
Ina-qātē-Nabû-bulluṭ,,,Male,,58139,Ina-qātē-Nabû-bulluṭ,-,-,Male,,20197,"highly probable","BM 30952",,"Cyr 248","Egibi Nūr-Sîn","Legal document","19.I.07 Cyr",532,Babylon,,-,https://nabucco.arts.kuleuven.be/item/29524,http://www.achemenet.com/fr/item/?/sources-textuelles/textes-par-langues-et-ecritures/babylonien/archives-egibi/1670752,,https://www.britishmuseum.org/collection/object/W_1876-1117-679,6865,apprentice,qallu,"TypeLegal documentSubtypeapprenticeship"
