Name,Patronym,"Family name",Gender,Owns,"Attestation ID",ind.Name,ind.Patronym,"ind.Family name",ind.Gender,Biography,PID,Probability,"Museum no.",Duplicate,Publication,Archive,Type,Date,"Julian date","Place of writing",Has,"Cdli URL","Nabucco URL","Achemenet URL","Oracc URL","British Museum URL","Tablet ID",Role,Title,"Type and objects"
...dia-Ninlil,,,Female,,47305,...dia-Ninlil,-,-,Female,,17459,"highly probable","VAT 3058",,"San Nicolò and Ungnad 1929-1935, no. 664","Sîn-ilī (Babylon)","Legal document","16.II.06 Nbn",550,Sippar,,-,-,-,-,-,5491,"guarantor
obligor",-,"TypeLegal documentSubtypebond"
Abdī,,,Male,,5686,Abdī,-,-,Male,,6049,"less probable","BM 74520",,"Waerzeggers 2014, no. 140","Ṣāhit-ginê A","Legal document","27.III.[-] Dar I",-,Babylon,,-,https://nabucco.arts.kuleuven.be/item/28159,-,-,https://www.britishmuseum.org/collection/object/W_1882-0918-A-243,750,representative/agent,"rab bīti","TypeLegal documentSubtypebond"
Adad-ušēzib,Zabdī,,Male,,5694,Adad-ušēzib,Zabdī,-,Male,,6094,"highly probable","BM 74520",,"Waerzeggers 2014, no. 140","Ṣāhit-ginê A","Legal document","27.III.[-] Dar I",-,Babylon,,-,https://nabucco.arts.kuleuven.be/item/28159,-,-,https://www.britishmuseum.org/collection/object/W_1882-0918-A-243,750,"witness, regular (mukinnu)",-,"TypeLegal documentSubtypebond"
Ahūšunu,Iddin-Nabû,Abī-ul-īde,Male,,6266,Ahūšunu,Iddin-Nabû,Abī-ul-īde,Male,,10,"highly probable","VAT 362",,"Baker 2004, no. 180",Nappāhu,"Legal document","25.XII.20 Dar I",501,Babylon,,https://cdli.ucla.edu/P371678,https://nabucco.arts.kuleuven.be/item/22465,,,,829,"witness, regular (mukinnu)",-,"TypeLegal documentSubtypebond"
Ahūšunu,Šamšāya,,Male,,11135,Ahūšunu,Šamšāya,-,Male,,9034,"highly probable","BM 31142",,"Abraham 2004, no. 134","Egibi Nūr-Sîn","Legal document","01.X.22 Dar I",500,Babylon,,-,https://nabucco.arts.kuleuven.be/item/32662,http://www.achemenet.com/en/item/?/textual-sources/texts-by-regions/babylonia/babylon/1664480,-,https://www.britishmuseum.org/collection/object/W_1876-1117-869,1370,"creditor
obligor",-,"TypeLegal documentSubtypebond"
Ahūšunu,Sîn-šumu-līšir,,Male,,51089,Ahūšunu,Sîn-šumu-līšir,-,Male,,17714,"highly probable","Unknown (IM)",,"UET 4, 101","Sîn-ilī (Ur)","Legal document","25.VI.16 Dar I",506,Ur,,https://cdli.ucla.edu/P414797,-,-,-,-,5996,"scribe (ṭupšarru)",-,"TypeLegal documentSubtypebond"
Amīl-Marduk,,,Male,,44179,Amīl-Marduk,-,-,Male,,16419,"highly probable","VAT 3016",,"San Nicolò and Ungnad 1929-1935, no. 235","Sîn-ilī (Babylon)","Legal document","[-].VI.39 Nbk II",566,Nār-Barsip,,-,-,-,-,-,5085,"passive (mentioned in relation to sb or sth else)","mār šarri","TypeLegal documentSubtypebond"
Amīl-Marduk,,,Male,,65151,Amīl-Marduk,-,-,Male,,16419,"highly probable","BM 30302","RSM 1909.405.20","Sack 1972, no. 9","Egibi Nūr-Sîn","Legal document","26.I.02 AM",560,Babylon,,https://cdli.ucla.edu/P405073,https://nabucco.arts.kuleuven.be/item/30109,-,-,https://www.britishmuseum.org/collection/object/W_1876-1117-22,7696,"king in date","šar Bābili","TypeLegal documentSubtypebond"
Amīl-Marduk,,,Male,,65164,Amīl-Marduk,-,-,Male,,16419,"highly probable","BM 30232",,"Sack 1972, no. 8","Egibi Nūr-Sîn","Legal document","14.IV.02 AM",560,Babylon,,https://cdli.ucla.edu/P405076,https://nabucco.arts.kuleuven.be/item/30388,-,-,https://www.britishmuseum.org/collection/object/W_1876-0110-1,7697,"king in date","šar Bābili","TypeLegal documentSubtypebond"
Amtia,,,Female,,58513,Amtia,-,-,Female,,21920,"highly probable","BM 31253",,"Nbn 679","Egibi Nūr-Sîn","Legal document","20.XII.12 Nbn",543,Babylon,,-,-,-,,https://www.britishmuseum.org/collection/object/W_1876-1117-980,6912,"object of transaction",qallatu,"TypeLegal documentSubtypebond"
Amtia,,,Female,,58547,Amtia,-,-,Female,,21920,"highly probable","BM 30868",,"Nbn 682","Egibi Nūr-Sîn","Legal document","25.XII.12 Nbn",543,Babylon,,-,https://nabucco.arts.kuleuven.be/item/29935,-,-,https://www.britishmuseum.org/collection/object/W_1876-1117-595,6917,"object of transaction",qallatu,"TypeLegal documentSubtypebond"
Amtia,Ibnāya,Dābibī,Female,,59345,Amtia,Ibnāya,Dābibī,Female,,20965,"highly probable","BM 30437",,"Camb 165","Egibi Nūr-Sîn","Legal document","28.III.03 Cam",527,Babylon,,-,https://nabucco.arts.kuleuven.be/item/28474,http://www.achemenet.com/fr/item/?/sources-textuelles/textes-par-langues-et-ecritures/babylonien/archives-egibi/1677542,,https://www.britishmuseum.org/collection/object/W_1876-1117-164,7013,guarantor,-,"TypeLegal documentSubtypebond"
Ana-Bēl-atkal,Kīnāya,,Male,,527,Ana-Bēl-atkal,Kīnāya,-,Male,,9040,"highly probable","BM 30965",,"Abraham 2004, no. 30","Egibi Nūr-Sîn","Legal document","21.V.26 Dar I",496,Babylon,,-,http://nabucco.arts.kuleuven.be/item/32641,-,-,https://www.britishmuseum.org/collection/object/W_1876-1117-692,64,"witness, regular (mukinnu)",-,"TypeLegal documentSubtypebond"
Anonymous,,,Female,,52822,Nūptāya,Iddin-Marduk,Nūr-Sîn,Female,,9076,"highly probable","BM 30733",,"Wunsch 1993b, no. 352","Egibi Nūr-Sîn","Legal document","14.X.05 Dar I",516,Babylon,,-,https://nabucco.arts.kuleuven.be/item/30466,-,-,https://www.britishmuseum.org/collection/object/W_1876-1117-460,6207,unclear,-,"TypeLegal documentSubtypebond"
Anonymous,,,Male,,33451,Anonymous,-,-,Male,,18252,"highly probable","BM 26552",,"Waerzeggers 2010, no. 188","Rē’i-alpi (Borsippa)","Legal document","[-].III.12 Dar I",510,Borsippa,,https://cdli.ucla.edu/P521640,-,-,-,https://www.britishmuseum.org/collection/object/W_1898-0514-370,3850,recipient,mubannû,"TypeLegal documentSubtypebond"
