Name,Patronym,"Family name",Gender,Owns,"Attestation ID",ind.Name,ind.Patronym,"ind.Family name",ind.Gender,Biography,PID,Probability,"Museum no.",Duplicate,Publication,Archive,Type,Date,"Julian date","Place of writing",Has,"Cdli URL","Nabucco URL","Achemenet URL","Oracc URL","British Museum URL","Tablet ID",Role,Title,"Type and objects"
,,Ilia,Male,,49736,-,-,-,-,-,-,"less probable","BM 94734",,unpublished,"Ilia A+B","Legal document","27.[-].18 Dar I",504/503,Borsippa,,-,-,-,-,https://www.britishmuseum.org/collection/object/W_1901-1012-387,5790,"witness, regular (mukinnu)",-,"TypeLegal documentSubtypebroken/uncertain"
,[...]-ahhē-iddin,Mušēzib-[...],Male,,49737,-,[...]-ahhē-iddin,Mušēzib-[...],Male,,28706,"highly probable","BM 94734",,unpublished,"Ilia A+B","Legal document","27.[-].18 Dar I",504/503,Borsippa,,-,-,-,-,https://www.britishmuseum.org/collection/object/W_1901-1012-387,5790,"witness, regular (mukinnu)",-,"TypeLegal documentSubtypebroken/uncertain"
Abī-ilahī,[...],,Male,Land,21307,-,-,-,-,-,-,"less probable","CBS 13020",,"Stolper 1985, no. 118",Murašû,"Legal document","16.[-].41 Art I",424,Broken/Unclear,,https://cdli.ucla.edu/P268105,,http://www.achemenet.com/fr/item/?/sources-textuelles/textes-par-langues-et-ecritures/babylonien/archives-murasu/3491033,,,2605,"land owner",-,"TypeLegal documentSubtypebroken/uncertain"
Adad-šumu-uṣur,Tabnēa,Šangû-Adad,Male,,1494,Adad-šumu-uṣur,Tabnēa,Šangû-Adad,Male,,6079,"highly probable","BM 61736",,"Waerzeggers 2014, no. 14","Ṣāhit-ginê A","Legal document","01+[x]?.VIII.00+[x]? Nbk III",522,Sippar,,-,http://nabucco.arts.kuleuven.be/item/27967,-,-,https://www.britishmuseum.org/collection/object/W_1882-0918-1706,193,"scribe (ṭupšarru)",-,"TypeLegal documentSubtypebroken/uncertain"
Ahhē-iddin-Marduk,Itti-Marduk-balāṭu,Šigûa,Male,,60282,Ahhē-iddin-Marduk,Itti-Marduk-balāṭu,Šigûa,Male,,2962,"highly probable","BM 35539",,"Nbn 323","Egibi Nūr-Sîn","Legal document","22.I.09 Nbn",547,Babylon,,-,-,-,,https://www.britishmuseum.org/collection/object/W_Sp-III-45_1,7131,"witness, regular (mukinnu)",-,"TypeLegal documentSubtypebroken/uncertain"
Ahhēšāya,Nādinu,Eppēš-ilī,Male,,2047,Ahhēšāya,Nādinu,Eppēš-ilī,Male,,1960,"highly probable","BM 31976",,"Abraham 2004, no. 64","Egibi Nūr-Sîn","Legal document","24.III.27 Dar I",495,Šahrīn,,-,http://nabucco.arts.kuleuven.be/item/30715,-,-,https://www.britishmuseum.org/collection/object/W_1876-1117-1703,266,witness,-,"TypeLegal documentSubtypebroken/uncertain"
Ahhū,[...],,Male,,50143,Ahhū,[...],-,Male,,17861,"highly probable",unknown,,"Le Gac 1910, no. L. 13",Šumu-iddin/Aplāya,"Legal document",-,-,Broken/Unclear,,-,-,-,-,-,5851,"witness, regular (mukinnu)",-,"TypeLegal documentSubtypebroken/uncertain"
Ahh[ēa],[...],[...],Male,,55870,Ahhēa,[...],[...],Male,,23739,"highly probable","BM 41533",,"Wunsch 2000b, no. 124","Egibi Nūr-Sîn","Legal document","[-].[-].[-] [Cyr]",-,Broken/Unclear,Seals,-,https://nabucco.arts.kuleuven.be/item/29320,http://www.achemenet.com/en/item/?/textual-sources/texts-by-publication/Wunsch_CM_20/1328569,-,https://www.britishmuseum.org/collection/object/W_1881-0625-147,6590,broken/unclear,-,"TypeLegal documentSubtypebroken/uncertain"
Ahu-iddin,[Iddin]-Enlil,,Male,,2891,-,-,-,-,-,-,"less probable","CBS 5248",,"Stolper 1985, no. 61",Murašû,"Legal document",-,-,Broken/Unclear,Fingernails,https://cdli.ucla.edu/P261441,,http://www.achemenet.com/fr/item/?/sources-textuelles/textes-par-langues-et-ecritures/babylonien/archives-murasu/3490742,,,378,"witness, regular (mukinnu)",-,"TypeLegal documentSubtypebroken/uncertain"
Ahu-iddin-[...],Itti-Nabû-balāṭu,,Male,,5065,Ahu-iddin-[...],Itti-Nabû-balāṭu,-,Male,,13155,"highly probable","BM 64274",,"Waerzeggers 2014, no. 117","Ṣāhit-ginê A","Legal document","26.V.24 Dar I",498,Babylon,,-,https://nabucco.arts.kuleuven.be/item/27952,-,-,https://www.britishmuseum.org/collection/object/W_1882-0918-4250,658,"witness, regular (mukinnu)",-,"TypeLegal documentSubtypebroken/uncertain"
Ahu-ušebši,Nidinti-Šamaš,Dābibī,Male,,34558,Ahu-ušebši,Nidinti-Šamaš,Dābibī,Male,,15187,"highly probable","Unknown (IM)",,"UET 4, 3","Gallābu (Ur)","Legal document","[-].[-].45 Art II",360,Ur,,https://cdli.ucla.edu/P414699,-,,,,3883,"scribe (ṭupšarru)",-,"TypeLegal documentSubtypebroken/uncertain"
Ahūšunu,,,Male,,67103,Ahūšunu,-,-,Male,,20143,"highly probable","DT 233",1982.A.1761,"Wunsch 1995-1996, p. 59, no. 9","Egibi Nūr-Sîn","Legal document",-,-,Broken/Unclear,,-,-,-,-,-,7917,"object of transaction",amīlūtu,"TypeLegal documentSubtypebroken/uncertain"
Amadāta,,,Male,,9213,Amadāta,-,-,Male,,16364,"highly probable","BM 31975",,"Abraham 2004, no. 121","Egibi Nūr-Sîn","Legal document","10.XIIb.16 Dar I",505,Susa,,-,https://nabucco.arts.kuleuven.be/item/30727,http://www.achemenet.com/fr/item/?/3349245==Strassmaier%20--Inschriften%20von%20Darius&l=a&c=1&t=1.4/5/96/1/1661831,-,https://www.britishmuseum.org/collection/object/W_1876-1117-1702,1183,"sealer of the tablet",dayyānu,"TypeLegal documentSubtypebroken/uncertain"
Amat-Bābu,Itti-Marduk-balāṭu,Egibi,Female,,64256,Amat-Bābu,Itti-Marduk-balāṭu,Egibi,Female,,21347,"highly probable","BM 31364",,"Dar 242","Egibi Nūr-Sîn","Legal document","11.XII.08 Dar I",513,Babylon,,-,-,http://www.achemenet.com/en/item/?/textual-sources/texts-by-publication/Strassmaier_Darius/1657425,-,https://www.britishmuseum.org/collection/object/W_1876-1117-1091,7609,broken/unclear,-,"TypeLegal documentSubtypebroken/uncertain"
Amat-Nanāya,,,Female,,17656,-,-,-,-,-,-,"less probable","CBS 13027",,"Stolper 1985, no. 101",Murašû,"Legal document",-,-,Broken/Unclear,,https://cdli.ucla.edu/P268112,,http://www.achemenet.com/fr/item/?/sources-textuelles/textes-par-langues-et-ecritures/babylonien/archives-murasu/3490942,,,2266,broken/unclear,-,"TypeLegal documentSubtypebroken/uncertain"
Amat-Ninlil,Marduk-šumu-ibni,Ilia,Female,,50170,Amat-Ninlil,Marduk-šumu-ibni,Ilia,Female,,22195,"highly probable","BM 87265",,unpublished,"Ilia A+B","Legal document","23.VI?.[-] Dar I",-,Broken/Unclear,,-,-,-,-,https://www.britishmuseum.org/collection/object/W_1900-1013-45,5856,"dowry owner",-,"TypeLegal documentSubtypebroken/uncertain"
Amat-Sutīti,Iddin-Bēl,Sippê,Female,Land,28282,Amat-Sutīti,Iddin-Bēl,Sippê,Female,,13507,"highly probable","BM 94506",,unpublished,"Ea-ilūtu-bāni, Ilī-bāni, Nanāhu","Legal document","05.VI.01 Nbk IV",521,Bāb-surri,,,https://nabucco.arts.kuleuven.be/item/25621,-,-,https://www.britishmuseum.org/collection/object/W_1901-1012-159,3343,creditor,-,"TypeLegal documentSubtypebroken/uncertain"
