Name,Patronym,"Family name",Gender,Owns,"Attestation ID",ind.Name,ind.Patronym,"ind.Family name",ind.Gender,Biography,PID,Probability,"Museum no.",Duplicate,Publication,Archive,Type,Date,"Julian date","Place of writing",Has,"Cdli URL","Nabucco URL","Achemenet URL","Oracc URL","British Museum URL","Tablet ID",Role,Title,"Type and objects"
Aplāya,,Ilī-bāni,Male,,15844,Aplāya,-,Ilī-bāni,Male,,11507,"highly probable","AO 10254",,"Joannès 1989, pp. 300-301","Ea-ilūtu-bāni, Ilī-bāni, Nanāhu","Legal document","21.XIIb.20 Npl",605,Borsippa,,https://cdli.ucla.edu/P387086,https://digitalpasts.github.io/nabucco/items/25342,,,,1978,"witness, regular (mukinnu)",-,"TypeLegal documentSubtypecontract of pledge"
Aplāya,Nabû-ahhē-bulliṭ,,Male,,43226,Aplāya,Nabû-ahhē-bulliṭ,-,Male,,16240,probable,"BM 131214",,"UET 4, 197",Sîn-uballiṭ,"Legal document","10.VI.06 Npl",520,Babylon,,https://cdli.ucla.edu/P414893,-,-,-,https://www.britishmuseum.org/collection/object/W_1953-0411-49,4834,creditor,-,"TypeLegal documentSubtypecontract of pledge"
Arad-Gula,Tabnēa,Ilšu-abūšu,Male,,5234,Arad-Gula,Tabnēa,Ilšu-abūšu,Male,,25534,"highly probable","BM 22081",,"Waerzeggers 2010, no. 57","Kudurrānu A","Legal document","27.VI.23 Nbk II",582,Borsippa,,https://cdli.ucla.edu/P521546,-,-,-,https://www.britishmuseum.org/collection/object/W_1896-0409-186,689,"witness, regular (mukinnu)",-,"TypeLegal documentSubtypecontract of pledge"
Arad-Marduk,Nabû-aplu-iddin,Sîn-ilī,Male,,42301,Arad-Marduk,Nabû-aplu-iddin,Sîn-ilī,Male,,16620,"highly probable","VAT 2981",,"San Nicolò and Ungnad 1929-1935, no. 296","Sîn-ilī (Babylon)","Legal document","[-].IX.30 Nbk II",575,Babylon,,-,-,-,-,-,4888,"witness, regular (mukinnu)",-,"TypeLegal documentSubtypecontract of pledge"
Arad-Nabû,Rēmūtu,Kudurrānu,Male,,5131,Arad-Nabû,Rēmūtu,Kudurrānu,Male,,25690,"highly probable","BM 96214",,"Waerzeggers 2010, no. 53","Ilšu-abūšu B","Legal document","22.[-].04 Cam",526/525,Borsippa,,https://cdli.ucla.edu/P521542,-,-,-,https://www.britishmuseum.org/collection/object/W_1902-0412-326,671,"witness, regular (mukinnu)",-,"TypeLegal documentSubtypecontract of pledge"
Arrabu,,,Male,,42286,Arrabu,-,-,Male,,17455,"less probable","VAT 2981",,"San Nicolò and Ungnad 1929-1935, no. 296","Sîn-ilī (Babylon)","Legal document","[-].IX.30 Nbk II",575,Babylon,,-,-,-,-,-,4888,"object of transaction
pledge","broken/unclear
qallu","TypeLegal documentSubtypecontract of pledge"
Aška’ītu-ēreš,,,Female,,49095,Aška’ītu-ēreš,-,-,Female,,16367,"highly probable","BM 30269",,"Wunsch 1993b, no. 212","Egibi Nūr-Sîn","Legal document","21.II.13 Nbn",543,Šahrīn,,-,https://nabucco.arts.kuleuven.be/item/29323,-,-,https://www.britishmuseum.org/collection/object/W_1876-1016-19,5719,pledge,qallatu,"TypeLegal documentSubtypecontract of pledge"
Bakûa,,,Male,,42295,Bakûa,-,-,Male,,16925,"highly probable","VAT 2981",,"San Nicolò and Ungnad 1929-1935, no. 296","Sîn-ilī (Babylon)","Legal document","[-].IX.30 Nbk II",575,Babylon,,-,-,-,-,-,4888,pledge,-,"TypeLegal documentSubtypecontract of pledge"
Bazuzu,Ardia,Balāṭu,Male,,8884,Bazuzu,Ardia,Balāṭu,Male,,5944,"highly probable","BM 42508+",,"Jursa 1999, pp. 191f.","Šangû-Šamaš A","Legal document",-,-,Sippar,,-,https://nabucco.arts.kuleuven.be/item/33226,http://www.achemenet.com/fr/item/?/sources-textuelles/textes-par-langues-et-ecritures/babylonien/autres-archives-privees/1328170,-,https://www.britishmuseum.org/collection/object/W_1881-0701-268,1158,neighbour,-,"TypeLegal documentSubtypecontract of pledge"
Bēl-aplu-iddin,Nabû-ēṭir-napšāti,,Male,,49101,Bēl-aplu-iddin,Nabû-ēṭir-napšāti,-,Male,,19462,"highly probable","BM 30269",,"Wunsch 1993b, no. 212","Egibi Nūr-Sîn","Legal document","21.II.13 Nbn",543,Šahrīn,,-,https://nabucco.arts.kuleuven.be/item/29323,-,-,https://www.britishmuseum.org/collection/object/W_1876-1016-19,5719,"scribe (ṭupšarru)",-,"TypeLegal documentSubtypecontract of pledge"
