Name,Patronym,"Family name",Gender,Owns,"Attestation ID",ind.Name,ind.Patronym,"ind.Family name",ind.Gender,Biography,PID,Probability,"Museum no.",Duplicate,Publication,Archive,Type,Date,"Julian date","Place of writing",Has,"Cdli URL","Nabucco URL","Achemenet URL","Oracc URL","British Museum URL","Tablet ID",Role,Title,"Type and objects"
Amīl-Marduk,,,Male,,65139,Amīl-Marduk,-,-,Male,,16419,"highly probable","BM 31246",,"Sack 1972, no. 4","Egibi Nūr-Sîn","Legal document","15.XII.01 AM",561,Babylon,,https://cdli.ucla.edu/P405072,https://nabucco.arts.kuleuven.be/item/30334,-,-,https://www.britishmuseum.org/collection/object/W_1876-1117-973,7695,"king in date","šar Bābili","TypeLegal documentSubtypecontract renewal"
"Anonymous group",,,Male,,65134,-,-,-,-,-,-,"less probable","BM 31246",,"Sack 1972, no. 4","Egibi Nūr-Sîn","Legal document","15.XII.01 AM",561,Babylon,,https://cdli.ucla.edu/P405072,https://nabucco.arts.kuleuven.be/item/30334,-,-,https://www.britishmuseum.org/collection/object/W_1876-1117-973,7695,"person to whom sth is said","ṭupšarru ša šarri","TypeLegal documentSubtypecontract renewal"
"Anonymous group",Nabû-aplu-iddin,Sîn-ilī,Male,"Land, Other",45484,"Anonymous Group",Nabû-aplu-iddin,Sîn-ilī,Male,,27912,"highly probable","VAT 3107",,"San Nicolò and Ungnad 1929-1935, no. 663","Sîn-ilī (Babylon)","Legal document","09.XII.02 Nbn",553,Babylon,,-,-,-,-,-,5228,"canal owner
land owner",-,"TypeLegal documentSubtypecontract renewal"
Arad-Marduk,Nabû-šumu-līšir,,Male,,65129,Arad-Marduk,Nabû-šumu-līšir,-,Male,,22471,"highly probable","BM 31246",,"Sack 1972, no. 4","Egibi Nūr-Sîn","Legal document","15.XII.01 AM",561,Babylon,,https://cdli.ucla.edu/P405072,https://nabucco.arts.kuleuven.be/item/30334,-,-,https://www.britishmuseum.org/collection/object/W_1876-1117-973,7695,creditor,-,"TypeLegal documentSubtypecontract renewal"
Balāssu,Bēlšunu,Eppēš-ilī,Male,,45487,Balāssu,Bēlšunu,Eppēš-ilī,Male,,16919,"highly probable","VAT 3107",,"San Nicolò and Ungnad 1929-1935, no. 663","Sîn-ilī (Babylon)","Legal document","09.XII.02 Nbn",553,Babylon,,-,-,-,-,-,5228,"witness, regular (mukinnu)",-,"TypeLegal documentSubtypecontract renewal"
Bēl-lē’i,Šumu-iddin,Sîn-ilī,Male,Other,45479,Bēl-lē’i,Šumu-iddin,Sîn-ilī,Male,,16631,"highly probable","VAT 3107",,"San Nicolò and Ungnad 1929-1935, no. 663","Sîn-ilī (Babylon)","Legal document","09.XII.02 Nbn",553,Babylon,,-,-,-,-,-,5228,"buyer
canal owner",-,"TypeLegal documentSubtypecontract renewal"
Bēlšunu,Bēl-ahhē-iddin,Sîn-imittu,Male,,65136,Bēlšunu,Bēl-ahhē-iddin,Sîn-imittu,Male,,19244,"highly probable","BM 31246",,"Sack 1972, no. 4","Egibi Nūr-Sîn","Legal document","15.XII.01 AM",561,Babylon,,https://cdli.ucla.edu/P405072,https://nabucco.arts.kuleuven.be/item/30334,-,-,https://www.britishmuseum.org/collection/object/W_1876-1117-973,7695,"witness, regular (mukinnu)",-,"TypeLegal documentSubtypecontract renewal"
Bēlšunu,Kudurru,Ir’anni,Male,,45480,Bēlšunu,Kudurru,Ir’anni,Male,,16524,"highly probable","VAT 3107",,"San Nicolò and Ungnad 1929-1935, no. 663","Sîn-ilī (Babylon)","Legal document","09.XII.02 Nbn",553,Babylon,,-,-,-,-,-,5228,seller,-,"TypeLegal documentSubtypecontract renewal"
Ea-ušallim,Nabû-zēru-iqīša,Pahāru,Male,,45489,Ea-ušallim,Nabû-zēru-iqīša,Pahāru,Male,,16594,"highly probable","VAT 3107",,"San Nicolò and Ungnad 1929-1935, no. 663","Sîn-ilī (Babylon)","Legal document","09.XII.02 Nbn",553,Babylon,,-,-,-,-,-,5228,"scribe (ṭupšarru)",-,"TypeLegal documentSubtypecontract renewal"
Iddin-Marduk,Iqīšāya,Eppēš-ilī,Male,,45485,Iddin-Marduk,Iqīšāya,Eppēš-ilī,Male,,16998,"highly probable","VAT 3107",,"San Nicolò and Ungnad 1929-1935, no. 663","Sîn-ilī (Babylon)","Legal document","09.XII.02 Nbn",553,Babylon,,-,-,-,-,-,5228,"witness, regular (mukinnu)",-,"TypeLegal documentSubtypecontract renewal"
