Name,Patronym,"Family name",Gender,Owns,"Attestation ID",ind.Name,ind.Patronym,"ind.Family name",ind.Gender,Biography,PID,Probability,"Museum no.",Duplicate,Publication,Archive,Type,Date,"Julian date","Place of writing",Has,"Cdli URL","Nabucco URL","Achemenet URL","Oracc URL","British Museum URL","Tablet ID",Role,Title,"Type and objects"
Ahu-nūrī,Nabû-nādin-ahi,,Male,,57852,Ahu-nūrī,Nabû-nādin-ahi,-,Male,,22451,"highly probable","BM 33084",,"Nbn 1113","Egibi Nūr-Sîn","Legal document","17.VIII.[-] Nbn",-,Bīt-šar-Bābili,Seals,-,https://nabucco.arts.kuleuven.be/item/28597,-,,https://www.britishmuseum.org/collection/object/W_1879-0301-10,6825,creditor,-,"TypeLegal documentSubtypecourt protocol"
Ahūšunu,[Nabû]-mušētiq-uddi,Nanāhu,Male,,19507,Ahūšunu,Nabû-mušētiq-uddi,Nanāhu,Male,,10637,"highly probable","L 1663",,"Joannès 1989, pp. 251-252","Ea-ilūtu-bāni, Ilī-bāni, Nanāhu","Legal document","09.I.32 Dar I",490,Babylon,Seals,,https://nabucco.arts.kuleuven.be/item/25222,,,,2107,litigant,-,"TypeLegal documentSubtypecourt protocol"
Alibā,,,Female,,66894,Alibā,-,-,Female,,21975,"highly probable","BM 34392",,"Wunsch 1997-1998, no. 21","Egibi Nūr-Sîn","Legal document","21.II.03 Nbn",553,Babylon,,-,-,-,-,https://www.britishmuseum.org/collection/object/W_SP-511,7896,"object of transaction",amīlūtu,"TypeLegal documentSubtypecourt protocol"
Amat-Sutīti,,,Female,Land,19384,Amat-Sutīti,Nādinu,Ilī-bāni,Female,,11141,"highly probable","Bodleian A 112","L 1648","Joannès 1989, p. 276","Ea-ilūtu-bāni, Ilī-bāni, Nanāhu","Legal document","[29].VII.02 Cam",528,Borsippa,,https://cdli.ucla.edu/P385450,https://nabucco.arts.kuleuven.be/item/25501,,,,2068,"land owner",-,"TypeLegal documentSubtypecourt protocol"
Amat-Zarpanītu,Arad-Marduk,,Female,,66951,Amat-Zarpanītu,Arad-Marduk,-,Female,,21978,"highly probable","BM 32174",,"Wunsch 1997-1998, no. 20","Egibi Nūr-Sîn","Legal document","[-].[-].[-] Nbn",-,Babylon,Seals,-,-,-,-,https://www.britishmuseum.org/collection/object/W_1876-1117-1901,7901,witness,-,"TypeLegal documentSubtypecourt protocol"
Amīl-Nabû,Bēl-iddin,Arad-Nergal,Male,,6720,Amīl-Nabû,Bēl-iddin,Arad-[...],Male,,13166,"highly probable","BM 42299",,"Jursa 1999, pp. 129-131","Šangû-Šamaš A","Legal document","11.VII.[-] [Dar I]",-,Broken/Unclear,,-,https://nabucco.arts.kuleuven.be/item/33118,http://www.achemenet.com/fr/item/?/sources-textuelles/textes-par-langues-et-ecritures/babylonien/autres-archives-privees/1328197,-,https://www.britishmuseum.org/collection/object/W_1881-0701-59,886,"witness, regular (mukinnu)",-,"TypeLegal documentSubtypecourt protocol"
Amtia,,,Female,,66554,Amat-Ninlil,-,-,Female,,27040,"highly probable","MNB 1809",,"TCL 12, 122","Egibi Nūr-Sîn","Legal document","21.X.10+[x] Nbn","after 545",Babylon,Seals,https://cdli.ucla.edu/P387187,https://nabucco.arts.kuleuven.be/item/29227,-,-,-,7867,"object of transaction
pledge",-,"TypeLegal documentSubtypecourt protocol"
Amurru-qātē-ṣabat,,,Male,,66893,Amurru-qātē-ṣabat,-,-,Male,,22020,"highly probable","BM 34392",,"Wunsch 1997-1998, no. 21","Egibi Nūr-Sîn","Legal document","21.II.03 Nbn",553,Babylon,,-,-,-,-,https://www.britishmuseum.org/collection/object/W_SP-511,7896,"object of transaction",amīlūtu,"TypeLegal documentSubtypecourt protocol"
Amurru-šēzib,,,Male,,57864,Amurru-šēzib,-,-,Male,,19333,"highly probable","BM 33084",,"Nbn 1113","Egibi Nūr-Sîn","Legal document","17.VIII.[-] Nbn",-,Bīt-šar-Bābili,Seals,-,https://nabucco.arts.kuleuven.be/item/28597,-,,https://www.britishmuseum.org/collection/object/W_1879-0301-10,6825,"witness, official (ina ušuzzi)",ṭupšarru,"TypeLegal documentSubtypecourt protocol"
Ana-Tašmētu-atkal,,,Female,,66553,Ana-Tašmētu-atkal,-,-,Female,,21097,"highly probable","MNB 1809",,"TCL 12, 122","Egibi Nūr-Sîn","Legal document","21.X.10+[x] Nbn","after 545",Babylon,Seals,https://cdli.ucla.edu/P387187,https://nabucco.arts.kuleuven.be/item/29227,-,-,-,7867,"object of transaction
pledge",-,"TypeLegal documentSubtypecourt protocol"
