Name,Patronym,"Family name",Gender,Owns,"Attestation ID",ind.Name,ind.Patronym,"ind.Family name",ind.Gender,Biography,PID,Probability,"Museum no.",Duplicate,Publication,Archive,Type,Date,"Julian date","Place of writing",Has,"Cdli URL","Nabucco URL","Achemenet URL","Oracc URL","British Museum URL","Tablet ID",Role,Title,"Type and objects"
Ahhē-iddin,Anu-ibni,,Male,,17680,-,-,-,-,-,-,"less probable","CBS 5151",,"Stolper 1985, no. 102",Murašû,"Legal document","10.V.30+[x] Art I","after 435",Nippur,,https://cdli.ucla.edu/P261343,,http://www.achemenet.com/fr/item/?/sources-textuelles/textes-par-langues-et-ecritures/babylonien/archives-murasu/3490945,,,2269,"object of transaction",-,"TypeLegal documentSubtypedelivery/payment agreement"
Ahhēmāya,Mušēzib-Marduk,Ilia,Male,,52372,Ahhēmāya,Mušēzib-Marduk,Ilia,Male,,24264,"highly probable","BM 82760",,"Jursa 2003, p. 232","Ilia D","Legal document","14.I.16 Dar I",506,Borsippa,,,-,-,-,https://www.britishmuseum.org/collection/object/W_1894-0717-77,6019,deliverer,-,"TypeLegal documentSubtypedelivery/payment agreement"
Ahhēšu,[...],Rīšû’a,Male,,67724,Ahhēšu,[...],Rīšû’a,Male,,23926,"highly probable","BM 27879",,Unpublished,"Ilia A+B","Legal document","28.XII.05 Nbn",546,Borsippa,,-,-,-,-,https://www.britishmuseum.org/collection/object/W_1898-0711-144,7951,"debtor
deliverer",-,"TypeLegal documentSubtypedelivery/payment agreement"
Ahi-yalid,Ahūšunu,,Male,,17674,-,-,-,-,-,-,"less probable","CBS 5151",,"Stolper 1985, no. 102",Murašû,"Legal document","10.V.30+[x] Art I","after 435",Nippur,,https://cdli.ucla.edu/P261343,,http://www.achemenet.com/fr/item/?/sources-textuelles/textes-par-langues-et-ecritures/babylonien/archives-murasu/3490945,,,2269,"object of transaction",-,"TypeLegal documentSubtypedelivery/payment agreement"
Ahu-iddin,[Iddin]-Enlil,,Male,,17971,-,-,-,-,-,-,"less probable","CBS 12980",,"Stolper 1985, no. 104",Murašû,"Legal document","04.XI.37 Art I",427,Nippur,,https://cdli.ucla.edu/P267584,,http://www.achemenet.com/fr/item/?/sources-textuelles/textes-par-langues-et-ecritures/babylonien/archives-murasu/3490951,,,2290,"witness, regular (mukinnu)",-,"TypeLegal documentSubtypedelivery/payment agreement"
Ahulapû,[...],,Male,,17983,-,-,-,-,-,-,"less probable","CBS 13008",,"Stolper 1985, no. 105",Murašû,"Legal document",-,-,Broken/Unclear,"Seals, Fingernails",https://cdli.ucla.edu/P268093,,http://www.achemenet.com/fr/item/?/sources-textuelles/textes-par-langues-et-ecritures/babylonien/archives-murasu/3490954,,,2293,"leaves fingernail marking(s)
obligor",-,"TypeLegal documentSubtypedelivery/payment agreement"
Ahūšunu,Nabû-mušētiq-uddi,Nanāhu,Male,Slave,3026,Ahūšunu,Nabû-mušētiq-uddi,Nanāhu,Male,,10637,"highly probable","HS 565",,"Joannès 1989, pp. 199-200","Ea-ilūtu-bāni, Ilī-bāni, Nanāhu","Legal document","[-].[-].[16] [Dar I]",[506/505],Broken/Unclear,,,http://nabucco.arts.kuleuven.be/item/24862,,,,358,"debtor
master (of a slave)",-,"TypeLegal documentSubtypedelivery/payment agreement"
Ahūšunu,Šumu-līšir,Sîn-karābī-išme,Male,,52375,Ahūšunu,Šumu-līšir,Sîn-karābī-išme,Male,,24212,"highly probable","BM 82760",,"Jursa 2003, p. 232","Ilia D","Legal document","14.I.16 Dar I",506,Borsippa,,,-,-,-,https://www.britishmuseum.org/collection/object/W_1894-0717-77,6019,recipient,-,"TypeLegal documentSubtypedelivery/payment agreement"
Akkāya,Bēl-ittannu,,Male,,17647,-,-,-,-,-,-,"less probable","CBS 5121",,"Stolper 1985, no. 100",Murašû,"Legal document",-,-,Broken/Unclear,,https://cdli.ucla.edu/P261405,,http://www.achemenet.com/fr/item/?/sources-textuelles/textes-par-langues-et-ecritures/babylonien/archives-murasu/3490939,,,2263,"husband (of woman acting)",-,"TypeLegal documentSubtypedelivery/payment agreement"
Amat-Nanāya,Dādia,Ilī-bāni,Female,,19003,Amat-Nanāya,Nādinu,Ilī-bāni,Female,,11396,"highly probable","NBC 8404",,"Joannès 1989, pp. 352-353","Ea-ilūtu-bāni, Ilī-bāni, Nanāhu","Legal document","21.XI.04 Dar I",517,Borsippa,,https://cdli.ucla.edu/P299765,https://nabucco.arts.kuleuven.be/item/25027,,,,1936,creditor,-,"TypeLegal documentSubtypedelivery/payment agreement"
