Name,Patronym,"Family name",Gender,Owns,"Attestation ID",ind.Name,ind.Patronym,"ind.Family name",ind.Gender,Biography,PID,Probability,"Museum no.",Duplicate,Publication,Archive,Type,Date,"Julian date","Place of writing",Has,"Cdli URL","Nabucco URL","Achemenet URL","Oracc URL","British Museum URL","Tablet ID",Role,Title,"Type and objects"
Anonymous,,,Male,,46083,Anonymous,-,-,Male,,17446,"highly probable","VAT 3071",,"San Nicolò and Ungnad 1929-1935, no. 641","Sîn-ilī (Babylon)","Legal document","29.I.11 Nbn",545,"Not mentioned",,-,-,-,-,-,5323,"passive (mentioned in relation to sb or sth else)","bēl pīhati ša Tilmun","TypeLegal documentSubtypedeposit"
Arad-Tašmētu,Nabû-šumu-ukīn,Naggāru,Male,,57186,Arad-Tašmētu,Nabû-šumu-ukīn,Naggāru,Male,,22880,"highly probable","BM 23898",,unpublished,"Rē’i-alpi (Borsippa)","Legal document","07.IX.20 Dar I",502,Borsippa,,,-,-,-,https://www.britishmuseum.org/collection/object/W_1898-0215-280,6746,"person to whom object is deposited",-,"TypeLegal documentSubtypedeposit"
Balāṭu,,,Male,,65524,Balāṭu,-,-,Male,,26189,"highly probable","BM 103571",,"No publication","Balāṭu, slave of Rēmūt-Bēl","Legal document","28.XII.22 Dar I",499,"Not mentioned",,https://cdli.ucla.edu/P413420,-,-,-,https://www.britishmuseum.org/collection/object/W_1911-0408-261,7740,"person who deposits object",qallu,"TypeLegal documentSubtypedeposit"
Bardia,,,Male,,45446,Bardia,-,-,Male,,16426,"highly probable","BM 82711",,unpublished,"Rē’i-alpi (Borsippa)","Legal document","03.III.00 Bar",522,Borsippa,,-,-,-,-,https://www.britishmuseum.org/collection/object/W_1894-0717-29,5236,"king in date","šar Bābili","TypeLegal documentSubtypedeposit"
Bulluṭu,,,Male,,65527,Bulluṭu,-,-,Male,,26282,"highly probable","BM 103571",,"No publication","Balāṭu, slave of Rēmūt-Bēl","Legal document","28.XII.22 Dar I",499,"Not mentioned",,https://cdli.ucla.edu/P413420,-,-,-,https://www.britishmuseum.org/collection/object/W_1911-0408-261,7740,"witness, official (ina ušuzzi)",-,"TypeLegal documentSubtypedeposit"
Cambyses,,,Male,,45425,Cambyses,-,-,Male,,16420,"highly probable","KVM 32.1145",,"Seri 2007, no. 57","Rē’i-alpi (Borsippa)","Legal document","22.VII.07 Cam",522,Borsippa,,,,,,,5233,"king in date","šar Bābili šar mātāti","TypeLegal documentSubtypedeposit"
Cyrus,,,Male,,19936,Cyrus,-,-,Male,,16416,"highly probable","L 4743",,"Joannès 1989, p. 262","Ea-ilūtu-bāni, Ilī-bāni, Nanāhu","Legal document","13.II.02 Cyr",537,"Not mentioned",,,https://nabucco.arts.kuleuven.be/item/25225,,,,2131,"king in date","šar mātāti","TypeLegal documentSubtypedeposit"
Darius,,,Male,,57190,Darius,-,-,Male,,16371,"highly probable","BM 23898",,unpublished,"Rē’i-alpi (Borsippa)","Legal document","07.IX.20 Dar I",502,Borsippa,,,-,-,-,https://www.britishmuseum.org/collection/object/W_1898-0215-280,6746,"king in date","šar Bābili šar mātāti","TypeLegal documentSubtypedeposit"
Darius,,,Male,,65375,Darius,-,-,Male,,16371,"highly probable","BM 103571",,"No publication","Balāṭu, slave of Rēmūt-Bēl","Legal document","28.XII.22 Dar I",499,"Not mentioned",,https://cdli.ucla.edu/P413420,-,-,-,https://www.britishmuseum.org/collection/object/W_1911-0408-261,7740,"king in date","šar Bābili u mātāti","TypeLegal documentSubtypedeposit"
Iddin-Nabû,[...],Šangû-Ištar-Bābili,Male,,45421,Iddin-Nabû,[...],Šangû-Ištar-Bābili,Male,,24794,"highly probable","KVM 32.1145",,"Seri 2007, no. 57","Rē’i-alpi (Borsippa)","Legal document","22.VII.07 Cam",522,Borsippa,,,,,,,5233,"witness, regular (mukinnu)",-,"TypeLegal documentSubtypedeposit"
