Name,Patronym,"Family name",Gender,Owns,"Attestation ID",ind.Name,ind.Patronym,"ind.Family name",ind.Gender,Biography,PID,Probability,"Museum no.",Duplicate,Publication,Archive,Type,Date,"Julian date","Place of writing",Has,"Cdli URL","Nabucco URL","Achemenet URL","Oracc URL","British Museum URL","Tablet ID",Role,Title,"Type and objects"
Adad-zēru-iddin,,,Male,House,45043,Adad-zēru-iddin,-,-,Male,,16892,"highly probable","VAT 3158",,"Sack 1972, no. 92","Sîn-ilī (Babylon)","Legal document",-,-,"Not mentioned",,-,-,-,-,-,5176,"house owner",-,"TypeLegal documentSubtypedeposition"
Ahūšunu,Bēl-ēṭir,,Male,,63145,Ahūšunu,Bēl-ēṭir,-,Male,,22461,"highly probable","BM 30974",,"Dar 502","Egibi Nūr-Sîn","Legal document","09.V.20 Dar I",502,Babylon,,-,https://nabucco.arts.kuleuven.be/item/29149,http://www.achemenet.com/fr/item/?/sources-textuelles/textes-par-langues-et-ecritures/babylonien/archives-egibi/1663341,,https://www.britishmuseum.org/collection/object/W_1876-1117-701,7467,"debtor
guarantor
representative/agent",-,"TypeLegal documentSubtypedeposition"
Ahūšunu,Kidin-Marduk,Šigûa,Male,,27220,Ahūšunu,Kidin-Marduk,Šigûa,Male,,10976,"highly probable","HS 643",,"TMH 2/3, 199","Ea-ilūtu-bāni, Ilī-bāni, Nanāhu","Legal document","14?.XII.26 Dar I",495,"Hallatu (2, Borsippa)",,,,,,,3136,deponent,-,"TypeLegal documentSubtypedeposition"
Amat-Nanāya-qerbet,,,Female,,43890,Amat-Nanāya-qerbet,-,-,Female,,22204,"highly probable","BM 17725",,unpublished,"Ilia A+B","Legal document","25.X.01 Cam",538,Borsippa,,,-,-,-,https://www.britishmuseum.org/collection/object/W_1894-1013-129,4192,"person about whom a deposition is made",qallatu,"TypeLegal documentSubtypedeposition"
Amat-Nanāya-qerbet,,,Female,,44804,Amat-Nanāya-qerbet,-,-,Female,,22204,"highly probable","BM 82775",,unpublished,"Ilia A+B","Legal document","25.X.01 Cam",528,Borsippa,,-,-,-,-,https://www.britishmuseum.org/collection/object/W_1894-0717-92,5139,"person about whom a deposition is made",qallatu,"TypeLegal documentSubtypedeposition"
Amīl-Marduk,,,Male,,45044,Amīl-Marduk,-,-,Male,,16419,"highly probable","VAT 3158",,"Sack 1972, no. 92","Sîn-ilī (Babylon)","Legal document",-,-,"Not mentioned",,-,-,-,-,-,5176,"king in date","šar Bābili","TypeLegal documentSubtypedeposition"
Ana-Bēl-upāqu,Šamaš-erība,,Male,,63151,Ana-Bēl-upāqu,Šamaš-erība,Munnabittu,Male,,3034,"highly probable","BM 30974",,"Dar 502","Egibi Nūr-Sîn","Legal document","09.V.20 Dar I",502,Babylon,,-,https://nabucco.arts.kuleuven.be/item/29149,http://www.achemenet.com/fr/item/?/sources-textuelles/textes-par-langues-et-ecritures/babylonien/archives-egibi/1663341,,https://www.britishmuseum.org/collection/object/W_1876-1117-701,7467,"witness, regular (mukinnu)","mār banê","TypeLegal documentSubtypedeposition"
"Anonymous group",,,Male,,42511,-,-,-,-,-,-,"less probable","HS 643",,"TMH 2/3, 199","Ea-ilūtu-bāni, Ilī-bāni, Nanāhu","Legal document","14?.XII.26 Dar I",495,"Hallatu (2, Borsippa)",,,,,,,3136,judge,"mār banê","TypeLegal documentSubtypedeposition"
Aplāya,Bēl-iddin,Egibi,Male,,59020,Bēl-aplu-iddin,Bēl-iddin,Egibi,Male,,21470,"highly probable","MMA 79.7.32",,"CTMMA 3, no. 83","Egibi Nūr-Sîn","Legal document",-,-,"Not mentioned",,https://cdli.ucla.edu/P412361,-,-,-,-,6976,"witness, regular (pāni)","mār banê","TypeLegal documentSubtypedeposition"
Aplāya,Gimillu,,Male,,59025,Nabû-aplu-iddin,Gimillu,Ir’anni,Male,,16521,"highly probable","MMA 79.7.32",,"CTMMA 3, no. 83","Egibi Nūr-Sîn","Legal document",-,-,"Not mentioned",,https://cdli.ucla.edu/P412361,-,-,-,-,6976,"witness, regular (pāni)","mār banê","TypeLegal documentSubtypedeposition"
