Name,Patronym,"Family name",Gender,Owns,"Attestation ID",ind.Name,ind.Patronym,"ind.Family name",ind.Gender,Biography,PID,Probability,"Museum no.",Duplicate,Publication,Archive,Type,Date,"Julian date","Place of writing",Has,"Cdli URL","Nabucco URL","Achemenet URL","Oracc URL","British Museum URL","Tablet ID",Role,Title,"Type and objects"
Abī-nadib,Il-yahata,,Male,,63735,Abī-nadib,Il-yahata,-,Male,,22187,"highly probable","BM 30343",,"Nbk 266","Egibi Nūr-Sîn","Legal document","02.VI.34 Nbk II",571,Tagritayn,,-,https://nabucco.arts.kuleuven.be/item/30238,-,-,https://www.britishmuseum.org/collection/object/W_1876-1117-63,7546,"person who says sth",-,"TypeLegal documentSubtypedispute-related"
Adad-ibni,Marduka,,Male,,20494,-,-,-,-,-,-,"less probable","CBS 12829",,"Stolper 1985, no. 107",Murašû,"Legal document","26.III.[-] [-]",-,Nippur,Seals,https://cdli.ucla.edu/P267430,,http://www.achemenet.com/fr/item/?/sources-textuelles/textes-par-langues-et-ecritures/babylonien/archives-murasu/3490960,,,2488,"witness, regular (mukinnu)",-,"TypeLegal documentSubtypedispute-related"
Ahhēa,Erība,,Male,Prebend,7270,Ahhēa,Erība,-,Male,,12469,"highly probable","IM 65080",,"Hunger 1970, no. 14",Šamšēa,"Legal document","[-].IX.[-] Sši",-,Uruk,,-,https://nabucco.arts.kuleuven.be/item/26476,-,-,-,959,buyer,-,"TypeLegal documentSubtypedispute-related"
Ahhēa,[...],Eppēš-ilī,Male,,3379,Ahhēa,[...],Eppēš-ilī,Male,,371,"highly probable","BM 118983",,"Frame 2013, no. 20",Sîn-nāṣir,"Legal document","26.VIII.15 Ššu",653,Babylon,,https://cdli.ucla.edu/P521872,https://nabucco.arts.kuleuven.be/item/25849,-,-,https://www.britishmuseum.org/collection/object/W_1927-1112-20,433,"witness, regular (mukinnu)",-,"TypeLegal documentSubtypedispute-related"
Ahu-iddin,Iddin-Enlil,,Male,,44348,-,-,-,-,-,-,"less probable","CBS 5267",,"BE 10, 9",Murašû,"Legal document","16.I.01 Dar II",423,Nippur,"Seals, Fingernails",https://cdli.ucla.edu/P261461,,http://www.achemenet.com/fr/item/?/sources-textuelles/textes-par-langues-et-ecritures/babylonien/archives-murasu/2132290,,,5093,"witness, regular (mukinnu)",-,"TypeLegal documentSubtypedispute-related"
Ahu-lētī,[...],,Male,,20533,-,-,-,-,-,-,"less probable","CBS 12969",,"Stolper 1985, no. 108",Murašû,"Legal document",-,-,Enlil-ašābšu-iqbi,,https://cdli.ucla.edu/P267573,,http://www.achemenet.com/fr/item/?/sources-textuelles/textes-par-langues-et-ecritures/babylonien/archives-murasu/3490963,,,2494,defendant,-,"TypeLegal documentSubtypedispute-related"
Ahūnāya,Aplāya,,Male,,20776,-,-,-,-,-,-,"less probable","CBS 12996+",,"Stolper 1985, no. 110",Murašû,"Legal document","[-].[XI].[06] [Dar II]",[417],Nippur,Seals,https://cdli.ucla.edu/P267600,,http://www.achemenet.com/fr/item/?/sources-textuelles/textes-par-langues-et-ecritures/babylonien/archives-murasu/3490969,,,2545,litigant,"rab miksi","TypeLegal documentSubtypedispute-related"
Ahūnu,Adad-zēru-iddin,,Male,,64588,Ahūnu,Adad-zēru-iddin,-,Male,,22463,"highly probable","BM 30342",,"Wunsch 1997-1998, no. 2","Egibi Nūr-Sîn","Legal document","06.X.28 Nbk II",576,Babylon,,-,-,-,-,https://www.britishmuseum.org/collection/object/W_1876-1117-62,7646,"witness, regular (mukinnu)",-,"TypeLegal documentSubtypedispute-related"
Ahūšunu,Ṣilli-Ninurta,,Male,,35044,-,-,-,-,-,-,"less probable","CBS 5411",,"BE 9, 57",Murašû,"Legal document","17.XII.37 Art I",427,Nippur,Seals,https://cdli.ucla.edu/P261605,,http://www.achemenet.com/fr/item/?/sources-textuelles/textes-par-langues-et-ecritures/babylonien/archives-murasu/2043929,,,4012,"scribe (ṭupšarru)",-,"TypeLegal documentSubtypedispute-related"
Amat-N[inlil],,,Female,,66824,Amat-Ninlil,-,-,Female,,27040,"highly probable","BM 34196+",,"Wunsch 1997-1998, no. 13","Egibi Nūr-Sîn","Legal document","25.IX.12 [Nbn]",[544],Broken/Unclear,,-,-,-,-,https://www.britishmuseum.org/collection/object/W_SP-302,7891,pledge,"nišū bīti","TypeLegal documentSubtypedispute-related"
Amīl-Marduk,,,Male,,37837,Amīl-Marduk,-,-,Male,,16419,"highly probable","BM 77300",,"Sack 1972, no. 88","Ea-eppēš-ilī A (Babylon)","Legal document","05.X.00 AM",561,Babylon,,https://cdli.ucla.edu/P481227,-,-,,https://www.britishmuseum.org/collection/object/W_1884-0211-30,4399,"king in date","šar Bābili","TypeLegal documentSubtypedispute-related"
Amīl-Marduk,,,Male,,66738,Amīl-Marduk,-,-,Male,,16419,"highly probable","RSM 1909.405.20","BM 30302","Dalley 1979, no. 68","Egibi Nūr-Sîn","Legal document","26.I.02 AM",560,Babylon,,-,-,-,-,-,7883,"king in date","šar Bābili","TypeLegal documentSubtypedispute-related"
Amīl-[Marduk],,,Male,,57715,Amīl-Marduk,-,-,Male,,16419,"highly probable","BM 29136",,"No publication","Ibnāya A","Legal document","03.[X].00 [AM]",[561],Borsippa,,-,-,-,-,https://www.britishmuseum.org/collection/object/W_1898-1112-312,6808,"king in date",-,"TypeLegal documentSubtypedispute-related"
Ammēni-ilī,Nabû-šimânni,,Male,Prebend,7271,Ammēni-ilī,Nabû-šimânni,-,Male,,12691,"highly probable","IM 65080",,"Hunger 1970, no. 14",Šamšēa,"Legal document","[-].IX.[-] Sši",-,Uruk,,-,https://nabucco.arts.kuleuven.be/item/26476,-,-,-,959,seller,-,"TypeLegal documentSubtypedispute-related"
Amtia,,,Female,,62753,Amat-Ninlil,-,-,Female,,27040,"highly probable","BM 30645",,"Wunsch 1997-1998, no. 16","Egibi Nūr-Sîn","Legal document","26.XI.12 Nbn",543,Babylon,,-,https://nabucco.arts.kuleuven.be/item/29344,-,-,https://www.britishmuseum.org/collection/object/W_1876-1117-372,7422,"object of transaction","nišū bīti","TypeLegal documentSubtypedispute-related"
Amurru-šēzib,,,Male,,57435,Amurru-šēzib,-,-,Male,,19333,"highly probable","BM 30294",,"Nbn 738","Egibi Nūr-Sîn","Legal document","15.XI.13 Nbn",542,Bāb-Nār-Šamaš,Seals,-,-,-,-,https://www.britishmuseum.org/collection/object/W_1876-1117-14,6773,"scribe (ṭupšarru)
sealer of the tablet",ṭupšarru,"TypeLegal documentSubtypedispute-related"
