Name,Patronym,"Family name",Gender,Owns,"Attestation ID",ind.Name,ind.Patronym,"ind.Family name",ind.Gender,Biography,PID,Probability,"Museum no.",Duplicate,Publication,Archive,Type,Date,"Julian date","Place of writing",Has,"Cdli URL","Nabucco URL","Achemenet URL","Oracc URL","British Museum URL","Tablet ID",Role,Title,"Type and objects"
Ahāt-ummišu,,,Female,,64926,Ahāt-ummišu,-,-,Female,,21974,"highly probable","BM 30337",,"Dar 379","Egibi Nūr-Sîn","Legal document","24.V.14 Dar I",508,Babylon,Seals,https://cdli.ucla.edu/P507711,https://nabucco.arts.kuleuven.be/item/29872,http://www.achemenet.com/en/item/?/textual-sources/texts-by-publication/Strassmaier_Darius/1660549,-,https://www.britishmuseum.org/collection/object/W_1876-1117-57,7673,"object of transaction",-,"TypeLegal documentSubtypedivision of inheritance"
Ahu-ittabši,Nādin-Šamaš,Sîn-iqīša,Male,House,22240,Ahu-ittabši,Nādin-Šamaš,Sîn-iqīša,Male,,15186,"highly probable","Unknown (IM)",,"UET 4, 53","Gallābu (Ur)","Legal document","[-].[-].07 Dar II",417/416,Ur,,https://cdli.ucla.edu/P414749,-,,,,2656,neighbour,-,"TypeLegal documentSubtypedivision of inheritance"
Ahūšunu,[...]-ahhē-iddin,Imbia,Male,,22297,Ahūšunu,[...]-ahhē-iddin,Imbia,Male,,15192,"highly probable","Unknown (IM)",,"UET 4, 53","Gallābu (Ur)","Legal document","[-].[-].07 Dar II",417/416,Ur,,https://cdli.ucla.edu/P414749,-,,,,2656,"sealer of the tablet
witness, regular (pāni)",-,"TypeLegal documentSubtypedivision of inheritance"
Amat-Bābu,,,Female,,65734,Amat-Bābu,Kalbāya,Nabāya,Female,,18931,"highly probable","BM 30337",,"Dar 379","Egibi Nūr-Sîn","Legal document","24.V.14 Dar I",508,Babylon,Seals,https://cdli.ucla.edu/P507711,https://nabucco.arts.kuleuven.be/item/29872,http://www.achemenet.com/en/item/?/textual-sources/texts-by-publication/Strassmaier_Darius/1660549,-,https://www.britishmuseum.org/collection/object/W_1876-1117-57,7673,recipient,-,"TypeLegal documentSubtypedivision of inheritance"
Amat-ilia,,,Female,,67625,Amat-ilia,-,-,Female,,23150,"highly probable","BM 94566",,unpublished,"Ilia A+B","Legal document",-,-,Broken/Unclear,,-,-,-,-,https://www.britishmuseum.org/collection/object/W_1901-1012-219,5872,unclear,-,"TypeLegal documentSubtypedivision of inheritance"
Amtia,,,Female,,67639,Amtia,-,-,Female,,23165,"highly probable","BM 94566",,unpublished,"Ilia A+B","Legal document",-,-,Broken/Unclear,,-,-,-,-,https://www.britishmuseum.org/collection/object/W_1901-1012-219,5872,unclear,-,"TypeLegal documentSubtypedivision of inheritance"
Ana-bītišu,,,Female,,64927,Ana-bītišu,-,-,Female,,27098,"highly probable","BM 30337",,"Dar 379","Egibi Nūr-Sîn","Legal document","24.V.14 Dar I",508,Babylon,Seals,https://cdli.ucla.edu/P507711,https://nabucco.arts.kuleuven.be/item/29872,http://www.achemenet.com/en/item/?/textual-sources/texts-by-publication/Strassmaier_Darius/1660549,-,https://www.britishmuseum.org/collection/object/W_1876-1117-57,7673,"object of transaction",-,"TypeLegal documentSubtypedivision of inheritance"
Ana-bītiš[u],,,Female,,495,Ana-bītišu,-,-,Female,,19259,"highly probable","BM 31959+","BM 41551","Wunsch 2000b, no. 10A","Egibi Nūr-Sîn","Legal document","[-].[-].[-] Dar I",-,Babylon,,https://cdli.ucla.edu/P405110,http://nabucco.arts.kuleuven.be/item/29332,http://www.achemenet.com/en/item/?/textual-sources/texts-by-publication/Wunsch_CM_20/1328227,-,https://www.britishmuseum.org/collection/object/W_1876-1117-1686,59,"object of transaction",amīlūtu,"TypeLegal documentSubtypedivision of inheritance"
Ana-muhhi-Lāṣ-taklāku,,,Female,,64903,Ana-muhhi-Lāṣ-taklāku,-,-,Female,,21926,"highly probable","BM 30337",,"Dar 379","Egibi Nūr-Sîn","Legal document","24.V.14 Dar I",508,Babylon,Seals,https://cdli.ucla.edu/P507711,https://nabucco.arts.kuleuven.be/item/29872,http://www.achemenet.com/en/item/?/textual-sources/texts-by-publication/Strassmaier_Darius/1660549,-,https://www.britishmuseum.org/collection/object/W_1876-1117-57,7673,"object of transaction",-,"TypeLegal documentSubtypedivision of inheritance"
Ana-muhhi-Nabû-taklāku,,,Male,,64934,Ana-muhhi-Nabû-taklāku,-,-,Male,,22225,"highly probable","BM 30337",,"Dar 379","Egibi Nūr-Sîn","Legal document","24.V.14 Dar I",508,Babylon,Seals,https://cdli.ucla.edu/P507711,https://nabucco.arts.kuleuven.be/item/29872,http://www.achemenet.com/en/item/?/textual-sources/texts-by-publication/Strassmaier_Darius/1660549,-,https://www.britishmuseum.org/collection/object/W_1876-1117-57,7673,"object of transaction",-,"TypeLegal documentSubtypedivision of inheritance"
Ana-muhhi-Nanāya-taklāku,,,Female,,65724,Ana-muhhi-Nanāya-taklāku,-,-,Female,,21927,"highly probable","BM 30337",,"Dar 379","Egibi Nūr-Sîn","Legal document","24.V.14 Dar I",508,Babylon,Seals,https://cdli.ucla.edu/P507711,https://nabucco.arts.kuleuven.be/item/29872,http://www.achemenet.com/en/item/?/textual-sources/texts-by-publication/Strassmaier_Darius/1660549,-,https://www.britishmuseum.org/collection/object/W_1876-1117-57,7673,"object of transaction",-,"TypeLegal documentSubtypedivision of inheritance"
Ana-pî-mahrat,,,Female,,65729,Ana-pî-mahrat,-,-,Female,,21928,"highly probable","BM 30337",,"Dar 379","Egibi Nūr-Sîn","Legal document","24.V.14 Dar I",508,Babylon,Seals,https://cdli.ucla.edu/P507711,https://nabucco.arts.kuleuven.be/item/29872,http://www.achemenet.com/en/item/?/textual-sources/texts-by-publication/Strassmaier_Darius/1660549,-,https://www.britishmuseum.org/collection/object/W_1876-1117-57,7673,"object of transaction",-,"TypeLegal documentSubtypedivision of inheritance"
Andullu-bulṭanni,,,Male,,65730,Andullu-bulṭanni,-,-,Male,,22227,"highly probable","BM 30337",,"Dar 379","Egibi Nūr-Sîn","Legal document","24.V.14 Dar I",508,Babylon,Seals,https://cdli.ucla.edu/P507711,https://nabucco.arts.kuleuven.be/item/29872,http://www.achemenet.com/en/item/?/textual-sources/texts-by-publication/Strassmaier_Darius/1660549,-,https://www.britishmuseum.org/collection/object/W_1876-1117-57,7673,"object of transaction",-,"TypeLegal documentSubtypedivision of inheritance"
"Anonymous (group)",,Abī-ul-īde,Male,House,64849,"Anonymous (group)",-,Abī-ul-īde,Male,,22968,"highly probable","BM 30337",,"Dar 379","Egibi Nūr-Sîn","Legal document","24.V.14 Dar I",508,Babylon,Seals,https://cdli.ucla.edu/P507711,https://nabucco.arts.kuleuven.be/item/29872,http://www.achemenet.com/en/item/?/textual-sources/texts-by-publication/Strassmaier_Darius/1660549,-,https://www.britishmuseum.org/collection/object/W_1876-1117-57,7673,neighbour,-,"TypeLegal documentSubtypedivision of inheritance"
"Anonymous group",,,Male,,44294,"Anonymous Group",-,-,Male,"These are Marduk-šumu-ibni, Nabû-ēṭer-napšāti and Nergal-iddin, sons of Šulāya of the Ilia family.",27050,"highly probable","BM 87303",,unpublished,"Ilia A+B","Legal document","22.[-].[-] [-]",-,Broken/Unclear,,-,-,-,-,https://www.britishmuseum.org/collection/object/W_1900-1013-83,4006,heir,-,"TypeLegal documentSubtypedivision of inheritance"
"Anonymous group",Bēl-rēṣûa,,Male,,64906,"Anonymous Group",Bēl-rēṣûa,-,Male,,27907,"highly probable","BM 30337",,"Dar 379","Egibi Nūr-Sîn","Legal document","24.V.14 Dar I",508,Babylon,Seals,https://cdli.ucla.edu/P507711,https://nabucco.arts.kuleuven.be/item/29872,http://www.achemenet.com/en/item/?/textual-sources/texts-by-publication/Strassmaier_Darius/1660549,-,https://www.britishmuseum.org/collection/object/W_1876-1117-57,7673,seller,-,"TypeLegal documentSubtypedivision of inheritance"
