Name,Patronym,"Family name",Gender,Owns,"Attestation ID",ind.Name,ind.Patronym,"ind.Family name",ind.Gender,Biography,PID,Probability,"Museum no.",Duplicate,Publication,Archive,Type,Date,"Julian date","Place of writing",Has,"Cdli URL","Nabucco URL","Achemenet URL","Oracc URL","British Museum URL","Tablet ID",Role,Title,"Type and objects"
,,Kidin-Sîn,Male,,45402,-,-,-,-,-,-,"less probable","BM 94697",,unpublished,"Rē’i-alpi (Borsippa)","Legal document","13.VII.07 [Cam]",[523],Borsippa,,-,-,-,-,https://www.britishmuseum.org/collection/object/W_1901-1012-350,5231,eponym,-,"TypeLegal documentSubtypedivision"
Abī-šalammu,Nabû-tabnēa,,Male,,55836,Abī-šalammu,Nabû-tabnēa,-,Male,,18415,"highly probable","Ash. 1937.621",,"Zilberg 2019, pp. 477-478","Carian archive","Legal document","05+[x].IX.02+[x] Cam","after 528","Bannēšu (near Nippur)",,https://cdli.ucla.edu/P385414,,,,,6586,"witness, regular (mukinnu)",-,"TypeLegal documentSubtypedivision"
Amīl-Marduk,,,Male,,15445,Amīl-Marduk,-,-,Male,,16419,"highly probable","NBC 8360",,"Joannès 1989, p. 343","Ea-ilūtu-bāni, Ilī-bāni, Nanāhu","Legal document","06.[-].[01] AM",[562/561],Borsippa,,https://cdli.ucla.edu/P299720,https://nabucco.arts.kuleuven.be/item/25069,,,,1915,"king in date","šar Bābili","TypeLegal documentSubtypedivision"
"Anonymous group",,,Male,"Field, Garden, Land",53174,"Anonymous Group",-1,-1,Male,-,23750,"highly probable","BM 30365","BM 32216","Wunsch 2000b, no. 12A","Egibi Nūr-Sîn","Legal document","01.VIb.03 Dar I",519,Nār-eššu,,-,https://nabucco.arts.kuleuven.be/item/28951,http://www.achemenet.com/en/item/?/textual-sources/texts-by-publication/Wunsch_CM_20/1328233,-,https://www.britishmuseum.org/collection/object/W_1876-1117-87,6266,recipient,-,"TypeLegal documentSubtypedivision"
Balāṭu,Bēl-lē’i,,Male,,55837,Balāṭu,Bēl-lē’i,-,Male,,18371,"highly probable","Ash. 1937.621",,"Zilberg 2019, pp. 477-478","Carian archive","Legal document","05+[x].IX.02+[x] Cam","after 528","Bannēšu (near Nippur)",,https://cdli.ucla.edu/P385414,,,,,6586,"witness, regular (mukinnu)",-,"TypeLegal documentSubtypedivision"
Barsipītu,Arad-Marduk,[Ile’’i-Marduk],Female,Land,53180,Barsipītu,Arad-Marduk,Ile’’i-Marduk,Female,,8845,probable,"BM 30365","BM 32216","Wunsch 2000b, no. 12A","Egibi Nūr-Sîn","Legal document","01.VIb.03 Dar I",519,Nār-eššu,,-,https://nabucco.arts.kuleuven.be/item/28951,http://www.achemenet.com/en/item/?/textual-sources/texts-by-publication/Wunsch_CM_20/1328233,-,https://www.britishmuseum.org/collection/object/W_1876-1117-87,6266,neighbour,-,"TypeLegal documentSubtypedivision"
Bazītu,[Šamaš]-šumu-līšir,Ilūtu-bāni,Female,Land,18316,Bazītu,Šamaš-šumu-līšir,Ilūtu-bāni,Female,,11615,"highly probable","NBC 8360",,"Joannès 1989, p. 343","Ea-ilūtu-bāni, Ilī-bāni, Nanāhu","Legal document","06.[-].[01] AM",[562/561],Borsippa,,https://cdli.ucla.edu/P299720,https://nabucco.arts.kuleuven.be/item/25069,,,,1915,"payer
share-holder",-,"TypeLegal documentSubtypedivision"
Bēlšunu,Erība,,Male,,55839,Bēlšunu,Erība,-,Male,,18372,"highly probable","Ash. 1937.621",,"Zilberg 2019, pp. 477-478","Carian archive","Legal document","05+[x].IX.02+[x] Cam","after 528","Bannēšu (near Nippur)",,https://cdli.ucla.edu/P385414,,,,,6586,"scribe (ṭupšarru)",-,"TypeLegal documentSubtypedivision"
Cambyses,,,Male,,45410,Cambyses,-,-,Male,,16420,"highly probable","BM 94697",,unpublished,"Rē’i-alpi (Borsippa)","Legal document","13.VII.07 [Cam]",[523],Borsippa,,-,-,-,-,https://www.britishmuseum.org/collection/object/W_1901-1012-350,5231,"king in date","šar Bābili šar mātāti","TypeLegal documentSubtypedivision"
Cambyses,,,Male,,55840,Cambyses,-,-,Male,,16420,"highly probable","Ash. 1937.621",,"Zilberg 2019, pp. 477-478","Carian archive","Legal document","05+[x].IX.02+[x] Cam","after 528","Bannēšu (near Nippur)",,https://cdli.ucla.edu/P385414,,,,,6586,"king in date","šar Bābili u mātāti","TypeLegal documentSubtypedivision"
Dādia,Puhhuru,Ilūtu-bāni,Male,Land,18313,Nergal-ašarēdu,Puhhuru,Ilūtu-bāni,Male,,12385,"highly probable","NBC 8360",,"Joannès 1989, p. 343","Ea-ilūtu-bāni, Ilī-bāni, Nanāhu","Legal document","06.[-].[01] AM",[562/561],Borsippa,,https://cdli.ucla.edu/P299720,https://nabucco.arts.kuleuven.be/item/25069,,,,1915,"land owner
share-holder",-,"TypeLegal documentSubtypedivision"
Darius,,,Male,,53186,Darius,-,-,Male,,16371,"highly probable","BM 30365","BM 32216","Wunsch 2000b, no. 12A","Egibi Nūr-Sîn","Legal document","01.VIb.03 Dar I",519,Nār-eššu,,-,https://nabucco.arts.kuleuven.be/item/28951,http://www.achemenet.com/en/item/?/textual-sources/texts-by-publication/Wunsch_CM_20/1328233,-,https://www.britishmuseum.org/collection/object/W_1876-1117-87,6266,"king in date","šar Bābili šar mātāti","TypeLegal documentSubtypedivision"
Gimillu,Tabnēa,Kidin-Sîn,Male,Garden,45397,Gimillu,Tabnēa,Kidin-Sîn,Male,,23024,"highly probable","BM 94697",,unpublished,"Rē’i-alpi (Borsippa)","Legal document","13.VII.07 [Cam]",[523],Borsippa,,-,-,-,-,https://www.britishmuseum.org/collection/object/W_1901-1012-350,5231,owner,-,"TypeLegal documentSubtypedivision"
Gimillu,[Līšir],Šamaš-abāri,Male,,53184,Gimil-Šamaš,Līšir,Šamaš-abāri,Male,,2752,"highly probable","BM 30365","BM 32216","Wunsch 2000b, no. 12A","Egibi Nūr-Sîn","Legal document","01.VIb.03 Dar I",519,Nār-eššu,,-,https://nabucco.arts.kuleuven.be/item/28951,http://www.achemenet.com/en/item/?/textual-sources/texts-by-publication/Wunsch_CM_20/1328233,-,https://www.britishmuseum.org/collection/object/W_1876-1117-87,6266,witness,-,"TypeLegal documentSubtypedivision"
Hamal-il,,,Male,Land,55834,Hamal-il,-,-,Male,,18378,"highly probable","Ash. 1937.621",,"Zilberg 2019, pp. 477-478","Carian archive","Legal document","05+[x].IX.02+[x] Cam","after 528","Bannēšu (near Nippur)",,https://cdli.ucla.edu/P385414,,,,,6586,neighbour,-,"TypeLegal documentSubtypedivision"
Haratuat,Hamat,,Male,Garden,55833,Haratuat,Hamat,-,Male,,18379,"highly probable","Ash. 1937.621",,"Zilberg 2019, pp. 477-478","Carian archive","Legal document","05+[x].IX.02+[x] Cam","after 528","Bannēšu (near Nippur)",,https://cdli.ucla.edu/P385414,,,,,6586,"land owner",-,"TypeLegal documentSubtypedivision"
Iddin-Nabû,Nabû-šumu-uṣur,Kidin-Sîn,Male,,45408,Iddin-Nabû,Nabû-šumu-uṣur,Kidin-Sîn,Male,,23838,"highly probable","BM 94697",,unpublished,"Rē’i-alpi (Borsippa)","Legal document","13.VII.07 [Cam]",[523],Borsippa,,-,-,-,-,https://www.britishmuseum.org/collection/object/W_1901-1012-350,5231,"witness, regular (mukinnu)",-,"TypeLegal documentSubtypedivision"
Iddināya,,,Male,Land,55831,Iddināya,-,-,Male,,18381,"highly probable","Ash. 1937.621",,"Zilberg 2019, pp. 477-478","Carian archive","Legal document","05+[x].IX.02+[x] Cam","after 528","Bannēšu (near Nippur)",,https://cdli.ucla.edu/P385414,,,,,6586,neighbour,-,"TypeLegal documentSubtypedivision"
Ina-Esagil-bēlet,Nabû-šumu-uṣur,Kidin-Sîn,Female,,45400,Ina-Esagil-bēlet,Nabû-šumu-uṣur,Kidin-Sîn,Female,,21061,"highly probable","BM 94697",,unpublished,"Rē’i-alpi (Borsippa)","Legal document","13.VII.07 [Cam]",[523],Borsippa,,-,-,-,-,https://www.britishmuseum.org/collection/object/W_1901-1012-350,5231,"passive (mentioned in relation to sb or sth else)",-,"TypeLegal documentSubtypedivision"
Itti-Nabû-balāṭu,Marduk-šumu-uṣur,Nappāhu,Male,,53185,Itti-Nabû-balāṭu,Marduk-šumu-uṣur,Nappāhu,Male,,2083,"highly probable","BM 30365","BM 32216","Wunsch 2000b, no. 12A","Egibi Nūr-Sîn","Legal document","01.VIb.03 Dar I",519,Nār-eššu,,-,https://nabucco.arts.kuleuven.be/item/28951,http://www.achemenet.com/en/item/?/textual-sources/texts-by-publication/Wunsch_CM_20/1328233,-,https://www.britishmuseum.org/collection/object/W_1876-1117-87,6266,"scribe (ṭupšarru)",-,"TypeLegal documentSubtypedivision"
Kurbanni-Marduk,,Lā-kuppuru,Male,Land,44292,Kurbanni-Marduk,-,Lā-kuppuru,Male,,24105,"highly probable","BM 17657",,unpublished,"Ilia A+B","Legal document","22.II.13 Nbn",543,Borsippa,,,-,-,-,https://www.britishmuseum.org/collection/object/W_1894-1013-61,3979,neighbour,-,"TypeLegal documentSubtypedivision"
Lē’ītu,,,Female,,44281,Lē’ītu,-,-,Female,"Bīt-Lē’îtu. Eponym in place name.",23128,"highly probable","BM 17657",,unpublished,"Ilia A+B","Legal document","22.II.13 Nbn",543,Borsippa,,,-,-,-,https://www.britishmuseum.org/collection/object/W_1894-1013-61,3979,eponym,-,"TypeLegal documentSubtypedivision"
Marduk-nāṣir-apli,Itti-Marduk-balāṭu,Egibi,Male,"Field, Garden, Land",53173,Marduk-nāṣir-apli,Itti-Marduk-balāṭu,Egibi,Male,,5,"highly probable","BM 30365","BM 32216","Wunsch 2000b, no. 12A","Egibi Nūr-Sîn","Legal document","01.VIb.03 Dar I",519,Nār-eššu,,-,https://nabucco.arts.kuleuven.be/item/28951,http://www.achemenet.com/en/item/?/textual-sources/texts-by-publication/Wunsch_CM_20/1328233,-,https://www.britishmuseum.org/collection/object/W_1876-1117-87,6266,recipient,-,"TypeLegal documentSubtypedivision"
