Name,Patronym,"Family name",Gender,Owns,"Attestation ID",ind.Name,ind.Patronym,"ind.Family name",ind.Gender,Biography,PID,Probability,"Museum no.",Duplicate,Publication,Archive,Type,Date,"Julian date","Place of writing",Has,"Cdli URL","Nabucco URL","Achemenet URL","Oracc URL","British Museum URL","Tablet ID",Role,Title,"Type and objects"
Amat-Nanāya,,,Female,,35983,Amat-Nanāya,-,-,Female,,9748,"highly probable","BM 77404",,"Dar 568","Ea-eppēš-ilī A (Babylon)","Legal document","26.VII.23 Dar I",499,Babylon,,,-,http://www.achemenet.com/fr/item/?/2078061=Textes%20babyloniens&1687645==Eppêš-ilî&l=a&c=1&t=1.4/1/24/1/1664844,-,https://www.britishmuseum.org/collection/object/W_1884-0211-141,4174,"witness, special (ina ašābi)",-,"TypeLegal documentSubtypedowry promise"
Amat-Nanāya,,,Female,,36322,Amat-Nanāya,Itti-Marduk-balāṭu,Nūr-Sîn,Female,,9664,"highly probable","BM 92795",,"Camb 193","Ea-eppēš-ilī A (Babylon)","Legal document","13.VIII.03 Cam",527,Broken/Unclear,,https://cdli.ucla.edu/P507673,-,http://www.achemenet.com/fr/item/?/2078061=Textes%20babyloniens&3349245==Strassmaier%20--Inschriften%20von%20Cambyses&l=a&c=1&t=1.4/3/96/0/1678184,-,https://www.britishmuseum.org/collection/object/W_1884-0211-94,4231,bride,-,"TypeLegal documentSubtypedowry promise"
Amat-Ninlil,,,Female,"Field, Slave",1226,Amat-Ninlil,Balāṭu,Egibi,Female,,11,"highly probable","VAT 107",,"Baker 2004, no. 16",Nappāhu,"Legal document","19.V.01 Cyr",538,Babylon,,https://cdli.ucla.edu/P372003,https://nabucco.arts.kuleuven.be/item/22375,,,,152,recipient,-,"TypeLegal documentSubtypedowry promise"
Amtia,,,Female,,54408,Amtia,-,-,Female,,19326,"highly probable","BM 30439",,"Wunsch 2000b, no. 39","Egibi Nūr-Sîn","Legal document","01.II.14 Nbn",542,Babylon,,-,https://nabucco.arts.kuleuven.be/item/28471,http://www.achemenet.com/en/item/?/textual-sources/texts-by-publication/Wunsch_CM_20/1328314,-,https://www.britishmuseum.org/collection/object/W_1876-1117-166,6416,"object of transaction",amīlūtu,"TypeLegal documentSubtypedowry promise"
Anonymous,,Nappāhu,Male,Slave,54413,Anonymous,-,Nappāhu,Male,,28314,"highly probable","BM 30439",,"Wunsch 2000b, no. 39","Egibi Nūr-Sîn","Legal document","01.II.14 Nbn",542,Babylon,,-,https://nabucco.arts.kuleuven.be/item/28471,http://www.achemenet.com/en/item/?/textual-sources/texts-by-publication/Wunsch_CM_20/1328314,-,https://www.britishmuseum.org/collection/object/W_1876-1117-166,6416,seller,-,"TypeLegal documentSubtypedowry promise"
Aplāya,Balāṭu,Ṭābihu,Male,"Field, Land, House",40807,Aplāya,Balāṭu,Ṭābihu,Male,,17494,"highly probable","BM 46827","BM 46635; BM 47272; BM 45547","Wunsch 2003, no. 10a",Šangû-Ninurta,"Legal document","[21].[II].07 [Npl]",[619],Babylon,,-,-,-,,https://www.britishmuseum.org/collection/object/W_1881-0830-293,4726,"bride’s agent
neighbour",-,"TypeLegal documentSubtypedowry promise"
Aplāya,Bēl-iddin,Eppēš-ilī,Male,,36328,Aplāya,Bēl-iddin,Eppēš-ilī,Male,,9760,"highly probable","BM 92795",,"Camb 193","Ea-eppēš-ilī A (Babylon)","Legal document","13.VIII.03 Cam",527,Broken/Unclear,,https://cdli.ucla.edu/P507673,-,http://www.achemenet.com/fr/item/?/2078061=Textes%20babyloniens&3349245==Strassmaier%20--Inschriften%20von%20Cambyses&l=a&c=1&t=1.4/3/96/0/1678184,-,https://www.britishmuseum.org/collection/object/W_1884-0211-94,4231,"witness, regular (mukinnu)",-,"TypeLegal documentSubtypedowry promise"
Arad-Bēl,Marduk-rēmanni,Ēṭiru,Male,,52688,Arad-Bēl,Marduk-rēmanni,Ēṭiru,Male,,19336,"highly probable","BM 30358","BM 32894","Wunsch 1993b, no. 335A","Egibi Nūr-Sîn","Legal document","22.XI.03 Cam",526,Paširi,,-,https://nabucco.arts.kuleuven.be/item/29353,-,-,https://www.britishmuseum.org/collection/object/W_1876-1117-80,6190,"witness, regular (mukinnu)",-,"TypeLegal documentSubtypedowry promise"
Arad-Marduk,Nergal-zēru-ibni,Sîn-nāṣir,Male,Land,65844,Arad-Marduk,Nergal-zēru-ibni,Sîn-nāṣir,Male,,22241,"highly probable","BM 30441",,"Roth 1991, pp. 29-30, n. 30","Egibi Nūr-Sîn","Legal document","01.III.25 Dar I",497,Babylon,,-,-,-,-,https://www.britishmuseum.org/collection/object/W_1876-1117-168,7804,neighbour,-,"TypeLegal documentSubtypedowry promise"
Balāṭu,Ibnāya,Egibi,Male,"Garden, Slave",1147,Balāṭu,Ibnāya,Egibi,Male,,50,"highly probable","BM 77600",,"Baker 2004, no. 14",Nappāhu,"Legal document","26.[I].[-] [-]",-,Babylon,,https://cdli.ucla.edu/P512033,https://nabucco.arts.kuleuven.be/item/22636,-,-,https://www.britishmuseum.org/collection/object/W_1884-0211-342,144,"bride’s agent
payer
seller",-,"TypeLegal documentSubtypedowry promise"
