Name,Patronym,"Family name",Gender,Owns,"Attestation ID",ind.Name,ind.Patronym,"ind.Family name",ind.Gender,Biography,PID,Probability,"Museum no.",Duplicate,Publication,Archive,Type,Date,"Julian date","Place of writing",Has,"Cdli URL","Nabucco URL","Achemenet URL","Oracc URL","British Museum URL","Tablet ID",Role,Title,"Type and objects"
Ahu-ittabši,Nādin-Šamaš,[Sîn-iqīša],Male,House,19669,Ahu-ittabši,Nādin-Šamaš,Sîn-iqīša,Male,,15186,"highly probable","Unknown (IM)",,"UET 4, 35","Gallābu (Ur)","Legal document","23.XI.11 Art II",393,Ur,,https://cdli.ucla.edu/P414731,-,,,,2428,neighbour,-,"TypeLegal documentSubtypeexchange"
Ahūšunu,Sîn-bullissu,,Male,,19699,Ahūšunu,Sîn-bullissu,Sîn-rīm-ilāni,Male,,15189,probable,"Unknown (IM)",,"UET 4, 35","Gallābu (Ur)","Legal document","23.XI.11 Art II",393,Ur,,https://cdli.ucla.edu/P414731,-,,,,2428,"sealer of the tablet
witness, regular (pāni)",-,"TypeLegal documentSubtypeexchange"
Akutti,Sîn-aplu-līšir,,Male,,50928,Akutti,Sîn-aplu-līšir,-,Male,,16187,probable,"IM 57093",,"UET 4, 32","Sîn-ilī (Ur)","Legal document","07.IV.11 Ššu",657,Ur,,https://cdli.ucla.edu/P414728,https://nabucco.arts.kuleuven.be/item/26734,-,-,-,5972,"witness, regular (pāni)",-,"TypeLegal documentSubtypeexchange"
Amat-Ninlil,,,Female,,3962,Amat-Ninlil,-,-,Female,,16,"highly probable","VAT 67",,"Baker 2004, no. 79",Nappāhu,"Legal document","22.II.06 Cyr",533,Babylon,Fingernails,https://cdli.ucla.edu/P371772,https://nabucco.arts.kuleuven.be/item/22021,,,,492,"witness, special (ina ašābi)",-,"TypeLegal documentSubtypeexchange"
Ana-muhhi-Nanāya-taklāku,,,Female,,45466,Ana-muhhi-Nanāya-taklāku,-,-,Female,,18241,"highly probable","BM 94546",,"Zadok 2005a","Rē’i-alpi (Borsippa)","Legal document","07.XII.00 [Dar I]",[521],Borsippa,,,-,-,-,https://www.britishmuseum.org/collection/object/W_1901-1012-199,5238,"object of transaction",amīlūtu,"TypeLegal documentSubtypeexchange"
Ana-pêa,Sîn-iddin,Gallābu,Male,House,19660,Ana-pêa,Sîn-iddin,Gallābu,Male,,15182,"highly probable","Unknown (IM)",,"UET 4, 35","Gallābu (Ur)","Legal document","23.XI.11 Art II",393,Ur,,https://cdli.ucla.edu/P414731,-,,,,2428,exchanger,-,"TypeLegal documentSubtypeexchange"
Anonymous,,,Female,,3871,Amat-Ninlil,-,-,Female,,16,probable,"VAT 67",,"Baker 2004, no. 79",Nappāhu,"Legal document","22.II.06 Cyr",533,Babylon,Fingernails,https://cdli.ucla.edu/P371772,https://nabucco.arts.kuleuven.be/item/22021,,,,492,"passive (mentioned in relation to sb or sth else)",-,"TypeLegal documentSubtypeexchange"
Anonymous,,,Male,House,56506,-,-,-,-,-,-,"less probable","BM 33973",,"Wunsch 2000b, no. 175","Egibi Nūr-Sîn","Legal document","28.XII.06 Cam",523,Babylon,Seals,https://cdli.ucla.edu/P405010,https://nabucco.arts.kuleuven.be/item/29761,http://www.achemenet.com/en/item/?/textual-sources/texts-by-publication/Wunsch_CM_20/1328716,,https://www.britishmuseum.org/collection/object/W_SP-69,6671,neighbour,"mukīl appāti","TypeLegal documentSubtypeexchange"
Anonymous,,,Male,"Garden, Land",31258,-,-,-,-,-,-,"less probable","BM 26571",,"Waerzeggers 2010, no. 147","Rē’i-alpi (Borsippa)","Legal document","20.VIII.09 Nbn",547,Borsippa,,https://cdli.ucla.edu/P404844,-,-,-,https://www.britishmuseum.org/collection/object/W_1898-0514-389,3583,eponym,"rēˀi alpi","TypeLegal documentSubtypeexchange"
Anonymous,,[...],Male,Land,56505,-,-,-,-,-,-,"less probable","BM 33973",,"Wunsch 2000b, no. 175","Egibi Nūr-Sîn","Legal document","28.XII.06 Cam",523,Babylon,Seals,https://cdli.ucla.edu/P405010,https://nabucco.arts.kuleuven.be/item/29761,http://www.achemenet.com/en/item/?/textual-sources/texts-by-publication/Wunsch_CM_20/1328716,,https://www.britishmuseum.org/collection/object/W_SP-69,6671,neighbour,-,"TypeLegal documentSubtypeexchange"
Anonymous,Itti-Nabû-balāṭu,Rīšû’a,Male,Garden,45462,Anonymous,Itti-Nabû-balāṭu,Rīšû’a,Male,,18258,"highly probable","BM 94546",,"Zadok 2005a","Rē’i-alpi (Borsippa)","Legal document","07.XII.00 [Dar I]",[521],Borsippa,,,-,-,-,https://www.britishmuseum.org/collection/object/W_1901-1012-199,5238,neighbour,-,"TypeLegal documentSubtypeexchange"
"Anonymous group",,,Female,,53189,"Anonymous Group",-1,-1,Female,-,27813,"highly probable","BM 31521+",,"Wunsch 2000b, no. 13","Egibi Nūr-Sîn","Legal document","02.I.10 Dar I",512,Babylon,,https://cdli.ucla.edu/P405111,http://nabucco.arts.kuleuven.be/item/28699,http://www.achemenet.com/en/item/?/textual-sources/texts-by-publication/Wunsch_CM_20/1328236,-,https://www.britishmuseum.org/collection/object/W_1876-1117-1248,50,unclear,-,"TypeLegal documentSubtypeexchange"
"Anonymous group",,,Male,"Field, Garden",53187,"Anonymous Group",-1,-1,Male,-,23754,"highly probable","BM 31521+",,"Wunsch 2000b, no. 13","Egibi Nūr-Sîn","Legal document","02.I.10 Dar I",512,Babylon,,https://cdli.ucla.edu/P405111,http://nabucco.arts.kuleuven.be/item/28699,http://www.achemenet.com/en/item/?/textual-sources/texts-by-publication/Wunsch_CM_20/1328236,-,https://www.britishmuseum.org/collection/object/W_1876-1117-1248,50,"land owner",-,"TypeLegal documentSubtypeexchange"
"Anonymous group",Balāssu,Iddin-[Papsukkal],Male,,42124,"Anonymous Group",Balāssu,Iddin-Papsukkal,Male,,24763,"highly probable","BM 25664",,unpublished,"Ilia A+B","Legal document","13.V.16 Nbn",540,Borsippa,,,-,-,-,https://www.britishmuseum.org/collection/object/W_1898-0216-718,4066,neighbour,-,"TypeLegal documentSubtypeexchange"
"Anonymous group",Kīnāya,,Male,Land,24943,-,-,-,-,-,-,"less probable","Unknown (IM)",,"UET 4, 34","Gallābu (Ur)","Legal document","13.X.04 Art II",401,Ur,"Seals, Epigraphs",https://cdli.ucla.edu/P414730,-,,,,2980,neighbour,-,"TypeLegal documentSubtypeexchange"
"Anonymous group",Sîn-ahhē-iddin,,Male,House,24817,-,-,-,-,-,-,"less probable","Unknown (IM)",,"UET 4, 34","Gallābu (Ur)","Legal document","13.X.04 Art II",401,Ur,"Seals, Epigraphs",https://cdli.ucla.edu/P414730,-,,,,2980,neighbour,-,"TypeLegal documentSubtypeexchange"
"Anonymous group",Sîn-ušallim,,Male,House,24823,-,-,-,-,-,-,"less probable","Unknown (IM)",,"UET 4, 34","Gallābu (Ur)","Legal document","13.X.04 Art II",401,Ur,"Seals, Epigraphs",https://cdli.ucla.edu/P414730,-,,,,2980,neighbour,-,"TypeLegal documentSubtypeexchange"
Aqara,,Ilūtu-bāni,Male,,2190,Aqara,-,Ilūtu-bāni,Male,,11513,"highly probable","HS 467","MAH 16232","Joannès 1989, p. 174","Ea-ilūtu-bāni, Ilī-bāni, Nanāhu","Legal document","07.X.12 Ššu",656,Borsippa,,,https://nabucco.arts.kuleuven.be/item/25654,,,,186,"witness, regular (pāni)",-,"TypeLegal documentSubtypeexchange"
Arad-Gula,Marduk-šumu-uṣur,Nabāya,Male,,409,Arad-Gula,Marduk-šumu-uṣur,Nabāya,,,8,"highly probable","BM 31521+",,"Wunsch 2000b, no. 13","Egibi Nūr-Sîn","Legal document","02.I.10 Dar I",512,Babylon,,https://cdli.ucla.edu/P405111,http://nabucco.arts.kuleuven.be/item/28699,http://www.achemenet.com/en/item/?/textual-sources/texts-by-publication/Wunsch_CM_20/1328236,-,https://www.britishmuseum.org/collection/object/W_1876-1117-1248,50,"witness, regular (mukinnu)",-,"TypeLegal documentSubtypeexchange"
Arad-Gula,Nabû-ahu-iddin,Kidin-Nanāya,Male,,31288,Arad-Gula,Nabû-ahu-iddin,Kidin-Nanāya,Male,,25593,"highly probable","BM 102263",,"Waerzeggers 2010, no. 149","Rē’i-alpi (Borsippa)","Legal document","21.VIII.08 Nbn",548,Borsippa,,https://cdli.ucla.edu/P404862,-,-,-,https://www.britishmuseum.org/collection/object/W_1906-0512-184,3589,"witness, regular (mukinnu)",-,"TypeLegal documentSubtypeexchange"
Arad-Nabû,Nummuru,Nabû-ēreš,Male,,128,Arad-Nabû,Nummuru,Nabû-ēreš,Male,,23469,"highly probable","BM 94556",,"Waerzeggers 2010, no. 4","Ilia A+B","Legal document","21.II.18 Npl",608,Borsippa,,https://cdli.ucla.edu/P521504,-,-,-,https://www.britishmuseum.org/collection/object/W_1901-1012-209,16,"witness, regular (pāni)",-,"TypeLegal documentSubtypeexchange"
Arad-Nergal,Mušēzib-Marduk,Maštukku,Male,,413,Arad-Nergal,Mušēzib-Marduk,Maštukku,Male,,1918,"highly probable","BM 31521+",,"Wunsch 2000b, no. 13","Egibi Nūr-Sîn","Legal document","02.I.10 Dar I",512,Babylon,,https://cdli.ucla.edu/P405111,http://nabucco.arts.kuleuven.be/item/28699,http://www.achemenet.com/en/item/?/textual-sources/texts-by-publication/Wunsch_CM_20/1328236,-,https://www.britishmuseum.org/collection/object/W_1876-1117-1248,50,"witness, regular (mukinnu)",-,"TypeLegal documentSubtypeexchange"
Arad-Sutīti,,Ilūtu-bāni,Male,,2226,Arad-Sutīti,-,Ilūtu-bāni,Male,,13641,"highly probable","HS 467","MAH 16232","Joannès 1989, p. 174","Ea-ilūtu-bāni, Ilī-bāni, Nanāhu","Legal document","07.X.12 Ššu",656,Borsippa,,,https://nabucco.arts.kuleuven.be/item/25654,,,,186,"witness, regular (pāni)",-,"TypeLegal documentSubtypeexchange"
Artaxerxes,,,Male,,19708,Artaxerxes,-,-,Male,,16428,"highly probable","Unknown (IM)",,"UET 4, 35","Gallābu (Ur)","Legal document","23.XI.11 Art II",393,Ur,,https://cdli.ucla.edu/P414731,-,,,,2428,"king in date","šar mātāti","TypeLegal documentSubtypeexchange"
Artaxerxes,,,Male,,24994,Artaxerxes,-,-,Male,,16428,"highly probable","Unknown (IM)",,"UET 4, 34","Gallābu (Ur)","Legal document","13.X.04 Art II",401,Ur,"Seals, Epigraphs",https://cdli.ucla.edu/P414730,-,,,,2980,"king in date","šar mātāti","TypeLegal documentSubtypeexchange"
Artaxerxes,,,Male,,42959,-,-,-,-,-,-,"less probable","CBS 5428",,"BE 9, 90",Murašû,"Legal document","01.VI.41 Art I",424,Nippur,Seals,https://cdli.ucla.edu/P261622,,http://www.achemenet.com/fr/item/?/sources-textuelles/textes-par-langues-et-ecritures/babylonien/archives-murasu/2044762,,,4949,"king in date","šar mātāti","TypeLegal documentSubtypeexchange"
Artaxerxes,,,Male,,44098,-,-,-,-,-,-,"less probable","CBS 5388",,"BE 9, 109",Murašû,"Legal document","17.XI.41 Art I",423,Nippur,,https://cdli.ucla.edu/P261532,,http://www.achemenet.com/fr/item/?/sources-textuelles/textes-par-langues-et-ecritures/babylonien/archives-murasu/2045242,,,5077,"king in date","šar mātāti","TypeLegal documentSubtypeexchange"
Balāssu,Nergal-nāṣir,,Male,"Field, House",50919,Balāssu,Nergal-nāṣir,-,Male,,17723,"highly probable","IM 57093",,"UET 4, 32","Sîn-ilī (Ur)","Legal document","07.IV.11 Ššu",657,Ur,,https://cdli.ucla.edu/P414728,https://nabucco.arts.kuleuven.be/item/26734,-,-,-,5972,exchanger,-,"TypeLegal documentSubtypeexchange"
Balāssu,Rēmūtu,Bā’iru,Male,,32497,Balāssu,Rēmūtu,Bā’iru,Male,,22892,"highly probable","BM 102276",,"Waerzeggers 2010, no. 166","Rē’i-alpi (Borsippa)","Legal document","13.X.06 Cam",523,Borsippa,,https://cdli.ucla.edu/P413024,-,-,-,https://www.britishmuseum.org/collection/object/W_1906-0512-197,3712,"scribe (ṭupšarru)",-,"TypeLegal documentSubtypeexchange"
Balāṭu,,,Male,House,24808,Balāṭu,-,-,Male,,15220,"highly probable","Unknown (IM)",,"UET 4, 34","Gallābu (Ur)","Legal document","13.X.04 Art II",401,Ur,"Seals, Epigraphs",https://cdli.ucla.edu/P414730,-,,,,2980,exchanger,-,"TypeLegal documentSubtypeexchange"
Balāṭu,Kurbanni-Marduk,Rab-banê,Male,House,3844,Balāṭu,Kurbanni-Marduk,Rab-banê,Male,,51,"highly probable","VAT 67",,"Baker 2004, no. 79",Nappāhu,"Legal document","22.II.06 Cyr",533,Babylon,Fingernails,https://cdli.ucla.edu/P371772,https://nabucco.arts.kuleuven.be/item/22021,,,,492,neighbour,-,"TypeLegal documentSubtypeexchange"
