Name,Patronym,"Family name",Gender,Owns,"Attestation ID",ind.Name,ind.Patronym,"ind.Family name",ind.Gender,Biography,PID,Probability,"Museum no.",Duplicate,Publication,Archive,Type,Date,"Julian date","Place of writing",Has,"Cdli URL","Nabucco URL","Achemenet URL","Oracc URL","British Museum URL","Tablet ID",Role,Title,"Type and objects"
Ahhē-iddin-Marduk,Itti-Marduk-balāṭu,Šigûa,Male,,58889,Ahhē-iddin-Marduk,Itti-Marduk-balāṭu,Šigûa,Male,,2962,"highly probable","MMA 86.11.161",,"CTMMA 3, no. 61","Egibi Nūr-Sîn","Legal document","13.IX.05 Cam",525,Babylon,,https://cdli.ucla.edu/P412339,-,-,-,-,6954,"witness, regular (mukinnu)",-,"TypeLegal documentSubtypeextra witness (ana šībūti, ana mukinnūti)"
Ahhēa,Iqīšāya,Ir’anni,Male,,58545,Ahhēšāya,Iqīšāya,Ir’anni,Male,,22456,"highly probable","BM 30837",,"Nbn 681","Egibi Nūr-Sîn","Legal document","19.XII.12 Nbn",543,Babylon,,-,https://nabucco.arts.kuleuven.be/item/30244,-,-,https://www.britishmuseum.org/collection/object/W_1876-1117-564,6916,"scribe (ṭupšarru)",-,"TypeLegal documentSubtypeextra witness (ana šībūti, ana mukinnūti)"
Anonymous,,,Male,,58015,-,-,-,-,-,-,"less probable","BM 31303",,"Cyr 171","Egibi Nūr-Sîn","Legal document","23.V.04 Cyr",535,Babylon,,-,https://nabucco.arts.kuleuven.be/item/28645,http://www.achemenet.com/fr/item/?/sources-textuelles/textes-par-langues-et-ecritures/babylonien/archives-egibi/1668996,-,https://www.britishmuseum.org/collection/object/W_1876-1117-1030,6850,"object of transaction",-,"TypeLegal documentSubtypeextra witness (ana šībūti, ana mukinnūti)"
"Anonymous group",Šumu-ukīn,Sîn-šadûnu,Male,Land,55450,"Anonymous Group",Šumu-ukīn,Sîn-šadûnu,Male,,25079,"highly probable","Rm. 942",,"Wunsch 2000b, no. 97","Egibi Nūr-Sîn","Legal document","13.[VIII].[10] [Nbn]",[546],Broken/Unclear,,-,https://nabucco.arts.kuleuven.be/item/29755,http://www.achemenet.com/en/item/?/textual-sources/texts-by-publication/Wunsch_CM_20/1328488,-,https://www.britishmuseum.org/collection/object/W_Rm-942,6543,seller,-,"TypeLegal documentSubtypeextra witness (ana šībūti, ana mukinnūti)"
"Anonymous group",Zēria,,Male,House,59182,"Anonymous Group",Zēria,-,Male,,27915,"highly probable","BM 30848",,"Ner 34","Egibi Nūr-Sîn","Legal document","27.II.02 Ner",558,Babylon,,https://cdli.ucla.edu/P405102,https://nabucco.arts.kuleuven.be/item/28594,-,-,https://www.britishmuseum.org/collection/object/W_1876-1117-575,6996,seller,-,"TypeLegal documentSubtypeextra witness (ana šībūti, ana mukinnūti)"
Aplāya,Nādin-ahi,Šangû-Šamaš,Male,,58020,Aplāya,Nādin-ahi,Šangû-Šamaš,Male,,20895,"highly probable","BM 31303",,"Cyr 171","Egibi Nūr-Sîn","Legal document","23.V.04 Cyr",535,Babylon,,-,https://nabucco.arts.kuleuven.be/item/28645,http://www.achemenet.com/fr/item/?/sources-textuelles/textes-par-langues-et-ecritures/babylonien/archives-egibi/1668996,-,https://www.britishmuseum.org/collection/object/W_1876-1117-1030,6850,"witness, regular (mukinnu)",-,"TypeLegal documentSubtypeextra witness (ana šībūti, ana mukinnūti)"
Arad-Marduk,Kittia,[Šangû-Ea],Male,,55336,Arad-Marduk,Kittia,Šangû-Ea,Male,,1912,"highly probable","BM 30449",,"Wunsch 2000b, no. 92","Egibi Nūr-Sîn","Legal document","13.VIII.[10] Nbn",[546],Babylon,,-,https://nabucco.arts.kuleuven.be/item/29629,http://www.achemenet.com/en/item/?/textual-sources/texts-by-publication/Wunsch_CM_20/1328473,-,https://www.britishmuseum.org/collection/object/W_1876-1117-176,6529,broken,-,"TypeLegal documentSubtypeextra witness (ana šībūti, ana mukinnūti)"
Ardia,Gimillu,Itinnu,Male,,57660,Ardia,Gimillu,Itinnu,Male,,19132,"highly probable","BM 30988",,"Nbn 903","Egibi Nūr-Sîn","Legal document","07.IX.15 Nbn",540,Babylon,,-,https://nabucco.arts.kuleuven.be/item/30112,-,-,https://www.britishmuseum.org/collection/object/W_1876-1117-715,6803,"witness, regular (mukinnu)",-,"TypeLegal documentSubtypeextra witness (ana šībūti, ana mukinnūti)"
Ardia,Mukīn-zēri,Arad-Ea,Male,,59184,Ardia,Mukīn-zēri,Arad-Ea,Male,,21325,"highly probable","BM 30848",,"Ner 34","Egibi Nūr-Sîn","Legal document","27.II.02 Ner",558,Babylon,,https://cdli.ucla.edu/P405102,https://nabucco.arts.kuleuven.be/item/28594,-,-,https://www.britishmuseum.org/collection/object/W_1876-1117-575,6996,"witness, regular (mukinnu)",-,"TypeLegal documentSubtypeextra witness (ana šībūti, ana mukinnūti)"
Bāb-magāri-alsišu,,,Female,,46943,Bāb-magāri-alsišu,-,-,Female,,19260,"highly probable","BM 30652",,"Wunsch 1993b, no. 184","Egibi Nūr-Sîn","Legal document","26.II.11 Nbn",545,Babylon,,-,https://nabucco.arts.kuleuven.be/item/30421,-,-,https://www.britishmuseum.org/collection/object/W_1876-1117-379,5441,"object of transaction",amīlūtu,"TypeLegal documentSubtypeextra witness (ana šībūti, ana mukinnūti)"
Bābānu-ṣullê-liṣṣur,,,Female,,58538,Bābānu-ṣullê-liṣṣur,-,-,Female,,20075,"highly probable","BM 30837",,"Nbn 681","Egibi Nūr-Sîn","Legal document","19.XII.12 Nbn",543,Babylon,,-,https://nabucco.arts.kuleuven.be/item/30244,-,-,https://www.britishmuseum.org/collection/object/W_1876-1117-564,6916,"object of transaction",-,"TypeLegal documentSubtypeextra witness (ana šībūti, ana mukinnūti)"
Balāssu,Aplāya,Bēl-eṭēri,Male,,59784,Balāssu,Aplāya,Bēl-eṭēri,Male,,20959,"highly probable","BM 31132",,"Nbn 194","Egibi Nūr-Sîn","Legal document","30.VI.05 Nbn",551,Babylon,,-,https://nabucco.arts.kuleuven.be/item/29197,-,,https://www.britishmuseum.org/collection/object/W_1876-1117-859,7068,"witness, extra",-,"TypeLegal documentSubtypeextra witness (ana šībūti, ana mukinnūti)"
Bānia,Rēmūtu,Eppēš-ilī,Male,,59185,Bānia,Rēmūtu,Eppēš-ilī,Male,,21301,"highly probable","BM 30848",,"Ner 34","Egibi Nūr-Sîn","Legal document","27.II.02 Ner",558,Babylon,,https://cdli.ucla.edu/P405102,https://nabucco.arts.kuleuven.be/item/28594,-,-,https://www.britishmuseum.org/collection/object/W_1876-1117-575,6996,"witness, regular (mukinnu)",-,"TypeLegal documentSubtypeextra witness (ana šībūti, ana mukinnūti)"
Bānītu-supê-muhur,,,Female,,46942,Bānītu-supê-muhur,-,-,Female,,13529,"highly probable","BM 30652",,"Wunsch 1993b, no. 184","Egibi Nūr-Sîn","Legal document","26.II.11 Nbn",545,Babylon,,-,https://nabucco.arts.kuleuven.be/item/30421,-,-,https://www.britishmuseum.org/collection/object/W_1876-1117-379,5441,"object of transaction",amīlūtu,"TypeLegal documentSubtypeextra witness (ana šībūti, ana mukinnūti)"
Bēl-ahhē-iddin,Nādinu,Nannāya,Male,,56019,Bēl-ahhē-iddin,Nādinu,Nannāya,Male,,18933,"highly probable","BM 40741",,"Wunsch 2000b, no. 131","Egibi Nūr-Sîn","Legal document","[-].[-].04 [Cyr]",[535/534],Babylon,,-,https://nabucco.arts.kuleuven.be/item/29506,http://www.achemenet.com/en/item/?/textual-sources/texts-by-publication/Wunsch_CM_20/1328584,-,https://www.britishmuseum.org/collection/object/W_1881-0428-286,6606,"witness, regular (mukinnu)",-,"TypeLegal documentSubtypeextra witness (ana šībūti, ana mukinnūti)"
Bēl-ahu-ušebši(?),Na’id-Marduk,Sîn-imittu,Male,,57662,Nabû-ahu-ušebši,Na’id-Marduk,Sîn-imittu,Male,"His name could be Bēl-ahu-ušebši.",20320,probable,"BM 30988",,"Nbn 903","Egibi Nūr-Sîn","Legal document","07.IX.15 Nbn",540,Babylon,,-,https://nabucco.arts.kuleuven.be/item/30112,-,-,https://www.britishmuseum.org/collection/object/W_1876-1117-715,6803,"witness, regular (mukinnu)",-,"TypeLegal documentSubtypeextra witness (ana šībūti, ana mukinnūti)"
Bēl-aplu-iddin,Etellu,Adad-šumu-ēreš,Male,,46955,Bēl-aplu-iddin,Etellu,Adad-šumu-ēreš,Male,,6670,"highly probable","BM 30652",,"Wunsch 1993b, no. 184","Egibi Nūr-Sîn","Legal document","26.II.11 Nbn",545,Babylon,,-,https://nabucco.arts.kuleuven.be/item/30421,-,-,https://www.britishmuseum.org/collection/object/W_1876-1117-379,5441,"scribe (ṭupšarru)",-,"TypeLegal documentSubtypeextra witness (ana šībūti, ana mukinnūti)"
Bēl-ēṭir,Dummuqu,,Male,,58890,Bēl-ēṭir,Dummuqu,-,Male,,22495,"highly probable","MMA 86.11.161",,"CTMMA 3, no. 61","Egibi Nūr-Sîn","Legal document","13.IX.05 Cam",525,Babylon,,https://cdli.ucla.edu/P412339,-,-,-,-,6954,"witness, regular (mukinnu)",-,"TypeLegal documentSubtypeextra witness (ana šībūti, ana mukinnūti)"
Bēl-iddin,Bānia,[...],Male,,46951,Bēl-iddin,Bānia,[...],Male,,26837,"highly probable","BM 30652",,"Wunsch 1993b, no. 184","Egibi Nūr-Sîn","Legal document","26.II.11 Nbn",545,Babylon,,-,https://nabucco.arts.kuleuven.be/item/30421,-,-,https://www.britishmuseum.org/collection/object/W_1876-1117-379,5441,"witness, regular (mukinnu)",-,"TypeLegal documentSubtypeextra witness (ana šībūti, ana mukinnūti)"
Bēl-iddin,Bēl-rēmanni,Šigûa,Male,,58021,Bēl-iddin,Bēl-rēmanni,Šigûa,Male,,20212,"highly probable","BM 31303",,"Cyr 171","Egibi Nūr-Sîn","Legal document","23.V.04 Cyr",535,Babylon,,-,https://nabucco.arts.kuleuven.be/item/28645,http://www.achemenet.com/fr/item/?/sources-textuelles/textes-par-langues-et-ecritures/babylonien/archives-egibi/1668996,-,https://www.britishmuseum.org/collection/object/W_1876-1117-1030,6850,"scribe (ṭupšarru)",-,"TypeLegal documentSubtypeextra witness (ana šībūti, ana mukinnūti)"
Bēl-kēšir,Šulāya,Egibi,Male,Slave,58885,Bēl-kēšir,Šulāya,Egibi,Male,,18940,"highly probable","MMA 86.11.161",,"CTMMA 3, no. 61","Egibi Nūr-Sîn","Legal document","13.IX.05 Cam",525,Babylon,,https://cdli.ucla.edu/P412339,-,-,-,-,6954,seller,-,"TypeLegal documentSubtypeextra witness (ana šībūti, ana mukinnūti)"
Bēl-rēmanni,Marduk-mukīn-apli,Sîn-damāqu,Male,,58543,Bēl-rēmanni,Marduk-mukīn-apli,Sîn-udammiq,Male,,15330,"highly probable","BM 30837",,"Nbn 681","Egibi Nūr-Sîn","Legal document","19.XII.12 Nbn",543,Babylon,,-,https://nabucco.arts.kuleuven.be/item/30244,-,-,https://www.britishmuseum.org/collection/object/W_1876-1117-564,6916,"witness, regular (mukinnu)",-,"TypeLegal documentSubtypeextra witness (ana šībūti, ana mukinnūti)"
Burāšu,Aqara,Šig[ûa],Female,,55332,Burāšu,Aqara,Šigûa,Female,,19275,"highly probable","BM 30449",,"Wunsch 2000b, no. 92","Egibi Nūr-Sîn","Legal document","13.VIII.[10] Nbn",[546],Babylon,,-,https://nabucco.arts.kuleuven.be/item/29629,http://www.achemenet.com/en/item/?/textual-sources/texts-by-publication/Wunsch_CM_20/1328473,-,https://www.britishmuseum.org/collection/object/W_1876-1117-176,6529,"witness, extra",-,"TypeLegal documentSubtypeextra witness (ana šībūti, ana mukinnūti)"
Cambyses,,,Male,,58895,Cambyses,-,-,Male,,16420,"highly probable","MMA 86.11.161",,"CTMMA 3, no. 61","Egibi Nūr-Sîn","Legal document","13.IX.05 Cam",525,Babylon,,https://cdli.ucla.edu/P412339,-,-,-,-,6954,"king in date","šar Bābili šar mātāti","TypeLegal documentSubtypeextra witness (ana šībūti, ana mukinnūti)"
Cyrus,,,Male,,12575,Cyrus,-,-,Male,,16416,"highly probable","VAT 100","VAT 101","Baker 2004, no. 186a",Nappāhu,"Legal document","25.IX.06 Cyr",533,Babylon,"Seals, Other markings",https://cdli.ucla.edu/P371996,https://nabucco.arts.kuleuven.be/item/22042,,,,875,"king in date","šar Bābili šar mātāti","TypeLegal documentSubtypeextra witness (ana šībūti, ana mukinnūti)"
Cyrus,,,Male,,58022,Cyrus,-,-,Male,,16416,"highly probable","BM 31303",,"Cyr 171","Egibi Nūr-Sîn","Legal document","23.V.04 Cyr",535,Babylon,,-,https://nabucco.arts.kuleuven.be/item/28645,http://www.achemenet.com/fr/item/?/sources-textuelles/textes-par-langues-et-ecritures/babylonien/archives-egibi/1668996,-,https://www.britishmuseum.org/collection/object/W_1876-1117-1030,6850,"king in date","šar Bābili šar mātāti","TypeLegal documentSubtypeextra witness (ana šībūti, ana mukinnūti)"
Darius,,,Male,,7660,Darius,-,-,Male,,16371,"highly probable","BM 94836",,"Waerzeggers 2010, no. 2",Ahiya’ūtu,"Legal document","29.I.[-] Dar I",-,Borsippa,,https://cdli.ucla.edu/P521502,-,-,-,https://www.britishmuseum.org/collection/object/W_1901-1012-489,11,"king in date",-,"TypeLegal documentSubtypeextra witness (ana šībūti, ana mukinnūti)"
Darius,,,Male,,10874,Darius,-,-,Male,,16371,"highly probable","BM 42578",,"Jursa 1999, p. 211","Šangû-Šamaš A","Legal document","17.X.[-] Dar I",-,Sippar,,-,https://nabucco.arts.kuleuven.be/item/32839,http://www.achemenet.com/fr/item/?/sources-textuelles/textes-par-langues-et-ecritures/babylonien/autres-archives-privees/1328083,-,https://www.britishmuseum.org/collection/object/W_1881-0701-338,1334,"king in date","šar Bābili šar mātāti","TypeLegal documentSubtypeextra witness (ana šībūti, ana mukinnūti)"
Darius,,,Male,,45623,Darius,-,-,Male,,16371,"highly probable","BM 82654","HSM 1899.2.140",unpublished,"Rē’i-alpi (Borsippa)","Legal document","06.XI.01 Dar I",521,Borsippa,,-,-,-,-,https://www.britishmuseum.org/collection/object/W_1894-0611-49,5259,"king in date","šar Bābili šar mātāti","TypeLegal documentSubtypeextra witness (ana šībūti, ana mukinnūti)"
Darius,,,Male,,45664,Darius,-,-,Male,,16371,"highly probable","BM 26577",,unpublished,"Rē’i-alpi (Borsippa)","Legal document","10.XI.01 Dar I",520,Borsippa,,,-,-,-,https://www.britishmuseum.org/collection/object/W_1898-0514-395,5267,"king in date","šar Bābili šar mātāti","TypeLegal documentSubtypeextra witness (ana šībūti, ana mukinnūti)"
Ea-ibni,Nergal-īpuš,Bēlia’u,Male,,46946,Ea-ibni,Nergal-īpuš,Bēlia’u,Male,,13553,"highly probable","BM 30652",,"Wunsch 1993b, no. 184","Egibi Nūr-Sîn","Legal document","26.II.11 Nbn",545,Babylon,,-,https://nabucco.arts.kuleuven.be/item/30421,-,-,https://www.britishmuseum.org/collection/object/W_1876-1117-379,5441,"witness, extra
witness, regular (mukinnu)",-,"TypeLegal documentSubtypeextra witness (ana šībūti, ana mukinnūti)"
Esagil-bēlet,Nabû-šumu-uṣur,Kidin-Sîn,Female,Land,45624,Ina-Esagil-bēlet,Nabû-šumu-uṣur,Kidin-Sîn,Female,,21061,"highly probable","BM 82654","HSM 1899.2.140",unpublished,"Rē’i-alpi (Borsippa)","Legal document","06.XI.01 Dar I",521,Borsippa,,-,-,-,-,https://www.britishmuseum.org/collection/object/W_1894-0611-49,5259,"passive (mentioned in relation to sb or sth else)",-,"TypeLegal documentSubtypeextra witness (ana šībūti, ana mukinnūti)"
Esagil-ramât,Balāṭu,Egibi,Female,Slave,6629,Ina-Esagil-ramât,Balāṭu,Egibi,Female,,713,"highly probable","VAT 100","VAT 101","Baker 2004, no. 186a",Nappāhu,"Legal document","25.IX.06 Cyr",533,Babylon,"Seals, Other markings",https://cdli.ucla.edu/P371996,https://nabucco.arts.kuleuven.be/item/22042,,,,875,buyer,-,"TypeLegal documentSubtypeextra witness (ana šībūti, ana mukinnūti)"
Gimil-Gula,Zēria,,Male,House,59181,Gimil-Gula,Zēria,-,Male,,22956,"highly probable","BM 30848",,"Ner 34","Egibi Nūr-Sîn","Legal document","27.II.02 Ner",558,Babylon,,https://cdli.ucla.edu/P405102,https://nabucco.arts.kuleuven.be/item/28594,-,-,https://www.britishmuseum.org/collection/object/W_1876-1117-575,6996,seller,-,"TypeLegal documentSubtypeextra witness (ana šībūti, ana mukinnūti)"
Gimil-Gula,Zēria,Itinnu,Male,,55333,Gimil-Gula,Zēria,Itinnu,Male,,18989,"highly probable","BM 30449",,"Wunsch 2000b, no. 92","Egibi Nūr-Sîn","Legal document","13.VIII.[10] Nbn",[546],Babylon,,-,https://nabucco.arts.kuleuven.be/item/29629,http://www.achemenet.com/en/item/?/textual-sources/texts-by-publication/Wunsch_CM_20/1328473,-,https://www.britishmuseum.org/collection/object/W_1876-1117-176,6529,"witness, regular (mukinnu)",-,"TypeLegal documentSubtypeextra witness (ana šībūti, ana mukinnūti)"
Gimil-Gula,Zēria,[Itinnu],Male,,55453,Gimil-Gula,Zēria,Itinnu,Male,,18989,"highly probable","Rm. 942",,"Wunsch 2000b, no. 97","Egibi Nūr-Sîn","Legal document","13.[VIII].[10] [Nbn]",[546],Broken/Unclear,,-,https://nabucco.arts.kuleuven.be/item/29755,http://www.achemenet.com/en/item/?/textual-sources/texts-by-publication/Wunsch_CM_20/1328488,-,https://www.britishmuseum.org/collection/object/W_Rm-942,6543,witness,-,"TypeLegal documentSubtypeextra witness (ana šībūti, ana mukinnūti)"
Gimillu,Balāssu,Miṣirāya,Male,,59787,Gimillu,Balāssu,Miṣirāya,Male,,21017,"highly probable","BM 31132",,"Nbn 194","Egibi Nūr-Sîn","Legal document","30.VI.05 Nbn",551,Babylon,,-,https://nabucco.arts.kuleuven.be/item/29197,-,,https://www.britishmuseum.org/collection/object/W_1876-1117-859,7068,"witness, regular (mukinnu)",-,"TypeLegal documentSubtypeextra witness (ana šībūti, ana mukinnūti)"
Gimillu,Tabnēa,Kidin-Sîn,Male,Land,45614,Gimillu,Tabnēa,Kidin-Sîn,Male,,23024,"highly probable","BM 82654","HSM 1899.2.140",unpublished,"Rē’i-alpi (Borsippa)","Legal document","06.XI.01 Dar I",521,Borsippa,,-,-,-,-,https://www.britishmuseum.org/collection/object/W_1894-0611-49,5259,seller,-,"TypeLegal documentSubtypeextra witness (ana šībūti, ana mukinnūti)"
Gimillu,Tabnēa,Kidin-Sîn,Male,Garden,45658,Gimillu,Tabnēa,Kidin-Sîn,Male,,23024,"highly probable","BM 26577",,unpublished,"Rē’i-alpi (Borsippa)","Legal document","10.XI.01 Dar I",520,Borsippa,,,-,-,-,https://www.britishmuseum.org/collection/object/W_1898-0514-395,5267,seller,-,"TypeLegal documentSubtypeextra witness (ana šībūti, ana mukinnūti)"
Gula-qa’išat,Ea-ibni,,Female,,46947,Gula-qa’išat,Ea-ibni,Bēlia’u,Female,,13568,"highly probable","BM 30652",,"Wunsch 1993b, no. 184","Egibi Nūr-Sîn","Legal document","26.II.11 Nbn",545,Babylon,,-,https://nabucco.arts.kuleuven.be/item/30421,-,-,https://www.britishmuseum.org/collection/object/W_1876-1117-379,5441,"witness, extra
witness, regular (mukinnu)",-,"TypeLegal documentSubtypeextra witness (ana šībūti, ana mukinnūti)"
Iddin-Bēl,Balāssu,Eppēš-ilī,Male,,6642,Iddin-Bēl,Balāssu,Eppēš-ilī,Male,,3487,"highly probable","VAT 100","VAT 101","Baker 2004, no. 186a",Nappāhu,"Legal document","25.IX.06 Cyr",533,Babylon,"Seals, Other markings",https://cdli.ucla.edu/P371996,https://nabucco.arts.kuleuven.be/item/22042,,,,875,"witness, regular (mukinnu)",-,"TypeLegal documentSubtypeextra witness (ana šībūti, ana mukinnūti)"
Iddin-Marduk,Nabû-mukīn-zēri,Asû,Male,,56015,Iddin-Marduk,Nabû-mukīn-zēri,Asû,Male,,19543,"highly probable","BM 40741",,"Wunsch 2000b, no. 131","Egibi Nūr-Sîn","Legal document","[-].[-].04 [Cyr]",[535/534],Babylon,,-,https://nabucco.arts.kuleuven.be/item/29506,http://www.achemenet.com/en/item/?/textual-sources/texts-by-publication/Wunsch_CM_20/1328584,-,https://www.britishmuseum.org/collection/object/W_1881-0428-286,6606,"witness, special (ina ašābi)",-,"TypeLegal documentSubtypeextra witness (ana šībūti, ana mukinnūti)"
Iddin-Marduk,[...],"Ea-ibni (?)",Male,,93,Iddin-Marduk,[...],Ea-ibni,Male,,26770,"highly probable","BM 94836",,"Waerzeggers 2010, no. 2",Ahiya’ūtu,"Legal document","29.I.[-] Dar I",-,Borsippa,,https://cdli.ucla.edu/P521502,-,-,-,https://www.britishmuseum.org/collection/object/W_1901-1012-489,11,"scribe (ṭupšarru)",-,"TypeLegal documentSubtypeextra witness (ana šībūti, ana mukinnūti)"
Iddin-Nabû,Ibnāya,Dābibī,Male,,57661,Iddin-Nabû,Ibnāya,Dābibī,Male,,19383,"highly probable","BM 30988",,"Nbn 903","Egibi Nūr-Sîn","Legal document","07.IX.15 Nbn",540,Babylon,,-,https://nabucco.arts.kuleuven.be/item/30112,-,-,https://www.britishmuseum.org/collection/object/W_1876-1117-715,6803,"witness, regular (mukinnu)",-,"TypeLegal documentSubtypeextra witness (ana šībūti, ana mukinnūti)"
Iddin-Nabû,Nabû-šumu-uṣur,[...],Male,,45619,Iddin-Nabû,Nabû-šumu-uṣur,[...],Male,,26884,"highly probable","BM 82654","HSM 1899.2.140",unpublished,"Rē’i-alpi (Borsippa)","Legal document","06.XI.01 Dar I",521,Borsippa,,-,-,-,-,https://www.britishmuseum.org/collection/object/W_1894-0611-49,5259,"witness, regular (mukinnu)",-,"TypeLegal documentSubtypeextra witness (ana šībūti, ana mukinnūti)"
Iddin-Nabû,Šulāya,Rab-banê,Male,,6630,Iddin-Nabû,Šulāya,Rab-banê,Male,,749,"highly probable","VAT 100","VAT 101","Baker 2004, no. 186a",Nappāhu,"Legal document","25.IX.06 Cyr",533,Babylon,"Seals, Other markings",https://cdli.ucla.edu/P371996,https://nabucco.arts.kuleuven.be/item/22042,,,,875,"witness, extra",-,"TypeLegal documentSubtypeextra witness (ana šībūti, ana mukinnūti)"
Iddināya,Nabû-ēṭir,Nappāhu,Male,,58544,Iddin-Marduk,Nabû-ēṭir,Nappāhu,Male,,22069,"highly probable","BM 30837",,"Nbn 681","Egibi Nūr-Sîn","Legal document","19.XII.12 Nbn",543,Babylon,,-,https://nabucco.arts.kuleuven.be/item/30244,-,-,https://www.britishmuseum.org/collection/object/W_1876-1117-564,6916,"witness, regular (mukinnu)",-,"TypeLegal documentSubtypeextra witness (ana šībūti, ana mukinnūti)"
Ilat,Nabû-ēṭir,,Female,,59183,Ilat,Nabû-ēṭir,-,Female,,27168,"highly probable","BM 30848",,"Ner 34","Egibi Nūr-Sîn","Legal document","27.II.02 Ner",558,Babylon,,https://cdli.ucla.edu/P405102,https://nabucco.arts.kuleuven.be/item/28594,-,-,https://www.britishmuseum.org/collection/object/W_1876-1117-575,6996,"witness, extra
witness, special (ina ašābi)",-,"TypeLegal documentSubtypeextra witness (ana šībūti, ana mukinnūti)"
Ina-Esagil-bēlet,Nabû-šumu-uṣur,Kidin-Sîn,Female,Garden,45657,Ina-Esagil-bēlet,Nabû-šumu-uṣur,Kidin-Sîn,Female,,21061,"highly probable","BM 26577",,unpublished,"Rē’i-alpi (Borsippa)","Legal document","10.XI.01 Dar I",520,Borsippa,,,-,-,-,https://www.britishmuseum.org/collection/object/W_1898-0514-395,5267,"witness, extra",-,"TypeLegal documentSubtypeextra witness (ana šībūti, ana mukinnūti)"
