Name,Patronym,"Family name",Gender,Owns,"Attestation ID",ind.Name,ind.Patronym,"ind.Family name",ind.Gender,Biography,PID,Probability,"Museum no.",Duplicate,Publication,Archive,Type,Date,"Julian date","Place of writing",Has,"Cdli URL","Nabucco URL","Achemenet URL","Oracc URL","British Museum URL","Tablet ID",Role,Title,"Type and objects"
,,Ilūtu-bāni,Male,Land,3060,-,-,Ilūtu-bāni,Male,,13257,"highly probable","HS 450",,"Joannès 1989, p. 169","Ea-ilūtu-bāni, Ilī-bāni, Nanāhu","Legal document","07.IX.00 Nbk III",522,Borsippa,,,http://nabucco.arts.kuleuven.be/item/25372,,,,116,eponym,-,"TypeLegal documentSubtypegift"
Adad-ibni,Nabû-zēru-līšir,Ile’’i-bulluṭu,Male,,16843,Adad-ibni,Nabû-zēru-līšir,Ile’’i-bulluṭu,Male,,2692,"highly probable","BM 33070",,"Wunsch 1993b, no. 19","Egibi Nūr-Sîn","Legal document","24.VII.35 Nbk II",570,Babylon,,-,https://nabucco.arts.kuleuven.be/item/30133,-,-,https://www.britishmuseum.org/collection/object/W_1878-1120-4,2203,"scribe (ṭupšarru)",-,"TypeLegal documentSubtypegift"
Adad-šumu-iddin,Niqūdu,Šangû-Adad,Male,,32599,Adad-šumu-iddin,Niqūdu,Šangû-Adad,Male,,18202,"highly probable","BM 94712",,"Waerzeggers 2010, no. 172","Rē’i-alpi (Borsippa)","Legal document","20.IX.01 Dar I",521,Borsippa,,https://cdli.ucla.edu/P521626,-,-,-,https://www.britishmuseum.org/collection/object/W_1901-1012-365,3730,"witness, regular (mukinnu)",-,"TypeLegal documentSubtypegift"
Adad-šumu-iddin,Niqūdu,Šangû-Adad,Male,,45603,Adad-šumu-iddin,Niqūdu,Šangû-Adad,Male,,18202,"highly probable","EAH 211","EAH 253","BE 8/1, 102","Rē’i-alpi (Borsippa)","Legal document","20.IX.01 Dar I",521,Borsippa,,,,,,,5255,"witness, regular (mukinnu)",-,"TypeLegal documentSubtypegift"
Ahāssunu,,,Female,,66850,Ahāssunu,-,-,Female,,13517,"highly probable","BM 41434","BM 41316","Pinches 1988, pp. 3-5","Egibi Nūr-Sîn","Legal document","05.III.16 Dar I",506,Babylon,,-,https://nabucco.arts.kuleuven.be/item/28930,-,-,https://www.britishmuseum.org/collection/object/W_1881-0625-45,7893,"object of transaction",-,"TypeLegal documentSubtypegift"
Ahūšunu,,,Male,,66849,Ahūšunu,-,-,Male,,20143,"highly probable","BM 41434","BM 41316","Pinches 1988, pp. 3-5","Egibi Nūr-Sîn","Legal document","05.III.16 Dar I",506,Babylon,,-,https://nabucco.arts.kuleuven.be/item/28930,-,-,https://www.britishmuseum.org/collection/object/W_1881-0625-45,7893,"object of transaction",-,"TypeLegal documentSubtypegift"
Alluttu,,,Female,,65890,Alluttu,-,-,Female,,21976,"highly probable","BM 33933",,"Roth 1991, p. 33, n. 43","Egibi Nūr-Sîn","Legal document","26.IX.33 Dar I",488,Broken/Unclear,,https://cdli.ucla.edu/P405021,-,-,-,https://www.britishmuseum.org/collection/object/W_SP-29,7806,"object of transaction",aštapiru,"TypeLegal documentSubtypegift"
Amat-Bābu,Kalbāya,Nabāya,Female,"Land, Slave",66855,Amat-Bābu,Kalbāya,Nabāya,Female,,18931,"highly probable","BM 41434","BM 41316","Pinches 1988, pp. 3-5","Egibi Nūr-Sîn","Legal document","05.III.16 Dar I",506,Babylon,,-,https://nabucco.arts.kuleuven.be/item/28930,-,-,https://www.britishmuseum.org/collection/object/W_1881-0625-45,7893,donee,-,"TypeLegal documentSubtypegift"
Amat-Bābu,Kalbāya,Nab[āya],Female,Slave,66789,Amat-Bābu,Kalbāya,Nabāya,Female,,18931,"highly probable","BM 33997",,"Wunsch 1995-1996, pp. 56-59, no. 8","Egibi Nūr-Sîn","Legal document",-,-,Broken/Unclear,,-,-,-,-,https://www.britishmuseum.org/collection/object/W_SP-93,7889,"donee
donor",-,"TypeLegal documentSubtypegift"
Amat-Ninlil,,,Female,,2141,Amat-Ninlil,Balāṭu,Egibi,Female,,11,"highly probable","LB 1326","VAT 110","Baker 2004, no. 19a",Nappāhu,"Legal document","20.XII.00 Cam",529,Babylon,,https://cdli.ucla.edu/P371777,http://nabucco.arts.kuleuven.be/nabucco/item/22585,,,,278,donee,-,"TypeLegal documentSubtypegift"
