Name,Patronym,"Family name",Gender,Owns,"Attestation ID",ind.Name,ind.Patronym,"ind.Family name",ind.Gender,Biography,PID,Probability,"Museum no.",Duplicate,Publication,Archive,Type,Date,"Julian date","Place of writing",Has,"Cdli URL","Nabucco URL","Achemenet URL","Oracc URL","British Museum URL","Tablet ID",Role,Title,"Type and objects"
Ahūšunu,[...],,Male,,23683,Ahūšunu,[...],-,Male,,15199,"highly probable","Unknown (IM)",,"UET 4, 193","Gallābu (Ur)","Legal document","[-].[IV]?.[13]? Art I",[452]?,Ur,,https://cdli.ucla.edu/P414889,-,,,,2857,witness,-,"TypeLegal documentSubtypeinheritance-related"
Amat-Ninlil,,,Female,,2141,Amat-Ninlil,Balāṭu,Egibi,Female,,11,"highly probable","LB 1326","VAT 110","Baker 2004, no. 19a",Nappāhu,"Legal document","20.XII.00 Cam",529,Babylon,,https://cdli.ucla.edu/P371777,http://nabucco.arts.kuleuven.be/nabucco/item/22585,,,,278,donee,-,"TypeLegal documentSubtypeinheritance-related"
Amat-Ninlil,,,Female,,56296,Amat-Ninlil,-,-,Female,,20102,"highly probable","BM 33007",,"Wunsch 2000b, no. 148","Egibi Nūr-Sîn","Legal document","19.XI.07 Cyr",531,Babylon,,-,https://nabucco.arts.kuleuven.be/item/28690,http://www.achemenet.com/en/item/?/textual-sources/texts-by-publication/Wunsch_CM_20/1328635,-,https://www.britishmuseum.org/collection/object/W_1878-0730-1,6645,"passive (mentioned in relation to sb or sth else)",-,"TypeLegal documentSubtypeinheritance-related"
Amat-Ninlil,,,Female,,66440,Amat-Ninlil,Tabnēa,Ahu-bani,Female,,27036,"highly probable","BM 33092",,"Roth 1989-1990, App. C, no. 2","Egibi Nūr-Sîn","Legal document","26.VIII.41 Nbk II",564,Broken/Unclear,,-,-,-,-,https://www.britishmuseum.org/collection/object/W_1879-0430-1,7855,"dowry owner
heir",-,"TypeLegal documentSubtypeinheritance-related"
Amat-Ninlil,,,Female,"Field, Garden, Land",56307,Amat-Ninlil,-,-,Female,,20102,"highly probable","BM 32152",,"Wunsch 2000b, no. 149","Egibi Nūr-Sîn","Legal document","[-].III.03+[x] Cyr","after 536",Babylon,Seals,-,https://nabucco.arts.kuleuven.be/item/28816,http://www.achemenet.com/en/item/?/textual-sources/texts-by-publication/Wunsch_CM_20/1328638,-,https://www.britishmuseum.org/collection/object/W_1876-1117-1879,6646,"land owner
passive (mentioned in relation to sb or sth else)",-,"TypeLegal documentSubtypeinheritance-related"
Amīl-Marduk,,,Male,,65027,Amīl-Marduk,-,-,Male,,16419,"highly probable","BM 30646",,"Sack 1972, no. 15","Egibi Nūr-Sîn","Legal document","13.VIII.01 AM",561,Babylon,,https://cdli.ucla.edu/P481193,-,-,,https://www.britishmuseum.org/collection/object/W_1876-1117-373,7682,"king in date","šar Bābili","TypeLegal documentSubtypeinheritance-related"
Anonymous,,,Female,,66431,Anonymous,-1,-1,Female,-,27867,"highly probable","BM 33092",,"Roth 1989-1990, App. C, no. 2","Egibi Nūr-Sîn","Legal document","26.VIII.41 Nbk II",564,Broken/Unclear,,-,-,-,-,https://www.britishmuseum.org/collection/object/W_1879-0430-1,7855,"object of transaction",amīlūtu,"TypeLegal documentSubtypeinheritance-related"
Anonymous,,,Female,,66871,Nanāya-bēlu-uṣrī,-,-,Female,,27459,"highly probable","BM 32205+",,"Wunsch 1995-1996, pp. 48-53, no. 2","Egibi Nūr-Sîn","Legal document","[-].[-].[-] Cam",-,Babylon,,-,-,-,-,https://www.britishmuseum.org/collection/object/W_1876-1117-1932,7895,"object of transaction",amīlūtu,"TypeLegal documentSubtypeinheritance-related"
Anonymous,,,Male,,59310,-,-,-,-,-,-,"less probable","BM 32906",,"Cyr 128","Egibi Nūr-Sîn","Legal document","15.VIII.03 Cyr",536,Borsippa,,https://cdli.ucla.edu/P405082,-,-,-,https://www.britishmuseum.org/collection/object/W_1877-1115-16,7008,"(legal) authority",sartennu,"TypeLegal documentSubtypeinheritance-related"
Anonymous,,,Male,,59311,-,-,-,-,-,-,"less probable","BM 32906",,"Cyr 128","Egibi Nūr-Sîn","Legal document","15.VIII.03 Cyr",536,Borsippa,,https://cdli.ucla.edu/P405082,-,-,-,https://www.britishmuseum.org/collection/object/W_1877-1115-16,7008,"(legal) authority",broken/unclear,"TypeLegal documentSubtypeinheritance-related"
Anonymous,,,Male,,66430,-,-,-,-,-,-,"less probable","BM 33092",,"Roth 1989-1990, App. C, no. 2","Egibi Nūr-Sîn","Legal document","26.VIII.41 Nbk II",564,Broken/Unclear,,-,-,-,-,https://www.britishmuseum.org/collection/object/W_1879-0430-1,7855,"object of transaction",amīlūtu,"TypeLegal documentSubtypeinheritance-related"
Anonymous,,,Male,,66432,-,-,-,-,-,-,"less probable","BM 33092",,"Roth 1989-1990, App. C, no. 2","Egibi Nūr-Sîn","Legal document","26.VIII.41 Nbk II",564,Broken/Unclear,,-,-,-,-,https://www.britishmuseum.org/collection/object/W_1879-0430-1,7855,"object of transaction",amīlūtu,"TypeLegal documentSubtypeinheritance-related"
Anonymous,Nabû-ušallim,Ilia,Male,"Prebend, Other",3738,Nabû-kuṣuršu,Nabû-ušallim,Ilia,Male,,22076,"highly probable","BM 82695",,"Waerzeggers 2010, no. 19","Ilia A+B","Legal document","[-].[-].[-] Cam",-,Borsippa,,https://cdli.ucla.edu/P521514,-,-,-,https://www.britishmuseum.org/collection/object/W_1894-0717-13,482,"passive (mentioned in relation to sb or sth else)",-,"TypeLegal documentSubtypeinheritance-related"
"Anonymous group",,,Female,,66429,"Anonymous Group",-1,-1,Female,-,27863,"highly probable","BM 33092",,"Roth 1989-1990, App. C, no. 2","Egibi Nūr-Sîn","Legal document","26.VIII.41 Nbk II",564,Broken/Unclear,,-,-,-,-,https://www.britishmuseum.org/collection/object/W_1879-0430-1,7855,"object of transaction",amīlūtu,"TypeLegal documentSubtypeinheritance-related"
"Anonymous group",,,Male,,30313,-,-,-,-,-,-,"less probable","Unknown (IM)",,"UET 4, 60","Gallābu (Ur)","Legal document","25.II.16 Art II",404,"Not mentioned",Fingernails,https://cdli.ucla.edu/P414756,-,,,,3448,"land owner",kutallu,"TypeLegal documentSubtypeinheritance-related"
"Anonymous group",,,Male,,59312,-,-,-,-,-,-,"less probable","BM 32906",,"Cyr 128","Egibi Nūr-Sîn","Legal document","15.VIII.03 Cyr",536,Borsippa,,https://cdli.ucla.edu/P405082,-,-,-,https://www.britishmuseum.org/collection/object/W_1877-1115-16,7008,"(legal) authority",dayyānu,"TypeLegal documentSubtypeinheritance-related"
"Anonymous group",,,Male,,66433,"Anonymous Group",-1,-1,Male,-,29623,"highly probable","BM 33092",,"Roth 1989-1990, App. C, no. 2","Egibi Nūr-Sîn","Legal document","26.VIII.41 Nbk II",564,Broken/Unclear,,-,-,-,-,https://www.britishmuseum.org/collection/object/W_1879-0430-1,7855,"object of transaction",amīlūtu,"TypeLegal documentSubtypeinheritance-related"
"Anonymous group",,,Male,,66872,"Anonymous Group",-1,-1,Male,-,23757,"highly probable","BM 32205+",,"Wunsch 1995-1996, pp. 48-53, no. 2","Egibi Nūr-Sîn","Legal document","[-].[-].[-] Cam",-,Babylon,,-,-,-,-,https://www.britishmuseum.org/collection/object/W_1876-1117-1932,7895,"object of transaction",amīlūtu,"TypeLegal documentSubtypeinheritance-related"
"Anonymous group",,,Male,,66878,"Anonymous Group",-1,-1,Male,-,23758,"highly probable","BM 32205+",,"Wunsch 1995-1996, pp. 48-53, no. 2","Egibi Nūr-Sîn","Legal document","[-].[-].[-] Cam",-,Babylon,,-,-,-,-,https://www.britishmuseum.org/collection/object/W_1876-1117-1932,7895,"object of transaction",amīlūtu,"TypeLegal documentSubtypeinheritance-related"
