Name,Patronym,"Family name",Gender,Owns,"Attestation ID",ind.Name,ind.Patronym,"ind.Family name",ind.Gender,Biography,PID,Probability,"Museum no.",Duplicate,Publication,Archive,Type,Date,"Julian date","Place of writing",Has,"Cdli URL","Nabucco URL","Achemenet URL","Oracc URL","British Museum URL","Tablet ID",Role,Title,"Type and objects"
Balāṭu,,,Male,House,65707,Balāṭu,-,-,Male,,26189,"highly probable","MLC 714",,"BRM 1, 78","Balāṭu, slave of Rēmūt-Bēl","Legal document","33?.I.20+[x] Dar I","after 502",Borsippa,,https://cdli.ucla.edu/P295505,,,,-,7738,lessor,qallu,"TypeLegal documentSubtypelease contract (ana ašbūti)"
Bānia,Itti-Marduk-balāṭu,Šigûa,Male,,45280,Bānia,Itti-Marduk-balāṭu,Šigûa,Male,,13583,"highly probable","BM 30483",,"Wunsch 1993b, no. 144","Egibi Nūr-Sîn","Legal document","26+[x].VII.07 Nbn",549,Babylon,,-,https://nabucco.arts.kuleuven.be/item/29893,-,-,https://www.britishmuseum.org/collection/object/W_1876-1117-210,5217,"witness, regular (mukinnu)",-,"TypeLegal documentSubtypelease contract (ana ašbūti)"
Bēl-kāṣir,Nabû-zēru-ibni,Nanāhu,Male,,65710,Bēl-kāṣir,Nabû-zēru-ibni,Nanāhu,Male,,11678,"highly probable","MLC 714",,"BRM 1, 78","Balāṭu, slave of Rēmūt-Bēl","Legal document","33?.I.20+[x] Dar I","after 502",Borsippa,,https://cdli.ucla.edu/P295505,,,,-,7738,lessee,-,"TypeLegal documentSubtypelease contract (ana ašbūti)"
Bēl-ušēzib,Balīhû,Sippê,Male,,45281,Bēl-ušēzib,Balīhû,Sippê,Male,,13607,"highly probable","BM 30483",,"Wunsch 1993b, no. 144","Egibi Nūr-Sîn","Legal document","26+[x].VII.07 Nbn",549,Babylon,,-,https://nabucco.arts.kuleuven.be/item/29893,-,-,https://www.britishmuseum.org/collection/object/W_1876-1117-210,5217,"witness, regular (mukinnu)",-,"TypeLegal documentSubtypelease contract (ana ašbūti)"
Darius,,,Male,,65373,Darius,-,-,Male,,16371,"highly probable","MLC 714",,"BRM 1, 78","Balāṭu, slave of Rēmūt-Bēl","Legal document","33?.I.20+[x] Dar I","after 502",Borsippa,,https://cdli.ucla.edu/P295505,,,,-,7738,"king in date","šar Bābili šar mātāti","TypeLegal documentSubtypelease contract (ana ašbūti)"
Iddin-Bēl,Bēl-mukīn-zēri,Nanāhu,Male,,65712,Iddin-Bēl,Bēl-mukīn-zēri,Nanāhu,Male,,25851,"highly probable","MLC 714",,"BRM 1, 78","Balāṭu, slave of Rēmūt-Bēl","Legal document","33?.I.20+[x] Dar I","after 502",Borsippa,,https://cdli.ucla.edu/P295505,,,,-,7738,"witness, regular (mukinnu)",-,"TypeLegal documentSubtypelease contract (ana ašbūti)"
Iddin-Nabû,Bānia,Mudammiq-Adad,Male,,45282,Iddin-Nabû,Bānia,Mudammiq-Adad,Male,,13580,"highly probable","BM 30483",,"Wunsch 1993b, no. 144","Egibi Nūr-Sîn","Legal document","26+[x].VII.07 Nbn",549,Babylon,,-,https://nabucco.arts.kuleuven.be/item/29893,-,-,https://www.britishmuseum.org/collection/object/W_1876-1117-210,5217,"scribe (ṭupšarru)",-,"TypeLegal documentSubtypelease contract (ana ašbūti)"
Iddin-Nabû,Kalbāya,Šalala,Male,,65713,Iddin-Nabû,Kalbāya,Šalala,Male,,26874,"highly probable","MLC 714",,"BRM 1, 78","Balāṭu, slave of Rēmūt-Bēl","Legal document","33?.I.20+[x] Dar I","after 502",Borsippa,,https://cdli.ucla.edu/P295505,,,,-,7738,"witness, regular (mukinnu)",-,"TypeLegal documentSubtypelease contract (ana ašbūti)"
Kidin-Marduk,Nabû-mukīn-apli,,Male,,65714,Kidin-Marduk,Nabû-mukīn-apli,-,Male,,26922,"highly probable","MLC 714",,"BRM 1, 78","Balāṭu, slave of Rēmūt-Bēl","Legal document","33?.I.20+[x] Dar I","after 502",Borsippa,,https://cdli.ucla.edu/P295505,,,,-,7738,"scribe (ṭupšarru)",ṭupšarru,"TypeLegal documentSubtypelease contract (ana ašbūti)"
Marduk-šumu-iddin,Šāpik-zēri,Esagilāya,Male,House,45278,Marduk-šumu-iddin,Šāpik-zēri,Esagilāya,Male,,13612,"highly probable","BM 30483",,"Wunsch 1993b, no. 144","Egibi Nūr-Sîn","Legal document","26+[x].VII.07 Nbn",549,Babylon,,-,https://nabucco.arts.kuleuven.be/item/29893,-,-,https://www.britishmuseum.org/collection/object/W_1876-1117-210,5217,lessor,-,"TypeLegal documentSubtypelease contract (ana ašbūti)"
