Name,Patronym,"Family name",Gender,Owns,"Attestation ID",ind.Name,ind.Patronym,"ind.Family name",ind.Gender,Biography,PID,Probability,"Museum no.",Duplicate,Publication,Archive,Type,Date,"Julian date","Place of writing",Has,"Cdli URL","Nabucco URL","Achemenet URL","Oracc URL","British Museum URL","Tablet ID",Role,Title,"Type and objects"
Ahu-iddin,Iddināya,,Male,,31381,-,-,-,-,-,-,"less probable","CBS 5404",,"BE 9, 43",Murašû,"Legal document","20.IX.35 Art I",430,Nippur,Epigraphs,https://cdli.ucla.edu/P261598,,http://www.achemenet.com/fr/item/?/sources-textuelles/textes-par-langues-et-ecritures/babylonien/archives-murasu/2043570,,,3604,lessee,-,"TypeLegal documentSubtypelease contract (ana bappirūti)"
Ardia,Erībāya,,Male,,31420,-,-,-,-,-,-,"less probable","CBS 5404",,"BE 9, 43",Murašû,"Legal document","20.IX.35 Art I",430,Nippur,Epigraphs,https://cdli.ucla.edu/P261598,,http://www.achemenet.com/fr/item/?/sources-textuelles/textes-par-langues-et-ecritures/babylonien/archives-murasu/2043570,,,3604,"witness, regular (mukinnu)",-,"TypeLegal documentSubtypelease contract (ana bappirūti)"
Artaxerxes,,,Male,,31438,-,-,-,-,-,-,"less probable","CBS 5404",,"BE 9, 43",Murašû,"Legal document","20.IX.35 Art I",430,Nippur,Epigraphs,https://cdli.ucla.edu/P261598,,http://www.achemenet.com/fr/item/?/sources-textuelles/textes-par-langues-et-ecritures/babylonien/archives-murasu/2043570,,,3604,"king in date","šar mātāti","TypeLegal documentSubtypelease contract (ana bappirūti)"
Enlil-ahu-iddin,Enlil-uballiṭ,,Male,,31432,-,-,-,-,-,-,"less probable","CBS 5404",,"BE 9, 43",Murašû,"Legal document","20.IX.35 Art I",430,Nippur,Epigraphs,https://cdli.ucla.edu/P261598,,http://www.achemenet.com/fr/item/?/sources-textuelles/textes-par-langues-et-ecritures/babylonien/archives-murasu/2043570,,,3604,"witness, regular (mukinnu)",-,"TypeLegal documentSubtypelease contract (ana bappirūti)"
Enlil-kēšir,Arad-Enlil,,Male,,31414,-,-,-,-,-,-,"less probable","CBS 5404",,"BE 9, 43",Murašû,"Legal document","20.IX.35 Art I",430,Nippur,Epigraphs,https://cdli.ucla.edu/P261598,,http://www.achemenet.com/fr/item/?/sources-textuelles/textes-par-langues-et-ecritures/babylonien/archives-murasu/2043570,,,3604,"witness, regular (mukinnu)",-,"TypeLegal documentSubtypelease contract (ana bappirūti)"
Enlil-[...],Silim-ilāni,,Male,,31426,-,-,-,-,-,-,"less probable","CBS 5404",,"BE 9, 43",Murašû,"Legal document","20.IX.35 Art I",430,Nippur,Epigraphs,https://cdli.ucla.edu/P261598,,http://www.achemenet.com/fr/item/?/sources-textuelles/textes-par-langues-et-ecritures/babylonien/archives-murasu/2043570,,,3604,"witness, regular (mukinnu)",-,"TypeLegal documentSubtypelease contract (ana bappirūti)"
Itti-Enlil-balāṭu,Ninurta-nāṣir,,Male,,31435,-,-,-,-,-,-,"less probable","CBS 5404",,"BE 9, 43",Murašû,"Legal document","20.IX.35 Art I",430,Nippur,Epigraphs,https://cdli.ucla.edu/P261598,,http://www.achemenet.com/fr/item/?/sources-textuelles/textes-par-langues-et-ecritures/babylonien/archives-murasu/2043570,,,3604,"scribe (ṭupšarru)",-,"TypeLegal documentSubtypelease contract (ana bappirūti)"
Lâbâši,Ubāru,,Male,,31417,-,-,-,-,-,-,"less probable","CBS 5404",,"BE 9, 43",Murašû,"Legal document","20.IX.35 Art I",430,Nippur,Epigraphs,https://cdli.ucla.edu/P261598,,http://www.achemenet.com/fr/item/?/sources-textuelles/textes-par-langues-et-ecritures/babylonien/archives-murasu/2043570,,,3604,"witness, regular (mukinnu)",-,"TypeLegal documentSubtypelease contract (ana bappirūti)"
Rībātu,Bēl-erība,,Male,,31387,-,-,-,-,-,-,"less probable","CBS 5404",,"BE 9, 43",Murašû,"Legal document","20.IX.35 Art I",430,Nippur,Epigraphs,https://cdli.ucla.edu/P261598,,http://www.achemenet.com/fr/item/?/sources-textuelles/textes-par-langues-et-ecritures/babylonien/archives-murasu/2043570,,,3604,lessor,-,"TypeLegal documentSubtypelease contract (ana bappirūti)"
Šamaš-ibni,Ahu-iddin,,Male,,31429,-,-,-,-,-,-,"less probable","CBS 5404",,"BE 9, 43",Murašû,"Legal document","20.IX.35 Art I",430,Nippur,Epigraphs,https://cdli.ucla.edu/P261598,,http://www.achemenet.com/fr/item/?/sources-textuelles/textes-par-langues-et-ecritures/babylonien/archives-murasu/2043570,,,3604,"witness, regular (mukinnu)",-,"TypeLegal documentSubtypelease contract (ana bappirūti)"
Silim-ilāni,Lâbâši,,Male,,31423,-,-,-,-,-,-,"less probable","CBS 5404",,"BE 9, 43",Murašû,"Legal document","20.IX.35 Art I",430,Nippur,Epigraphs,https://cdli.ucla.edu/P261598,,http://www.achemenet.com/fr/item/?/sources-textuelles/textes-par-langues-et-ecritures/babylonien/archives-murasu/2043570,,,3604,"witness, regular (mukinnu)",-,"TypeLegal documentSubtypelease contract (ana bappirūti)"
