Name,Patronym,"Family name",Gender,Owns,"Attestation ID",ind.Name,ind.Patronym,"ind.Family name",ind.Gender,Biography,PID,Probability,"Museum no.",Duplicate,Publication,Archive,Type,Date,"Julian date","Place of writing",Has,"Cdli URL","Nabucco URL","Achemenet URL","Oracc URL","British Museum URL","Tablet ID",Role,Title,"Type and objects"
Arad-Bēl,Tammeš-ladin,,Male,,45100,Arad-Bēl,Tammeš-ladin,-,Male,,16904,"highly probable","VAT 3126",,"San Nicolò and Ungnad 1929-1935, no. 375","Sîn-ilī (Babylon)","Legal document","[-].[-].01 [Ner]",[559/558],Bānītāya,,-,-,-,-,-,5183,lessee,-,"TypeLegal documentSubtypelease contract (ana dulli)"
Bēl-e[...],,Ina-[...],Male,,52525,Bēl-e[...],-,Ina-[...],Male,,26226,"highly probable","VAT 4933",,"VS 5, 106","Ilia C","Legal document","[-].[-].32 Dar I",573/572,Borsippa,,,,,,,6035,"scribe (ṭupšarru)",-,"TypeLegal documentSubtypelease contract (ana dulli)"
Cyrus,,,Male,,58627,Cyrus,-,-,Male,,16416,"highly probable","BM 29489",,"No publication","Ibnāya A","Legal document","02.IV?.05 Cyr",534,Borsippa,,-,-,-,-,https://www.britishmuseum.org/collection/object/W_1898-1114-122,6926,"king in date","šar Bābili u mātāti","TypeLegal documentSubtypelease contract (ana dulli)"
Darius,,,Male,,52524,Darius,-,-,Male,,16371,"highly probable","VAT 4933",,"VS 5, 106","Ilia C","Legal document","[-].[-].32 Dar I",573/572,Borsippa,,,,,,,6035,"king in date","šar mātāti","TypeLegal documentSubtypelease contract (ana dulli)"
Erība-Marduk,Ṣillāya,Eppēš-ilī,Male,,45095,Erība-Marduk,Ṣillāya,Eppēš-ilī,Male,,16968,"highly probable","VAT 3126",,"San Nicolò and Ungnad 1929-1935, no. 375","Sîn-ilī (Babylon)","Legal document","[-].[-].01 [Ner]",[559/558],Bānītāya,,-,-,-,-,-,5183,neighbour,-,"TypeLegal documentSubtypelease contract (ana dulli)"
Gūzānu,,,Male,,58622,Gūzānu,-,-,Male,,20749,"highly probable","BM 29489",,"No publication","Ibnāya A","Legal document","02.IV?.05 Cyr",534,Borsippa,,-,-,-,-,https://www.britishmuseum.org/collection/object/W_1898-1114-122,6926,lessee,qallu,"TypeLegal documentSubtypelease contract (ana dulli)"
Iddin-Bēl,Nūrea,Ilia,Male,,51188,Iddin-Bēl,Nūrea,Ilia,Male,,24109,"highly probable","VAT 4933",,"VS 5, 106","Ilia C","Legal document","[-].[-].32 Dar I",573/572,Borsippa,,,,,,,6035,lessor,-,"TypeLegal documentSubtypelease contract (ana dulli)"
Nabû-mukīn-zēri,Mār-bīti-ahhē-iddin,Ibnāya,Male,,58624,Nabû-mukīn-zēri,Mār-bīti-ahhē-iddin,Ibnāya,Male,,20636,"highly probable","BM 29489",,"No publication","Ibnāya A","Legal document","02.IV?.05 Cyr",534,Borsippa,,-,-,-,-,https://www.britishmuseum.org/collection/object/W_1898-1114-122,6926,"witness, regular (mukinnu)",-,"TypeLegal documentSubtypelease contract (ana dulli)"
Nabû-šumu-iddin,Nabû-mukīn-apli,Kidin-Nanāya,Male,,58625,Nabû-šumu-iddin,Nabû-mukīn-apli,Kidin-Nanāya,Male,,20643,"highly probable","BM 29489",,"No publication","Ibnāya A","Legal document","02.IV?.05 Cyr",534,Borsippa,,-,-,-,-,https://www.britishmuseum.org/collection/object/W_1898-1114-122,6926,"witness, regular (mukinnu)",-,"TypeLegal documentSubtypelease contract (ana dulli)"
Nabû-šumu-ukīn,Nādinu,Ibnāya,Male,"Field, Land",58621,Nabû-šumu-ukīn,Nādinu,Ibnāya,Male,,20644,"highly probable","BM 29489",,"No publication","Ibnāya A","Legal document","02.IV?.05 Cyr",534,Borsippa,,-,-,-,-,https://www.britishmuseum.org/collection/object/W_1898-1114-122,6926,"land owner
lessor",-,"TypeLegal documentSubtypelease contract (ana dulli)"
Nabû-ušallim,[...],Bēl-eṭēri,Male,,45104,Nabû-ušallim,[...],Bēl-eṭēri,Male,,17200,"highly probable","VAT 3126",,"San Nicolò and Ungnad 1929-1935, no. 375","Sîn-ilī (Babylon)","Legal document","[-].[-].01 [Ner]",[559/558],Bānītāya,,-,-,-,-,-,5183,"witness, regular (mukinnu)",-,"TypeLegal documentSubtypelease contract (ana dulli)"
Nabû-uṣuršu,,,Male,Slave,58623,Nabû-uṣuršu,-,-,Male,,20818,"highly probable","BM 29489",,"No publication","Ibnāya A","Legal document","02.IV?.05 Cyr",534,Borsippa,,-,-,-,-,https://www.britishmuseum.org/collection/object/W_1898-1114-122,6926,"master (of a slave)",-,"TypeLegal documentSubtypelease contract (ana dulli)"
Nergal-uballiṭ,Nabû-mukīn-zēri,Si’ātu,Male,,58626,Nergal-uballiṭ,Nabû-mukīn-zēri,Si’ātu,Male,,20661,"highly probable","BM 29489",,"No publication","Ibnāya A","Legal document","02.IV?.05 Cyr",534,Borsippa,,-,-,-,-,https://www.britishmuseum.org/collection/object/W_1898-1114-122,6926,"scribe (ṭupšarru)",ṭupšarru,"TypeLegal documentSubtypelease contract (ana dulli)"
Ne[riglissar],,,Male,,45109,Neriglissar,-,-,Male,,16417,"less probable","VAT 3126",,"San Nicolò and Ungnad 1929-1935, no. 375","Sîn-ilī (Babylon)","Legal document","[-].[-].01 [Ner]",[559/558],Bānītāya,,-,-,-,-,-,5183,"king in date","šar Bābili","TypeLegal documentSubtypelease contract (ana dulli)"
Nidintu,Bulluṭu,,Male,,52523,Nidintu,Bulluṭu,-,Male,,27299,"highly probable","VAT 4933",,"VS 5, 106","Ilia C","Legal document","[-].[-].32 Dar I",573/572,Borsippa,,,,,,,6035,lessee,-,"TypeLegal documentSubtypelease contract (ana dulli)"
Niqūdu,Aplāya,Eppēš-ilī,Male,Field,45097,Niqūdu,Aplāya,Eppēš-ilī,Male,,17233,"highly probable","VAT 3126",,"San Nicolò and Ungnad 1929-1935, no. 375","Sîn-ilī (Babylon)","Legal document","[-].[-].01 [Ner]",[559/558],Bānītāya,,-,-,-,-,-,5183,seller,-,"TypeLegal documentSubtypelease contract (ana dulli)"
Nūrea,Balāssu,Ilia,Male,Field,51464,Nūrea,Balāssu,Ilia,Male,,28099,"highly probable","VAT 4933",,"VS 5, 106","Ilia C","Legal document","[-].[-].32 Dar I",573/572,Borsippa,,,,,,,6035,neighbour,-,"TypeLegal documentSubtypelease contract (ana dulli)"
Rahim,Kuna-rapā,,Male,Field,52522,Rahim,Kuna-rapā,-,Male,,27156,"highly probable","VAT 4933",,"VS 5, 106","Ilia C","Legal document","[-].[-].32 Dar I",573/572,Borsippa,,,,,,,6035,neighbour,-,"TypeLegal documentSubtypelease contract (ana dulli)"
