Name,Patronym,"Family name",Gender,Owns,"Attestation ID",ind.Name,ind.Patronym,"ind.Family name",ind.Gender,Biography,PID,Probability,"Museum no.",Duplicate,Publication,Archive,Type,Date,"Julian date","Place of writing",Has,"Cdli URL","Nabucco URL","Achemenet URL","Oracc URL","British Museum URL","Tablet ID",Role,Title,"Type and objects"
,,Ea-ilūtu-bāni,Male,,20572,-,-,Ea-ilūtu-bāni,Male,,13256,"highly probable","NBC 8362",,unpublished,"Ea-ilūtu-bāni, Ilī-bāni, Nanāhu","Legal document","12.III.02 AM",560,Borsippa,,https://cdli.ucla.edu/P299722,https://nabucco.arts.kuleuven.be/item/25564,,,,2500,eponym,-,"TypeLegal documentSubtypelease contract (ana errēšūti)"
,,Esagil-[amassu],Male,Land,15227,-,-,Esagil-amassu,Male,,13503,"highly probable","YBC 9163",,"Joannès 1989, pp. 326-327","Ea-ilūtu-bāni, Ilī-bāni, Nanāhu","Legal document","24.VIII.00 Nbk III",522,Borsippa,,https://cdli.ucla.edu/P309885,https://nabucco.arts.kuleuven.be/item/25348,,,,1856,eponym,-,"TypeLegal documentSubtypelease contract (ana errēšūti)"
Ahu-it[...],,,Male,Land,49849,Ahu-[...],-,-,Male,,17347,"highly probable","Unknown (IM)",,"UET 4, 45",Nidinti-Ea,"Legal document","17.VII.12+[x] Art II","after 393",Ur,Seals,https://cdli.ucla.edu/P414741,-,-,-,-,5795,neighbour,-,"TypeLegal documentSubtypelease contract (ana errēšūti)"
Amat-[...],,,Female,Land,15311,Amat-Sutīti,Nādinu,Ilī-bāni,Female,,11141,probable,"YBC 9163",,"Joannès 1989, pp. 326-327","Ea-ilūtu-bāni, Ilī-bāni, Nanāhu","Legal document","24.VIII.00 Nbk III",522,Borsippa,,https://cdli.ucla.edu/P309885,https://nabucco.arts.kuleuven.be/item/25348,,,,1856,broken/unclear,-,"TypeLegal documentSubtypelease contract (ana errēšūti)"
Amīl-Marduk,,,Male,,20581,Amīl-Marduk,-,-,Male,,16419,"highly probable","NBC 8362",,unpublished,"Ea-ilūtu-bāni, Ilī-bāni, Nanāhu","Legal document","12.III.02 AM",560,Borsippa,,https://cdli.ucla.edu/P299722,https://nabucco.arts.kuleuven.be/item/25564,,,,2500,"king in date","šar Bābili","TypeLegal documentSubtypelease contract (ana errēšūti)"
Anonymous,,,Male,,49851,Anonymous,-1,-1,Male,-,17356,"highly probable","Unknown (IM)",,"UET 4, 45",Nidinti-Ea,"Legal document","17.VII.12+[x] Art II","after 393",Ur,Seals,https://cdli.ucla.edu/P414741,-,-,-,-,5795,broken/unclear,broken/unclear,"TypeLegal documentSubtypelease contract (ana errēšūti)"
Anonymous,,,Male,Other,49847,Anonymous,-1,-1,Male,-,17354,"highly probable","Unknown (IM)",,"UET 4, 45",Nidinti-Ea,"Legal document","17.VII.12+[x] Art II","after 393",Ur,Seals,https://cdli.ucla.edu/P414741,-,-,-,-,5795,"canal owner",broken/unclear,"TypeLegal documentSubtypelease contract (ana errēšūti)"
Aplāya,Enlil-balāssu-iqbi,,Male,,43983,-,-,-,-,-,-,"less probable","CBS 5435",,"BE 9, 102",Murašû,"Legal document","16.VII.41 Art I",424,Nippur,Seals,https://cdli.ucla.edu/P261629,,http://www.achemenet.com/fr/item/?/sources-textuelles/textes-par-langues-et-ecritures/babylonien/archives-murasu/2045074,,,5069,"sealer of the tablet",-,"TypeLegal documentSubtypelease contract (ana errēšūti)"
Aplāya,[...],,Male,,25165,-,-,-,-,-,-,"less probable","CBS 5378",,"BE 9, 3",Murašû,"Legal document","26.II.13 Art I",452,Bīt-Mūrānu,,https://cdli.ucla.edu/P261572,-,http://www.achemenet.com/fr/item/?/sources-textuelles/textes-par-langues-et-ecritures/babylonien/archives-murasu/2042471,-,-,3010,"scribe (ṭupšarru)",-,"TypeLegal documentSubtypelease contract (ana errēšūti)"
Aqara,Iddināya,,Male,,43976,-,-,-,-,-,-,"less probable","CBS 5435",,"BE 9, 102",Murašû,"Legal document","16.VII.41 Art I",424,Nippur,Seals,https://cdli.ucla.edu/P261629,,http://www.achemenet.com/fr/item/?/sources-textuelles/textes-par-langues-et-ecritures/babylonien/archives-murasu/2045074,,,5069,"sealer of the tablet
witness, regular (mukinnu)",-,"TypeLegal documentSubtypelease contract (ana errēšūti)"
Arad-Bēl,Mār-bīti-ēṭir,Iddin-Papsukkal,Male,,15233,Arad-Bēl,Mār-bīti-ēṭir,Iddin-Papsukkal,Male,,11408,"highly probable","YBC 9163",,"Joannès 1989, pp. 326-327","Ea-ilūtu-bāni, Ilī-bāni, Nanāhu","Legal document","24.VIII.00 Nbk III",522,Borsippa,,https://cdli.ucla.edu/P309885,https://nabucco.arts.kuleuven.be/item/25348,,,,1856,"lessee
payer",-,"TypeLegal documentSubtypelease contract (ana errēšūti)"
Arad-Gula,,,Male,Field,25111,-,-,-,-,-,-,"less probable","CBS 5378",,"BE 9, 3",Murašû,"Legal document","26.II.13 Art I",452,Bīt-Mūrānu,,https://cdli.ucla.edu/P261572,-,http://www.achemenet.com/fr/item/?/sources-textuelles/textes-par-langues-et-ecritures/babylonien/archives-murasu/2042471,-,-,3010,"land owner",-,"TypeLegal documentSubtypelease contract (ana errēšūti)"
Artaxerxes,,,Male,,25168,-,-,-,-,-,-,"less probable","CBS 5378",,"BE 9, 3",Murašû,"Legal document","26.II.13 Art I",452,Bīt-Mūrānu,,https://cdli.ucla.edu/P261572,-,http://www.achemenet.com/fr/item/?/sources-textuelles/textes-par-langues-et-ecritures/babylonien/archives-murasu/2042471,-,-,3010,"king in date","šar mātāti","TypeLegal documentSubtypelease contract (ana errēšūti)"
Artaxerxes,,,Male,,43981,-,-,-,-,-,-,"less probable","CBS 5435",,"BE 9, 102",Murašû,"Legal document","16.VII.41 Art I",424,Nippur,Seals,https://cdli.ucla.edu/P261629,,http://www.achemenet.com/fr/item/?/sources-textuelles/textes-par-langues-et-ecritures/babylonien/archives-murasu/2045074,,,5069,"king in date","šar mātāti","TypeLegal documentSubtypelease contract (ana errēšūti)"
Artaxerxes,,,Male,,49873,Artaxerxes,-,-,Male,,16428,"highly probable","Unknown (IM)",,"UET 4, 45",Nidinti-Ea,"Legal document","17.VII.12+[x] Art II","after 393",Ur,Seals,https://cdli.ucla.edu/P414741,-,-,-,-,5795,"king in date","šar mātāti","TypeLegal documentSubtypelease contract (ana errēšūti)"
Balāṭu,Bēlšunu,,Male,,43977,-,-,-,-,-,-,"less probable","CBS 5435",,"BE 9, 102",Murašû,"Legal document","16.VII.41 Art I",424,Nippur,Seals,https://cdli.ucla.edu/P261629,,http://www.achemenet.com/fr/item/?/sources-textuelles/textes-par-langues-et-ecritures/babylonien/archives-murasu/2045074,,,5069,"witness, regular (mukinnu)",-,"TypeLegal documentSubtypelease contract (ana errēšūti)"
