Name,Patronym,"Family name",Gender,Owns,"Attestation ID",ind.Name,ind.Patronym,"ind.Family name",ind.Gender,Biography,PID,Probability,"Museum no.",Duplicate,Publication,Archive,Type,Date,"Julian date","Place of writing",Has,"Cdli URL","Nabucco URL","Achemenet URL","Oracc URL","British Museum URL","Tablet ID",Role,Title,"Type and objects"
Ahhē-iddin,Zēria,Rē’i-sīsê,Male,,68169,Ahhē-iddin,Zēria,Rē’i-sīsê,Male,,30058,"highly probable","BM 30804",,"Bertin 2962","Egibi Nūr-Sîn","Legal document",-,-,Adirtu,,-,-,-,-,https://www.britishmuseum.org/collection/object/W_1876-1117-531,7998,"witness, regular (mukinnu)",-,"TypeLegal documentSubtypelease contract (ana idī)"
Ahu-yā’u,Bēl-uballiṭ,,Male,,34654,-,-,-,-,-,-,"less probable","CBS 5314",,"BE 9, 54",Murašû,"Legal document","20.IX.37 Art I",428,Nippur,Epigraphs,https://cdli.ucla.edu/P261508,,http://www.achemenet.com/fr/item/?/sources-textuelles/textes-par-langues-et-ecritures/babylonien/archives-murasu/2043857,,,3988,"witness, regular (mukinnu)",-,"TypeLegal documentSubtypelease contract (ana idī)"
Amat-Nanāya,Abdi-Esu,,Female,,65993,Amat-Nanāya,Abdi-Esu,-,Female,,21977,"highly probable","BM 33966",,"Zawadzki 2018, no. 129","Egibi Nūr-Sîn","Legal document","05.V.36 Dar I",486,Babylon,,https://cdli.ucla.edu/P507719,-,-,-,https://www.britishmuseum.org/collection/object/W_SP-62,7813,lessee,-,"TypeLegal documentSubtypelease contract (ana idī)"
Amat-Nanāya,Marduk-šumu-uṣur,Ṣāhit-ginê,Female,,58356,Amat-Nanāya,Marduk-šumu-uṣur,Ṣāhit-ginê,Female,,20101,"highly probable","BM 30601",,"Nbn 597","Egibi Nūr-Sîn","Legal document","22.II.12 Nbn",544,Babylon,,-,https://nabucco.arts.kuleuven.be/item/29011,-,,https://www.britishmuseum.org/collection/object/W_1876-1117-328,6891,lessor,-,"TypeLegal documentSubtypelease contract (ana idī)"
Amat-Nanāya,Marduk-šumu-uṣur,Ṣāhit-ginê,Female,House,57617,Amat-Nanāya,Marduk-šumu-uṣur,Ṣāhit-ginê,Female,,20101,"highly probable","BM 31254",,"Nbn 845","Egibi Nūr-Sîn","Legal document","25.II.15 Nbn",541,Babylon,,-,https://nabucco.arts.kuleuven.be/item/28483,-,,https://www.britishmuseum.org/collection/object/W_1876-1117-981,6796,lessor,-,"TypeLegal documentSubtypelease contract (ana idī)"
Amat-Sutīti,Iddināya,Rab-tarbaṣi,Female,House,28231,Amat-Sutīti,Iddināya,Rab-tarbaṣi,Female,,11138,"highly probable","MLC 1668",,"BRM 1, 43","Ea-ilūtu-bāni, Ilī-bāni, Nanāhu","Legal document","22.VI.01 Nbk IV",521,Borsippa,,https://cdli.ucla.edu/P296350,,,,,3271,lessor,-,"TypeLegal documentSubtypelease contract (ana idī)"
"Anonymous group",,,Male,,68118,-,-,-,-,-,-,"less probable","BM 31363",,"Bertin 2772","Egibi Nūr-Sîn","Legal document","[-].[-].[-] Dar I",-,Hursag-kalamma,,https://cdli.ucla.edu/P405019,-,-,-,https://www.britishmuseum.org/collection/object/W_1876-1117-1090,7994,broken/unclear,-,"TypeLegal documentSubtypelease contract (ana idī)"
"Anonymous group",Itti-Marduk-balāṭu,Egibi,Male,House,62408,"Anonymous Group",Itti-Marduk-balāṭu,Egibi,Male,"The brothers of Marduk-nāṣir-apli/Itti-Marduk-balāṭu//Egibi.",23929,"highly probable","BM 30817",,"Dar 256","Egibi Nūr-Sîn","Legal document","26.VI.09 Dar I",513,Babylon,,-,https://nabucco.arts.kuleuven.be/item/29767,http://www.achemenet.com/fr/item/?/sources-textuelles/textes-par-langues-et-ecritures/babylonien/archives-egibi/1657743,-,https://www.britishmuseum.org/collection/object/W_1876-1117-544,7389,lessor,-,"TypeLegal documentSubtypelease contract (ana idī)"
"Anonymous group",Itti-Marduk-balāṭu,Egibi,Male,House,62425,"Anonymous Group",Itti-Marduk-balāṭu,Egibi,Male,"The brothers of Marduk-nāṣir-apli/Itti-Marduk-balāṭu//Egibi.",23929,"highly probable","BM 30444",,"Dar 330","Egibi Nūr-Sîn","Legal document","06.VI.12 Dar I",510,Babylon,,-,https://nabucco.arts.kuleuven.be/item/29896,http://www.achemenet.com/en/item/?/textual-sources/texts-by-regions/babylonia/babylon/1659433,,https://www.britishmuseum.org/collection/object/W_1876-1117-171,7391,lessor,-,"TypeLegal documentSubtypelease contract (ana idī)"
"Anonymous group",Sîn-lūmur,,Male,House,49741,-,-,-,-,-,-,"less probable","Unknown (IM)",,"UET 4, 40",Nidinti-Ea,"Legal document","15.XII.06 Art II",398,Ur,,https://cdli.ucla.edu/P414736,-,-,-,-,5780,neighbour,-,"TypeLegal documentSubtypelease contract (ana idī)"
