Name,Patronym,"Family name",Gender,Owns,"Attestation ID",ind.Name,ind.Patronym,"ind.Family name",ind.Gender,Biography,PID,Probability,"Museum no.",Duplicate,Publication,Archive,Type,Date,"Julian date","Place of writing",Has,"Cdli URL","Nabucco URL","Achemenet URL","Oracc URL","British Museum URL","Tablet ID",Role,Title,"Type and objects"
Ahūšunu,,,Male,,20620,Ahūšunu,Šamaš-iddin,-,Male,,15193,"less probable","Unknown (IM)",,"UET 4, 44","Gallābu (Ur)","Legal document","23.IV.[33] Art II",372,Ur,Fingernails,https://cdli.ucla.edu/P414740,-,,,,2509,share-holder,"bēl qašti","TypeLegal documentSubtypelease contract (ana maddatti)"
Ahūšunu,Nabû-bēlāni,,Male,,30448,Ahūšunu,Nabû-bēlāni,-,Male,,15194,"highly probable","Unknown (IM)",,"UET 4, 38","Gallābu (Ur)","Legal document","02.I.06 Art II",399,Ur,,https://cdli.ucla.edu/P414734,-,,,,3514,"sealer of the tablet
witness, regular (mukinnu)",-,"TypeLegal documentSubtypelease contract (ana maddatti)"
Ahūšunu,Nidinti-Šamaš,,Male,,20665,Ahūšunu,Nidinti-Šamaš,-,Male,,15191,"highly probable","Unknown (IM)",,"UET 4, 44","Gallābu (Ur)","Legal document","23.IV.[33] Art II",372,Ur,Fingernails,https://cdli.ucla.edu/P414740,-,,,,2509,"sealer of the tablet
witness, regular (mukinnu)",-,"TypeLegal documentSubtypelease contract (ana maddatti)"
Ahūšunu,Šamaš-iddin,,Male,,19963,Ahūšunu,Šamaš-iddin,-,Male,,15193,"highly probable","Unknown (IM)",,"UET 4, 42","Gallābu (Ur)","Legal document","06.IV.35 Art II",370,Ur,,https://cdli.ucla.edu/P414738,-,,,,2440,co-owner,-,"TypeLegal documentSubtypelease contract (ana maddatti)"
Ahūšunu,Sîn-it[...],,Male,,50074,Ahūšunu,Sîn-it[...],-,Male,,17351,"highly probable","Unknown (IM)",,"UET 4, 46",Nidinti-Ea,"Legal document","15.VII.25 Art II",380,Ur,"Seals, Fingernails",https://cdli.ucla.edu/P414742,-,-,-,-,5811,"sealer of the tablet
witness, regular (mukinnu)",-,"TypeLegal documentSubtypelease contract (ana maddatti)"
Ahūšunu,Sîn-ušallim,,Male,,41965,Ahūšunu,Sîn-ušallim,-,Male,,15190,"highly probable","IM 17281",,"Oelsner 2006, pp. 84-87","Gallābu (Ur)","Legal document","01.VIII.12 Alex III",325,Ur,,-,-,,,,4843,"sealer of the tablet
witness, regular (mukinnu)",-,"TypeLegal documentSubtypelease contract (ana maddatti)"
Akkari,[...],,Male,,50073,Akkari,[...],-,Male,,17353,"highly probable","Unknown (IM)",,"UET 4, 46",Nidinti-Ea,"Legal document","15.VII.25 Art II",380,Ur,"Seals, Fingernails",https://cdli.ucla.edu/P414742,-,-,-,-,5811,"witness, regular (mukinnu)",-,"TypeLegal documentSubtypelease contract (ana maddatti)"
Alexander,,,Male,,41980,Alexander,-,-,Male,,16427,"highly probable","IM 17281",,"Oelsner 2006, pp. 84-87","Gallābu (Ur)","Legal document","01.VIII.12 Alex III",325,Ur,,-,-,,,,4843,"king in date","šar mātāti","TypeLegal documentSubtypelease contract (ana maddatti)"
Ana-pêa,Sîn-iddin,,Male,,19969,Ana-pêa,Sîn-iddin,Gallābu,Male,,15182,probable,"Unknown (IM)",,"UET 4, 42","Gallābu (Ur)","Legal document","06.IV.35 Art II",370,Ur,,https://cdli.ucla.edu/P414738,-,,,,2440,"co-owner
lessor","bēl qašti","TypeLegal documentSubtypelease contract (ana maddatti)"
Ana-pêa,Sîn-iddin,,Male,,20629,Ana-pêa,Sîn-iddin,Gallābu,Male,,15182,probable,"Unknown (IM)",,"UET 4, 44","Gallābu (Ur)","Legal document","23.IV.[33] Art II",372,Ur,Fingernails,https://cdli.ucla.edu/P414740,-,,,,2509,"lessor
share-holder","bēl qašti","TypeLegal documentSubtypelease contract (ana maddatti)"
Anonymous,,,Male,,50068,Anonymous,-1,-1,Male,-,17358,"highly probable","Unknown (IM)",,"UET 4, 46",Nidinti-Ea,"Legal document","15.VII.25 Art II",380,Ur,"Seals, Fingernails",https://cdli.ucla.edu/P414742,-,-,-,-,5811,"passive (mentioned in relation to sb or sth else)",tamkāru,"TypeLegal documentSubtypelease contract (ana maddatti)"
"Anonymous group",[...],,Male,Slave,30433,-,-,-,-,-,-,"less probable","Unknown (IM)",,"UET 4, 38","Gallābu (Ur)","Legal document","02.I.06 Art II",399,Ur,,https://cdli.ucla.edu/P414734,-,,,,3514,"master (of a slave)",-,"TypeLegal documentSubtypelease contract (ana maddatti)"
