Name,Patronym,"Family name",Gender,Owns,"Attestation ID",ind.Name,ind.Patronym,"ind.Family name",ind.Gender,Biography,PID,Probability,"Museum no.",Duplicate,Publication,Archive,Type,Date,"Julian date","Place of writing",Has,"Cdli URL","Nabucco URL","Achemenet URL","Oracc URL","British Museum URL","Tablet ID",Role,Title,"Type and objects"
"Anonymous group",,,Male,Land,26410,-,-,-,-,-,-,"less probable","CBS 5336",,"BE 9, 10",Murašû,"Legal document","03.III.28 Art I",437,Nippur,Fingernails,https://cdli.ucla.edu/P261530,-,http://www.achemenet.com/fr/item/?/sources-textuelles/textes-par-langues-et-ecritures/babylonien/archives-murasu/2042663,-,-,3166,"passive (mentioned in relation to sb or sth else)","bēl qašti","TypeLegal documentSubtypelease contract (ana nukuribbūti and errēšūti)"
Artaxerxes,,,Male,,26431,-,-,-,-,-,-,"less probable","CBS 5336",,"BE 9, 10",Murašû,"Legal document","03.III.28 Art I",437,Nippur,Fingernails,https://cdli.ucla.edu/P261530,-,http://www.achemenet.com/fr/item/?/sources-textuelles/textes-par-langues-et-ecritures/babylonien/archives-murasu/2042663,-,-,3166,"king in date",-,"TypeLegal documentSubtypelease contract (ana nukuribbūti and errēšūti)"
Bēl-nādinu,Ahu-iddin,,Male,Land,26407,-,-,-,-,-,-,"less probable","CBS 5336",,"BE 9, 10",Murašû,"Legal document","03.III.28 Art I",437,Nippur,Fingernails,https://cdli.ucla.edu/P261530,-,http://www.achemenet.com/fr/item/?/sources-textuelles/textes-par-langues-et-ecritures/babylonien/archives-murasu/2042663,-,-,3166,"leaves fingernail marking(s)
lessor",-,"TypeLegal documentSubtypelease contract (ana nukuribbūti and errēšūti)"
Bēlšunu,Iddināya,,Male,Land,26401,-,-,-,-,-,-,"less probable","CBS 5336",,"BE 9, 10",Murašû,"Legal document","03.III.28 Art I",437,Nippur,Fingernails,https://cdli.ucla.edu/P261530,-,http://www.achemenet.com/fr/item/?/sources-textuelles/textes-par-langues-et-ecritures/babylonien/archives-murasu/2042663,-,-,3166,lessor,-,"TypeLegal documentSubtypelease contract (ana nukuribbūti and errēšūti)"
Enlil-iddin,Nabû-kuṣuršu,,Male,,26416,-,-,-,-,-,-,"less probable","CBS 5336",,"BE 9, 10",Murašû,"Legal document","03.III.28 Art I",437,Nippur,Fingernails,https://cdli.ucla.edu/P261530,-,http://www.achemenet.com/fr/item/?/sources-textuelles/textes-par-langues-et-ecritures/babylonien/archives-murasu/2042663,-,-,3166,"witness, regular (mukinnu)",-,"TypeLegal documentSubtypelease contract (ana nukuribbūti and errēšūti)"
Enlil-īpuš,Ilī-bannu-iddin,,Male,,26437,-,-,-,-,-,-,"less probable","CBS 5336",,"BE 9, 10",Murašû,"Legal document","03.III.28 Art I",437,Nippur,Fingernails,https://cdli.ucla.edu/P261530,-,http://www.achemenet.com/fr/item/?/sources-textuelles/textes-par-langues-et-ecritures/babylonien/archives-murasu/2042663,-,-,3166,"witness, regular (mukinnu)",-,"TypeLegal documentSubtypelease contract (ana nukuribbūti and errēšūti)"
Enlil-šumu-iddin,,,Male,,26395,-,-,-,-,-,-,"less probable","CBS 5336",,"BE 9, 10",Murašû,"Legal document","03.III.28 Art I",437,Nippur,Fingernails,https://cdli.ucla.edu/P261530,-,http://www.achemenet.com/fr/item/?/sources-textuelles/textes-par-langues-et-ecritures/babylonien/archives-murasu/2042663,-,-,3166,"passive (mentioned in relation to sb or sth else)",-,"TypeLegal documentSubtypelease contract (ana nukuribbūti and errēšūti)"
Lâbâši,Ahu-iddin,,Male,,26419,-,-,-,-,-,-,"less probable","CBS 5336",,"BE 9, 10",Murašû,"Legal document","03.III.28 Art I",437,Nippur,Fingernails,https://cdli.ucla.edu/P261530,-,http://www.achemenet.com/fr/item/?/sources-textuelles/textes-par-langues-et-ecritures/babylonien/archives-murasu/2042663,-,-,3166,"witness, regular (mukinnu)",-,"TypeLegal documentSubtypelease contract (ana nukuribbūti and errēšūti)"
Lâbâši,Ahu-iddin,,Male,Land,26404,-,-,-,-,-,-,"less probable","CBS 5336",,"BE 9, 10",Murašû,"Legal document","03.III.28 Art I",437,Nippur,Fingernails,https://cdli.ucla.edu/P261530,-,http://www.achemenet.com/fr/item/?/sources-textuelles/textes-par-langues-et-ecritures/babylonien/archives-murasu/2042663,-,-,3166,lessor,-,"TypeLegal documentSubtypelease contract (ana nukuribbūti and errēšūti)"
Mušēzibu,,,Male,,26392,-,-,-,-,-,-,"less probable","CBS 5336",,"BE 9, 10",Murašû,"Legal document","03.III.28 Art I",437,Nippur,Fingernails,https://cdli.ucla.edu/P261530,-,http://www.achemenet.com/fr/item/?/sources-textuelles/textes-par-langues-et-ecritures/babylonien/archives-murasu/2042663,-,-,3166,lessee,qallu,"TypeLegal documentSubtypelease contract (ana nukuribbūti and errēšūti)"
Nabû-gabbi-ilī,Ahu-iddin,,Male,,26434,-,-,-,-,-,-,"less probable","CBS 5336",,"BE 9, 10",Murašû,"Legal document","03.III.28 Art I",437,Nippur,Fingernails,https://cdli.ucla.edu/P261530,-,http://www.achemenet.com/fr/item/?/sources-textuelles/textes-par-langues-et-ecritures/babylonien/archives-murasu/2042663,-,-,3166,"witness, regular (mukinnu)",-,"TypeLegal documentSubtypelease contract (ana nukuribbūti and errēšūti)"
Ninurta-ēṭir,Iddin-Nabû,,Male,,26422,-,-,-,-,-,-,"less probable","CBS 5336",,"BE 9, 10",Murašû,"Legal document","03.III.28 Art I",437,Nippur,Fingernails,https://cdli.ucla.edu/P261530,-,http://www.achemenet.com/fr/item/?/sources-textuelles/textes-par-langues-et-ecritures/babylonien/archives-murasu/2042663,-,-,3166,"witness, regular (mukinnu)",-,"TypeLegal documentSubtypelease contract (ana nukuribbūti and errēšūti)"
Ninurta-uballiṭ,Bēl-iddin,,Male,,26413,-,-,-,-,-,-,"less probable","CBS 5336",,"BE 9, 10",Murašû,"Legal document","03.III.28 Art I",437,Nippur,Fingernails,https://cdli.ucla.edu/P261530,-,http://www.achemenet.com/fr/item/?/sources-textuelles/textes-par-langues-et-ecritures/babylonien/archives-murasu/2042663,-,-,3166,"witness, regular (mukinnu)",-,"TypeLegal documentSubtypelease contract (ana nukuribbūti and errēšūti)"
Ninurta-uballiṭ,Zēria,,Male,,26428,-,-,-,-,-,-,"less probable","CBS 5336",,"BE 9, 10",Murašû,"Legal document","03.III.28 Art I",437,Nippur,Fingernails,https://cdli.ucla.edu/P261530,-,http://www.achemenet.com/fr/item/?/sources-textuelles/textes-par-langues-et-ecritures/babylonien/archives-murasu/2042663,-,-,3166,"scribe (ṭupšarru)",-,"TypeLegal documentSubtypelease contract (ana nukuribbūti and errēšūti)"
Šumu-iddin,Bēl-iddin,,Male,,26425,-,-,-,-,-,-,"less probable","CBS 5336",,"BE 9, 10",Murašû,"Legal document","03.III.28 Art I",437,Nippur,Fingernails,https://cdli.ucla.edu/P261530,-,http://www.achemenet.com/fr/item/?/sources-textuelles/textes-par-langues-et-ecritures/babylonien/archives-murasu/2042663,-,-,3166,"witness, regular (mukinnu)",-,"TypeLegal documentSubtypelease contract (ana nukuribbūti and errēšūti)"
Zabidā,Iddināya,,Male,Land,26398,-,-,-,-,-,-,"less probable","CBS 5336",,"BE 9, 10",Murašû,"Legal document","03.III.28 Art I",437,Nippur,Fingernails,https://cdli.ucla.edu/P261530,-,http://www.achemenet.com/fr/item/?/sources-textuelles/textes-par-langues-et-ecritures/babylonien/archives-murasu/2042663,-,-,3166,"leaves fingernail marking(s)
lessor",-,"TypeLegal documentSubtypelease contract (ana nukuribbūti and errēšūti)"
