Name,Patronym,"Family name",Gender,Owns,"Attestation ID",ind.Name,ind.Patronym,"ind.Family name",ind.Gender,Biography,PID,Probability,"Museum no.",Duplicate,Publication,Archive,Type,Date,"Julian date","Place of writing",Has,"Cdli URL","Nabucco URL","Achemenet URL","Oracc URL","British Museum URL","Tablet ID",Role,Title,"Type and objects"
,,Ilūtu-bāni,Male,,28621,-,-,Ilūtu-bāni,Male,,13257,"highly probable","BM 94780",,unpublished,"Ea-ilūtu-bāni, Ilī-bāni, Nanāhu","Legal document","29.II.13 Nbn",543,Borsippa,,,https://nabucco.arts.kuleuven.be/item/25567,,,https://www.britishmuseum.org/collection/object/W_1901-1012-433,3379,eponym,-,"TypeLegal documentSubtypelease contract (ana nukuribbūti)"
,,Ilūtu-bāni,Male,Land,3592,-,-,Ilūtu-bāni,Male,,13257,"highly probable","HS 579",,"Joannès 1989, pp. 204-205","Ea-ilūtu-bāni, Ilī-bāni, Nanāhu","Legal document","03.I.03 Ner",557,Borsippa,,,https://nabucco.arts.kuleuven.be/item/25150,,,,458,eponym,-,"TypeLegal documentSubtypelease contract (ana nukuribbūti)"
Ahūšunu,Nabû-mušētiq-uddi,Nanāhu,Male,,4402,Ahūšunu,Nabû-mušētiq-uddi,Nanāhu,Male,,10637,"highly probable","HS 614",,"Joannès 1989, pp. 223-224","Ea-ilūtu-bāni, Ilī-bāni, Nanāhu","Legal document","13.III.18 Dar I",504,Borsippa,,,https://nabucco.arts.kuleuven.be/item/25474,,,,548,"heir
payer",-,"TypeLegal documentSubtypelease contract (ana nukuribbūti)"
Amušaša,Bānia,,Male,Land,53942,Amušaša,Bānia,-,Male,,18239,"highly probable","BM 26563",,unpublished,"Rē’i-alpi (Borsippa)","Legal document","02.II.29 Dar I",493,Borsippa,,,-,-,-,https://www.britishmuseum.org/collection/object/W_1898-0514-381,6363,neighbour,-,"TypeLegal documentSubtypelease contract (ana nukuribbūti)"
Anonymous,,,Male,Land,43965,-,-,-,-,-,-,"less probable","CBS 5348",,"BE 9, 101",Murašû,"Legal document","16.VII.41 Art I",424,Nippur,,https://cdli.ucla.edu/P261542,,http://www.achemenet.com/fr/item/?/sources-textuelles/textes-par-langues-et-ecritures/babylonien/archives-murasu/2045050,,,5053,"passive (mentioned in relation to sb or sth else)",gardu,"TypeLegal documentSubtypelease contract (ana nukuribbūti)"
Anonymous,,,Male,Land,43966,-,-,-,-,-,-,"less probable","CBS 5348",,"BE 9, 101",Murašû,"Legal document","16.VII.41 Art I",424,Nippur,,https://cdli.ucla.edu/P261542,,http://www.achemenet.com/fr/item/?/sources-textuelles/textes-par-langues-et-ecritures/babylonien/archives-murasu/2045050,,,5053,"passive (mentioned in relation to sb or sth else)","nappāh siparri","TypeLegal documentSubtypelease contract (ana nukuribbūti)"
Anonymous,Marduk-zēru-ibni,Gallābu,Male,,30307,Anonymous,Marduk-zēru-ibni,Gallābu,Male,,13508,"highly probable","YBC 9189",,unpublished,"Ea-ilūtu-bāni, Ilī-bāni, Nanāhu","Legal document","18.I.19 Nbk II",586,Borsippa,,https://cdli.ucla.edu/P309911,https://nabucco.arts.kuleuven.be/item/25672,,,,2764,payer,-,"TypeLegal documentSubtypelease contract (ana nukuribbūti)"
"Anonymous group",Itti-Marduk-balāṭu,Egibi,Male,Land,54912,"Anonymous Group",Itti-Marduk-balāṭu,Egibi,Male,"The brothers of Marduk-nāṣir-apli/Itti-Marduk-balāṭu//Egibi.",23929,"highly probable","BM 30912",,"Wunsch 2000b, no. 78","Egibi Nūr-Sîn","Legal document","27.IV.02 Dar I",520,Babylon,,https://cdli.ucla.edu/P370915,https://nabucco.arts.kuleuven.be/item/29785,http://www.achemenet.com/en/item/?/textual-sources/texts-by-publication/Wunsch_CM_20/1328431,-,https://www.britishmuseum.org/collection/object/W_1876-1117-639,6477,lessor,-,"TypeLegal documentSubtypelease contract (ana nukuribbūti)"
"Anonymous group",Itti-Marduk-balāṭu,Egibi,Male,Land,56374,"Anonymous Group",Itti-Marduk-balāṭu,Egibi,Male,"The brothers of Marduk-nāṣir-apli/Itti-Marduk-balāṭu//Egibi.",23929,"highly probable","BM 33151",,"Wunsch 2000b, no. 159","Egibi Nūr-Sîn","Legal document","14.[-].11 Dar I",511/510,Broken/Unclear,,-,https://nabucco.arts.kuleuven.be/item/29536,http://www.achemenet.com/en/item/?/textual-sources/texts-by-publication/Wunsch_CM_20/1328668,-,https://www.britishmuseum.org/collection/object/W_1879-0730-52,6654,lessor,-,"TypeLegal documentSubtypelease contract (ana nukuribbūti)"
"Anonymous group",Itti-Marduk-balāṭu,Egibi,Male,Land,56904,"Anonymous Group",Itti-Marduk-balāṭu,Egibi,Male,"The brothers of Marduk-nāṣir-apli/Itti-Marduk-balāṭu//Egibi.",23929,"highly probable","BM 32098",,"Wunsch 2000b, no. 214","Egibi Nūr-Sîn","Legal document","13.V.20 Dar I",502,Babylon,,-,https://nabucco.arts.kuleuven.be/item/29284,http://www.achemenet.com/en/item/?/textual-sources/texts-by-publication/Wunsch_CM_20/1328830,,https://www.britishmuseum.org/collection/object/W_1876-1117-1825,6714,lessor,-,"TypeLegal documentSubtypelease contract (ana nukuribbūti)"
