Name,Patronym,"Family name",Gender,Owns,"Attestation ID",ind.Name,ind.Patronym,"ind.Family name",ind.Gender,Biography,PID,Probability,"Museum no.",Duplicate,Publication,Archive,Type,Date,"Julian date","Place of writing",Has,"Cdli URL","Nabucco URL","Achemenet URL","Oracc URL","British Museum URL","Tablet ID",Role,Title,"Type and objects"
"Anonymous group",,,Male,Land,44423,-,-,-,-,-,-,"less probable","CBS 5147",,"BE 10, 15",Murašû,"Legal document","08.II.01 Dar II",423,Babylon,Seals,https://cdli.ucla.edu/P261339,,http://www.achemenet.com/fr/item/?/sources-textuelles/textes-par-langues-et-ecritures/babylonien/archives-murasu/2132368,,,5103,"land owner
passive (mentioned in relation to sb or sth else)","girisu akkarānu","TypeLegal documentSubtypelease contract (ana palāh šarri)"
"Anonymous group",,,Male,Land,44456,-,-,-,-,-,-,"less probable","CBS 5147",,"BE 10, 15",Murašû,"Legal document","08.II.01 Dar II",423,Babylon,Seals,https://cdli.ucla.edu/P261339,,http://www.achemenet.com/fr/item/?/sources-textuelles/textes-par-langues-et-ecritures/babylonien/archives-murasu/2132368,,,5103,"land owner
passive (mentioned in relation to sb or sth else)","ālik madakta","TypeLegal documentSubtypelease contract (ana palāh šarri)"
Bagērapa,Unnatu,,Male,,44473,-,-,-,-,-,-,"less probable","CBS 5147",,"BE 10, 15",Murašû,"Legal document","08.II.01 Dar II",423,Babylon,Seals,https://cdli.ucla.edu/P261339,,http://www.achemenet.com/fr/item/?/sources-textuelles/textes-par-langues-et-ecritures/babylonien/archives-murasu/2132368,,,5103,"sealer of the tablet
witness, regular (mukinnu)",uštarbar,"TypeLegal documentSubtypelease contract (ana palāh šarri)"
Bēl-bullissu,Talīmu,,Male,,44469,-,-,-,-,-,-,"less probable","CBS 5147",,"BE 10, 15",Murašû,"Legal document","08.II.01 Dar II",423,Babylon,Seals,https://cdli.ucla.edu/P261339,,http://www.achemenet.com/fr/item/?/sources-textuelles/textes-par-langues-et-ecritures/babylonien/archives-murasu/2132368,,,5103,"witness, regular (mukinnu)",-,"TypeLegal documentSubtypelease contract (ana palāh šarri)"
Bēl-idīšu,Bēl-asûa,,Male,,44458,-,-,-,-,-,-,"less probable","CBS 5147",,"BE 10, 15",Murašû,"Legal document","08.II.01 Dar II",423,Babylon,Seals,https://cdli.ucla.edu/P261339,,http://www.achemenet.com/fr/item/?/sources-textuelles/textes-par-langues-et-ecritures/babylonien/archives-murasu/2132368,,,5103,"lessor
recipient
sealer of the tablet",-,"TypeLegal documentSubtypelease contract (ana palāh šarri)"
Darius,,,Male,,44478,-,-,-,-,-,-,"less probable","CBS 5147",,"BE 10, 15",Murašû,"Legal document","08.II.01 Dar II",423,Babylon,Seals,https://cdli.ucla.edu/P261339,,http://www.achemenet.com/fr/item/?/sources-textuelles/textes-par-langues-et-ecritures/babylonien/archives-murasu/2132368,,,5103,"king in date","šar mātāti","TypeLegal documentSubtypelease contract (ana palāh šarri)"
Enlil-šumu-iddin,Murašû,,Male,,44459,-,-,-,-,-,-,"less probable","CBS 5147",,"BE 10, 15",Murašû,"Legal document","08.II.01 Dar II",423,Babylon,Seals,https://cdli.ucla.edu/P261339,,http://www.achemenet.com/fr/item/?/sources-textuelles/textes-par-langues-et-ecritures/babylonien/archives-murasu/2132368,,,5103,"lessee
payer",-,"TypeLegal documentSubtypelease contract (ana palāh šarri)"
Lâbâši,Bēl-asûa,,Male,,44457,-,-,-,-,-,-,"less probable","CBS 5147",,"BE 10, 15",Murašû,"Legal document","08.II.01 Dar II",423,Babylon,Seals,https://cdli.ucla.edu/P261339,,http://www.achemenet.com/fr/item/?/sources-textuelles/textes-par-langues-et-ecritures/babylonien/archives-murasu/2132368,,,5103,"person in charge (ina/ša qātē)","šaknu ša bīt umasupîtru","TypeLegal documentSubtypelease contract (ana palāh šarri)"
Marduk,,,Male,,44464,-,-,-,-,-,-,"less probable","CBS 5147",,"BE 10, 15",Murašû,"Legal document","08.II.01 Dar II",423,Babylon,Seals,https://cdli.ucla.edu/P261339,,http://www.achemenet.com/fr/item/?/sources-textuelles/textes-par-langues-et-ecritures/babylonien/archives-murasu/2132368,,,5103,"witness, regular (mukinnu)","uštarbar ša šarri","TypeLegal documentSubtypelease contract (ana palāh šarri)"
Nabû-mītu-uballiṭ,Kīnāya,,Male,,44465,-,-,-,-,-,-,"less probable","CBS 5147",,"BE 10, 15",Murašû,"Legal document","08.II.01 Dar II",423,Babylon,Seals,https://cdli.ucla.edu/P261339,,http://www.achemenet.com/fr/item/?/sources-textuelles/textes-par-langues-et-ecritures/babylonien/archives-murasu/2132368,,,5103,"sealer of the tablet
witness, regular (mukinnu)","dayyānu ša Nār-Sîn","TypeLegal documentSubtypelease contract (ana palāh šarri)"
