Name,Patronym,"Family name",Gender,Owns,"Attestation ID",ind.Name,ind.Patronym,"ind.Family name",ind.Gender,Biography,PID,Probability,"Museum no.",Duplicate,Publication,Archive,Type,Date,"Julian date","Place of writing",Has,"Cdli URL","Nabucco URL","Achemenet URL","Oracc URL","British Museum URL","Tablet ID",Role,Title,"Type and objects"
Ahu-iddin,Ninurta-uballiṭ,,Male,,35713,-,-,-,-,-,-,"less probable","Unknown (poss. H.V. Hilprecht)",,"BE 9, 48",Murašû,"Legal document","02.VII.36 Art I",429,Nippur,"Seals, Fingernails",https://cdli.ucla.edu/P453404,,http://www.achemenet.com/fr/item/?/sources-textuelles/textes-par-langues-et-ecritures/babylonien/archives-murasu/2043689,,,4120,"witness, regular (mukinnu)",-,"TypeLegal documentSubtypelease contract (ana sūti and zāqipānūti)"
Aplāya,Bābu-iqīša,,Male,,35845,-,-,-,-,-,-,"less probable","Unknown (poss. H.V. Hilprecht)",,"BE 9, 48",Murašû,"Legal document","02.VII.36 Art I",429,Nippur,"Seals, Fingernails",https://cdli.ucla.edu/P453404,,http://www.achemenet.com/fr/item/?/sources-textuelles/textes-par-langues-et-ecritures/babylonien/archives-murasu/2043689,,,4120,"witness, regular (mukinnu)",-,"TypeLegal documentSubtypelease contract (ana sūti and zāqipānūti)"
Aplāya,Enlil-balāssu-iqbi,,Male,,35827,-,-,-,-,-,-,"less probable","Unknown (poss. H.V. Hilprecht)",,"BE 9, 48",Murašû,"Legal document","02.VII.36 Art I",429,Nippur,"Seals, Fingernails",https://cdli.ucla.edu/P453404,,http://www.achemenet.com/fr/item/?/sources-textuelles/textes-par-langues-et-ecritures/babylonien/archives-murasu/2043689,,,4120,"sealer of the tablet
witness, regular (mukinnu)",-,"TypeLegal documentSubtypelease contract (ana sūti and zāqipānūti)"
Aqara,Iddināya,,Male,,35839,-,-,-,-,-,-,"less probable","Unknown (poss. H.V. Hilprecht)",,"BE 9, 48",Murašû,"Legal document","02.VII.36 Art I",429,Nippur,"Seals, Fingernails",https://cdli.ucla.edu/P453404,,http://www.achemenet.com/fr/item/?/sources-textuelles/textes-par-langues-et-ecritures/babylonien/archives-murasu/2043689,,,4120,"witness, regular (mukinnu)",-,"TypeLegal documentSubtypelease contract (ana sūti and zāqipānūti)"
Arad-Enlil,Širikti-Ninurta,,Male,,35704,-,-,-,-,-,-,"less probable","Unknown (poss. H.V. Hilprecht)",,"BE 9, 48",Murašû,"Legal document","02.VII.36 Art I",429,Nippur,"Seals, Fingernails",https://cdli.ucla.edu/P453404,,http://www.achemenet.com/fr/item/?/sources-textuelles/textes-par-langues-et-ecritures/babylonien/archives-murasu/2043689,,,4120,"sealer of the tablet
witness, regular (mukinnu)",-,"TypeLegal documentSubtypelease contract (ana sūti and zāqipānūti)"
Arad-Ninurta,Ninurta-uballiṭ,,Male,,35710,-,-,-,-,-,-,"less probable","Unknown (poss. H.V. Hilprecht)",,"BE 9, 48",Murašû,"Legal document","02.VII.36 Art I",429,Nippur,"Seals, Fingernails",https://cdli.ucla.edu/P453404,,http://www.achemenet.com/fr/item/?/sources-textuelles/textes-par-langues-et-ecritures/babylonien/archives-murasu/2043689,,,4120,"sealer of the tablet
witness, regular (mukinnu)",-,"TypeLegal documentSubtypelease contract (ana sūti and zāqipānūti)"
Ardia,Ṭābia,,Male,,35836,-,-,-,-,-,-,"less probable","Unknown (poss. H.V. Hilprecht)",,"BE 9, 48",Murašû,"Legal document","02.VII.36 Art I",429,Nippur,"Seals, Fingernails",https://cdli.ucla.edu/P453404,,http://www.achemenet.com/fr/item/?/sources-textuelles/textes-par-langues-et-ecritures/babylonien/archives-murasu/2043689,,,4120,"witness, regular (mukinnu)",-,"TypeLegal documentSubtypelease contract (ana sūti and zāqipānūti)"
Arta-rēmu,,,Male,,35692,-,-,-,-,-,-,"less probable","Unknown (poss. H.V. Hilprecht)",,"BE 9, 48",Murašû,"Legal document","02.VII.36 Art I",429,Nippur,"Seals, Fingernails",https://cdli.ucla.edu/P453404,,http://www.achemenet.com/fr/item/?/sources-textuelles/textes-par-langues-et-ecritures/babylonien/archives-murasu/2043689,,,4120,"passive (mentioned in relation to sb or sth else)",-,"TypeLegal documentSubtypelease contract (ana sūti and zāqipānūti)"
Artaxerxes,,,Male,,35881,-,-,-,-,-,-,"less probable","Unknown (poss. H.V. Hilprecht)",,"BE 9, 48",Murašû,"Legal document","02.VII.36 Art I",429,Nippur,"Seals, Fingernails",https://cdli.ucla.edu/P453404,,http://www.achemenet.com/fr/item/?/sources-textuelles/textes-par-langues-et-ecritures/babylonien/archives-murasu/2043689,,,4120,"king in date","šar mātāti","TypeLegal documentSubtypelease contract (ana sūti and zāqipānūti)"
Bagamīra,Mitridāta,,Male,Land,35674,-,-,-,-,-,-,"less probable","Unknown (poss. H.V. Hilprecht)",,"BE 9, 48",Murašû,"Legal document","02.VII.36 Art I",429,Nippur,"Seals, Fingernails",https://cdli.ucla.edu/P453404,,http://www.achemenet.com/fr/item/?/sources-textuelles/textes-par-langues-et-ecritures/babylonien/archives-murasu/2043689,,,4120,"leaves fingernail marking(s)
lessor
recipient",-,"TypeLegal documentSubtypelease contract (ana sūti and zāqipānūti)"
Balāṭu,Bēlšunu,,Male,,35833,-,-,-,-,-,-,"less probable","Unknown (poss. H.V. Hilprecht)",,"BE 9, 48",Murašû,"Legal document","02.VII.36 Art I",429,Nippur,"Seals, Fingernails",https://cdli.ucla.edu/P453404,,http://www.achemenet.com/fr/item/?/sources-textuelles/textes-par-langues-et-ecritures/babylonien/archives-murasu/2043689,,,4120,"witness, regular (mukinnu)",-,"TypeLegal documentSubtypelease contract (ana sūti and zāqipānūti)"
Banān-ēreš,,,Male,Field,35683,-,-,-,-,-,-,"less probable","Unknown (poss. H.V. Hilprecht)",,"BE 9, 48",Murašû,"Legal document","02.VII.36 Art I",429,Nippur,"Seals, Fingernails",https://cdli.ucla.edu/P453404,,http://www.achemenet.com/fr/item/?/sources-textuelles/textes-par-langues-et-ecritures/babylonien/archives-murasu/2043689,,,4120,neighbour,"mār Nippur","TypeLegal documentSubtypelease contract (ana sūti and zāqipānūti)"
Bānia,Barik-il,,Male,,35695,-,-,-,-,-,-,"less probable","Unknown (poss. H.V. Hilprecht)",,"BE 9, 48",Murašû,"Legal document","02.VII.36 Art I",429,Nippur,"Seals, Fingernails",https://cdli.ucla.edu/P453404,,http://www.achemenet.com/fr/item/?/sources-textuelles/textes-par-langues-et-ecritures/babylonien/archives-murasu/2043689,,,4120,"sealer of the tablet
witness, regular (mukinnu)",-,"TypeLegal documentSubtypelease contract (ana sūti and zāqipānūti)"
Bēl-ittannu,Bēl-bullissu,,Male,,35869,-,-,-,-,-,-,"less probable","Unknown (poss. H.V. Hilprecht)",,"BE 9, 48",Murašû,"Legal document","02.VII.36 Art I",429,Nippur,"Seals, Fingernails",https://cdli.ucla.edu/P453404,,http://www.achemenet.com/fr/item/?/sources-textuelles/textes-par-langues-et-ecritures/babylonien/archives-murasu/2043689,,,4120,"witness, regular (mukinnu)",-,"TypeLegal documentSubtypelease contract (ana sūti and zāqipānūti)"
Enlil-iddin,Enlil-uballiṭ,,Male,,35860,-,-,-,-,-,-,"less probable","Unknown (poss. H.V. Hilprecht)",,"BE 9, 48",Murašû,"Legal document","02.VII.36 Art I",429,Nippur,"Seals, Fingernails",https://cdli.ucla.edu/P453404,,http://www.achemenet.com/fr/item/?/sources-textuelles/textes-par-langues-et-ecritures/babylonien/archives-murasu/2043689,,,4120,"witness, regular (mukinnu)",paqdu,"TypeLegal documentSubtypelease contract (ana sūti and zāqipānūti)"
Enlil-šumu-iddin,Murašû,,Male,,35677,-,-,-,-,-,-,"less probable","Unknown (poss. H.V. Hilprecht)",,"BE 9, 48",Murašû,"Legal document","02.VII.36 Art I",429,Nippur,"Seals, Fingernails",https://cdli.ucla.edu/P453404,,http://www.achemenet.com/fr/item/?/sources-textuelles/textes-par-langues-et-ecritures/babylonien/archives-murasu/2043689,,,4120,"lessee
payer",-,"TypeLegal documentSubtypelease contract (ana sūti and zāqipānūti)"
Enlil-šumu-iddin,Ninurta-ēriba,,Male,,35701,-,-,-,-,-,-,"less probable","Unknown (poss. H.V. Hilprecht)",,"BE 9, 48",Murašû,"Legal document","02.VII.36 Art I",429,Nippur,"Seals, Fingernails",https://cdli.ucla.edu/P453404,,http://www.achemenet.com/fr/item/?/sources-textuelles/textes-par-langues-et-ecritures/babylonien/archives-murasu/2043689,,,4120,"sealer of the tablet
witness, regular (mukinnu)",-,"TypeLegal documentSubtypelease contract (ana sūti and zāqipānūti)"
Erība-Enlil,Enlil-bānī,,Male,,35830,-,-,-,-,-,-,"less probable","Unknown (poss. H.V. Hilprecht)",,"BE 9, 48",Murašû,"Legal document","02.VII.36 Art I",429,Nippur,"Seals, Fingernails",https://cdli.ucla.edu/P453404,,http://www.achemenet.com/fr/item/?/sources-textuelles/textes-par-langues-et-ecritures/babylonien/archives-murasu/2043689,,,4120,"sealer of the tablet
witness, regular (mukinnu)",-,"TypeLegal documentSubtypelease contract (ana sūti and zāqipānūti)"
Erībāya,Ninurta-iddin,,Male,,35857,-,-,-,-,-,-,"less probable","Unknown (poss. H.V. Hilprecht)",,"BE 9, 48",Murašû,"Legal document","02.VII.36 Art I",429,Nippur,"Seals, Fingernails",https://cdli.ucla.edu/P453404,,http://www.achemenet.com/fr/item/?/sources-textuelles/textes-par-langues-et-ecritures/babylonien/archives-murasu/2043689,,,4120,"witness, regular (mukinnu)","paqdu ša abulmāhu","TypeLegal documentSubtypelease contract (ana sūti and zāqipānūti)"
Esagil-bēlet,En[lil]-ittannu,,Female,,35884,-,-,-,-,-,-,"less probable","Unknown (poss. H.V. Hilprecht)",,"BE 9, 48",Murašû,"Legal document","02.VII.36 Art I",429,Nippur,"Seals, Fingernails",https://cdli.ucla.edu/P453404,,http://www.achemenet.com/fr/item/?/sources-textuelles/textes-par-langues-et-ecritures/babylonien/archives-murasu/2043689,,,4120,"witness, special (ina ašābi)",-,"TypeLegal documentSubtypelease contract (ana sūti and zāqipānūti)"
Iddin-Marduk,Uballissu-Marduk,,Male,,35824,-,-,-,-,-,-,"less probable","Unknown (poss. H.V. Hilprecht)",,"BE 9, 48",Murašû,"Legal document","02.VII.36 Art I",429,Nippur,"Seals, Fingernails",https://cdli.ucla.edu/P453404,,http://www.achemenet.com/fr/item/?/sources-textuelles/textes-par-langues-et-ecritures/babylonien/archives-murasu/2043689,,,4120,"witness, regular (mukinnu)",-,"TypeLegal documentSubtypelease contract (ana sūti and zāqipānūti)"
Imbia,Kidinnu,,Male,,35851,-,-,-,-,-,-,"less probable","Unknown (poss. H.V. Hilprecht)",,"BE 9, 48",Murašû,"Legal document","02.VII.36 Art I",429,Nippur,"Seals, Fingernails",https://cdli.ucla.edu/P453404,,http://www.achemenet.com/fr/item/?/sources-textuelles/textes-par-langues-et-ecritures/babylonien/archives-murasu/2043689,,,4120,"witness, regular (mukinnu)",-,"TypeLegal documentSubtypelease contract (ana sūti and zāqipānūti)"
Lâbâši,Nādinu,,Male,,35848,-,-,-,-,-,-,"less probable","Unknown (poss. H.V. Hilprecht)",,"BE 9, 48",Murašû,"Legal document","02.VII.36 Art I",429,Nippur,"Seals, Fingernails",https://cdli.ucla.edu/P453404,,http://www.achemenet.com/fr/item/?/sources-textuelles/textes-par-langues-et-ecritures/babylonien/archives-murasu/2043689,,,4120,"witness, regular (mukinnu)",-,"TypeLegal documentSubtypelease contract (ana sūti and zāqipānūti)"
