Name,Patronym,"Family name",Gender,Owns,"Attestation ID",ind.Name,ind.Patronym,"ind.Family name",ind.Gender,Biography,PID,Probability,"Museum no.",Duplicate,Publication,Archive,Type,Date,"Julian date","Place of writing",Has,"Cdli URL","Nabucco URL","Achemenet URL","Oracc URL","British Museum URL","Tablet ID",Role,Title,"Type and objects"
,,Bibbê,Male,Land,3706,-,-,Bibbê,Unclear,,12152,"highly probable","HS 581",,"Joannès 1989, p. 206","Ea-ilūtu-bāni, Ilī-bāni, Nanāhu","Legal document","04.V.02 Cam",528,Borsippa,,,https://nabucco.arts.kuleuven.be/item/25336,,,,460,eponym,-,"TypeLegal documentSubtypelease contract (ana sūti)"
Abdā,Aplāya,,Male,,33013,-,-,-,-,-,-,"less probable","Unknown (poss. H.V. Hilprecht)",,"BE 9, 45",Murašû,"Legal document","20.V.36 Art I",429,Nippur,Seals,https://cdli.ucla.edu/P453403,,http://www.achemenet.com/fr/item/?/sources-textuelles/textes-par-langues-et-ecritures/babylonien/archives-murasu/2043617,,,3781,lessee,-,"TypeLegal documentSubtypelease contract (ana sūti)"
Abī-yāqar,Napištu,,Male,"Cattle, SmallCattle",1041,-,-,-,-,-,-,"less probable","CBS 5205",,"Stolper 1985, no. 11",Murašû,"Legal document","10.III.40 Art I",425,Nippur,,https://cdli.ucla.edu/P261398,,http://www.achemenet.com/fr/item/?/sources-textuelles/textes-par-langues-et-ecritures/babylonien/archives-murasu/3486739,,,131,sub-lessee,-,"TypeLegal documentSubtypelease contract (ana sūti)"
Adad-rāmu,Nabundu,,Male,,37363,-,-,-,-,-,-,"less probable","CBS 5415",,"BE 9, 65",Murašû,"Legal document","28.[-].38 Art I",427/426,Nippur,"Seals, Fingernails",https://cdli.ucla.edu/P261609,,http://www.achemenet.com/fr/item/?/sources-textuelles/textes-par-langues-et-ecritures/babylonien/archives-murasu/2044118,,,4240,"witness, regular (mukinnu)",-,"TypeLegal documentSubtypelease contract (ana sūti)"
Adad-rēmanni,Aplāya,,Male,,29521,-,-,-,-,-,-,"less probable","CBS 5398",,"BE 9, 35",Murašû,"Legal document","[-].XII.34 Art I",430,Nippur,,https://cdli.ucla.edu/P261592,,http://www.achemenet.com/fr/item/?/sources-textuelles/textes-par-langues-et-ecritures/babylonien/archives-murasu/2043355,,,3445,lessee,-,"TypeLegal documentSubtypelease contract (ana sūti)"
Ahhē-iddin,Bulluṭu,,Male,,1178,-,-,-,-,-,-,"less probable","CBS 5186",,"Stolper 1985, no. 16",Murašû,"Legal document","20+[x].VI.34 Art I",431,Broken/Unclear,"Epigraphs, Fingernails",https://cdli.ucla.edu/P261378,,http://www.achemenet.com/fr/item/?/sources-textuelles/textes-par-langues-et-ecritures/babylonien/archives-murasu/3486754,,,147,"witness, regular (mukinnu)",-,"TypeLegal documentSubtypelease contract (ana sūti)"
Ahhūtī,[...],,Male,,49305,-,-,-,-,-,-,"less probable","CBS 5503",,"BE 10, 99",Murašû,"Legal document","18.II.05 Dar II",419,Hašbāya,"Seals, Epigraphs",https://cdli.ucla.edu/P261696,,http://www.achemenet.com/fr/item/?/sources-textuelles/textes-par-langues-et-ecritures/babylonien/archives-murasu/2133460,,,5737,"witness, regular (mukinnu)",-,"TypeLegal documentSubtypelease contract (ana sūti)"
Ahi-Yāma,Yadih-Yāma,,Male,,33001,-,-,-,-,-,-,"less probable","Unknown (poss. H.V. Hilprecht)",,"BE 9, 45",Murašû,"Legal document","20.V.36 Art I",429,Nippur,Seals,https://cdli.ucla.edu/P453403,,http://www.achemenet.com/fr/item/?/sources-textuelles/textes-par-langues-et-ecritures/babylonien/archives-murasu/2043617,,,3781,lessee,-,"TypeLegal documentSubtypelease contract (ana sūti)"
Ahi-ya[lid],,,Male,,1174,-,-,-,-,-,-,"less probable","CBS 5186",,"Stolper 1985, no. 16",Murašû,"Legal document","20+[x].VI.34 Art I",431,Broken/Unclear,"Epigraphs, Fingernails",https://cdli.ucla.edu/P261378,,http://www.achemenet.com/fr/item/?/sources-textuelles/textes-par-langues-et-ecritures/babylonien/archives-murasu/3486754,,,147,"lessee
sealer of the tablet",-,"TypeLegal documentSubtypelease contract (ana sūti)"
Ahmanā,[...],,Male,Land,47510,-,-,-,-,-,-,"less probable","CBS 5268",,"BE 10, 53",Murašû,"Legal document","12.VII.01 Dar II",423,Nippur,"Seals, Fingernails",https://cdli.ucla.edu/P261462,,http://www.achemenet.com/fr/item/?/sources-textuelles/textes-par-langues-et-ecritures/babylonien/archives-murasu/2132862,,,5504,"land owner
leaves fingernail marking(s)
lessor
recipient",sappardāya,"TypeLegal documentSubtypelease contract (ana sūti)"
