Name,Patronym,"Family name",Gender,Owns,"Attestation ID",ind.Name,ind.Patronym,"ind.Family name",ind.Gender,Biography,PID,Probability,"Museum no.",Duplicate,Publication,Archive,Type,Date,"Julian date","Place of writing",Has,"Cdli URL","Nabucco URL","Achemenet URL","Oracc URL","British Museum URL","Tablet ID",Role,Title,"Type and objects"
Abdī,,,Male,,28408,Abdī,-,-,Male,,11216,"highly probable","AO 20336",,"Joannès 1980, no. 9","Ea-eppēš-ilī B (Babylon)","Legal document","14.II.30 Dar I",492,Ṭābānu,,https://cdli.ucla.edu/P493665,,,,,3358,"neighbour
share-holder",-,"TypeLegal documentSubtypelease contract (ana zitti)"
Ahūšunu,Šaddinnu,Nūr-Sîn,Male,,66161,Ahūšunu,Šaddinnu,Nūr-Sîn,Male,,22462,"highly probable","BM 30913",,"Weszeli 1996, no. 1, p. 475","Egibi Nūr-Sîn","Legal document","19.VIII.23 Dar I",499,Babylon,,-,https://nabucco.arts.kuleuven.be/item/28558,-,-,https://www.britishmuseum.org/collection/object/W_1876-1117-640,7830,"witness, regular (mukinnu)",-,"TypeLegal documentSubtypelease contract (ana zitti)"
Arad-Bēl,,,Male,,45332,Arad-Bēl,-,-,Male,,15696,"highly probable","BM 32921",,"Wunsch 1993b, no. 151","Egibi Nūr-Sîn","Legal document","20.I.08 Nbn",548,Babylon,,-,https://nabucco.arts.kuleuven.be/item/28813,-,-,https://www.britishmuseum.org/collection/object/W_1878-0531-10,5224,lessee,qallu,"TypeLegal documentSubtypelease contract (ana zitti)"
Barik-il,Nabû-zēru-ibni,,Male,SmallCattle,45331,Barik-il,Nabû-zēru-ibni,-,Male,,15583,"highly probable","BM 32921",,"Wunsch 1993b, no. 151","Egibi Nūr-Sîn","Legal document","20.I.08 Nbn",548,Babylon,,-,https://nabucco.arts.kuleuven.be/item/28813,-,-,https://www.britishmuseum.org/collection/object/W_1878-0531-10,5224,lessor,-,"TypeLegal documentSubtypelease contract (ana zitti)"
Bēl-asûa,Gimillu,Esagil-amassu,Male,,67228,Bēl-asûa,Gimillu,Esagil-amassu,Male,,22265,"highly probable","BM 32865",,"Bertin 2641","Egibi Nūr-Sîn","Legal document","06.XIIb.27 Dar I",494,Šahrīn,,-,https://nabucco.arts.kuleuven.be/item/30010,-,-,https://www.britishmuseum.org/collection/object/W_1877-0417-16,7929,"witness, regular (mukinnu)",-,"TypeLegal documentSubtypelease contract (ana zitti)"
Bēl-iddin,,,Male,,28417,Bēl-iddin,-,-,Male,,11240,"highly probable","AO 20336",,"Joannès 1980, no. 9","Ea-eppēš-ilī B (Babylon)","Legal document","14.II.30 Dar I",492,Ṭābānu,,https://cdli.ucla.edu/P493665,,,,,3358,debtor,-,"TypeLegal documentSubtypelease contract (ana zitti)"
Bēl-iddin,Bēl-šumu-iškun,Rē’i-sīsê,Male,,63690,Bēl-iddin,Bēl-šumu-iškun,Rē’i-sīsê,Male,,21912,"highly probable","BM 33086",,"Dar 257","Egibi Nūr-Sîn","Legal document","29.VI.09 Dar I",513,"Nār-Piqūdu Ālu-ša-Nabû-uballiṭ",,-,https://nabucco.arts.kuleuven.be/item/29374,http://www.achemenet.com/en/item/?/textual-sources/texts-by-regions/babylonia/babylon/1657766,-,https://www.britishmuseum.org/collection/object/W_1879-0301-12,7537,"witness, regular (mukinnu)",-,"TypeLegal documentSubtypelease contract (ana zitti)"
Bēl-uballiṭ,Iqīšāya,Ṣāhit-ginê,Male,"Donkeys, SmallCattle",1531,Bēl-uballiṭ,Iqīšāya,Ṣāhit-ginê,Male,,13788,"highly probable","BM 74662",,"Waerzeggers 2014, no. 18","Ṣāhit-ginê A","Legal document","15.VI.02 Dar I",520,Sippar,,-,https://nabucco.arts.kuleuven.be/item/28102,-,-,https://www.britishmuseum.org/collection/object/W_1882-0918-A-387,200,lessor,-,"TypeLegal documentSubtypelease contract (ana zitti)"
Bēl-uballiṭ,Marduk-erība,Eppēš-ilī,Male,,63691,Bēl-uballiṭ,Marduk-erība,Eppēš-ilī,Male,,21529,"highly probable","BM 33086",,"Dar 257","Egibi Nūr-Sîn","Legal document","29.VI.09 Dar I",513,"Nār-Piqūdu Ālu-ša-Nabû-uballiṭ",,-,https://nabucco.arts.kuleuven.be/item/29374,http://www.achemenet.com/en/item/?/textual-sources/texts-by-regions/babylonia/babylon/1657766,-,https://www.britishmuseum.org/collection/object/W_1879-0301-12,7537,"witness, regular (mukinnu)",-,"TypeLegal documentSubtypelease contract (ana zitti)"
Darius,,,Male,,8308,Darius,-,-,Male,,16371,"highly probable","BM 74662",,"Waerzeggers 2014, no. 18","Ṣāhit-ginê A","Legal document","15.VI.02 Dar I",520,Sippar,,-,https://nabucco.arts.kuleuven.be/item/28102,-,-,https://www.britishmuseum.org/collection/object/W_1882-0918-A-387,200,"king in date","šar Bābili u mātāti","TypeLegal documentSubtypelease contract (ana zitti)"
