Name,Patronym,"Family name",Gender,Owns,"Attestation ID",ind.Name,ind.Patronym,"ind.Family name",ind.Gender,Biography,PID,Probability,"Museum no.",Duplicate,Publication,Archive,Type,Date,"Julian date","Place of writing",Has,"Cdli URL","Nabucco URL","Achemenet URL","Oracc URL","British Museum URL","Tablet ID",Role,Title,"Type and objects"
Anonymous,,,Male,,67260,Anonymous,-,-,Male,,28269,"highly probable","MLC 360",,"BRM 1, 82","Balāṭu, slave of Rēmūt-Bēl","Legal document","03.VIII.27 Dar I",495,Broken/Unclear,,https://cdli.ucla.edu/P295163,,,,,7744,"passive (mentioned in relation to sb or sth else)",ašlāku,"TypeLegal documentSubtypelease contract (ana ēpišānūti)"
Arad-Nergal,Arad-Bēl,,Male,,52623,Arad-Nergal,Arad-Bēl,-,Male,,20040,"highly probable","BM 36432",,"Wunsch 1993b, no. 326","Egibi Nūr-Sîn","Legal document","16.VI.02 Cam",528,Babylon,,-,https://nabucco.arts.kuleuven.be/item/28507,-,-,https://www.britishmuseum.org/collection/object/W_1880-0617-159,6180,"witness, regular (mukinnu)",-,"TypeLegal documentSubtypelease contract (ana ēpišānūti)"
Balāṭu,,,Male,,65643,Balāṭu,-,-,Male,,26189,"highly probable","MLC 360",,"BRM 1, 82","Balāṭu, slave of Rēmūt-Bēl","Legal document","03.VIII.27 Dar I",495,Broken/Unclear,,https://cdli.ucla.edu/P295163,,,,,7744,prebend-performer,qallu,"TypeLegal documentSubtypelease contract (ana ēpišānūti)"
Bayt-il-kīnu,Zabidā,,Male,,52622,Bayt-il-kīnu,Zabidā,-,Male,,18284,"highly probable","BM 36432",,"Wunsch 1993b, no. 326","Egibi Nūr-Sîn","Legal document","16.VI.02 Cam",528,Babylon,,-,https://nabucco.arts.kuleuven.be/item/28507,-,-,https://www.britishmuseum.org/collection/object/W_1880-0617-159,6180,"witness, regular (mukinnu)",-,"TypeLegal documentSubtypelease contract (ana ēpišānūti)"
Bēl-iddin,Nabû-ēṭir,Rab-banê,Male,House,52620,Bēl-iddin,Nabû-ēṭir,Rab-banê,Male,,18935,"highly probable","BM 36432",,"Wunsch 1993b, no. 326","Egibi Nūr-Sîn","Legal document","16.VI.02 Cam",528,Babylon,,-,https://nabucco.arts.kuleuven.be/item/28507,-,-,https://www.britishmuseum.org/collection/object/W_1880-0617-159,6180,"lessor
scribe (ṭupšarru)",-,"TypeLegal documentSubtypelease contract (ana ēpišānūti)"
Bēlšunu,,,Male,House,52625,Bēlšunu,-,-,Male,,29037,"highly probable","BM 36432",,"Wunsch 1993b, no. 326","Egibi Nūr-Sîn","Legal document","16.VI.02 Cam",528,Babylon,,-,https://nabucco.arts.kuleuven.be/item/28507,-,-,https://www.britishmuseum.org/collection/object/W_1880-0617-159,6180,"house owner",-,"TypeLegal documentSubtypelease contract (ana ēpišānūti)"
Cambyses,,,Male,,52624,Cambyses,-,-,Male,,16420,"highly probable","BM 36432",,"Wunsch 1993b, no. 326","Egibi Nūr-Sîn","Legal document","16.VI.02 Cam",528,Babylon,,-,https://nabucco.arts.kuleuven.be/item/28507,-,-,https://www.britishmuseum.org/collection/object/W_1880-0617-159,6180,"king in date","šar Bābili šar mātāti","TypeLegal documentSubtypelease contract (ana ēpišānūti)"
Darius,,,Male,,65379,Darius,-,-,Male,,16371,"highly probable","MLC 360",,"BRM 1, 82","Balāṭu, slave of Rēmūt-Bēl","Legal document","03.VIII.27 Dar I",495,Broken/Unclear,,https://cdli.ucla.edu/P295163,,,,,7744,"king in date","šar Bābili u mātāti","TypeLegal documentSubtypelease contract (ana ēpišānūti)"
Itti-Nabû-balāṭu,Nabû-zēr-kitti-līšir,[...],Male,,65649,Itti-Nabû-balāṭu,Nabû-zēr-kitti-līšir,[...],Male,,27769,"highly probable","MLC 360",,"BRM 1, 82","Balāṭu, slave of Rēmūt-Bēl","Legal document","03.VIII.27 Dar I",495,Broken/Unclear,,https://cdli.ucla.edu/P295163,,,,,7744,"witness, regular (mukinnu)",-,"TypeLegal documentSubtypelease contract (ana ēpišānūti)"
Kullili,Nabû-lē’i,Raksu,Male,,65657,Kullili,Nabû-lē’i,Raksu,Male,,23049,"highly probable","MLC 360",,"BRM 1, 82","Balāṭu, slave of Rēmūt-Bēl","Legal document","03.VIII.27 Dar I",495,Broken/Unclear,,https://cdli.ucla.edu/P295163,,,,,7744,"witness, regular (mukinnu)",-,"TypeLegal documentSubtypelease contract (ana ēpišānūti)"
