Name,Patronym,"Family name",Gender,Owns,"Attestation ID",ind.Name,ind.Patronym,"ind.Family name",ind.Gender,Biography,PID,Probability,"Museum no.",Duplicate,Publication,Archive,Type,Date,"Julian date","Place of writing",Has,"Cdli URL","Nabucco URL","Achemenet URL","Oracc URL","British Museum URL","Tablet ID",Role,Title,"Type and objects"
Arad-Bēl,Uraš-šumu-ibni,Rē’i-sīsê,Male,,44717,Arad-Bēl,Uraš-šumu-ibni,Rē’i-sīsê,Male,,16612,"highly probable","VAT 2996",,"San Nicolò and Ungnad 1929-1935, no. 154","Sîn-ilī (Babylon)","Legal document","25.V.43 Nbk II",562,Ālu-ša-Nūrea,,-,-,-,-,-,5130,"witness, regular (mukinnu)",-,"TypeLegal documentSubtypelease contract, hire (ana idī)"
Arad-Marduk,Šellebu,Eppēš-ilī,Male,Slave,37990,Arad-Marduk,Šellebu,Eppēš-ilī,Male,,9775,"highly probable","CBS 21",,"BE 8/1, 119","Ea-eppēš-ilī A (Babylon)","Legal document","23.I.01 Xer I",485,Babylon,,https://cdli.ucla.edu/P257586,,,,,4408,"master (of a slave)",-,"TypeLegal documentSubtypelease contract, hire (ana idī)"
Bēl-eṭēri,Lâbâši,,Male,,38008,Bēl-eṭēri,Lâbâši,-,Male,,10742,"highly probable","CBS 21",,"BE 8/1, 119","Ea-eppēš-ilī A (Babylon)","Legal document","23.I.01 Xer I",485,Babylon,,https://cdli.ucla.edu/P257586,,,,,4408,"scribe (ṭupšarru)",-,"TypeLegal documentSubtypelease contract, hire (ana idī)"
Bēl-iddin,,,Male,,37975,Bēl-iddin,-,-,Male,,10745,"highly probable","CBS 21",,"BE 8/1, 119","Ea-eppēš-ilī A (Babylon)","Legal document","23.I.01 Xer I",485,Babylon,,https://cdli.ucla.edu/P257586,,,,,4408,broken/unclear,-,"TypeLegal documentSubtypelease contract, hire (ana idī)"
Bēl-iddin,Adad-useppi,,Male,,34882,Bēl-iddin,Adad-useppi,-,Male,,10748,"highly probable","BM 77348",,"Cyr 278","Ea-eppēš-ilī A (Babylon)","Legal document","23.XI.07 Cyr",531,Broken/Unclear,,,-,http://www.achemenet.com/fr/item/?/2078061=Textes%20babyloniens&3349245==Strassmaier%20--Inschriften%20von%20Cyrus&l=a&c=1&t=1.4/3/96/1/1671393,-,https://www.britishmuseum.org/collection/object/W_1884-0211-82,4018,"witness, regular (mukinnu)",-,"TypeLegal documentSubtypelease contract, hire (ana idī)"
Bēl-šumu-ēreš,Nergal-i[...],Atû,Male,,38011,Bēl-šumu-ēreš,Nergal-i[...],Atû,Male,,10166,"highly probable","CBS 21",,"BE 8/1, 119","Ea-eppēš-ilī A (Babylon)","Legal document","23.I.01 Xer I",485,Babylon,,https://cdli.ucla.edu/P257586,,,,,4408,broken/unclear,-,"TypeLegal documentSubtypelease contract, hire (ana idī)"
Bēlšunu,Bēl-iddin,Naggāru,Male,,67309,Bēlšunu,Bēl-iddin,Naggāru,Male,,23534,"highly probable","BM 87316",,unpublished,"Ilia A+B","Legal document","04.VII.02 Cam",528,Borsippa,,-,-,-,-,https://www.britishmuseum.org/collection/object/W_1900-1013-96,5207,"witness, regular (mukinnu)",-,"TypeLegal documentSubtypelease contract, hire (ana idī)"
Bulṭāya,Sîn-leqe-unninnī,Iddin-Papsukkal,Male,,43863,Bulṭāya,Sîn-leqe-unninnī,Iddin-Papsukkal,Male,,16511,"highly probable","VAT 3004",,"San Nicolò and Ungnad 1929-1935, no. 150","Sîn-ilī (Babylon)","Legal document","27.XI.37 Nbk II",567,Ālu-ša-Nādin,"Other markings",-,-,-,-,-,5059,"creditor
employer
recipient",-,"TypeLegal documentSubtypelease contract, hire (ana idī)"
Bulṭāya,Sîn-leqe-unninnī,Iddin-Papsukkal,Male,,44706,Bulṭāya,Sîn-leqe-unninnī,Iddin-Papsukkal,Male,,16511,"highly probable","VAT 2996",,"San Nicolò and Ungnad 1929-1935, no. 154","Sîn-ilī (Babylon)","Legal document","25.V.43 Nbk II",562,Ālu-ša-Nūrea,,-,-,-,-,-,5130,"employer
lessee",-,"TypeLegal documentSubtypelease contract, hire (ana idī)"
Bunnānu,Aplāya,Nūr-[Sîn(?)],Male,,43867,Bunnānu,Aplāya,Nūr-[...],Male,,16962,"highly probable","VAT 3004",,"San Nicolò and Ungnad 1929-1935, no. 150","Sîn-ilī (Babylon)","Legal document","27.XI.37 Nbk II",567,Ālu-ša-Nādin,"Other markings",-,-,-,-,-,5059,"witness, regular (mukinnu)",-,"TypeLegal documentSubtypelease contract, hire (ana idī)"
Cambyses,,,Male,,67311,Cambyses,-,-,Male,,16420,"highly probable","BM 87316",,unpublished,"Ilia A+B","Legal document","04.VII.02 Cam",528,Borsippa,,-,-,-,-,https://www.britishmuseum.org/collection/object/W_1900-1013-96,5207,"king in date","šar Bābili u mātāti
šar Bābili u šar mātāti","TypeLegal documentSubtypelease contract, hire (ana idī)"
Cyrus,,,Male,,34900,Cyrus,-,-,Male,,16416,"highly probable","BM 77348",,"Cyr 278","Ea-eppēš-ilī A (Babylon)","Legal document","23.XI.07 Cyr",531,Broken/Unclear,,,-,http://www.achemenet.com/fr/item/?/2078061=Textes%20babyloniens&3349245==Strassmaier%20--Inschriften%20von%20Cyrus&l=a&c=1&t=1.4/3/96/1/1671393,-,https://www.britishmuseum.org/collection/object/W_1884-0211-82,4018,"king in date","šar Bābili u mātāti","TypeLegal documentSubtypelease contract, hire (ana idī)"
Dumqu,Bēl-abu-uṣur,Šigûa,Male,,37996,Dumqu,Bēl-abu-uṣur,Šigûa,Male,,9817,"highly probable","CBS 21",,"BE 8/1, 119","Ea-eppēš-ilī A (Babylon)","Legal document","23.I.01 Xer I",485,Babylon,,https://cdli.ucla.edu/P257586,,,,,4408,"witness, regular (mukinnu)",-,"TypeLegal documentSubtypelease contract, hire (ana idī)"
Iddin-Nabû,Šūzubu,Ilī-Marduk(?),Male,,38005,Iddin-Nabû,Šūzubu,Ilī-Marduk,Male,,10382,"highly probable","CBS 21",,"BE 8/1, 119","Ea-eppēš-ilī A (Babylon)","Legal document","23.I.01 Xer I",485,Babylon,,https://cdli.ucla.edu/P257586,,,,,4408,"witness, regular (mukinnu)",-,"TypeLegal documentSubtypelease contract, hire (ana idī)"
Inṣabtu,[...],Ša-nāšišu,Female,,67305,Inṣabtu,Marduk-šumu-iddin,Ša-nāšišu,Female,,21066,"highly probable","BM 87316",,unpublished,"Ilia A+B","Legal document","04.VII.02 Cam",528,Borsippa,,-,-,-,-,https://www.britishmuseum.org/collection/object/W_1900-1013-96,5207,lessor,-,"TypeLegal documentSubtypelease contract, hire (ana idī)"
Ištarān-šumu-uṣur,Adad-ibni,,Male,,43868,Ištarān-šumu-uṣur,-,Adad-ibni,Male,,16902,"highly probable","VAT 3004",,"San Nicolò and Ungnad 1929-1935, no. 150","Sîn-ilī (Babylon)","Legal document","27.XI.37 Nbk II",567,Ālu-ša-Nādin,"Other markings",-,-,-,-,-,5059,"witness, regular (mukinnu)",-,"TypeLegal documentSubtypelease contract, hire (ana idī)"
Itti-Marduk-balāṭu,Iqīša-Marduk,Bā’iru,Male,,38002,Itti-Marduk-balāṭu,Iqīša-Marduk,Bā’iru,Male,,10202,"highly probable","CBS 21",,"BE 8/1, 119","Ea-eppēš-ilī A (Babylon)","Legal document","23.I.01 Xer I",485,Babylon,,https://cdli.ucla.edu/P257586,,,,,4408,"witness, regular (mukinnu)",-,"TypeLegal documentSubtypelease contract, hire (ana idī)"
Kallabuttu,,,Female,,37984,Kallabuttu,-,-,Female,,10838,"highly probable","CBS 21",,"BE 8/1, 119","Ea-eppēš-ilī A (Babylon)","Legal document","23.I.01 Xer I",485,Babylon,,https://cdli.ucla.edu/P257586,,,,,4408,lessor,-,"TypeLegal documentSubtypelease contract, hire (ana idī)"
Marduk-bēlšunu,Gimil-Šamaš,Itinnu,Male,,37999,Marduk-bēlšunu,Gimil-Šamaš,Itinnu,Male,,10391,"highly probable","CBS 21",,"BE 8/1, 119","Ea-eppēš-ilī A (Babylon)","Legal document","23.I.01 Xer I",485,Babylon,,https://cdli.ucla.edu/P257586,,,,,4408,"witness, regular (mukinnu)",-,"TypeLegal documentSubtypelease contract, hire (ana idī)"
Marduk-erība,Nabû-šumu-ukīn,Eppēš-ilī,Male,,44714,Marduk-erība,Nabû-šumu-ukīn,Eppēš-ilī,Male,,17069,"highly probable","VAT 2996",,"San Nicolò and Ungnad 1929-1935, no. 154","Sîn-ilī (Babylon)","Legal document","25.V.43 Nbk II",562,Ālu-ša-Nūrea,,-,-,-,-,-,5130,"witness, regular (mukinnu)",-,"TypeLegal documentSubtypelease contract, hire (ana idī)"
Mušēzib-Marduk,Bēl-ibni,,Male,Slave,37981,Mušēzib-Marduk,Bēl-ibni,-,Male,,10883,"highly probable","CBS 21",,"BE 8/1, 119","Ea-eppēš-ilī A (Babylon)","Legal document","23.I.01 Xer I",485,Babylon,,https://cdli.ucla.edu/P257586,,,,,4408,"master (of a slave)",-,"TypeLegal documentSubtypelease contract, hire (ana idī)"
Nabû-azzuzzu,,,Male,,44697,Nabû-azzuzzu,-,-,Male,,17111,"highly probable","VAT 2996",,"San Nicolò and Ungnad 1929-1935, no. 154","Sîn-ilī (Babylon)","Legal document","25.V.43 Nbk II",562,Ālu-ša-Nūrea,,-,-,-,-,-,5130,"employee
object of transaction",qallu,"TypeLegal documentSubtypelease contract, hire (ana idī)"
Nabû-balāssu-iqbi,[...]-Nabû-NA-UT(?),,Male,,34894,Nabû-balāssu-iqbi,[...]-Nabû-NA-UT,-,Male,,10895,"highly probable","BM 77348",,"Cyr 278","Ea-eppēš-ilī A (Babylon)","Legal document","23.XI.07 Cyr",531,Broken/Unclear,,,-,http://www.achemenet.com/fr/item/?/2078061=Textes%20babyloniens&3349245==Strassmaier%20--Inschriften%20von%20Cyrus&l=a&c=1&t=1.4/3/96/1/1671393,-,https://www.britishmuseum.org/collection/object/W_1884-0211-82,4018,"scribe (ṭupšarru)",-,"TypeLegal documentSubtypelease contract, hire (ana idī)"
Nabû-bullissu,,,Male,,34837,Nabû-bullissu,-,-,Male,,10907,"highly probable","BM 77348",,"Cyr 278","Ea-eppēš-ilī A (Babylon)","Legal document","23.XI.07 Cyr",531,Broken/Unclear,,,-,http://www.achemenet.com/fr/item/?/2078061=Textes%20babyloniens&3349245==Strassmaier%20--Inschriften%20von%20Cyrus&l=a&c=1&t=1.4/3/96/1/1671393,-,https://www.britishmuseum.org/collection/object/W_1884-0211-82,4018,"employee
object of transaction",-,"TypeLegal documentSubtypelease contract, hire (ana idī)"
Nabû-ina-Esagil-lūmur,,,Male,,37978,Nabû-ina-Esagil-lūmur,-,-,Male,,10916,"highly probable","CBS 21",,"BE 8/1, 119","Ea-eppēš-ilī A (Babylon)","Legal document","23.I.01 Xer I",485,Babylon,,https://cdli.ucla.edu/P257586,,,,,4408,"object of transaction",qallu,"TypeLegal documentSubtypelease contract, hire (ana idī)"
Nabû-lurši,,,Male,,37987,Nabû-lurši,-,-,Male,,10928,"highly probable","CBS 21",,"BE 8/1, 119","Ea-eppēš-ilī A (Babylon)","Legal document","23.I.01 Xer I",485,Babylon,,https://cdli.ucla.edu/P257586,,,,,4408,lessee,qallu,"TypeLegal documentSubtypelease contract, hire (ana idī)"
Nabû-mudammiq,Iqīšāya,Dābibī,Male,,43869,Nabû-mudammiq,Iqīšāya,Dābibī,Male,,16492,"highly probable","VAT 3004",,"San Nicolò and Ungnad 1929-1935, no. 150","Sîn-ilī (Babylon)","Legal document","27.XI.37 Nbk II",567,Ālu-ša-Nādin,"Other markings",-,-,-,-,-,5059,"scribe (ṭupšarru)",-,"TypeLegal documentSubtypelease contract, hire (ana idī)"
Nabû-mukīn-zēri,Mušēzib-Marduk,,Male,,43864,Nabû-mukīn-zēri,Mušēzib-Marduk,-,Male,,17148,"highly probable","VAT 3004",,"San Nicolò and Ungnad 1929-1935, no. 150","Sîn-ilī (Babylon)","Legal document","27.XI.37 Nbk II",567,Ālu-ša-Nādin,"Other markings",-,-,-,-,-,5059,"debtor
employee
payer
usufruct holder (ina pāni)",-,"TypeLegal documentSubtypelease contract, hire (ana idī)"
Nabû-mušētiq-uddi,Mušēzib-Marduk,Pahāru,Male,Other,67308,Nabû-mušētiq-uddi,Mušēzib-Marduk,Pahāru,Male,,22724,probable,"BM 87316",,unpublished,"Ilia A+B","Legal document","04.VII.02 Cam",528,Borsippa,,-,-,-,-,https://www.britishmuseum.org/collection/object/W_1900-1013-96,5207,"witness, regular (mukinnu)",-,"TypeLegal documentSubtypelease contract, hire (ana idī)"
Nabû-zēru-iqīša,Kabtia,Mušēzibu,Male,,67310,Nabû-zēru-iqīša,Kabtia,Mušēzibu,Male,,18335,"highly probable","BM 87316",,unpublished,"Ilia A+B","Legal document","04.VII.02 Cam",528,Borsippa,,-,-,-,-,https://www.britishmuseum.org/collection/object/W_1900-1013-96,5207,"scribe (ṭupšarru)",-,"TypeLegal documentSubtypelease contract, hire (ana idī)"
Nādin-ahi,Nabû-na’id,[...],Male,,67307,Nabû-nādin-ahi,Nabû-na’id,Naggāru,Male,,22966,probable,"BM 87316",,unpublished,"Ilia A+B","Legal document","04.VII.02 Cam",528,Borsippa,,-,-,-,-,https://www.britishmuseum.org/collection/object/W_1900-1013-96,5207,"witness, regular (mukinnu)",-,"TypeLegal documentSubtypelease contract, hire (ana idī)"
Nebuchadnezzar,,,Male,,43870,Nebuchadnezzar,-,-,Male,,16374,"highly probable","VAT 3004",,"San Nicolò and Ungnad 1929-1935, no. 150","Sîn-ilī (Babylon)","Legal document","27.XI.37 Nbk II",567,Ālu-ša-Nādin,"Other markings",-,-,-,-,-,5059,"king in date","šar Bābili","TypeLegal documentSubtypelease contract, hire (ana idī)"
Nebuchadnezzar,,,Male,,44719,Nebuchadnezzar,-,-,Male,,16374,"highly probable","VAT 2996",,"San Nicolò and Ungnad 1929-1935, no. 154","Sîn-ilī (Babylon)","Legal document","25.V.43 Nbk II",562,Ālu-ša-Nūrea,,-,-,-,-,-,5130,"king in date","šar Bābili","TypeLegal documentSubtypelease contract, hire (ana idī)"
Šadûnu,Nabû-šumu-līšir,Pahāru,Male,,44718,Šadûnu,Nabû-šumu-līšir,Pahāru,Male,,16602,"highly probable","VAT 2996",,"San Nicolò and Ungnad 1929-1935, no. 154","Sîn-ilī (Babylon)","Legal document","25.V.43 Nbk II",562,Ālu-ša-Nūrea,,-,-,-,-,-,5130,"scribe (ṭupšarru)",-,"TypeLegal documentSubtypelease contract, hire (ana idī)"
