Name,Patronym,"Family name",Gender,Owns,"Attestation ID",ind.Name,ind.Patronym,"ind.Family name",ind.Gender,Biography,PID,Probability,"Museum no.",Duplicate,Publication,Archive,Type,Date,"Julian date","Place of writing",Has,"Cdli URL","Nabucco URL","Achemenet URL","Oracc URL","British Museum URL","Tablet ID",Role,Title,"Type and objects"
-,-,-,-,,-,-,-,-,-,-,-,"less probable","BM 96285","BM 29035","No publication","Ibnāya A","Legal document","03.VI.00 Ner",560,Borsippa,,-,-,-,-,https://www.britishmuseum.org/collection/object/W_1902-0412-397,6827,-,-,"TypeLegal documentSubtypelease contract"
Abī-ul-īde,,,Male,Field,50151,Abī-ul-īde,-,-,Male,,17346,"highly probable","Unknown (IM)",,"UET 4, 47",Nidinti-Ea,"Legal document","18.VI.18 Art II",387,Ur,Seals,https://cdli.ucla.edu/P414743,-,-,-,-,5835,neighbour,-,"TypeLegal documentSubtypelease contract"
Adad-ahu-iddin,Būru-zēru-iddin,,Male,House,6323,Adad-ahu-iddin,Būru-zēru-iddin,-,Male,,6061,"highly probable","BM 74525",,"Waerzeggers 2014, no. 167","Ṣāhit-ginê A","Legal document","21.III.35 Dar I",487,Sippar,,-,https://nabucco.arts.kuleuven.be/item/27961,-,-,https://www.britishmuseum.org/collection/object/W_1882-0918-A-248,841,lessor,-,"TypeLegal documentSubtypelease contract"
Adad-na’id,Rēmūtu,,Male,,4721,Adad-na’id,Rēmūtu,-,Male,,6067,"highly probable","BM 79511",,"Waerzeggers 2014, no. 99","Ṣāhit-ginê A","Legal document","22.V.17 Dar I",505,Sippar,,-,https://nabucco.arts.kuleuven.be/item/27913,-,-,https://www.britishmuseum.org/collection/object/W_1889-1014-61,606,"witness, regular (mukinnu)",-,"TypeLegal documentSubtypelease contract"
Adad-rāmu,Nabundu,,Male,,39664,-,-,-,-,-,-,"less probable","CBS 5416",,"BE 9, 67",Murašû,"Legal document","28.VII.39 Art I",426,Nippur,Seals,https://cdli.ucla.edu/P261610,,http://www.achemenet.com/fr/item/?/sources-textuelles/textes-par-langues-et-ecritures/babylonien/archives-murasu/2044189,,,4609,"lessee
sealer of the tablet",-,"TypeLegal documentSubtypelease contract"
Ahhē-iddin,[...],,Male,,1084,-,-,-,-,-,-,"less probable","CBS 12841",,"Stolper 1985, no. 12",Murašû,"Legal document","13.VIII.37 Art I",428,Nippur,"Seals, Epigraphs",https://cdli.ucla.edu/P267442,,http://www.achemenet.com/fr/item/?/sources-textuelles/textes-par-langues-et-ecritures/babylonien/archives-murasu/3486742,,,137,"witness, regular (mukinnu)",-,"TypeLegal documentSubtypelease contract"
Ahhēšāya,Zēria,Balāṭu,Male,,38068,Ahhēšāya,Zēria,Balāṭu,Male,,18218,"highly probable","BM 102271",,unpublished,"Rē’i-alpi (Borsippa)","Legal document","08.III.03 Nbn",553,Borsippa,,,-,-,-,https://www.britishmuseum.org/collection/object/W_1906-0512-192,4417,"witness, regular (mukinnu)",-,"TypeLegal documentSubtypelease contract"
Ahūšunu,,Nanāhu,Male,,9824,Ahūšunu,Nabû-mušētiq-uddi,Nanāhu,Male,,10637,"highly probable","L 1652",,"Joannès 1989, p. 246","Ea-ilūtu-bāni, Ilī-bāni, Nanāhu","Legal document","28.XII.30 Dar I",491,Borsippa,,,https://nabucco.arts.kuleuven.be/item/24889,,,,1247,"passive (mentioned in relation to sb or sth else)",-,"TypeLegal documentSubtypelease contract"
Ahūšunu,Aplāya,,Male,,42815,-,-,-,-,-,-,"less probable","CBS 5308",,"BE 9, 87",Murašû,"Legal document","24.III.41 Art I",424,Nippur,"Epigraphs, Fingernails",https://cdli.ucla.edu/P261502,,http://www.achemenet.com/fr/item/?/sources-textuelles/textes-par-langues-et-ecritures/babylonien/archives-murasu/2044690,,,4940,"witness, regular (mukinnu)",-,"TypeLegal documentSubtypelease contract"
Ahušunu,Mušēzibu,,Male,,67834,Ahūšunu,Mušēzibu,-,Male,,24864,"highly probable","BM 26689",,Unpublished,"Ilia A+B","Legal document","10?.VI.01 Nbk II",604,Borsippa,,-,-,-,-,https://www.britishmuseum.org/collection/object/W_1898-0514-507,5914,neighbour,-,"TypeLegal documentSubtypelease contract"
Ahušunu,Nabû-[...]-zēri,[...],Male,,67837,Ahūšunu,Nabû-[...]-zēri,[...],Male,,24865,"highly probable","BM 26689",,Unpublished,"Ilia A+B","Legal document","10?.VI.01 Nbk II",604,Borsippa,,-,-,-,-,https://www.britishmuseum.org/collection/object/W_1898-0514-507,5914,"witness, regular (mukinnu)",-,"TypeLegal documentSubtypelease contract"
Ahūšunu,Nidinti-Šamaš,,Male,,19888,Ahūšunu,Nidinti-Šamaš,-,Male,,15191,probable,"Unknown (IM)",,"UET 4, 41","Gallābu (Ur)","Legal document","17.[-].27 Art II",378/377,Ur,,https://cdli.ucla.edu/P414737,-,,,,2437,"sealer of the tablet
witness, regular (mukinnu)",-,"TypeLegal documentSubtypelease contract"
