Name,Patronym,"Family name",Gender,Owns,"Attestation ID",ind.Name,ind.Patronym,"ind.Family name",ind.Gender,Biography,PID,Probability,"Museum no.",Duplicate,Publication,Archive,Type,Date,"Julian date","Place of writing",Has,"Cdli URL","Nabucco URL","Achemenet URL","Oracc URL","British Museum URL","Tablet ID",Role,Title,"Type and objects"
Adušû,,,Male,,63993,Adušû,-,-,Male,,22218,"highly probable","BM 32916",,"Nbk 24","Egibi Nūr-Sîn","Legal document","01.V.02 Nbk II",603,Sahrītu,,https://cdli.ucla.edu/P507748,-,-,-,https://www.britishmuseum.org/collection/object/W_1878-0531-5,7573,debtor,-,"TypeLegal documentSubtypeloan (ina pāni)"
Ahu-kī-Sîn,Sîn-ēreš,,Male,,50467,Ahu-kī-Sîn,Sîn-ēreš,-,Male,,17348,"highly probable","Unknown (IM)",,"UET 4, 97",Nidinti-Ea,"Legal document","[-].I.11+[x] Art II","after 394",Ur,Fingernails,https://cdli.ucla.edu/P414793,-,-,-,-,5923,"leaves fingernail marking(s)
person to whom object is deposited",-,"TypeLegal documentSubtypeloan (ina pāni)"
Ahūšunu,[...],,Male,,50478,Ahūšunu,[...],-,Male,,17352,"highly probable","Unknown (IM)",,"UET 4, 103",Nidinti-Ea,"Legal document","[-].II.12 Art II",393,Ur,Fingernails,https://cdli.ucla.edu/P414799,-,-,-,-,5927,"witness, regular (mukinnu)",-,"TypeLegal documentSubtypeloan (ina pāni)"
Amurru-rāmu,Šullumu,,Male,,45188,Amurru-rāmu,Šullumu,-,Male,,16898,"highly probable","VAT 3104",,"San Nicolò and Ungnad 1929-1935, no. 244","Sîn-ilī (Babylon)","Legal document","03.V.02 Ner",558,Babylon,,-,-,-,-,-,5196,"witness, regular (mukinnu)",-,"TypeLegal documentSubtypeloan (ina pāni)"
Anonymous,,,Male,,50477,Anonymous,-1,-1,Male,-,17357,"highly probable","Unknown (IM)",,"UET 4, 103",Nidinti-Ea,"Legal document","[-].II.12 Art II",393,Ur,Fingernails,https://cdli.ucla.edu/P414799,-,-,-,-,5927,"passive (mentioned in relation to sb or sth else)",tamkāru,"TypeLegal documentSubtypeloan (ina pāni)"
Anonymous,,,Male,,57755,Anonymous,-1,-1,Male,-,23288,"highly probable","BM 30527",,"Nbn 1024","Egibi Nūr-Sîn","Legal document","14.I.17 Nbn",539,"Not mentioned",,-,https://nabucco.arts.kuleuven.be/item/29014,-,-,https://www.britishmuseum.org/collection/object/W_1876-1117-254,6815,debtor,šandabakku,"TypeLegal documentSubtypeloan (ina pāni)"
Anonymous,,,Male,,57764,Anonymous,-1,-1,Male,-,23287,"highly probable","BM 30527",,"Nbn 1024","Egibi Nūr-Sîn","Legal document","14.I.17 Nbn",539,"Not mentioned",,-,https://nabucco.arts.kuleuven.be/item/29014,-,-,https://www.britishmuseum.org/collection/object/W_1876-1117-254,6815,"witness, official (ina ušuzzi)","šangû ša Dēr","TypeLegal documentSubtypeloan (ina pāni)"
Anonymous,,,Male,,57765,Anonymous,-1,-1,Male,-,23296,"highly probable","BM 30527",,"Nbn 1024","Egibi Nūr-Sîn","Legal document","14.I.17 Nbn",539,"Not mentioned",,-,https://nabucco.arts.kuleuven.be/item/29014,-,-,https://www.britishmuseum.org/collection/object/W_1876-1117-254,6815,"witness, official (ina ušuzzi)","šatam Kish","TypeLegal documentSubtypeloan (ina pāni)"
Aplāya,,Ṭābih-kāri,Male,,62859,Aplāya,-,Ṭābih-kāri,Male,,28028,"highly probable","BM 31519",,"Dar 168","Egibi Nūr-Sîn","Legal document","03.VI.05 Dar I",517,Babylon,,-,https://nabucco.arts.kuleuven.be/item/29626,http://www.achemenet.com/en/item/?/textual-sources/texts-by-regions/babylonia/babylon/1655883,-,https://www.britishmuseum.org/collection/object/W_1876-1117-1246,7436,"witness, official (ina ušuzzi)",-,"TypeLegal documentSubtypeloan (ina pāni)"
Aplāya,Bēl-ibni,,Male,,43496,Aplāya,Bēl-ibni,-,Male,,16244,"highly probable","BM 131188",,"UET 4, 87",Sîn-uballiṭ,"Legal document","01.IX.09 Npl",617,Babylon,,https://cdli.ucla.edu/P414783,-,-,-,https://www.britishmuseum.org/collection/object/W_1953-0411-23,5009,"witness, regular (mukinnu)",-,"TypeLegal documentSubtypeloan (ina pāni)"
Arad-Tašmētu,Bēl-iddin,Ilia,Male,,51782,Arad-Tašmētu,Bēl-iddin,Ilia,Male,,20967,"highly probable","BM 102319",,unpublished,"Ilia A+B","Legal document","26.II.05 Dar I",517,Borsippa,,,-,-,-,https://www.britishmuseum.org/collection/object/W_1906-0512-240,5466,"witness, regular (mukinnu)",-,"TypeLegal documentSubtypeloan (ina pāni)"
Ardia,Šulāya,,Male,,48243,Marduk-šumu-ibni,Šulāya,Ilia,Male,"Protagonist of the Ilia A+B archive. Younger brother of Nabû-bēlšunu and older brother of Nabû-ēṭer-napšāti and Nergal-iddin. Husband of {{f}}Inṣabtu/Marduk-šumu-iddin//Ša-nāšišu. Father of Nabû-balassu-iqbi (Nabû-bullissu), {{f}}Amat-Nanāya, {{f}}Amat-Ninlil and {{f}}Binunu. Grandfather of Libluṭ/Nabû-balāssu-iqbi.",18316,"highly probable","BM 26694",,"Sigrist, Zadok and Walker 2006","Ilia A+B","Legal document","10.II.11 Dar I",511,"Not mentioned",,,,,,https://www.britishmuseum.org/collection/object/W_1898-0514-512,5602,creditor,-,"TypeLegal documentSubtypeloan (ina pāni)"
Ardia,Šulāya,Ilia,Male,,67301,Marduk-šumu-ibni,Šulāya,Ilia,Male,"Protagonist of the Ilia A+B archive. Younger brother of Nabû-bēlšunu and older brother of Nabû-ēṭer-napšāti and Nergal-iddin. Husband of {{f}}Inṣabtu/Marduk-šumu-iddin//Ša-nāšišu. Father of Nabû-balassu-iqbi (Nabû-bullissu), {{f}}Amat-Nanāya, {{f}}Amat-Ninlil and {{f}}Binunu. Grandfather of Libluṭ/Nabû-balāssu-iqbi.",18316,"highly probable","BM 17653",,unpublished,"Ilia A+B","Legal document","01.VI.28 Dar I",494,Borsippa,,,-,-,-,https://www.britishmuseum.org/collection/object/W_1894-1013-57,5846,debtor,-,"TypeLegal documentSubtypeloan (ina pāni)"
Ardia,[...],,Male,,57762,Ardia,[...],-,Male,,26586,"highly probable","BM 30527",,"Nbn 1024","Egibi Nūr-Sîn","Legal document","14.I.17 Nbn",539,"Not mentioned",,-,https://nabucco.arts.kuleuven.be/item/29014,-,-,https://www.britishmuseum.org/collection/object/W_1876-1117-254,6815,"witness, official (ina ušuzzi)",-,"TypeLegal documentSubtypeloan (ina pāni)"
Artaxerxes,,,Male,,30361,Artaxerxes,-,-,Male,,16428,"highly probable","Unknown (IM)",,"UET 4, 91","Gallābu (Ur)","Legal document","[-].VIII.[06] Art II",[353],Ur,,https://cdli.ucla.edu/P414787,-,,,,3511,"king in date","šar mātāti","TypeLegal documentSubtypeloan (ina pāni)"
Artaxerxes,,,Male,,50474,Artaxerxes,-,-,Male,,16428,"highly probable","Unknown (IM)",,"UET 4, 97",Nidinti-Ea,"Legal document","[-].I.11+[x] Art II","after 394",Ur,Fingernails,https://cdli.ucla.edu/P414793,-,-,-,-,5923,"king in date","šar mātāti","TypeLegal documentSubtypeloan (ina pāni)"
Artaxerxes,,,Male,,50486,Artaxerxes,-,-,Male,,16428,"highly probable","Unknown (IM)",,"UET 4, 103",Nidinti-Ea,"Legal document","[-].II.12 Art II",393,Ur,Fingernails,https://cdli.ucla.edu/P414799,-,-,-,-,5927,"king in date",broken/unclear,"TypeLegal documentSubtypeloan (ina pāni)"
Ashurbanipal,,,Male,,50942,Ashurbanipal,-,-,Male,,89,"highly probable","VAT 17904",,"Jakob-Rost 1968, no. 13",Bēl-ušallim//Ingallēa,"Legal document","18.IX.22 Asb",646,Borsippa,,-,-,-,-,-,5975,"king in date","šar kiššati","TypeLegal documentSubtypeloan (ina pāni)"
Atkal-ana-Marduk,,,Male,,59241,Atkal-ana-Marduk,-,-,Male,,22245,"highly probable","BM 30951",,"Ner 45","Egibi Nūr-Sîn","Legal document","09.IX.02 Ner",558,Babylon,,-,https://nabucco.arts.kuleuven.be/item/28741,-,-,https://www.britishmuseum.org/collection/object/W_1876-1117-678,7001,"guarantor
lessee",-,"TypeLegal documentSubtypeloan (ina pāni)"
Bābu-ahu-libši,Hanbu,,Male,,43505,Bābu-ahu-libši,Hanbu,-,Male,,16256,"highly probable","BM 131188",,"UET 4, 87",Sîn-uballiṭ,"Legal document","01.IX.09 Npl",617,Babylon,,https://cdli.ucla.edu/P414783,-,-,-,https://www.britishmuseum.org/collection/object/W_1953-0411-23,5009,"scribe (ṭupšarru)",-,"TypeLegal documentSubtypeloan (ina pāni)"
Balāssu,[...],Rē’i-[...],Male,,67801,Balāssu,[...],Rē’i-[...],Male,,24096,"highly probable","BM 102266",,Unpublished,"Ilia A+B","Legal document","10?.VIII?.[-] Nbn",-,Broken/Unclear,,,-,-,-,https://www.britishmuseum.org/collection/object/W_1906-0512-187,7961,"witness, regular (mukinnu)",-,"TypeLegal documentSubtypeloan (ina pāni)"
Balāṭu,Sîn-[...],,Male,,50473,Balāṭu,Sîn-[...],-,Male,,17361,"highly probable","Unknown (IM)",,"UET 4, 97",Nidinti-Ea,"Legal document","[-].I.11+[x] Art II","after 394",Ur,Fingernails,https://cdli.ucla.edu/P414793,-,-,-,-,5923,"scribe (ṭupšarru)",-,"TypeLegal documentSubtypeloan (ina pāni)"
Bānûnu,Ṣillāya,Rab-banê,Male,,59851,Nergal-bānûnu,Ṣillāya,Rab-banê,Male,,22190,"highly probable","BM 30314",,"Nbn 251","Egibi Nūr-Sîn","Legal document","20.I.07 Nbn",549,Babylon,,-,https://nabucco.arts.kuleuven.be/item/31762,-,-,https://www.britishmuseum.org/collection/object/W_1876-1117-34,7079,creditor,-,"TypeLegal documentSubtypeloan (ina pāni)"
Bēl-bullissu,Marduk-rēmanni,Ṣāhit-ginê,Male,,7784,Bēl-bullissu,Marduk-rēmanni,Ṣāhit-ginê,Male,,5959,"highly probable","BM 42395",,"Jursa 1999, pp. 171f.","Šangû-Šamaš A","Legal document","01.IX.30 [Dar I]",[492],Sippar,,-,https://nabucco.arts.kuleuven.be/item/32944,http://www.achemenet.com/fr/item/?/sources-textuelles/textes-par-langues-et-ecritures/babylonien/autres-archives-privees/1327726,-,https://www.britishmuseum.org/collection/object/W_1881-0701-155,981,"scribe (ṭupšarru)",-,"TypeLegal documentSubtypeloan (ina pāni)"
Bēl-bullissu,Nabû-mušētiq-uddi,,Male,,61491,Bēl-bullissu,Nabû-mušētiq-uddi,-,Male,,22488,"highly probable","BM 31117",,"Dar 383","Egibi Nūr-Sîn","Legal document","02.VIII.14 Dar I",508,Babylon,,-,https://nabucco.arts.kuleuven.be/item/29974,http://www.achemenet.com/fr/item/?/sources-textuelles/textes-par-regions/babylonie/babylone/1660641,-,https://www.britishmuseum.org/collection/object/W_1876-1117-844,7283,"witness, official (ina ušuzzi)",-,"TypeLegal documentSubtypeloan (ina pāni)"
