Name,Patronym,"Family name",Gender,Owns,"Attestation ID",ind.Name,ind.Patronym,"ind.Family name",ind.Gender,Biography,PID,Probability,"Museum no.",Duplicate,Publication,Archive,Type,Date,"Julian date","Place of writing",Has,"Cdli URL","Nabucco URL","Achemenet URL","Oracc URL","British Museum URL","Tablet ID",Role,Title,"Type and objects"
Ašarēdu,Širik-[...],[...],Male,,37267,Ašarēdu,Širik-[...],[...],Male,,26185,"highly probable","BM 82655",,unpublished,"Rē’i-alpi (Borsippa)","Legal document","06.XII.[-] Nbk II",-,Borsippa,,-,-,-,-,https://www.britishmuseum.org/collection/object/W_1894-0716-1,4339,"witness, regular (mukinnu)",-,"TypeLegal documentSubtypemanumission"
Balāṭu,Ṣillāya,Ilia,Male,,164,Itti-Nabû-balāṭu,Ṣillāya,Ilia,Male,"Brother of Šulāya and Šāpik-zēri. Husband of {{f}}Burāšu. Father of Nabû-ušallim and {{f}}Banunatu",21987,"highly probable","BM 102251","BM 94594","Waerzeggers 2010, no. 5","Ilia A+B","Legal document","10.III.22? Nbk II",583?,Borsippa,,https://cdli.ucla.edu/P202351,-,-,-,https://www.britishmuseum.org/collection/object/W_1906-0512-172,18,"witness, regular (mukinnu)",-,"TypeLegal documentSubtypemanumission"
Bēl-ahhē-iddin,[...],Itinnu,Male,,37243,Bēl-ahhē-iddin,[...],Itinnu,Male,,26203,"highly probable","BM 82655",,unpublished,"Rē’i-alpi (Borsippa)","Legal document","06.XII.[-] Nbk II",-,Borsippa,,-,-,-,-,https://www.britishmuseum.org/collection/object/W_1894-0716-1,4339,litigant,-,"TypeLegal documentSubtypemanumission"
Damqāya,Ina-tēšî-ēṭir,Marduk,Female,,58414,Damqāya,Ina-tēšî-ēṭir,Marduk,Female,,20228,"highly probable","BM 30523",,"Nbn 626","Egibi Nūr-Sîn","Legal document","01.VII.12 Nbn",544,Hursag-kalamma,,-,-,-,-,https://www.britishmuseum.org/collection/object/W_1876-1117-250,6901,manumitter,-,"TypeLegal documentSubtypemanumission"
Etellu,Kunāya,Ilšu-abūšu,Male,,168,Etellu,Kunāya,Ilšu-abūšu,Male,,23872,"highly probable","BM 102251","BM 94594","Waerzeggers 2010, no. 5","Ilia A+B","Legal document","10.III.22? Nbk II",583?,Borsippa,,https://cdli.ucla.edu/P202351,-,-,-,https://www.britishmuseum.org/collection/object/W_1906-0512-172,18,"witness, regular (mukinnu)",-,"TypeLegal documentSubtypemanumission"
Ezida-šumu-ukīn,Bēl-uballiṭ,Ilšu-abūšu,Male,,160,Ezida-šumu-ukīn,Bēl-uballiṭ,[...],Male,,20623,"highly probable","BM 102251","BM 94594","Waerzeggers 2010, no. 5","Ilia A+B","Legal document","10.III.22? Nbk II",583?,Borsippa,,https://cdli.ucla.edu/P202351,-,-,-,https://www.britishmuseum.org/collection/object/W_1906-0512-172,18,"witness, regular (mukinnu)","šāpiru ša ṭābihī","TypeLegal documentSubtypemanumission"
Gimillu,Nabû-lē’i,Rē’i-alpi,Male,Other,37249,Gimillu,Nabû-lē’i,Rē’i-alpi,Male,,25977,"highly probable","BM 82655",,unpublished,"Rē’i-alpi (Borsippa)","Legal document","06.XII.[-] Nbk II",-,Borsippa,,-,-,-,-,https://www.britishmuseum.org/collection/object/W_1894-0716-1,4339,donee,-,"TypeLegal documentSubtypemanumission"
Kalbāya,,,Male,Garden,154,Kalbāya,-,-,Male,,24044,"highly probable","BM 102251","BM 94594","Waerzeggers 2010, no. 5","Ilia A+B","Legal document","10.III.22? Nbk II",583?,Borsippa,,https://cdli.ucla.edu/P202351,-,-,-,https://www.britishmuseum.org/collection/object/W_1906-0512-172,18,"donee
employee
manumitted slave",qallu,"TypeLegal documentSubtypemanumission"
Marduk-ēṭir,Mušēzib-[...],[...],Male,,37270,Marduk-ēṭir,Mušēzib-[...],[...],Male,,27746,"highly probable","BM 82655",,unpublished,"Rē’i-alpi (Borsippa)","Legal document","06.XII.[-] Nbk II",-,Borsippa,,-,-,-,-,https://www.britishmuseum.org/collection/object/W_1894-0716-1,4339,"witness, regular (mukinnu)",-,"TypeLegal documentSubtypemanumission"
Marduk-zēru-ibni,[...],Gahal,Male,,37273,Marduk-zēru-ibni,[...],Gahal,Male,,25461,"highly probable","BM 82655",,unpublished,"Rē’i-alpi (Borsippa)","Legal document","06.XII.[-] Nbk II",-,Borsippa,,-,-,-,-,https://www.britishmuseum.org/collection/object/W_1894-0716-1,4339,"witness, regular (mukinnu)",-,"TypeLegal documentSubtypemanumission"
