Name,Patronym,"Family name",Gender,Owns,"Attestation ID",ind.Name,ind.Patronym,"ind.Family name",ind.Gender,Biography,PID,Probability,"Museum no.",Duplicate,Publication,Archive,Type,Date,"Julian date","Place of writing",Has,"Cdli URL","Nabucco URL","Achemenet URL","Oracc URL","British Museum URL","Tablet ID",Role,Title,"Type and objects"
-,-,-,-,,-,-,-,-,-,-,-,"less probable","BM 94577","TMH 2/3, 2 (HS 446)",unpublished,"Ea-ilūtu-bāni, Ilī-bāni, Nanāhu","Legal document","07.X.28 Dar I",,Borsippa,,,,,,,8019,-,-,"TypeLegal documentSubtypemarriage agreement"
Ahātu,Nabû-zēru-ukīn,Arad-Ea,Female,"Field, Garden, Slave",45671,Ahātu,Nabû-zēru-ukīn,Arad-Ea,Female,,18210,"highly probable","BM 82609",,"Roth 1989, no. 22","Rē’i-alpi (Borsippa)","Legal document","19.XI.01 Dar I",520,Borsippa,,,-,-,-,https://www.britishmuseum.org/collection/object/W_1894-0611-3,5269,bride,-,"TypeLegal documentSubtypemarriage agreement"
Ahhē-iddin-Marduk,Šākin-šumi,Sūhāya,Male,,40768,Ahhē-iddin-Marduk,Šākin-šumi,Sūhāya,Male,,9757,"highly probable","BM 46787",,"Wunsch 2003, no. 4",Šangû-Ninurta,"Legal document","[-].VIII.25 Dar I",497,Broken/Unclear,,-,-,-,,https://www.britishmuseum.org/collection/object/W_1881-0830-253,4720,"witness, regular (mukinnu)",-,"TypeLegal documentSubtypemarriage agreement"
Ahūšunu,Nabû-mušētiq-uddi,Nanāhu,Male,,19213,Ahūšunu,Nabû-mušētiq-uddi,Nanāhu,Male,,10637,"highly probable","NBC 8410",,"Joannès 1989, pp. 355-256","Ea-ilūtu-bāni, Ilī-bāni, Nanāhu","Legal document","30.XII.18 Dar I",503,Borsippa,,https://cdli.ucla.edu/P299769,https://nabucco.arts.kuleuven.be/item/25123,,,,1939,groom,-,"TypeLegal documentSubtypemarriage agreement"
Ahūšunu,Nabû-mušētiq-uddi,Nanāhu,Male,,20653,Ahūšunu,Nabû-mušētiq-uddi,Nanāhu,Male,,10637,"highly probable","L 1634",,"Joannès 1989, pp. 236-237","Ea-ilūtu-bāni, Ilī-bāni, Nanāhu","Legal document","26.XIIb.35 Dar I",486,Borsippa,,,https://nabucco.arts.kuleuven.be/item/25030,,,,2086,"witness, regular (pāni)",-,"TypeLegal documentSubtypemarriage agreement"
Ahūšunu,Nabû-mušētiq-uddi,Nanāhu,Male,House,825,Ahūšunu,Nabû-mušētiq-uddi,Nanāhu,Male,,10637,"highly probable","HS 446","BM 94577 + BM 94753 + BM 94924 (1901-10-12, 230 + 406 + 577)","Joannès 1989, pp. 166-168","Ea-ilūtu-bāni, Ilī-bāni, Nanāhu","Legal document","07.X.28 Dar I",493,Borsippa,Seals,https://cdli.ucla.edu/P453499,http://nabucco.arts.kuleuven.be/item/25282,,,,107,groom,-,"TypeLegal documentSubtypemarriage agreement"
Amat-Nanāya,,,Female,,5655,Amat-Nanāya,-,-,Female,,13164,"highly probable","BM 64177",,"Waerzeggers 2014, no. 139","Ṣāhit-ginê A","Legal document","[-].[-].[-] [Dar I]",-,Babylon,,-,https://nabucco.arts.kuleuven.be/item/28273,-,-,https://www.britishmuseum.org/collection/object/W_1882-0918-4146,746,"bride’s agent",-,"TypeLegal documentSubtypemarriage agreement"
Amat-Nanāya,Marduk-šumu-ibni,,Female,,67665,Amat-Nanāya,Marduk-šumu-ibni,Ilia,Female,,22447,"highly probable","BM 26483",,unpublished,"Ilia A+B","Legal document","26.XI.14 Dar I",507,Borsippa,,,-,-,-,https://www.britishmuseum.org/collection/object/W_1898-0514-301,5618,bride,-,"TypeLegal documentSubtypemarriage agreement"
Amat-Sutīti,Dādia,Ilī-bāni,Female,House,831,Amat-Sutīti,Nādinu,Ilī-bāni,Female,,11141,"highly probable","HS 446","BM 94577 + BM 94753 + BM 94924 (1901-10-12, 230 + 406 + 577)","Joannès 1989, pp. 166-168","Ea-ilūtu-bāni, Ilī-bāni, Nanāhu","Legal document","07.X.28 Dar I",493,Borsippa,Seals,https://cdli.ucla.edu/P453499,http://nabucco.arts.kuleuven.be/item/25282,,,,107,"bride’s agent",-,"TypeLegal documentSubtypemarriage agreement"
Ana-muhhi-Bēl-āmur,,,Male,,64633,Ana-muhhi-Bēl-āmur,-,-,Male,,22224,"highly probable","BM 30571",,"Wunsch 1997-1998, no. 1","Egibi Nūr-Sîn","Legal document","09.VIII.13 Nbk II",592,Babylon,,https://cdli.ucla.edu/P453484,-,-,,https://www.britishmuseum.org/collection/object/W_1876-1117-298,7651,"object of transaction",qallu,"TypeLegal documentSubtypemarriage agreement"
Ana-muhhi-Bēl-taklāku,,,Male,,40753,Ana-muhhi-Bēl-taklāku,-,-,Male,,17493,"highly probable","BM 46787",,"Wunsch 2003, no. 4",Šangû-Ninurta,"Legal document","[-].VIII.25 Dar I",497,Broken/Unclear,,-,-,-,,https://www.britishmuseum.org/collection/object/W_1881-0830-253,4720,"object of transaction",ardu,"TypeLegal documentSubtypemarriage agreement"
Ana-muhhi-Nanāya-taklāku,,,Female,,5659,Ana-muhhi-Nanāya-taklāku,-,-,Female,,13172,"highly probable","BM 64177",,"Waerzeggers 2014, no. 139","Ṣāhit-ginê A","Legal document","[-].[-].[-] [Dar I]",-,Babylon,,-,https://nabucco.arts.kuleuven.be/item/28273,-,-,https://www.britishmuseum.org/collection/object/W_1882-0918-4146,746,"object of transaction",-,"TypeLegal documentSubtypemarriage agreement"
Ardia,Bulṭāya,Nabû-šeme,Male,,882,Ardia,Bulṭāya,Nabû-šeme,Male,,11543,"highly probable","HS 446","BM 94577 + BM 94753 + BM 94924 (1901-10-12, 230 + 406 + 577)","Joannès 1989, pp. 166-168","Ea-ilūtu-bāni, Ilī-bāni, Nanāhu","Legal document","07.X.28 Dar I",493,Borsippa,Seals,https://cdli.ucla.edu/P453499,http://nabucco.arts.kuleuven.be/item/25282,,,,107,"witness, regular (pāni)",-,"TypeLegal documentSubtypemarriage agreement"
Banât-Esagil,Dalīlu-eššu,,Female,,65303,Banât-Esagil,Dalīlu-eššu,-,Female,,21459,"highly probable","Liverpool 29-11-77, 41",,"Liv 8","Egibi Nūr-Sîn","Legal document","13.II.41 Nbk II",564,Upia,,-,https://nabucco.arts.kuleuven.be/item/29686,-,-,-,7715,bride,-,"TypeLegal documentSubtypemarriage agreement"
Bānītu-ēṭirat,Bēl-nādin-apli,Ēṭi[ru],Female,,40756,Bānītu-ēṭirat,Bēl-nādin-apli,Ēṭiru,Female,,17496,"highly probable","BM 46787",,"Wunsch 2003, no. 4",Šangû-Ninurta,"Legal document","[-].VIII.25 Dar I",497,Broken/Unclear,,-,-,-,,https://www.britishmuseum.org/collection/object/W_1881-0830-253,4720,"witness, special (ina ašābi)",-,"TypeLegal documentSubtypemarriage agreement"
