Name,Patronym,"Family name",Gender,Owns,"Attestation ID",ind.Name,ind.Patronym,"ind.Family name",ind.Gender,Biography,PID,Probability,"Museum no.",Duplicate,Publication,Archive,Type,Date,"Julian date","Place of writing",Has,"Cdli URL","Nabucco URL","Achemenet URL","Oracc URL","British Museum URL","Tablet ID",Role,Title,"Type and objects"
Abnātu,,,Female,,52455,Abnātu,-,-,Female,,24210,"highly probable","BM 26544",,unpublished,"Ilia D","Legal document",-,-,Broken/Unclear,,,-,-,-,https://www.britishmuseum.org/collection/object/W_1898-0514-362,6026,"passive (mentioned in relation to sb or sth else)",-,"TypeLegal documentSubtypemarriage-related"
Ahātu,,,Female,"Garden, Slave",46612,Ahātu,-,-,Female,,18207,"highly probable","BM 29375",,unpublished,"Rē’i-alpi (Borsippa)","Legal document","28.VIII.04 [Cam]?",[526]?,Borsippa,,-,-,-,-,https://www.britishmuseum.org/collection/object/W_1898-1114-8,5406,"bride’s agent",-,"TypeLegal documentSubtypemarriage-related"
Amat-Bābu,,,Female,"Land, Slave",66786,Amat-Bābu,Kalbāya,Nabāya,Female,,18931,"highly probable","BM 34241","BM 35492","Wunsch 1995-1996, pp. 54-55, no. 4a","Egibi Nūr-Sîn","Legal document",-,-,Broken/Unclear,,-,-,-,-,https://www.britishmuseum.org/collection/object/W_SP-347,7887,recipient,-,"TypeLegal documentSubtypemarriage-related"
"Anonymous group",,,Male,,19858,"Anonymous Group",-1,-1,Male,-,23755,"highly probable","BM 32139",,"Wunsch 1993b, no. 13","Egibi Nūr-Sîn","Legal document","13.V.34 Nbk II",571,Babylon,,-,https://nabucco.arts.kuleuven.be/item/29683,-,-,https://www.britishmuseum.org/collection/object/W_1876-1117-1866,1921,"object of transaction",-,"TypeLegal documentSubtypemarriage-related"
"Anonymous group",,,Male,,19864,"Anonymous Group",-1,-1,Male,-,23756,"highly probable","BM 32139",,"Wunsch 1993b, no. 13","Egibi Nūr-Sîn","Legal document","13.V.34 Nbk II",571,Babylon,,-,https://nabucco.arts.kuleuven.be/item/29683,-,-,https://www.britishmuseum.org/collection/object/W_1876-1117-1866,1921,"object of transaction",-,"TypeLegal documentSubtypemarriage-related"
Arad-Bēl,Nabû-ēṭir-napšāti,Itinnu,Male,,46616,Arad-Bēl,Nabû-ēṭir-napšāti,Itinnu,Male,,11414,"highly probable","BM 29375",,unpublished,"Rē’i-alpi (Borsippa)","Legal document","28.VIII.04 [Cam]?",[526]?,Borsippa,,-,-,-,-,https://www.britishmuseum.org/collection/object/W_1898-1114-8,5406,"witness, regular (mukinnu)",-,"TypeLegal documentSubtypemarriage-related"
Balāṭu,Nabû-šumu-iškun,Rīšû’a,Male,,44883,Balāṭu,Nabû-šumu-iškun,Rīšû’a,Male,,24820,"highly probable","BM 94555",,unpublished,"Rē’i-alpi (Borsippa)","Legal document","18.V.04 Cam",526,Borsippa,,-,-,-,-,https://www.britishmuseum.org/collection/object/W_1901-1012-208,5150,debtor,-,"TypeLegal documentSubtypemarriage-related"
Bānia,Tabnēa,Bā’iru,Male,,57448,Bānia,Tabnēa,Bā’iru,Male,,19392,"highly probable","BM 30608",,"Nbn 761","Egibi Nūr-Sîn","Legal document","01.II.14 Nbn",542,Babylon,,-,-,-,,https://www.britishmuseum.org/collection/object/W_1876-1117-335,6775,"witness, regular (mukinnu)",-,"TypeLegal documentSubtypemarriage-related"
Bānia,Tabnēa,Bā’iru,Male,,65291,Bānia,Tabnēa,Bā’iru,Male,,19392,"highly probable","Liverpool 29-11-77, 33",,"Liv 32","Egibi Nūr-Sîn","Legal document","01.II.14 Nbn",542,Babylon,,-,-,-,-,-,7710,"witness, regular (mukinnu)",-,"TypeLegal documentSubtypemarriage-related"
Bēl-iddin,Arad-Nabû,Maṣṣar-abulli,Male,,44882,Bēl-iddin,Arad-Nabû,Maṣṣar-abulli,Male,,22909,"highly probable","BM 94555",,unpublished,"Rē’i-alpi (Borsippa)","Legal document","18.V.04 Cam",526,Borsippa,,-,-,-,-,https://www.britishmuseum.org/collection/object/W_1901-1012-208,5150,groom,-,"TypeLegal documentSubtypemarriage-related"
Bēl-iddin,Nabû-nāṣir,Mudammiq-Adad,Male,,37183,Bēl-iddin,Nabû-nāṣir,Mudammiq-Adad,Male,,8860,"highly probable","BM 33114",,"Wunsch 1993b, no. 137","Egibi Nūr-Sîn","Legal document","[-].XI.05 Nbn",550,Babylon,,-,https://nabucco.arts.kuleuven.be/item/30034,-,-,https://www.britishmuseum.org/collection/object/W_1879-0730-15,4333,"witness, regular (mukinnu)",-,"TypeLegal documentSubtypemarriage-related"
Cambyses,,,Male,,44889,Cambyses,-,-,Male,,16420,"highly probable","BM 94555",,unpublished,"Rē’i-alpi (Borsippa)","Legal document","18.V.04 Cam",526,Borsippa,,-,-,-,-,https://www.britishmuseum.org/collection/object/W_1901-1012-208,5150,"king in date","šar Bābili šar mātāti","TypeLegal documentSubtypemarriage-related"
