Name,Patronym,"Family name",Gender,Owns,"Attestation ID",ind.Name,ind.Patronym,"ind.Family name",ind.Gender,Biography,PID,Probability,"Museum no.",Duplicate,Publication,Archive,Type,Date,"Julian date","Place of writing",Has,"Cdli URL","Nabucco URL","Achemenet URL","Oracc URL","British Museum URL","Tablet ID",Role,Title,"Type and objects"
Abī-ul-īde,Nabû-ittannu,[Šangû]-Ištar-Bābili,Male,,7607,Abī-ul-īde,Nabû-ittannu,Šangû-Ištar-Bābili,Male,,6037,"highly probable","BM 42369(+)","BM 43545+; BM 42593+","Jursa 1999, pp. 163f.","Šangû-Šamaš A","Legal document","[-].[-].[31] [Dar I]",[491/490],Sippar,,-,https://nabucco.arts.kuleuven.be/item/33091,http://www.achemenet.com/fr/item/?/sources-textuelles/textes-par-langues-et-ecritures/babylonien/autres-archives-privees/1327813,-,https://www.britishmuseum.org/collection/object/W_1881-0701-129,972,"witness, regular (mukinnu)",-,"TypeLegal documentSubtypeoath"
Adad-ahu-iddin,Būru-zēru-iddin,,Male,,3141,Adad-ahu-iddin,Būru-zēru-iddin,-,Male,,6061,probable,"BM 74588",,"Waerzeggers 2014, no. 68","Ṣāhit-ginê A","Legal document","28.III.10 Dar I",512,Sippar,,-,http://nabucco.arts.kuleuven.be/item/28009,-,-,https://www.britishmuseum.org/collection/object/W_1882-0918-A-312,407,"witness, regular (mukinnu)",-,"TypeLegal documentSubtypeoath"
Adad-ahu-iddin,[...],[...],Male,,46032,Adad-ahu-iddin,[...],[...],Male,,20138,"highly probable","BM 31896",,"Sandowicz 2018, pp. 189-191","Egibi Nūr-Sîn","Legal document","[-].[-].[-] [Dar I]",-,Broken/Unclear,,-,-,-,-,https://www.britishmuseum.org/collection/object/W_1876-1117-1623,5315,"witness, regular (mukinnu)",-,"TypeLegal documentSubtypeoath"
Adad-ibni,Gimillu,,Male,,22645,Adad-ibni,Gimillu,-,Male,,8764,"highly probable","BM 30123",,"Adelhofer 2017, no. 23",Sîn-tabni,"Legal document","28.XII.03 Cyr",535,Uruk,,-,-,-,-,https://www.britishmuseum.org/collection/object/W_1825-0503-115,2722,"witness, regular (mukinnu)",-,"TypeLegal documentSubtypeoath"
Adad-šarru-uṣur,Iltehr-abi,,Male,,1588,Adad-šarru-uṣur,Iltehr-abi,-,Male,,6076,probable,"BM 64245+",,"Waerzeggers 2014, no. 22","Ṣāhit-ginê A","Legal document","25.VII.02 Dar I",520,Sippar,,-,http://nabucco.arts.kuleuven.be/item/28243,-,-,https://www.britishmuseum.org/collection/object/W_1882-0918-A-267,207,"witness, regular (mukinnu)",-,"TypeLegal documentSubtypeoath"
Adad-šarru-uṣur,Iltehr-abi,,Male,,1994,Adad-šarru-uṣur,Iltehr-abi,-,Male,,6076,"highly probable","BM 78146",,"Waerzeggers 2014, no. 46","Ṣāhit-ginê A","Legal document","07.IX.05 Dar I",517,Sippar,,-,http://nabucco.arts.kuleuven.be/item/27868,-,-,https://www.britishmuseum.org/collection/object/W_1887-0725-4,259,"witness, regular (mukinnu)",-,"TypeLegal documentSubtypeoath"
Adad-šarru-uṣur,[Kalbāya],,Male,,7731,Adad-šarru-uṣur,Kalbāya,-,Male,,6040,"highly probable","BM 42383","VAT 22; VAT 33+; BM 42449; BM 42451+; Unknown (81-7-1, F 234)","Jursa 1999, pp. 168f.","Šangû-Šamaš A","Legal document","[07].[V].[26]? [Dar I]",[496],Babylon,,-,https://nabucco.arts.kuleuven.be/item/32764,http://www.achemenet.com/fr/item/?/sources-textuelles/textes-par-langues-et-ecritures/babylonien/autres-archives-privees/1327834,-,https://www.britishmuseum.org/collection/object/W_1881-0701-143,977,"witness, regular (mukinnu)",-,"TypeLegal documentSubtypeoath"
Ahhēšāya,Itti-Bēl-lummir,Šangû-Šamaš,Male,,7605,Ahhēšāya,Itti-Bēl-lummir,Šangû-Šamaš,Male,,6106,"highly probable","BM 42369(+)","BM 43545+; BM 42593+","Jursa 1999, pp. 163f.","Šangû-Šamaš A","Legal document","[-].[-].[31] [Dar I]",[491/490],Sippar,,-,https://nabucco.arts.kuleuven.be/item/33091,http://www.achemenet.com/fr/item/?/sources-textuelles/textes-par-langues-et-ecritures/babylonien/autres-archives-privees/1327813,-,https://www.britishmuseum.org/collection/object/W_1881-0701-129,972,guarantor,-,"TypeLegal documentSubtypeoath"
Ahī-dannu,Adad-natan,,Male,,3113,Ahī-dannu,Adad-natan,-,Male,,13153,"highly probable","BM 61002",,"Waerzeggers 2014, no. 66","Ṣāhit-ginê A","Legal document","26.X.09 Dar I",512,Sippar,,-,http://nabucco.arts.kuleuven.be/item/27943,-,-,https://www.britishmuseum.org/collection/object/W_1882-0918-978,393,"witness, regular (mukinnu)",-,"TypeLegal documentSubtypeoath"
Ahi-lētī,Idī-il,,Male,,1577,Ahi-lētī,Idī-il,-,Male,,13156,"highly probable","BM 64245+",,"Waerzeggers 2014, no. 22","Ṣāhit-ginê A","Legal document","25.VII.02 Dar I",520,Sippar,,-,http://nabucco.arts.kuleuven.be/item/28243,-,-,https://www.britishmuseum.org/collection/object/W_1882-0918-A-267,207,"oath taker",-,"TypeLegal documentSubtypeoath"
Ahu-iddin,Kalbāya,,Male,,60742,Ahu-iddin,Kalbāya,-,Male,,21226,"highly probable","BM 64167",,"Pirngruber 2020, no. 16",Iššar-tarībi,"Legal document","20.VII.14 Dar I",508,Raqqānu,,,-,-,-,https://www.britishmuseum.org/collection/object/W_1882-0918-4136,7184,"witness, regular (mukinnu)",-,"TypeLegal documentSubtypeoath"
Ahumāya,Barikī,,Male,,1997,Ahumāya,Barikī,-,Male,,13158,"highly probable","BM 78146",,"Waerzeggers 2014, no. 46","Ṣāhit-ginê A","Legal document","07.IX.05 Dar I",517,Sippar,,-,http://nabucco.arts.kuleuven.be/item/27868,-,-,https://www.britishmuseum.org/collection/object/W_1887-0725-4,259,"witness, regular (mukinnu)",-,"TypeLegal documentSubtypeoath"
Ahūšunu,,,Male,House,7296,Ahūšunu,-,-,Male,,13160,"highly probable","BM 42369(+)","BM 43545+; BM 42593+","Jursa 1999, pp. 163f.","Šangû-Šamaš A","Legal document","[-].[-].[31] [Dar I]",[491/490],Sippar,,-,https://nabucco.arts.kuleuven.be/item/33091,http://www.achemenet.com/fr/item/?/sources-textuelles/textes-par-langues-et-ecritures/babylonien/autres-archives-privees/1327813,-,https://www.britishmuseum.org/collection/object/W_1881-0701-129,972,creditor,qallu,"TypeLegal documentSubtypeoath"
Ahūšunu,Iqīšāya,,Male,,22642,Ahūšunu,Iqīšāya,-,Male,,8761,"highly probable","BM 30123",,"Adelhofer 2017, no. 23",Sîn-tabni,"Legal document","28.XII.03 Cyr",535,Uruk,,-,-,-,-,https://www.britishmuseum.org/collection/object/W_1825-0503-115,2722,"witness, regular (mukinnu)",-,"TypeLegal documentSubtypeoath"
Amassu-ul-tēnnu,Mannu-kī-Iltehr,,Male,,60739,Amassu-ul-tēnnu,Mannu-kī-Iltehr,-,Male,,21225,"highly probable","BM 64167",,"Pirngruber 2020, no. 16",Iššar-tarībi,"Legal document","20.VII.14 Dar I",508,Raqqānu,,,-,-,-,https://www.britishmuseum.org/collection/object/W_1882-0918-4136,7184,debtor,-,"TypeLegal documentSubtypeoath"
Amīl-Marduk,,,Male,,44750,Amīl-Marduk,-,-,Male,,16419,"highly probable","VAT 3089",,"Sack 1972, no. 93","Sîn-ilī (Babylon)","Legal document","22.III.01 AM",561,Babylon,,-,-,-,-,-,5135,"king in date
king in oath","šar Bābili","TypeLegal documentSubtypeoath"
Amurru-iddin,Šadûnu,,Male,,64975,Amurru-iddin,Šadûnu,-,Male,,22019,"highly probable","BM 31515",,"Bertin 2384","Egibi Nūr-Sîn","Legal document","09.V.17 Dar I",505,Bīt-Ṭāb-Bēl,,-,https://nabucco.arts.kuleuven.be/item/29413,-,-,https://www.britishmuseum.org/collection/object/W_1876-1117-1242,7676,"witness, extra",-,"TypeLegal documentSubtypeoath"
Andahar,Kalbāya,,Male,,1463,Andahar,Kalbāya,-,Male,,13173,"highly probable","BM 92729",,"Waerzeggers 2014, no. 12","Ṣāhit-ginê A","Legal document","15.VI.01 Bar",522,"Zazannu (near Sippar)",,-,http://nabucco.arts.kuleuven.be/item/27898,-,-,https://www.britishmuseum.org/collection/object/W_1882-0918-A-194,184,"witness, regular (mukinnu)",-,"TypeLegal documentSubtypeoath"
Anonymous,,,Male,,7315,Anonymous,-,-,Male,,28267,"highly probable","BM 29040",,"Waerzeggers 2010, no. 86",Bēlia’u,"Legal document","23.X.09 Dar I",512,Borsippa,,https://cdli.ucla.edu/P521573,-,-,-,https://www.britishmuseum.org/collection/object/W_1898-1112-216,989,-,"rab ešerti ša nuhatimmī","TypeLegal documentSubtypeoath"
Anonymous,,,Male,,7724,Anonymous,-,-,Male,,13189,"highly probable","BM 42383","VAT 22; VAT 33+; BM 42449; BM 42451+; Unknown (81-7-1, F 234)","Jursa 1999, pp. 168f.","Šangû-Šamaš A","Legal document","[07].[V].[26]? [Dar I]",[496],Babylon,,-,https://nabucco.arts.kuleuven.be/item/32764,http://www.achemenet.com/fr/item/?/sources-textuelles/textes-par-langues-et-ecritures/babylonien/autres-archives-privees/1327834,-,https://www.britishmuseum.org/collection/object/W_1881-0701-143,977,"passive (mentioned in relation to sb or sth else)",gardu,"TypeLegal documentSubtypeoath"
Anonymous,,,Male,,7729,Anonymous,-,-,Male,,13188,"highly probable","BM 42383","VAT 22; VAT 33+; BM 42449; BM 42451+; Unknown (81-7-1, F 234)","Jursa 1999, pp. 168f.","Šangû-Šamaš A","Legal document","[07].[V].[26]? [Dar I]",[496],Babylon,,-,https://nabucco.arts.kuleuven.be/item/32764,http://www.achemenet.com/fr/item/?/sources-textuelles/textes-par-langues-et-ecritures/babylonien/autres-archives-privees/1327834,-,https://www.britishmuseum.org/collection/object/W_1881-0701-143,977,"passive (mentioned in relation to sb or sth else)","mār ekalli ša bīt harê","TypeLegal documentSubtypeoath"
Anonymous,,,Male,,45074,Anonymous,-1,-1,Male,-,16870,"highly probable","UM 52-30-041",,"UET 4, 171",Sîn-uballiṭ,"Legal document",-,-,"Not mentioned",Fingernails,https://cdli.ucla.edu/P414867,-,-,,,5178,"passive (mentioned in relation to sb or sth else)",-,"TypeLegal documentSubtypeoath"
Anonymous,,,Male,,45083,Anonymous,-,-,Male,,17444,"highly probable","VAT 3101",,"San Nicolò and Ungnad 1929-1935, no. 699","Sîn-ilī (Babylon)","Legal document","24.V.01 Ner",559,Babylon,,-,-,-,-,-,5182,"(legal) authority
passive (mentioned in relation to sb or sth else)",sukkallu,"TypeLegal documentSubtypeoath"
Anonymous,,,Male,,45720,Anonymous,-1,-1,Male,-,16217,"highly probable","BM 131218",,"UET 4, 203",Sîn-uballiṭ,"Legal document",-,-,"Not mentioned",,https://cdli.ucla.edu/P414899,-,-,-,https://www.britishmuseum.org/collection/object/W_1953-0411-53,5264,"passive (mentioned in relation to sb or sth else)",-,"TypeLegal documentSubtypeoath"
Anonymous,,,Male,,46168,Anonymous,-,-,Male,,17441,"highly probable","VAT 3045",,"San Nicolò and Ungnad 1929-1935, no. 626","Sîn-ilī (Babylon)","Legal document","08.VI.12 Nbn",544,Babylon,,-,-,-,-,-,5333,"(legal) authority","šākin ṭēm Bābili","TypeLegal documentSubtypeoath"
Anonymous,,,Male,,46988,Anonymous,-,-,Male,,17450,"highly probable","VAT 3115",,"San Nicolò and Ungnad 1929-1935, no. 673","Sîn-ilī (Babylon)","Legal document","09.II.08 Dar I",514,Bitqu-ša-Ile’’i-Bēl,,-,-,-,-,-,5445,"passive (mentioned in relation to sb or sth else)",-,"TypeLegal documentSubtypeoath"
"Anonymous group",,,Male,,7726,-,-,-,-,-,-,"less probable","BM 42383","VAT 22; VAT 33+; BM 42449; BM 42451+; Unknown (81-7-1, F 234)","Jursa 1999, pp. 168f.","Šangû-Šamaš A","Legal document","[07].[V].[26]? [Dar I]",[496],Babylon,,-,https://nabucco.arts.kuleuven.be/item/32764,http://www.achemenet.com/fr/item/?/sources-textuelles/textes-par-langues-et-ecritures/babylonien/autres-archives-privees/1327834,-,https://www.britishmuseum.org/collection/object/W_1881-0701-143,977,"passive (mentioned in relation to sb or sth else)",magušu,"TypeLegal documentSubtypeoath"
"Anonymous group",,,Male,,43733,-,-,-,-,-,-,"less probable","VAT 3000",,"San Nicolò and Ungnad 1929-1935, no. 648","Sîn-ilī (Babylon)","Legal document","03.V.36 Nbk II",569,Babylon,,-,-,-,-,-,5050,judge,dayyānu,"TypeLegal documentSubtypeoath"
