Name,Patronym,"Family name",Gender,Owns,"Attestation ID",ind.Name,ind.Patronym,"ind.Family name",ind.Gender,Biography,PID,Probability,"Museum no.",Duplicate,Publication,Archive,Type,Date,"Julian date","Place of writing",Has,"Cdli URL","Nabucco URL","Achemenet URL","Oracc URL","British Museum URL","Tablet ID",Role,Title,"Type and objects"
Abnātu,,,Female,,67992,Abnātu,-,-,Female,,29764,"highly probable","BM 87282",,"No publication",Atkuppu,"Legal document","28.[-].24 [-]",-,Broken/Unclear,,-,-,-,-,https://www.britishmuseum.org/collection/object/W_1900-1013-62,7978,pledge,-,"TypeLegal documentSubtypeother"
Ana-muhhi-Ninlil-taklāku,,,Female,,67993,Ana-muhhi-Ninlil-taklāku,Abnātu,-,Female,,29766,"highly probable","BM 87282",,"No publication",Atkuppu,"Legal document","28.[-].24 [-]",-,Broken/Unclear,,-,-,-,-,https://www.britishmuseum.org/collection/object/W_1900-1013-62,7978,pledge,-,"TypeLegal documentSubtypeother"
Ana-Nabû-[...]a,,Ilūtu-bāni,Male,,19873,Ana-Nabû-[...],-,Ilūtu-bāni,Male,,12002,"highly probable","L 1672",,"Joannès 1989, pp. 255-256","Ea-ilūtu-bāni, Ilī-bāni, Nanāhu","Legal document","22.VIb.13 Anš",687,Borsippa,,,https://nabucco.arts.kuleuven.be/item/25495,,,,2116,"witness, official (ina ušuzzi)",-,"TypeLegal documentSubtypeother"
Anonymous,,Basia,Male,,68045,-,-,-,-,-,-,"less probable","BM 87282",,"No publication",Atkuppu,"Legal document","28.[-].24 [-]",-,Broken/Unclear,,-,-,-,-,https://www.britishmuseum.org/collection/object/W_1900-1013-62,7978,eponym,-,"TypeLegal documentSubtypeother"
"Anonymous group",,,Male,,8245,"Anonymous Group",-1,-1,Male,-,23749,"highly probable","BM 30721",,"Abraham 2004, no. 107","Egibi Nūr-Sîn","Legal document","21.XII.11 Dar I",510,Šahrīn,,-,https://nabucco.arts.kuleuven.be/item/31003,http://www.achemenet.com/fr/item/?/3349245==Strassmaier%20--Inschriften%20von%20Darius&l=a&c=1&t=1.4/4/96/1/1659091,-,https://www.britishmuseum.org/collection/object/W_1876-1117-448,1096,"passive (mentioned in relation to sb or sth else)",errēšu,"TypeLegal documentSubtypeother"
"Anonymous Group",Ṣillāya,,Male,Land,67986,"Anonymous Group",Ṣillāya,-,Male,,29768,"highly probable","BM 87282",,"No publication",Atkuppu,"Legal document","28.[-].24 [-]",-,Broken/Unclear,,-,-,-,-,https://www.britishmuseum.org/collection/object/W_1900-1013-62,7978,neighbour,-,"TypeLegal documentSubtypeother"
Anu-šumu-uṣur,Šamaš-nādin-šumi,,Male,,47609,Anu-šumu-uṣur,Šamaš-nādin-šumi,-,Male,,16903,"highly probable","VAT 3056",,"San Nicolò and Ungnad 1929-1935, no. 666","Sîn-ilī (Babylon)","Legal document","24.VII.06 Nbn",550,Ālu-ša-ikkarē-ša-Illipāya,,-,-,-,-,-,5513,"scribe (ṭupšarru)",-,"TypeLegal documentSubtypeother"
Aplāya,,Kidin-Sîn,Male,Land,19876,Aplāya,-,Kidin-Sîn,Male,,11510,"highly probable","L 1672",,"Joannès 1989, pp. 255-256","Ea-ilūtu-bāni, Ilī-bāni, Nanāhu","Legal document","22.VIb.13 Anš",687,Borsippa,,,https://nabucco.arts.kuleuven.be/item/25495,,,,2116,seller,-,"TypeLegal documentSubtypeother"
Aplāya,Nabû-šumu-iškun,Basia,Male,,30922,Aplāya,Nabû-šumu-iškun,Basia,Male,,18272,"highly probable","BM 26479",,"Waerzeggers 2010, no. 139","Rē’i-alpi (Borsippa)","Legal document","18.II.02 Ner",558,Borsippa,,https://cdli.ucla.edu/P404837,-,-,-,https://www.britishmuseum.org/collection/object/W_1898-0514-297,3544,"witness, regular (mukinnu)",-,"TypeLegal documentSubtypeother"
Arad-Sutīti,,Ilūtu-bāni,Male,Land,17626,Arad-Sutīti,-,Ilūtu-bāni,Male,,13641,"highly probable","L 1672",,"Joannès 1989, pp. 255-256","Ea-ilūtu-bāni, Ilī-bāni, Nanāhu","Legal document","22.VIb.13 Anš",687,Borsippa,,,https://nabucco.arts.kuleuven.be/item/25495,,,,2116,seller,-,"TypeLegal documentSubtypeother"
