Name,Patronym,"Family name",Gender,Owns,"Attestation ID",ind.Name,ind.Patronym,"ind.Family name",ind.Gender,Biography,PID,Probability,"Museum no.",Duplicate,Publication,Archive,Type,Date,"Julian date","Place of writing",Has,"Cdli URL","Nabucco URL","Achemenet URL","Oracc URL","British Museum URL","Tablet ID",Role,Title,"Type and objects"
Abdī,Bēl-ahu-iddin,,Male,,1614,Abdī,Bēl-ahu-iddin,-,Male,,6046,"highly probable","BM 61755",,"Waerzeggers 2014, no. 24","Ṣāhit-ginê A","Legal document","01.III.03 Dar I",519,Kār-Sippar,,-,http://nabucco.arts.kuleuven.be/item/27757,-,-,https://www.britishmuseum.org/collection/object/W_1882-0918-1725,210,"witness, regular (mukinnu)",-,"TypeLegal documentSubtypepartnership, creation"
Adgi-šīr-zabad,Bēl-erība,,Male,,47545,-,-,-,-,-,-,"less probable","CBS 5284",,"BE 10, 55",Murašû,"Legal document","28.XII.01 Dar II",422,Nippur,"Seals, Epigraphs",https://cdli.ucla.edu/P261478,,http://www.achemenet.com/fr/item/?/sources-textuelles/textes-par-langues-et-ecritures/babylonien/archives-murasu/2132888,,,5507,"business partner
sealer of the tablet",-,"TypeLegal documentSubtypepartnership, creation"
Anonymous,,,Male,House,62169,-,-,-,-,-,-,"less probable","BM 30701",,"Dar 280","Egibi Nūr-Sîn","Legal document","[-].VII.10 Dar I",512,Babylon,,-,https://nabucco.arts.kuleuven.be/item/28744,http://www.achemenet.com/en/item/?/textual-sources/texts-by-regions/babylonia/babylon/1658292,-,https://www.britishmuseum.org/collection/object/W_1876-1117-428,7366,neighbour,"rab unqāti","TypeLegal documentSubtypepartnership, creation"
Anonymous,,,Male,Field,47547,-,-,-,-,-,-,"less probable","CBS 5284",,"BE 10, 55",Murašû,"Legal document","28.XII.01 Dar II",422,Nippur,"Seals, Epigraphs",https://cdli.ucla.edu/P261478,,http://www.achemenet.com/fr/item/?/sources-textuelles/textes-par-langues-et-ecritures/babylonien/archives-murasu/2132888,,,5507,"land owner
passive (mentioned in relation to sb or sth else)","rab mungi","TypeLegal documentSubtypepartnership, creation"
"Anonymous group",,,Male,Prebend,22765,-,-,-,-,-,-,"less probable","Unknown (IM)",,"UET 4, 57","Gallābu (Ur)","Legal document","21.IV.09 Art II",396,Ur,,https://cdli.ucla.edu/P414753,-,,,,2737,prebend-performer,-,"TypeLegal documentSubtypepartnership, creation"
"Anonymous group",,,Male,House,62170,-,-,-,-,-,-,"less probable","BM 30701",,"Dar 280","Egibi Nūr-Sîn","Legal document","[-].VII.10 Dar I",512,Babylon,,-,https://nabucco.arts.kuleuven.be/item/28744,http://www.achemenet.com/en/item/?/textual-sources/texts-by-regions/babylonia/babylon/1658292,-,https://www.britishmuseum.org/collection/object/W_1876-1117-428,7366,"house owner",-,"TypeLegal documentSubtypepartnership, creation"
Aplāya,Il-natan,,Male,,47574,-,-,-,-,-,-,"less probable","CBS 5284",,"BE 10, 55",Murašû,"Legal document","28.XII.01 Dar II",422,Nippur,"Seals, Epigraphs",https://cdli.ucla.edu/P261478,,http://www.achemenet.com/fr/item/?/sources-textuelles/textes-par-langues-et-ecritures/babylonien/archives-murasu/2132888,,,5507,"witness, regular (mukinnu)",-,"TypeLegal documentSubtypepartnership, creation"
Arad-Bēl,Dummuqu,Arad-Ea,Male,,58784,Arad-Bēl,Dummuqu,Arad-Ea,Male,,20935,"highly probable","MMA 79.7.14",,"CTMMA 3, no. 49","Egibi Nūr-Sîn","Legal document","22.VII.04 Nbn",552,Babylon,,https://cdli.ucla.edu/P412327,https://nabucco.arts.kuleuven.be/item/29545,-,-,-,6945,"witness, regular (mukinnu)",-,"TypeLegal documentSubtypepartnership, creation"
Arad-Bēl,Iqīšāya,Eppēš-ilī,Male,,59793,Arad-Bēl,Iqīšāya,Eppēš-ilī,Male,,20845,"highly probable","BM 30354","BM 30765","Nbn 199","Egibi Nūr-Sîn","Legal document","03.VIII.05 Nbn",551,Babylon,,-,https://nabucco.arts.kuleuven.be/item/28870,-,-,https://www.britishmuseum.org/collection/object/W_1876-1117-76,7069,"witness, regular (mukinnu)",-,"TypeLegal documentSubtypepartnership, creation"
Arad-Gula,Lâbâši,,Male,,47575,-,-,-,-,-,-,"less probable","CBS 5284",,"BE 10, 55",Murašû,"Legal document","28.XII.01 Dar II",422,Nippur,"Seals, Epigraphs",https://cdli.ucla.edu/P261478,,http://www.achemenet.com/fr/item/?/sources-textuelles/textes-par-langues-et-ecritures/babylonien/archives-murasu/2132888,,,5507,"witness, regular (mukinnu)",-,"TypeLegal documentSubtypepartnership, creation"
