Name,Patronym,"Family name",Gender,Owns,"Attestation ID",ind.Name,ind.Patronym,"ind.Family name",ind.Gender,Biography,PID,Probability,"Museum no.",Duplicate,Publication,Archive,Type,Date,"Julian date","Place of writing",Has,"Cdli URL","Nabucco URL","Achemenet URL","Oracc URL","British Museum URL","Tablet ID",Role,Title,"Type and objects"
Adad-iddin,Adad-šūzibanni,,Male,,59868,Adad-iddin,Adad-šūzibanni,-,Male,,21227,"highly probable","BM 74483",,"Pirngruber 2020, no. 3",Iššar-tarībi,"Legal document","15.XI.01 Cam",528,Sippar,Fingernails,,-,-,-,https://www.britishmuseum.org/collection/object/W_1882-0918-A-205,7080,"witness, regular (mukinnu)",-,"TypeLegal documentSubtypepartnership, dissolution"
Ana-bītišu,,,Female,,54762,Ana-bītišu,-,-,Female,,19259,"highly probable","MNB 1129","BM 41777","Wunsch 2000b, no. 60A","Egibi Nūr-Sîn","Legal document","16.VI.03 Cam",527,Babylon,,https://cdli.ucla.edu/P387225,https://nabucco.arts.kuleuven.be/item/29743,http://www.achemenet.com/en/item/?/textual-sources/texts-by-publication/Wunsch_CM_20/1328377,-,-,6455,"object of transaction",-,"TypeLegal documentSubtypepartnership, dissolution"
Anonymous,,,Male,,54763,-,-,-,-,-,-,"less probable","MNB 1129","BM 41777","Wunsch 2000b, no. 60A","Egibi Nūr-Sîn","Legal document","16.VI.03 Cam",527,Babylon,,https://cdli.ucla.edu/P387225,https://nabucco.arts.kuleuven.be/item/29743,http://www.achemenet.com/en/item/?/textual-sources/texts-by-publication/Wunsch_CM_20/1328377,-,-,6455,"object of transaction",-,"TypeLegal documentSubtypepartnership, dissolution"
"Anonymous group",,,Male,,63437,-,-,-,-,-,-,"less probable","BM 30328",,"Nbk 116","Egibi Nūr-Sîn","Legal document","08.XI.18 Nbk II",586,"Not mentioned",,-,https://nabucco.arts.kuleuven.be/item/29269,-,-,https://www.britishmuseum.org/collection/object/W_1876-1117-48,7503,"(legal) authority",dayyānu,"TypeLegal documentSubtypepartnership, dissolution"
Aplāya,Nabû-ahhē-iddin,,Male,,63445,Aplāya,Nabû-ahhē-iddin,-,Male,,28503,"highly probable","BM 30328",,"Nbk 116","Egibi Nūr-Sîn","Legal document","08.XI.18 Nbk II",586,"Not mentioned",,-,https://nabucco.arts.kuleuven.be/item/29269,-,-,https://www.britishmuseum.org/collection/object/W_1876-1117-48,7503,"witness, regular (mukinnu)",-,"TypeLegal documentSubtypepartnership, dissolution"
Arad-Bēl,Balāssu,Bābūtu,Male,,19072,Arad-Bēl,Balāssu,Bābūtu,Male,,6295,"highly probable","BM 31087",,"Wunsch 1993b, no. 33","Egibi Nūr-Sîn","Legal document","12.XI.39 Nbk II",565,Babylon,,-,https://nabucco.arts.kuleuven.be/item/29494,-,-,https://www.britishmuseum.org/collection/object/W_1876-1117-814,2398,"witness, regular (mukinnu)",-,"TypeLegal documentSubtypepartnership, dissolution"
Arrabtu,,,Female,,54764,Arrabtu,-,-,Female,,19320,"highly probable","MNB 1129","BM 41777","Wunsch 2000b, no. 60A","Egibi Nūr-Sîn","Legal document","16.VI.03 Cam",527,Babylon,,https://cdli.ucla.edu/P387225,https://nabucco.arts.kuleuven.be/item/29743,http://www.achemenet.com/en/item/?/textual-sources/texts-by-publication/Wunsch_CM_20/1328377,-,-,6455,"object of transaction",-,"TypeLegal documentSubtypepartnership, dissolution"
Bānītu-bēlu-uṣrī,,,Female,,54761,Bānītu-bēlu-uṣrī,-,-,Female,,18280,"highly probable","MNB 1129","BM 41777","Wunsch 2000b, no. 60A","Egibi Nūr-Sîn","Legal document","16.VI.03 Cam",527,Babylon,,https://cdli.ucla.edu/P387225,https://nabucco.arts.kuleuven.be/item/29743,http://www.achemenet.com/en/item/?/textual-sources/texts-by-publication/Wunsch_CM_20/1328377,-,-,6455,"object of transaction",-,"TypeLegal documentSubtypepartnership, dissolution"
Bar-Qūs,,,Male,,54765,Bar-Qūs,-,-,Male,,18285,"highly probable","MNB 1129","BM 41777","Wunsch 2000b, no. 60A","Egibi Nūr-Sîn","Legal document","16.VI.03 Cam",527,Babylon,,https://cdli.ucla.edu/P387225,https://nabucco.arts.kuleuven.be/item/29743,http://www.achemenet.com/en/item/?/textual-sources/texts-by-publication/Wunsch_CM_20/1328377,-,-,6455,"object of transaction",-,"TypeLegal documentSubtypepartnership, dissolution"
Bēl-aplu-iddin,Rēmūtu,Pahāru,Male,,59769,Bēl-aplu-iddin,Rēmūtu,Pahāru,Male,,20861,"highly probable","BM 31046",,"Camb 330","Egibi Nūr-Sîn","Legal document","11.IX.06 Cam",524,Hursag-kalamma,,-,https://nabucco.arts.kuleuven.be/item/29263,http://www.achemenet.com/fr/item/?/sources-textuelles/textes-par-langues-et-ecritures/babylonien/archives-egibi/1681128,-,https://www.britishmuseum.org/collection/object/W_1876-1117-773,7066,"witness, regular (mukinnu)",-,"TypeLegal documentSubtypepartnership, dissolution"
Bēl-iddin,Būru-šēzib,,Male,Harranu,773,Bēl-iddin,Būru-šēzib,-,Male,,13412,"highly probable","BM 74673",,"Waerzeggers 2014, no. 30","Ṣāhit-ginê A","Legal document","09.VIII.03 Dar I",519,Sippar,"Other markings",-,http://nabucco.arts.kuleuven.be/item/27970,-,-,https://www.britishmuseum.org/collection/object/W_1882-0918-A-398,104,"business partner, investing
creditor",-,"TypeLegal documentSubtypepartnership, dissolution"
Bēl-ittannu,,,Male,,57483,Bēl-ittannu,-,-,Male,,29446,"highly probable","BM 30707",,"Nbn 776","Egibi Nūr-Sîn","Legal document","13.V.14 Nbn",542,Babylon,Seals,-,https://nabucco.arts.kuleuven.be/item/28672,-,,https://www.britishmuseum.org/collection/object/W_1876-1117-434,6778,"scribe (ṭupšarru)",-,"TypeLegal documentSubtypepartnership, dissolution"
Bēl-šumu-iškun,Šamaš-unammir,,Male,,63430,Bēl-šumu-iškun,Šamaš-unammir,-,Male,,22309,"highly probable","BM 30328",,"Nbk 116","Egibi Nūr-Sîn","Legal document","08.XI.18 Nbk II",586,"Not mentioned",,-,https://nabucco.arts.kuleuven.be/item/29269,-,-,https://www.britishmuseum.org/collection/object/W_1876-1117-48,7503,"witness, regular (mukinnu)","rab qanâti ša māt tâmti","TypeLegal documentSubtypepartnership, dissolution"
Bēl-uballiṭ,Bunene-ibni,,Male,,59869,Bēl-uballiṭ,Bunene-ibni,-,Male,,21119,"highly probable","BM 74483",,"Pirngruber 2020, no. 3",Iššar-tarībi,"Legal document","15.XI.01 Cam",528,Sippar,Fingernails,,-,-,-,https://www.britishmuseum.org/collection/object/W_1882-0918-A-205,7080,"witness, regular (mukinnu)",-,"TypeLegal documentSubtypepartnership, dissolution"
Bēl-uballiṭ,Iqīšāya,Ṣāhit-ginê,Male,Harranu,761,Bēl-uballiṭ,Iqīšāya,Ṣāhit-ginê,Male,,13788,"highly probable","BM 74673",,"Waerzeggers 2014, no. 30","Ṣāhit-ginê A","Legal document","09.VIII.03 Dar I",519,Sippar,"Other markings",-,http://nabucco.arts.kuleuven.be/item/27970,-,-,https://www.britishmuseum.org/collection/object/W_1882-0918-A-398,104,"business partner, investing",-,"TypeLegal documentSubtypepartnership, dissolution"
Bēl-uballiṭ,Mīnu-ana-Bēl-dān,Nūr-ilīšu,Male,,63438,Bēl-uballiṭ,Mīnu-ana-Bēl-dān,Nūr-ilīšu,Male,,21527,"highly probable","BM 30328",,"Nbk 116","Egibi Nūr-Sîn","Legal document","08.XI.18 Nbk II",586,"Not mentioned",,-,https://nabucco.arts.kuleuven.be/item/29269,-,-,https://www.britishmuseum.org/collection/object/W_1876-1117-48,7503,"witness, regular (mukinnu)",-,"TypeLegal documentSubtypepartnership, dissolution"
Bēl-zēru-ibni,,,Male,,19063,Bēl-zēru-ibni,-,-,Male,,24596,"highly probable","BM 31087",,"Wunsch 1993b, no. 33","Egibi Nūr-Sîn","Legal document","12.XI.39 Nbk II",565,Babylon,,-,https://nabucco.arts.kuleuven.be/item/29494,-,-,https://www.britishmuseum.org/collection/object/W_1876-1117-814,2398,creditor,-,"TypeLegal documentSubtypepartnership, dissolution"
Bēl-zēru-ibni,Nabû-nāṣir,Ṣāhit-ginê,Male,,830,Bēl-zēru-ibni,Nabû-nāṣir,Ṣāhit-ginê,Male,,13858,"highly probable","BM 74673",,"Waerzeggers 2014, no. 30","Ṣāhit-ginê A","Legal document","09.VIII.03 Dar I",519,Sippar,"Other markings",-,http://nabucco.arts.kuleuven.be/item/27970,-,-,https://www.britishmuseum.org/collection/object/W_1882-0918-A-398,104,"scribe (ṭupšarru)",-,"TypeLegal documentSubtypepartnership, dissolution"
Bēlšunu,Bēl-ahhē-iddin,Sîn-imittu,Male,Harranu,54759,Bēlšunu,Bēl-ahhē-iddin,Sîn-imittu,Male,,19244,"highly probable","MNB 1129","BM 41777","Wunsch 2000b, no. 60A","Egibi Nūr-Sîn","Legal document","16.VI.03 Cam",527,Babylon,,https://cdli.ucla.edu/P387225,https://nabucco.arts.kuleuven.be/item/29743,http://www.achemenet.com/en/item/?/textual-sources/texts-by-publication/Wunsch_CM_20/1328377,-,-,6455,"business partner
recipient",-,"TypeLegal documentSubtypepartnership, dissolution"
Bulluṭu,Bēl-ušallim,Rab-banê,Male,,63439,Bulluṭu,Bēl-ušallim,Rab-banê,Male,,21550,"highly probable","BM 30328",,"Nbk 116","Egibi Nūr-Sîn","Legal document","08.XI.18 Nbk II",586,"Not mentioned",,-,https://nabucco.arts.kuleuven.be/item/29269,-,-,https://www.britishmuseum.org/collection/object/W_1876-1117-48,7503,"witness, regular (mukinnu)",-,"TypeLegal documentSubtypepartnership, dissolution"
Būru-zēru-iddin,,,Male,House,814,Būru-zēru-iddin,-,-,Male,,13903,probable,"BM 74673",,"Waerzeggers 2014, no. 30","Ṣāhit-ginê A","Legal document","09.VIII.03 Dar I",519,Sippar,"Other markings",-,http://nabucco.arts.kuleuven.be/item/27970,-,-,https://www.britishmuseum.org/collection/object/W_1882-0918-A-398,104,broken/unclear,-,"TypeLegal documentSubtypepartnership, dissolution"
