Name,Patronym,"Family name",Gender,Owns,"Attestation ID",ind.Name,ind.Patronym,"ind.Family name",ind.Gender,Biography,PID,Probability,"Museum no.",Duplicate,Publication,Archive,Type,Date,"Julian date","Place of writing",Has,"Cdli URL","Nabucco URL","Achemenet URL","Oracc URL","British Museum URL","Tablet ID",Role,Title,"Type and objects"
Anonymous,,,Male,,67260,Anonymous,-,-,Male,,28269,"highly probable","MLC 360",,"BRM 1, 82","Balāṭu, slave of Rēmūt-Bēl","Legal document","03.VIII.27 Dar I",495,Broken/Unclear,,https://cdli.ucla.edu/P295163,,,,,7744,"passive (mentioned in relation to sb or sth else)",ašlāku,"TypeLegal documentSubtypepartnership-related"
Aplāya,Nabû-nāṣir,,Male,,41482,Aplāya,Nabû-nāṣir,-,Male,,17394,"highly probable","VAT 2975",,"San Nicolò and Ungnad 1929-1935, no. 645","Sîn-ilī (Babylon)","Legal document","13.XI.22 Nbk II",582,Bīt-Eppēš-ilī,,-,-,-,-,-,4801,"witness, regular (mukinnu)",-,"TypeLegal documentSubtypepartnership-related"
Arad-Bēl,Balāṭu,Dannēa,Male,,15278,Arad-Bēl,Balāṭu,Dannēa,Male,,2713,"highly probable","MLC 1764",,"Wunsch 1993b, no. 7","Egibi Nūr-Sîn","Legal document","21.V.31 Nbk II",574,Babylon,,https://cdli.ucla.edu/P296435,https://nabucco.arts.kuleuven.be/item/30223,-,-,-,1859,"witness, regular (mukinnu)",-,"TypeLegal documentSubtypepartnership-related"
Arad-Nabû,Nabû-udammiq,,Male,,43133,Arad-Nabû,Nabû-udammiq,-,Male,,16908,"highly probable","VAT 2983",,"San Nicolò and Ungnad 1929-1935, no. 170","Sîn-ilī (Babylon)","Legal document","03.[-].30 Nbk II",575/574,Ālu-ša-Nādin,,-,-,-,-,-,4970,debtor,-,"TypeLegal documentSubtypepartnership-related"
Balāṭu,,,Male,,65643,Balāṭu,-,-,Male,,26189,"highly probable","MLC 360",,"BRM 1, 82","Balāṭu, slave of Rēmūt-Bēl","Legal document","03.VIII.27 Dar I",495,Broken/Unclear,,https://cdli.ucla.edu/P295163,,,,,7744,prebend-performer,qallu,"TypeLegal documentSubtypepartnership-related"
Bēl-ahhē-iddin,,Bā’iru,Male,,20029,Bēl-ahhē-iddin,-,Bā’iru,Male,,6361,"highly probable","VAT 564",,"VS 4, 2",Šumāya,"Legal document","18.XI.06 Ššu",661,Babylon,,https://cdli.ucla.edu/P371526,https://nabucco.arts.kuleuven.be/item/26497,,,,2443,"witness, regular (mukinnu)",-,"TypeLegal documentSubtypepartnership-related"
Bēl-ahu-ušebši,,,Male,,63622,Bēl-ahu-ušebši,-,-,Male,,24160,"highly probable","BM 31480",,"Nbk 231","Egibi Nūr-Sîn","Legal document","09.[-].30 Nbk II",575/574,Šahrīn,,-,-,-,-,https://www.britishmuseum.org/collection/object/W_1876-1117-1207,7530,unclear,-,"TypeLegal documentSubtypepartnership-related"
Bēl-ibni,,Bēl-eṭēri,Male,,20041,Bēl-ibni,-,Bēl-eṭēri,Male,,6367,"highly probable","VAT 564",,"VS 4, 2",Šumāya,"Legal document","18.XI.06 Ššu",661,Babylon,,https://cdli.ucla.edu/P371526,https://nabucco.arts.kuleuven.be/item/26497,,,,2443,"scribe (ṭupšarru)",-,"TypeLegal documentSubtypepartnership-related"
Bēl-iddin,Bānia,Arrabtu,Male,,57610,Bēl-iddin,Bānia,Arrabu,Male,,20210,"highly probable","BM 30268",,"Nbn 838","Egibi Nūr-Sîn","Legal document","14.II.15 Nbn",541,Bīt-šar-Bābili,,-,https://nabucco.arts.kuleuven.be/item/31984,-,-,https://www.britishmuseum.org/collection/object/W_1876-1016-18,6794,"witness, regular (mukinnu)",-,"TypeLegal documentSubtypepartnership-related"
Bēl-lē’i,Šūzubu,Bēl-bāni,Male,Harranu,15257,Bēl-lē’i,Šūzubu,Bēl-bāni,Male,,1780,"highly probable","MLC 1764",,"Wunsch 1993b, no. 7","Egibi Nūr-Sîn","Legal document","21.V.31 Nbk II",574,Babylon,,https://cdli.ucla.edu/P296435,https://nabucco.arts.kuleuven.be/item/30223,-,-,-,1859,"business partner",-,"TypeLegal documentSubtypepartnership-related"
Bēl-rēmanni,,,Male,Harranu,44669,Bēl-rēmanni,-,-,Male,,16947,"highly probable","VAT 3037",,"San Nicolò and Ungnad 1929-1935, no. 651","Sîn-ilī (Babylon)","Legal document","21+[x]?.VII.42 Nbk II",563,Bīt-Sîn-nāṣir,,-,-,-,-,-,4837,"business partner
recipient",-,"TypeLegal documentSubtypepartnership-related"
Bēl-šumu-iškun,,,Male,,20023,Bēl-šumu-iškun,-,-,Male,,6550,"highly probable","VAT 564",,"VS 4, 2",Šumāya,"Legal document","18.XI.06 Ššu",661,Babylon,,https://cdli.ucla.edu/P371526,https://nabucco.arts.kuleuven.be/item/26497,,,,2443,"business partner",-,"TypeLegal documentSubtypepartnership-related"
Bēl-uballiṭ,,,Male,,1235,Bēl-uballiṭ,Iqīšāya,Ṣāhit-ginê,Male,,13788,"less probable","BM 64242",,"Waerzeggers 2014, no. 6","Ṣāhit-ginê A","Legal document","04.III.[-] [Nbn]",-,Broken/Unclear,,-,http://nabucco.arts.kuleuven.be/item/28240,-,-,https://www.britishmuseum.org/collection/object/W_1882-0918-4217,154,creditor,-,"TypeLegal documentSubtypepartnership-related"
Bēl-uballiṭ,Zēria,Ile’’i-Marduk,Male,,57746,Bēl-uballiṭ,Zēria,Ile’’i-Marduk,Male,,8359,"highly probable","BM 30415",,"Nbn 1013","Egibi Nūr-Sîn","Legal document","09.XII.16 Nbn",539,Bīt-šar-Bābili,,-,https://nabucco.arts.kuleuven.be/item/28714,-,-,https://www.britishmuseum.org/collection/object/W_1876-1117-137,6813,"scribe (ṭupšarru)",-,"TypeLegal documentSubtypepartnership-related"
Bēl-ušallim,Zēria,Nabāya,Male,,302,Bēl-ušallim,Zēria,Nabāya,Male,,1741,"highly probable","BM 30634",,"Wunsch 1993b, no. 11","Egibi Nūr-Sîn","Legal document","22.VIII.33 Nbk II",572,Babylon,,-,http://nabucco.arts.kuleuven.be/item/29137,-,-,https://www.britishmuseum.org/collection/object/W_1876-1117-361,40,"scribe (ṭupšarru)",-,"TypeLegal documentSubtypepartnership-related"
Bēl-ušallim,Zēria,Nabāya,Male,,16489,Bēl-ušallim,Zēria,Nabāya,Male,,1741,"highly probable","BM 31016",,"Wunsch 1993b, no. 14","Egibi Nūr-Sîn","Legal document","25.VII.34 Nbk II",571,Babylon,,-,https://nabucco.arts.kuleuven.be/item/31066,-,-,https://www.britishmuseum.org/collection/object/W_1876-1117-743,1945,"scribe (ṭupšarru)",-,"TypeLegal documentSubtypepartnership-related"
Bēlšunu,Ahhēa,Arad-Nergal,Male,,64139,Bēlšunu,Ahhēa,Arad-Nergal,Male,,29760,"highly probable","BM 30344",,"Nbk 64","Egibi Nūr-Sîn","Legal document","27.II.08 Nbk II",597,Babylon,,-,-,-,-,https://www.britishmuseum.org/collection/object/W_1876-1117-64,7590,"witness, regular (mukinnu)",-,"TypeLegal documentSubtypepartnership-related"
Bulṭāya,Sîn-leqe-unninnī,Iddin-Papsukkal,Male,,43130,Bulṭāya,Sîn-leqe-unninnī,Iddin-Papsukkal,Male,,16511,"highly probable","VAT 2983",,"San Nicolò and Ungnad 1929-1935, no. 170","Sîn-ilī (Babylon)","Legal document","03.[-].30 Nbk II",575/574,Ālu-ša-Nādin,,-,-,-,-,-,4970,creditor,-,"TypeLegal documentSubtypepartnership-related"
Darius,,,Male,,65379,Darius,-,-,Male,,16371,"highly probable","MLC 360",,"BRM 1, 82","Balāṭu, slave of Rēmūt-Bēl","Legal document","03.VIII.27 Dar I",495,Broken/Unclear,,https://cdli.ucla.edu/P295163,,,,,7744,"king in date","šar Bābili u mātāti","TypeLegal documentSubtypepartnership-related"
Dihummu,,,Male,,57742,Dihummu,-,-,Male,,20160,"highly probable","BM 30415",,"Nbn 1013","Egibi Nūr-Sîn","Legal document","09.XII.16 Nbn",539,Bīt-šar-Bābili,,-,https://nabucco.arts.kuleuven.be/item/28714,-,-,https://www.britishmuseum.org/collection/object/W_1876-1117-137,6813,employee,qallu,"TypeLegal documentSubtypepartnership-related"
Gimillu,Bēl-ibni,Ašgandu,Male,,299,Gimillu,Bēl-ibni,Ašgandu,Male,,2737,"highly probable","BM 30634",,"Wunsch 1993b, no. 11","Egibi Nūr-Sîn","Legal document","22.VIII.33 Nbk II",572,Babylon,,-,http://nabucco.arts.kuleuven.be/item/29137,-,-,https://www.britishmuseum.org/collection/object/W_1876-1117-361,40,"witness, regular (mukinnu)",-,"TypeLegal documentSubtypepartnership-related"
Gula-zēru-ibni,Bēl-ibni,Rēmūt-Ea,Male,,15275,Gula-zēru-ibni,Bēl-ibni,Rēmūt-Ea,Male,,2743,"highly probable","MLC 1764",,"Wunsch 1993b, no. 7","Egibi Nūr-Sîn","Legal document","21.V.31 Nbk II",574,Babylon,,https://cdli.ucla.edu/P296435,https://nabucco.arts.kuleuven.be/item/30223,-,-,-,1859,"witness, regular (mukinnu)",-,"TypeLegal documentSubtypepartnership-related"
Haddāya,Hanūn,,Male,Harranu,57513,Haddāya,Hanūn,-,Male,,20182,"highly probable","BM 31214","BM 31147","Nbn 815","Egibi Nūr-Sîn","Legal document","03.X.14 Nbn",541,"Not mentioned",,-,-,-,,https://www.britishmuseum.org/collection/object/W_1876-1117-941,6782,"business partner",-,"TypeLegal documentSubtypepartnership-related"
Hammu-rapu,,Eppēš-ilī,Male,,20032,Hammu-rapu,-,Eppēš-ilī,Male,,6391,"highly probable","VAT 564",,"VS 4, 2",Šumāya,"Legal document","18.XI.06 Ššu",661,Babylon,,https://cdli.ucla.edu/P371526,https://nabucco.arts.kuleuven.be/item/26497,,,,2443,"witness, regular (mukinnu)",-,"TypeLegal documentSubtypepartnership-related"
Iddin-Marduk,,,Male,,16471,Iddin-Marduk,Iqīšāya,Nūr-Sîn,Male,,36,"highly probable","BM 31016",,"Wunsch 1993b, no. 14","Egibi Nūr-Sîn","Legal document","25.VII.34 Nbk II",571,Babylon,,-,https://nabucco.arts.kuleuven.be/item/31066,-,-,https://www.britishmuseum.org/collection/object/W_1876-1117-743,1945,"creditor
guarantor
obligee",-,"TypeLegal documentSubtypepartnership-related"
Iddin-Marduk,Iqīšāya,Nūr-Sîn,Male,Harranu,15236,Iddin-Marduk,Iqīšāya,Nūr-Sîn,Male,,36,"highly probable","MLC 1764",,"Wunsch 1993b, no. 7","Egibi Nūr-Sîn","Legal document","21.V.31 Nbk II",574,Babylon,,https://cdli.ucla.edu/P296435,https://nabucco.arts.kuleuven.be/item/30223,-,-,-,1859,"business partner, investing
creditor",-,"TypeLegal documentSubtypepartnership-related"
Iddin-Nabû,Nabû-šumu-uṣur,Rab-banê,Male,,57744,Iddin-Nabû,Nabû-šumu-uṣur,Rab-banê,Male,,20241,"highly probable","BM 30415",,"Nbn 1013","Egibi Nūr-Sîn","Legal document","09.XII.16 Nbn",539,Bīt-šar-Bābili,,-,https://nabucco.arts.kuleuven.be/item/28714,-,-,https://www.britishmuseum.org/collection/object/W_1876-1117-137,6813,"witness, regular (mukinnu)",-,"TypeLegal documentSubtypepartnership-related"
Ile’’i-bulluṭ-Marduk,,,Male,Harranu,1237,Ile’’i-bulluṭ-Marduk,-,-,Male,,14058,"highly probable","BM 64242",,"Waerzeggers 2014, no. 6","Ṣāhit-ginê A","Legal document","04.III.[-] [Nbn]",-,Broken/Unclear,,-,http://nabucco.arts.kuleuven.be/item/28240,-,-,https://www.britishmuseum.org/collection/object/W_1882-0918-4217,154,"business partner",-,"TypeLegal documentSubtypepartnership-related"
Ina-Esagil-šumu-ibni,Nabû-mukīn-zēri,Kidin(?)-Nabû,Male,,15281,Ina-Esagil-šumu-ibni,Nabû-mukīn-zēri,Kidin-Nabû,Male,,2836,"highly probable","MLC 1764",,"Wunsch 1993b, no. 7","Egibi Nūr-Sîn","Legal document","21.V.31 Nbk II",574,Babylon,,https://cdli.ucla.edu/P296435,https://nabucco.arts.kuleuven.be/item/30223,-,-,-,1859,"scribe (ṭupšarru)",-,"TypeLegal documentSubtypepartnership-related"
Itti-Marduk-balāṭu,,,Male,SlaveAgent,57609,Itti-Marduk-balāṭu,Nabû-ahhē-iddin,Egibi,Male,,2101,"highly probable","BM 30268",,"Nbn 838","Egibi Nūr-Sîn","Legal document","14.II.15 Nbn",541,Bīt-šar-Bābili,,-,https://nabucco.arts.kuleuven.be/item/31984,-,-,https://www.britishmuseum.org/collection/object/W_1876-1016-18,6794,recipient,-,"TypeLegal documentSubtypepartnership-related"
Itti-Marduk-balāṭu,Nabû-ahhē-iddin,Egibi,Male,Harranu,57740,Itti-Marduk-balāṭu,Nabû-ahhē-iddin,Egibi,Male,,2101,"highly probable","BM 30415",,"Nbn 1013","Egibi Nūr-Sîn","Legal document","09.XII.16 Nbn",539,Bīt-šar-Bābili,,-,https://nabucco.arts.kuleuven.be/item/28714,-,-,https://www.britishmuseum.org/collection/object/W_1876-1117-137,6813,"business partner, investing
creditor",-,"TypeLegal documentSubtypepartnership-related"
