Name,Patronym,"Family name",Gender,Owns,"Attestation ID",ind.Name,ind.Patronym,"ind.Family name",ind.Gender,Biography,PID,Probability,"Museum no.",Duplicate,Publication,Archive,Type,Date,"Julian date","Place of writing",Has,"Cdli URL","Nabucco URL","Achemenet URL","Oracc URL","British Museum URL","Tablet ID",Role,Title,"Type and objects"
Ahūšunu,Uballissu-Marduk,Šangû-Šamaš,Male,,1362,Ahūšunu,Uballissu-Marduk,Šangû-Šamaš,Male,,5905,"highly probable","BM 63824",,"Waerzeggers 2014, no. 180","Ṣāhit-ginê A","Legal document","09.[-].02 Xer I",484/483,Sippar,,-,http://nabucco.arts.kuleuven.be/item/27856,-,-,https://www.britishmuseum.org/collection/object/W_1882-0918-3792,166,"employee
prebend-performer",-,"TypeLegal documentSubtypeprebendary work contract"
Ahūšunu,Uballissu-Marduk,Šangû-Šamaš,Male,,6577,Ahūšunu,Uballissu-Marduk,Šangû-Šamaš,Male,,5905,"highly probable","BM 74504",,"Waerzeggers 2014, no. 179","Ṣāhit-ginê A","Legal document","09.IV.02 Xer I",484,Sippar,,-,https://nabucco.arts.kuleuven.be/item/27820,-,-,https://www.britishmuseum.org/collection/object/W_1882-0918-A-227,860,"employee
prebend-performer",-,"TypeLegal documentSubtypeprebendary work contract"
Anonymous,,,Female,,37699,Anonymous,-,-,Female,,18244,"highly probable","BM 26513",,"Waerzeggers and Jursa 2008, no. 3","Rē’i-alpi (Borsippa)","Legal document","01.IX.02 Nbn",554,Borsippa,,,-,-,-,https://www.britishmuseum.org/collection/object/W_1898-0514-331,4390,"passive (mentioned in relation to sb or sth else)",nârtu,"TypeLegal documentSubtypeprebendary work contract"
Anonymous,,,Male,,8197,Ina-Esagil-lilbur,Nabû-šumu-ukīn,Ša-nāšišu,Male,,13187,"highly probable","BM 42424","BM 42412","Jursa 1999, pp. 180f.","Šangû-Šamaš A","Legal document","[11].III.08 Dar I",514,Sippar,,-,https://nabucco.arts.kuleuven.be/item/32767,http://www.achemenet.com/fr/item/?/sources-textuelles/textes-par-langues-et-ecritures/babylonien/autres-archives-privees/1328167,-,https://www.britishmuseum.org/collection/object/W_1881-0701-184,1085,"passive (mentioned in relation to sb or sth else)","šangû ša Sippar","TypeLegal documentSubtypeprebendary work contract"
Anonymous,,,Male,,67260,Anonymous,-,-,Male,,28269,"highly probable","MLC 360",,"BRM 1, 82","Balāṭu, slave of Rēmūt-Bēl","Legal document","03.VIII.27 Dar I",495,Broken/Unclear,,https://cdli.ucla.edu/P295163,,,,,7744,"passive (mentioned in relation to sb or sth else)",ašlāku,"TypeLegal documentSubtypeprebendary work contract"
"Anonymous Group",Nabû-nādin-ipri,Atkuppu,Male,Prebend,67970,"Anonymous Group",Nabû-nādin-ipri,Atkuppu,Male,,29767,"highly probable","BM 27788",,"No publication",Atkuppu,"Legal document","27.XII.21 Dar I",500,Borsippa,,-,-,-,-,https://www.britishmuseum.org/collection/object/W_1898-0711-53,7980,prebend-holder,-,"TypeLegal documentSubtypeprebendary work contract"
Arad-Marduk,Nabû-nādin-ahi,Lā-kuppuru,Male,,5285,Arad-Marduk,Nabû-nādin-ahi,Lā-kuppuru,Male,,25715,"highly probable","BM 87271","BM 103454","Waerzeggers 2010, no. 64",Lā-kuppuru,"Legal document","13.VIII.35 Dar I",487,Borsippa,,https://cdli.ucla.edu/P521553,-,-,-,https://www.britishmuseum.org/collection/object/W_1900-1013-51,697,"scribe (ṭupšarru)",-,"TypeLegal documentSubtypeprebendary work contract"
Arad-Marduk,[...],Eppēš-ilī,Male,,2678,Arad-Marduk,[...],Eppēš-ilī,Male,,3556,"highly probable","VAT 2035",,"Baker 2004, no. 43",Nappāhu,"Legal document",-,-,Babylon,,https://cdli.ucla.edu/P372219,https://nabucco.arts.kuleuven.be/item/22273,,,,344,broken/unclear,-,"TypeLegal documentSubtypeprebendary work contract"
Arad-Nabû,Nabû-ittišu-iballuṭ,,Male,,53401,Arad-Nabû,Nabû-ittišu-iballuṭ,-,Male,,18517,"highly probable","VAT 5501",,"VS 6, 37",Atkuppu,"Legal document","13.XI.33 Nbk II",571,Borsippa,,https://cdli.ucla.edu/P371932,-,-,-,-,6292,"witness, regular (mukinnu)","širku ša Nabû","TypeLegal documentSubtypeprebendary work contract"
Arad-Nabû,Nabû-nādin-ipri,Atkuppu,Male,Prebend,67969,Arad-Nabû,Nabû-nādin-ipri,Atkuppu,Male,,29769,"highly probable","BM 27788",,"No publication",Atkuppu,"Legal document","27.XII.21 Dar I",500,Borsippa,,-,-,-,-,https://www.britishmuseum.org/collection/object/W_1898-0711-53,7980,prebend-holder,-,"TypeLegal documentSubtypeprebendary work contract"
