Name,Patronym,"Family name",Gender,Owns,"Attestation ID",ind.Name,ind.Patronym,"ind.Family name",ind.Gender,Biography,PID,Probability,"Museum no.",Duplicate,Publication,Archive,Type,Date,"Julian date","Place of writing",Has,"Cdli URL","Nabucco URL","Achemenet URL","Oracc URL","British Museum URL","Tablet ID",Role,Title,"Type and objects"
Ab-ummi-aqar,Bānûnu,,Male,,43277,Ab-ummi-aqar,Bānûnu,-,Male,,16188,"highly probable","BM 131176",,"UET 4, 73",Sîn-uballiṭ,"Legal document","26.VIII.06 Npl",620,Babylon,,https://cdli.ucla.edu/P414769,-,-,,https://www.britishmuseum.org/collection/object/W_1953-0411-11,4982,"witness, regular (mukinnu)",-,"TypeLegal documentSubtypepromissory note, with antichretic pledge"
Abī-Esu,Balāṭu,,Male,,6244,Abī-Esu,Balāṭu,-,Male,,6052,"highly probable","BM 74548",,"Waerzeggers 2014, no. 159","Ṣāhit-ginê A","Legal document","05.I.31 Dar I",491,Susa,,-,https://nabucco.arts.kuleuven.be/item/28267,-,-,https://www.britishmuseum.org/collection/object/W_1882-0918-A-271,830,"witness, regular (mukinnu)",-,"TypeLegal documentSubtypepromissory note, with antichretic pledge"
Abnātu,,,Female,,58601,Abnātu,-,-,Female,,20788,"highly probable","BM 29000",,"No publication","Ibnāya A","Legal document","30.II.04 Cyr",535,Borsippa,,-,-,-,-,https://www.britishmuseum.org/collection/object/W_1898-1112-176,6922,pledge,amtu,"TypeLegal documentSubtypepromissory note, with antichretic pledge"
Adināya,,,Female,,64706,Adināya,-,-,Female,,27856,"highly probable","BM 31576",,"Dar 75","Egibi Nūr-Sîn","Legal document","02.VI.03 Dar I",519,Babylon,,https://cdli.ucla.edu/P404990,-,http://www.achemenet.com/en/item/?/textual-sources/texts-by-publication/Strassmaier_Darius/1654057,-,https://www.britishmuseum.org/collection/object/W_1876-1117-1303,7659,creditor,-,"TypeLegal documentSubtypepromissory note, with antichretic pledge"
Ad[ad(?)-...],,,Male,Field,16591,Adad-[...],-,-,Male,,13151,"highly probable","BM 42523+",,"Jursa 1999, pp. 192f.","Šangû-Šamaš A","Legal document","24.X.[-] Dar I",-,Sippar,,-,https://nabucco.arts.kuleuven.be/item/32770,http://www.achemenet.com/fr/item/?/sources-textuelles/textes-par-langues-et-ecritures/babylonien/autres-archives-privees/1327849,-,https://www.britishmuseum.org/collection/object/W_1881-0701-282,2194,"passive (mentioned in relation to sb or sth else)",-,"TypeLegal documentSubtypepromissory note, with antichretic pledge"
Ahhū,Natan-il,,Male,,64705,Ahhū,Natan-il,-,Male,,23281,"highly probable","BM 31576",,"Dar 75","Egibi Nūr-Sîn","Legal document","02.VI.03 Dar I",519,Babylon,,https://cdli.ucla.edu/P404990,-,http://www.achemenet.com/en/item/?/textual-sources/texts-by-publication/Strassmaier_Darius/1654057,-,https://www.britishmuseum.org/collection/object/W_1876-1117-1303,7659,creditor,-,"TypeLegal documentSubtypepromissory note, with antichretic pledge"
Ahūšunu,Hummanu,,Male,House,64708,Ahūšunu,Hummanu,-,Male,,22457,"highly probable","BM 31576",,"Dar 75","Egibi Nūr-Sîn","Legal document","02.VI.03 Dar I",519,Babylon,,https://cdli.ucla.edu/P404990,-,http://www.achemenet.com/en/item/?/textual-sources/texts-by-publication/Strassmaier_Darius/1654057,-,https://www.britishmuseum.org/collection/object/W_1876-1117-1303,7659,neighbour,-,"TypeLegal documentSubtypepromissory note, with antichretic pledge"
Ahūšunu,Iddin-Šamaš,Ṣarbatu,Male,,6236,Ahūšunu,Iddin-Šamaš,Ṣarbatu,Male,,13161,"highly probable","BM 74548",,"Waerzeggers 2014, no. 159","Ṣāhit-ginê A","Legal document","05.I.31 Dar I",491,Susa,,-,https://nabucco.arts.kuleuven.be/item/28267,-,-,https://www.britishmuseum.org/collection/object/W_1882-0918-A-271,830,creditor,-,"TypeLegal documentSubtypepromissory note, with antichretic pledge"
Ahūšunu,Murašû,,Male,,48676,Ahūšunu,Murašû,-,Male,,18229,"highly probable","BM 26642",,unpublished,"Rē’i-alpi (Borsippa)","Legal document","19.I.09 Dar I",513,Borsippa,,,-,-,-,https://www.britishmuseum.org/collection/object/W_1898-0514-460,5664,"scribe (ṭupšarru)",-,"TypeLegal documentSubtypepromissory note, with antichretic pledge"
Amat-Mār-bīti-uṣur,,,Male,,53644,Amat-Mār-bīti-uṣur,-,-,Male,,18236,"highly probable","BM 26618",,unpublished,"Rē’i-alpi (Borsippa)","Legal document","24?.X.18 Dar I",503,Borsippa,,,-,-,-,https://www.britishmuseum.org/collection/object/W_1898-0514-436,6323,pledge,qallu,"TypeLegal documentSubtypepromissory note, with antichretic pledge"
Amat-Ninlil,,,Female,,63564,Amat-Ninlil,-,-,Female,,27038,"highly probable","BM 31688",,"Nbk 377","Egibi Nūr-Sîn","Legal document","21.IV.41 Nbk II",564,Babylon,,-,https://nabucco.arts.kuleuven.be/item/32173,-,-,https://www.britishmuseum.org/collection/object/W_1876-1117-1415,7521,"witness, special (ina ašābi)",-,"TypeLegal documentSubtypepromissory note, with antichretic pledge"
Amat-Ninlil,Lâbâši,Nūpu,Female,,21181,Amat-Ninlil,Lâbâši,Nūpu,Female,,9445,"highly probable","BM 55461",,"Camb 306",Rabâ-ša-Ninurta,"Legal document","03.II.06 Cam",524,Babylon,,,-,http://www.achemenet.com/fr/item/?/2078061=Textes%20babyloniens&3349245==Strassmaier%20--Inschriften%20von%20Cambyses&l=a&c=1&t=1.4/4/96/0/1680627,-,https://www.britishmuseum.org/collection/object/W_1882-0704-32,2584,creditor,-,"TypeLegal documentSubtypepromissory note, with antichretic pledge"
Amat-Ninlil,Širiktu,Nūr-Sîn,Female,,59321,Amat-Ninlil,Širiktu,Nūr-Sin,Female,,20948,"highly probable","BM 30876",,"Camb 379","Egibi Nūr-Sîn","Legal document","18.V.07 Cam",523,Babylon,,-,-,http://www.achemenet.com/en/item/?/textual-sources/texts-by-regions/babylonia/babylon/1682152,-,https://www.britishmuseum.org/collection/object/W_1876-1117-603,7010,creditor,-,"TypeLegal documentSubtypepromissory note, with antichretic pledge"
Amīl-Marduk,,,Male,,65184,Amīl-Marduk,-,-,Male,,16419,"highly probable","BM 33909","BM 32095","Sack 1972, no. 20","Egibi Nūr-Sîn","Legal document","28.XI.00 AM",561,Babylon,,https://cdli.ucla.edu/P405025,-,-,-,https://www.britishmuseum.org/collection/object/W_SP-5,7699,"king in date","šar Bābili","TypeLegal documentSubtypepromissory note, with antichretic pledge"
Ana-makānišu,,,Female,,58036,Ana-makānišu,-,-,Female,,20146,"highly probable","BM 32882",,"Cyr 177","Egibi Nūr-Sîn","Legal document","05.VIII.04 Cyr",535,Babylon,,https://cdli.ucla.edu/P405105,https://nabucco.arts.kuleuven.be/item/30457,http://www.achemenet.com/fr/item/?/sources-textuelles/textes-par-langues-et-ecritures/babylonien/archives-egibi/1669133,-,https://www.britishmuseum.org/collection/object/W_1877-1114-11,6852,representative/agent,"mārat šipri","TypeLegal documentSubtypepromissory note, with antichretic pledge"
Anonymous,,,Male,Other,4884,Balāṭu,-,-,Male,,13186,"less probable","BM 61750+",,"Waerzeggers 2014, no. 107","Ṣāhit-ginê A","Legal document","[-].[-].20 Dar I",502/501,Broken/Unclear,,-,https://nabucco.arts.kuleuven.be/item/28153,-,-,https://www.britishmuseum.org/collection/object/W_1882-0918-1720,632,neighbour,mašennu,"TypeLegal documentSubtypepromissory note, with antichretic pledge"
