Name,Patronym,"Family name",Gender,Owns,"Attestation ID",ind.Name,ind.Patronym,"ind.Family name",ind.Gender,Biography,PID,Probability,"Museum no.",Duplicate,Publication,Archive,Type,Date,"Julian date","Place of writing",Has,"Cdli URL","Nabucco URL","Achemenet URL","Oracc URL","British Museum URL","Tablet ID",Role,Title,"Type and objects"
,Šadāya,[...],Male,,68208,-,-,-,-,-,-,"less probable","BM 33120",,"Bertin 2842","Egibi Nūr-Sîn","Legal document","27.III.- Dar I",-,Babylon,,-,https://nabucco.arts.kuleuven.be/item/32605,-,-,https://www.britishmuseum.org/collection/object/W_1879-0730-21,8001,"witness, regular (mukinnu)",-,"TypeLegal documentSubtypepromissory note, with interest"
Abdī,Ata’ridu,,Male,,62992,Abdī,Ata’ridu,-,Male,,22185,"highly probable","BM 31186",,"Dar 337","Egibi Nūr-Sîn","Legal document","15.XII.12 Dar I",509,Broken/Unclear,,-,https://nabucco.arts.kuleuven.be/item/32425,http://www.achemenet.com/fr/item/?/sources-textuelles/textes-par-langues-et-ecritures/babylonien/archives-egibi/1659594,-,https://www.britishmuseum.org/collection/object/W_1876-1117-913,7451,"witness, regular (mukinnu)",-,"TypeLegal documentSubtypepromissory note, with interest"
Abdi-hinnī,Nabû-milkī,,Male,,59887,Abdi-hinnī,Nabû-milkī,-,Male,,21229,"highly probable","BM 74507",,"Pirngruber 2020, no. 6",Iššar-tarībi,"Legal document","25.XII.05 Cam",524,Bīt-Anu-iddin,,,-,-,-,https://www.britishmuseum.org/collection/object/W_1882-0918-A-230,7083,debtor,-,"TypeLegal documentSubtypepromissory note, with interest"
Abu-...-ilu(?),,,Male,,20236,Abu-[...],-,-,Male,,6526,"highly probable","VAT 527",,"VS 4, 6",Šumāya,"Legal document","07.VII.16 Ššu",652,Babylon,,https://cdli.ucla.edu/P371530,https://nabucco.arts.kuleuven.be/item/26986,,,,2470,"witness, regular (mukinnu)",-,"TypeLegal documentSubtypepromissory note, with interest"
Adad-ahu-iddin,Adad-nādin-zēri,,Male,,1966,Adad-ahu-iddin,Adad-nādin-zēri,-,Male,,6055,"highly probable","BM 63850",,"Waerzeggers 2014, no. 45","Ṣāhit-ginê A","Legal document","19.VII.05 Dar I",517,Babylon,,-,http://nabucco.arts.kuleuven.be/item/27832,-,-,https://www.britishmuseum.org/collection/object/W_1882-0918-3818,257,creditor,-,"TypeLegal documentSubtypepromissory note, with interest"
Adad-šarru-uṣur,Iltehr-abi,,Male,,1724,Adad-šarru-uṣur,Iltehr-abi,-,Male,,6076,probable,"BM 79672",,"Waerzeggers 2014, no. 28","Ṣāhit-ginê A","Legal document","22.VIb.03 Dar I",519,"Not mentioned",,-,http://nabucco.arts.kuleuven.be/item/27901,-,-,https://www.britishmuseum.org/collection/object/W_1889-1014-221,225,"witness, regular (mukinnu)",-,"TypeLegal documentSubtypepromissory note, with interest"
Adad-šēssu,Haggī,,Male,,17281,Adad-šēssu,Haggī,-,Male,,6835,"highly probable","MMA 86.11.310",,"CTMMA 3, no. 112","Esagilāya B","Legal document","25.III.06 Dar I",516,Babylon,,https://cdli.ucla.edu/P412390,,,,,2245,"witness, regular (mukinnu)",-,"TypeLegal documentSubtypepromissory note, with interest"
Adad-šumu-iddin,Balāṭu,Mandidi,Male,,8549,Adad-šumu-iddin,Balāṭu,Mandidi,Male,,6043,"highly probable","BM 42434","BM 42609+; VAT 540","Jursa 1999, pp. 184f.","Šangû-Šamaš A","Legal document","20.VIII.[-] Dar I",-,Sippar,,-,https://nabucco.arts.kuleuven.be/item/32890,http://www.achemenet.com/fr/item/?/sources-textuelles/textes-par-langues-et-ecritures/babylonien/autres-archives-privees/1327840,-,https://www.britishmuseum.org/collection/object/W_1881-0701-194,1112,"witness, regular (mukinnu)",-,"TypeLegal documentSubtypepromissory note, with interest"
Adāya,Bēl-erība,,Male,,43295,Adāya,Bēl-erība,-,Male,,16189,"highly probable","BM 131173","BM 131174","UET 4, 71",Sîn-uballiṭ,"Legal document","21.XI.06 Npl",619,Babylon,,https://cdli.ucla.edu/P414767,-,-,,https://www.britishmuseum.org/collection/object/W_1953-0411-8,4985,creditor,-,"TypeLegal documentSubtypepromissory note, with interest"
Ahātu,Nabû-zēru-ukīn,Arad-Ea,Female,,54203,Ahātu,Nabû-zēru-ukīn,Arad-Ea,Female,,18210,"highly probable","BM 26609",,unpublished,"Rē’i-alpi (Borsippa)","Legal document","21.IX.34 Dar I",488,Borsippa,,,-,-,-,https://www.britishmuseum.org/collection/object/W_1898-0514-427,6394,creditor,-,"TypeLegal documentSubtypepromissory note, with interest"
Ahhē-iddin-Marduk,Šākin-šumi,Sūhāya,Male,,33352,Ahhē-iddin-Marduk,Šākin-šumi,Sūhāya,Male,,9757,"highly probable","BM 77410",,"Bertin 2589","Ea-eppēš-ilī A (Babylon)","Legal document","09.IV.25 Dar I",497,Babylon,,,-,-,-,https://www.britishmuseum.org/collection/object/W_1884-0211-147,3838,"scribe (ṭupšarru)",-,"TypeLegal documentSubtypepromissory note, with interest"
Ahhē-iqīša,,,Male,,2957,Ahhē-iqīša,-,-,Male,,11486,"highly probable","HS 566",,"Joannès 1989, pp. 200-201","Ea-ilūtu-bāni, Ilī-bāni, Nanāhu","Legal document","10.X.32 Dar I",489,Borsippa,,,http://nabucco.arts.kuleuven.be/item/24910,,,,359,payer,-,"TypeLegal documentSubtypepromissory note, with interest"
Ahhēšāya,Iqīšāya,Ir’anni,Male,,66689,Ahhēšāya,Iqīšāya,Ir’anni,Male,,22456,"highly probable","MNB 1823",,"TCL 12, 103","Egibi Nūr-Sîn","Legal document","20.XII.12 Nbn",543,Babylon,,https://cdli.ucla.edu/P387168,https://nabucco.arts.kuleuven.be/item/32692,-,-,-,7877,"scribe (ṭupšarru)",-,"TypeLegal documentSubtypepromissory note, with interest"
Ahhūtu,,Rē’û,Male,,20131,Ahhūtu,-,Rē’û,Male,,6478,"highly probable","BM 56486",,"CT 55, 106",Šumāya,"Legal document","01.V.15 Ššu",653,Babylon,,https://cdli.ucla.edu/P314497,https://nabucco.arts.kuleuven.be/item/26017,,,https://www.britishmuseum.org/collection/object/W_1882-0704-59,2458,"witness, regular (mukinnu)",-,"TypeLegal documentSubtypepromissory note, with interest"
Ahlia(?),[...]-iddin,,Male,,60210,Ahlia(?),[...]-iddin,-,Male,,23731,"highly probable","BM 33565",,"Camb 368","Egibi Nūr-Sîn","Legal document","16.II.07 Cam",523,Babylon,,-,-,http://www.achemenet.com/en/item/?/textual-sources/texts-by-regions/babylonia/babylon/1681922,,https://www.britishmuseum.org/collection/object/W_Rm-IV-121,7123,"witness, regular (mukinnu)",-,"TypeLegal documentSubtypepromissory note, with interest"
Ahu-erība,,Rab-banê,Male,,14414,Ahu-erība,-,Rab-banê,Male,,6841,"highly probable","BM 79279",,"Lorenz 2008, no. 27 (pp. 64-65)","Esagilāya B","Legal document","10.VII.01? Nbk II",604?,Babylon,,-,-,-,-,https://www.britishmuseum.org/collection/object/W_1889-0426-576,1727,"witness, regular (mukinnu)",-,"TypeLegal documentSubtypepromissory note, with interest"
Ahu-iddin,HI-SU?,Naggāru,Male,,40069,Ahu-iddin,HI-SU{{?}},Naggāru,Male,,23531,"highly probable","BM 102291",,unpublished,"Ilia A+B","Legal document",-,-,Broken/Unclear,,,-,-,-,https://www.britishmuseum.org/collection/object/W_1906-0512-212,4663,"witness, regular (mukinnu)",-,"TypeLegal documentSubtypepromissory note, with interest"
Ahu-ušebši,Šulāya,,Male,,50327,Ahu-ušebši,Šulāya,-,Male,,17349,"highly probable","Unknown (IM)",,"UET 4, 85",Nidinti-Ea,"Legal document","15.II.10 Art II",395,Ur,Fingernails,https://cdli.ucla.edu/P414781,-,-,-,-,5894,"witness, regular (mukinnu)",-,"TypeLegal documentSubtypepromissory note, with interest"
Ahūšunu,Bēlšunu,,Male,,50338,Ahūšunu,Bēlšunu,-,Male,,17350,"highly probable","Unknown (IM)",,"UET 4, 85",Nidinti-Ea,"Legal document","15.II.10 Art II",395,Ur,Fingernails,https://cdli.ucla.edu/P414781,-,-,-,-,5894,"witness, regular (mukinnu)",-,"TypeLegal documentSubtypepromissory note, with interest"
Ahūšunu,Iddināya,Ēṭiru,Male,,33349,Ahūšunu,Iddināya,Ēṭiru,Male,,9754,"highly probable","BM 77410",,"Bertin 2589","Ea-eppēš-ilī A (Babylon)","Legal document","09.IV.25 Dar I",497,Babylon,,,-,-,-,https://www.britishmuseum.org/collection/object/W_1884-0211-147,3838,"witness, regular (mukinnu)",-,"TypeLegal documentSubtypepromissory note, with interest"
Ahūšunu,Iqīšāya,Damqu,Male,,8525,Ahūšunu,Iqīšāya,Damqu,Male,,2965,"highly probable","VAT 494+",,"Baker 2004, no. 240",Nappāhu,"Legal document","19.VII.27 Dar I",495,Babylon,Drawings,https://cdli.ucla.edu/P371692,https://nabucco.arts.kuleuven.be/item/22681,,,,1110,"witness, regular (mukinnu)",-,"TypeLegal documentSubtypepromissory note, with interest"
