Name,Patronym,"Family name",Gender,Owns,"Attestation ID",ind.Name,ind.Patronym,"ind.Family name",ind.Gender,Biography,PID,Probability,"Museum no.",Duplicate,Publication,Archive,Type,Date,"Julian date","Place of writing",Has,"Cdli URL","Nabucco URL","Achemenet URL","Oracc URL","British Museum URL","Tablet ID",Role,Title,"Type and objects"
,,,,,25732,-,-,-,-,-,-,"less probable","BM 94854",,unpublished,"Ea-ilūtu-bāni, Ilī-bāni, Nanāhu","Legal document","30.III.05 Dar I",517,Borsippa,,,https://nabucco.arts.kuleuven.be/item/25648,-,-,https://www.britishmuseum.org/collection/object/W_1901-1012-507,3109,-,-,"TypeLegal documentSubtypepromissory note, with pledge and interest"
Adad-sarah,Marduk-šumu-uṣur,,Male,,51030,Adad-sarah,Marduk-šumu-uṣur,-,Male,,15603,"highly probable","Liverpool 77-11-29, 12",,"Wunsch 1993b, no. 284","Egibi Nūr-Sîn","Legal document","16.IV.03 Cyr",536,Babylon,,-,https://nabucco.arts.kuleuven.be/item/31786,-,-,-,5992,"witness, regular (mukinnu)",-,"TypeLegal documentSubtypepromissory note, with pledge and interest"
Adirtu,Ibnāya,,Female,House,44118,-,-,-,-,-,-,"less probable","CBS 5277",,"BE 10, 2",Murašû,"Legal document","15.XI.00 Dar II",423,Nippur,"Seals, Epigraphs, Fingernails",https://cdli.ucla.edu/P261471,,http://www.achemenet.com/fr/item/?/sources-textuelles/textes-par-langues-et-ecritures/babylonien/archives-murasu/2132199,,,5080,"debtor
leaves fingernail marking(s)",-,"TypeLegal documentSubtypepromissory note, with pledge and interest"
Ahhē-iddin-Marduk,Bēl-ahhē-erība,Ur-Nanna,Male,,59574,Ahhē-iddin-Marduk,Bēl-ahhē-erība,Ur-Nanna,Male,,21034,"highly probable","BM 30989",,"Camb 208","Egibi Nūr-Sîn","Legal document","08.X.03 Cam",526,Babylon,,https://cdli.ucla.edu/P507680,-,http://www.achemenet.com/en/item/?/textual-sources/texts-by-regions/babylonia/babylon/1678528,,https://www.britishmuseum.org/collection/object/W_1876-1117-716,7039,"scribe (ṭupšarru)",-,"TypeLegal documentSubtypepromissory note, with pledge and interest"
Ahhē-iddin-Marduk,Marduk-nāṣir,Būṣu,Male,,63233,Ahhē-iddin-Marduk,Marduk-nāṣir,Būṣu,Male,,21336,"highly probable","BM 31354",,"Nbn 1110","Egibi Nūr-Sîn","Legal document","13.VIII.[-] Nbn",-,Broken/Unclear,,-,-,-,-,https://www.britishmuseum.org/collection/object/W_1876-1117-1081,7476,"witness, regular (mukinnu)",-,"TypeLegal documentSubtypepromissory note, with pledge and interest"
Ahhē-iddin-Marduk,Šamaš-aplu-uṣur,Ilšu-abūšu,Male,,39247,Ahhē-iddin-Marduk,Šamaš-aplu-uṣur,Ilšu-abūšu,Male,,18216,"highly probable","VAT 5381",,"VS 4, 70","Rē’i-alpi (Borsippa)","Legal document","12.II.01 Cam",529,Broken/Unclear,,,,,,,4564,"scribe (ṭupšarru)",-,"TypeLegal documentSubtypepromissory note, with pledge and interest"
Ahūšunu,Bēl-abu-uṣur,,Male,,64503,Ahūšunu,Bēl-abu-uṣur,-,Male,,22458,"highly probable","BM 30982",,"Dar 235","Egibi Nūr-Sîn","Legal document","28.V.08 Dar I",514,Babylon,,-,-,http://www.achemenet.com/en/item/?/textual-sources/texts-by-publication/Strassmaier_Darius/1657264,,https://www.britishmuseum.org/collection/object/W_1876-1117-709,7636,"witness, regular (mukinnu)",-,"TypeLegal documentSubtypepromissory note, with pledge and interest"
Ahūšunu,Nabû-bēl-ilāni,[...],Male,,59061,Ahūšunu,Nabû-bēl-ilāni,[...],Male,,20617,"highly probable","BM 25637",,"No publication","Ibnāya B-C-D","Legal document","06+[x].XIIb.[-] [-]",-,Broken/Unclear,,-,-,-,-,https://www.britishmuseum.org/collection/object/W_1898-0216-691,6980,"witness, regular (mukinnu)",-,"TypeLegal documentSubtypepromissory note, with pledge and interest"
Amat-Ninlil,Balāṭu,Egibi,Female,Land,2114,Amat-Ninlil,Balāṭu,Egibi,Female,,11,"highly probable","BM 77581",,"Baker 2004, no. 17",Nappāhu,"Legal document","26.[-].19 Dar I",503/502,Babylon,,https://cdli.ucla.edu/P512035,https://nabucco.arts.kuleuven.be/item/21907,-,-,https://www.britishmuseum.org/collection/object/W_1884-0211-322,276,debtor,-,"TypeLegal documentSubtypepromissory note, with pledge and interest"
Amat-Ninlil,Šulāya,Pahāru,Female,,54927,Amat-Ninlil,Šulāya,Pahāru,Female,,18463,"highly probable","VAT 5479",,"VS 4, 50",Atkuppu,"Legal document","28.X.13 Nbn",542,Borsippa,,https://cdli.ucla.edu/P371574,-,-,-,-,6479,creditor,-,"TypeLegal documentSubtypepromissory note, with pledge and interest"
