Name,Patronym,"Family name",Gender,Owns,"Attestation ID",ind.Name,ind.Patronym,"ind.Family name",ind.Gender,Biography,PID,Probability,"Museum no.",Duplicate,Publication,Archive,Type,Date,"Julian date","Place of writing",Has,"Cdli URL","Nabucco URL","Achemenet URL","Oracc URL","British Museum URL","Tablet ID",Role,Title,"Type and objects"
Abdā,Anu-ēṭir,,Male,Land,44002,-,-,-,-,-,-,"less probable","CBS 5299",,"BE 9, 104",Murašû,"Legal document","17.VII.41 Art I",424,Nippur,,https://cdli.ucla.edu/P261493,,http://www.achemenet.com/fr/item/?/sources-textuelles/textes-par-langues-et-ecritures/babylonien/archives-murasu/2045122,,,5072,debtor,-,"TypeLegal documentSubtypepromissory note, with pledge and without interest"
Abdī,Ariššu,,Male,,63051,Abdī,Ariššu,-,Male,,22186,"highly probable","BM 31061",,"Dar 474","Egibi Nūr-Sîn","Legal document","12.XII.18 Dar I",503,Babylon,,-,https://nabucco.arts.kuleuven.be/item/29593,http://www.achemenet.com/en/item/?/textual-sources/texts-by-languages-and-scripts/babylonian/egibi-archive/1662715,,https://www.britishmuseum.org/collection/object/W_1876-1117-788,7457,"witness, regular (mukinnu)",-,"TypeLegal documentSubtypepromissory note, with pledge and without interest"
Abī-ul-īde,,,Male,Land,46801,-,-,-,-,-,-,"less probable","CBS 5264",,"BE 10, 38",Murašû,"Legal document","09.V.01 Dar II",423,Nippur,"Seals, Fingernails",https://cdli.ucla.edu/P261458,,http://www.achemenet.com/fr/item/?/sources-textuelles/textes-par-langues-et-ecritures/babylonien/archives-murasu/2132667,,,5421,"land owner
passive (mentioned in relation to sb or sth else)",-,"TypeLegal documentSubtypepromissory note, with pledge and without interest"
Ahhē-iddin,Bulluṭu,,Male,,27253,-,-,-,-,-,-,"less probable","CBS 5444",,"BE 9, 17a",Murašû,"Legal document","18.[-].29 Art I",436/435,Nippur,,https://cdli.ucla.edu/P261638,,http://www.achemenet.com/fr/item/?/sources-textuelles/textes-par-langues-et-ecritures/babylonien/archives-murasu/2042855,,,3229,"witness, regular (mukinnu)",-,"TypeLegal documentSubtypepromissory note, with pledge and without interest"
Ahhē-iddin-Marduk,Nabû-mušētiq-uddi,Arrabtu,Male,,56428,Ahhē-iddin-Marduk,Nabû-mušētiq-uddi,Arrabtu,Male,,19441,"highly probable","BM 30801",,"Wunsch 2000b, no. 165","Egibi Nūr-Sîn","Legal document","11.IV.12 Nbn",544,Babylon,,-,https://nabucco.arts.kuleuven.be/item/28651,http://www.achemenet.com/en/item/?/textual-sources/texts-by-publication/Wunsch_CM_20/1328686,-,https://www.britishmuseum.org/collection/object/W_1876-1117-528,6660,"witness, regular (mukinnu)",-,"TypeLegal documentSubtypepromissory note, with pledge and without interest"
Ahhū,Nabû-kāṣir,,Male,Land,47409,-,-,-,-,-,-,"less probable","CBS 5278",,"BE 10, 51",Murašû,"Legal document","15.VII.01 Dar II",423,Nippur,Seals,https://cdli.ucla.edu/P261472,,http://www.achemenet.com/fr/item/?/sources-textuelles/textes-par-langues-et-ecritures/babylonien/archives-murasu/2132836,,,5496,"debtor
land owner",-,"TypeLegal documentSubtypepromissory note, with pledge and without interest"
Ahhū,Zimakī,,Male,,46792,-,-,-,-,-,-,"less probable","CBS 5375",,"BE 10, 37",Murašû,"Legal document","02.V.01 Dar II",423,Nippur,Seals,https://cdli.ucla.edu/P261569,,http://www.achemenet.com/fr/item/?/sources-textuelles/textes-par-langues-et-ecritures/babylonien/archives-murasu/2132654,,,5420,"witness, regular (mukinnu)",-,"TypeLegal documentSubtypepromissory note, with pledge and without interest"
Ahu-iddin,Enlil-uballiṭ,,Male,,27337,-,-,-,-,-,-,"less probable","CBS 5337",,"BE 9, 19",Murašû,"Legal document","28.VI.30 Art I",435,Nippur,Fingernails,https://cdli.ucla.edu/P261531,,http://www.achemenet.com/fr/item/?/sources-textuelles/textes-par-langues-et-ecritures/babylonien/archives-murasu/2042902,,,3235,"witness, regular (mukinnu)",-,"TypeLegal documentSubtypepromissory note, with pledge and without interest"
Ahu-iddin,Iddin-Enlil,,Male,,43082,-,-,-,-,-,-,"less probable","CBS 5431",,"BE 9, 94",Murašû,"Legal document","20.VI.41 Art I",424,Nippur,"Seals, Fingernails",https://cdli.ucla.edu/P261625,,http://www.achemenet.com/fr/item/?/sources-textuelles/textes-par-langues-et-ecritures/babylonien/archives-murasu/2044858,,,4961,"witness, regular (mukinnu)",-,"TypeLegal documentSubtypepromissory note, with pledge and without interest"
Ahu-iddin,Iddin-Enlil,,Male,,43208,-,-,-,-,-,-,"less probable","CBS 5317",,"BE 9, 95",Murašû,"Legal document","24.VI.41 Art I",424,Nippur,"Seals, Fingernails",https://cdli.ucla.edu/P261511,,http://www.achemenet.com/fr/item/?/sources-textuelles/textes-par-langues-et-ecritures/babylonien/archives-murasu/2044906,,,4976,"witness, regular (mukinnu)",-,"TypeLegal documentSubtypepromissory note, with pledge and without interest"
Ahu-iddin,Iddināya,,Male,Land,47354,-,-,-,-,-,-,"less probable","CBS 5350",,"BE 10, 48",Murašû,"Legal document","06.III.01 Dar II",423,Nippur,"Seals, Fingernails",https://cdli.ucla.edu/P261544,,http://www.achemenet.com/fr/item/?/sources-textuelles/textes-par-langues-et-ecritures/babylonien/archives-murasu/2132797,,,5493,"debtor
land owner
leaves fingernail marking(s)","ša haṭru ša šušānē ša bīt hammatāya","TypeLegal documentSubtypepromissory note, with pledge and without interest"
