Name,Patronym,"Family name",Gender,Owns,"Attestation ID",ind.Name,ind.Patronym,"ind.Family name",ind.Gender,Biography,PID,Probability,"Museum no.",Duplicate,Publication,Archive,Type,Date,"Julian date","Place of writing",Has,"Cdli URL","Nabucco URL","Achemenet URL","Oracc URL","British Museum URL","Tablet ID",Role,Title,"Type and objects"
Ab-abi,Atikāma,,Male,,12287,Ab-abi,Atikāma,-,Male,,16362,"highly probable","MNB 1130",,"Abraham 2004, no. 141","Egibi Nūr-Sîn","Legal document","10.XIIb.16 Dar I",505,Susa,"Seals, Epigraphs",https://cdli.ucla.edu/P387258,https://nabucco.arts.kuleuven.be/item/31282,-,-,-,1481,"witness, regular (mukinnu)",dayyānu,"TypeLegal documentSubtypepromissory note, with pledge"
Adad-rēmanni,Rīhû,,Male,,37891,Adad-rēmanni,Rīhû,-,Male,,11201,"highly probable","BM 77386",,"Kohler and Peiser 1891, pp. 35f.","Ea-eppēš-ilī C (Babylon)","Legal document","06.IX.10 Dar I",512,Babylon,,,-,-,-,https://www.britishmuseum.org/collection/object/W_1884-0211-122,4402,"witness, regular (mukinnu)",-,"TypeLegal documentSubtypepromissory note, with pledge"
Adad-uballiṭ,Nabû-šumu-iddin,,Male,,49370,Adad-uballiṭ,Nabû-šumu-iddin,-,Male,,15569,"highly probable","BM 31212",,"Wunsch 1993b, no. 229","Egibi Nūr-Sîn","Legal document","26.IX.14 Nbn",542,Babylon,,-,https://nabucco.arts.kuleuven.be/item/31261,-,-,https://www.britishmuseum.org/collection/object/W_1876-1117-939,5748,"witness, regular (mukinnu)",-,"TypeLegal documentSubtypepromissory note, with pledge"
Ah-immê,Barik-il,,Male,Field,2906,-,-,-,-,-,-,"less probable","CBS 12873",,"Stolper 1985, no. 63",Murašû,"Legal document","17.VIII.29 Art I",436,Nippur,Epigraphs,https://cdli.ucla.edu/P267474,,http://www.achemenet.com/fr/item/?/sources-textuelles/textes-par-langues-et-ecritures/babylonien/archives-murasu/3490748,,,380,debtor,-,"TypeLegal documentSubtypepromissory note, with pledge"
Ahāssunu,,,Female,,12263,Ahāssunu,-,-,Female,,13517,"highly probable","MNB 1130",,"Abraham 2004, no. 141","Egibi Nūr-Sîn","Legal document","10.XIIb.16 Dar I",505,Susa,"Seals, Epigraphs",https://cdli.ucla.edu/P387258,https://nabucco.arts.kuleuven.be/item/31282,-,-,-,1481,pledge,"amīlūtu
nišū bīti","TypeLegal documentSubtypepromissory note, with pledge"
Ahhē-iddin,Bēl-ahhē-erība,,Male,,61072,Ahhē-iddin,Bēl-ahhē-erība,-,Male,,23064,"highly probable","BM 30258",,"Nbn 526","Egibi Nūr-Sîn","Legal document","15.V.11 Nbn",545,Babylon,,-,https://nabucco.arts.kuleuven.be/item/31486,-,-,https://www.britishmuseum.org/collection/object/W_1876-1016-8,7221,"witness, regular (mukinnu)",-,"TypeLegal documentSubtypepromissory note, with pledge"
Ahu-ēreš,Barik-il,,Male,,12347,Ahu-ēreš,Barik-il,-,Male,,15694,"highly probable","MNB 1130",,"Abraham 2004, no. 141","Egibi Nūr-Sîn","Legal document","10.XIIb.16 Dar I",505,Susa,"Seals, Epigraphs",https://cdli.ucla.edu/P387258,https://nabucco.arts.kuleuven.be/item/31282,-,-,-,1481,"sealer of the tablet",dayyānu,"TypeLegal documentSubtypepromissory note, with pledge"
Ahu-ittabši,Lā-qīpu,,Male,,38266,Ahu-ittabši,Lā-qīpu,-,Male,,9025,"highly probable","BM 33071",,"Wunsch 1993b, no. 140","Egibi Nūr-Sîn","Legal document","24.III.07 Nbn",549,Bīt-Ṭāb-Bēl,,-,https://nabucco.arts.kuleuven.be/item/31801,-,-,https://www.britishmuseum.org/collection/object/W_1878-1130-1,4444,creditor,-,"TypeLegal documentSubtypepromissory note, with pledge"
Ahūšunu,,,Male,,12257,Ahūšunu,-,-,Male,,20143,"highly probable","MNB 1130",,"Abraham 2004, no. 141","Egibi Nūr-Sîn","Legal document","10.XIIb.16 Dar I",505,Susa,"Seals, Epigraphs",https://cdli.ucla.edu/P387258,https://nabucco.arts.kuleuven.be/item/31282,-,-,-,1481,pledge,"amīlūtu
nišū bīti","TypeLegal documentSubtypepromissory note, with pledge"
Ahūšunu,Ardia,Sîn-tabni,Male,,54347,Ahūšunu,Ardia,Sîn-tabni,Male,,18223,"highly probable","BM 102034",,unpublished,"Rē’i-alpi (Borsippa)","Legal document","07.II.02 Xer I",484,Borsippa,,,-,-,-,https://www.britishmuseum.org/collection/object/W_1905-1113-59,6413,debtor,-,"TypeLegal documentSubtypepromissory note, with pledge"
Amat-Ninlil,,,Female,,60258,Amat-Ninlil,-,-,Female,,27040,"highly probable","BM 30262",,"Wunsch 1997-1998, no. 11","Egibi Nūr-Sîn","Legal document","22.XII.08 Nbn",547,Babylon,,-,-,-,-,https://www.britishmuseum.org/collection/object/W_1876-1016-12,7129,pledge,"nišū bīti","TypeLegal documentSubtypepromissory note, with pledge"
Amtia,,,Female,Slave,50032,Amtia,-,-,Female,,27097,"highly probable","BM 33946",,"Wunsch 1993b, no. 258","Egibi Nūr-Sîn","Legal document","[-].X.[-] Nbn",555-539,Babylon,,-,https://nabucco.arts.kuleuven.be/item/28777,-,-,https://www.britishmuseum.org/collection/object/W_SP-42,5830,debtor,-,"TypeLegal documentSubtypepromissory note, with pledge"
