Name,Patronym,"Family name",Gender,Owns,"Attestation ID",ind.Name,ind.Patronym,"ind.Family name",ind.Gender,Biography,PID,Probability,"Museum no.",Duplicate,Publication,Archive,Type,Date,"Julian date","Place of writing",Has,"Cdli URL","Nabucco URL","Achemenet URL","Oracc URL","British Museum URL","Tablet ID",Role,Title,"Type and objects"
Abdi-Iššar,Nādinu,,Male,,60754,Abdi-Iššar,Nādinu,-,Male,,21228,"highly probable","BM 74576",,"Pirngruber 2020, no. 17",Iššar-tarībi,"Legal document","[-].V.20 Dar I",502,Sippar,,,-,-,-,https://www.britishmuseum.org/collection/object/W_1882-0918-A-299,7185,"witness, regular (mukinnu)",-,"TypeLegal documentSubtypepromissory note, without interest"
Ahhēa,,,Male,Slave,42136,Ahhēa,-,-,Male,,17436,"highly probable","VAT 3039",,"San Nicolò and Ungnad 1929-1935, no. 231","Sîn-ilī (Babylon)","Legal document","22.[-].26 Nbk II",579/578,Ālu-ša-Bēl-ileˀi,,-,-,-,-,-,4864,"master (of a slave)",-,"TypeLegal documentSubtypepromissory note, without interest"
Ahhūtu,Rahiānu,,Male,,29845,Ahhūtu,Rahiānu,-,Male,,8839,"highly probable","MNB 1137",,"Wunsch 1993b, no. 91","Egibi Nūr-Sîn","Legal document","06.I.01 Nbn",555,Šahrīn,,https://cdli.ucla.edu/P387137,https://nabucco.arts.kuleuven.be/item/31099,-,-,-,3472,debtor,-,"TypeLegal documentSubtypepromissory note, without interest"
Ahūšunu,Nabû-uballiṭ,Basia,Male,,63143,Ahūšunu,Nabû-uballiṭ,Basia,Male,,21338,"highly probable","BM 30671","BM 31732","Dar 501","Egibi Nūr-Sîn","Legal document","18.IV.20 Dar I",502,Babylon,,-,https://nabucco.arts.kuleuven.be/item/32572,http://www.achemenet.com/fr/item/?/1087349=BM%2030671&l=a&c=1&t=1.4/1/24/1/1663318,,https://www.britishmuseum.org/collection/object/W_1876-1117-398,7465,"scribe (ṭupšarru)",-,"TypeLegal documentSubtypepromissory note, without interest"
Ahūšunu,Ninurta-ahu-ēreš,,Male,,36643,Ahūšunu,Ninurta-ahu-ēreš,-,Male,,8836,"highly probable","BM 30635",,"Wunsch 1993b, no. 126","Egibi Nūr-Sîn","Legal document","09.III.04 Nbn",552,Šahrīn,,-,https://nabucco.arts.kuleuven.be/item/30547,-,-,https://www.britishmuseum.org/collection/object/W_1876-1117-362,4276,"witness, regular (mukinnu)",-,"TypeLegal documentSubtypepromissory note, without interest"
Alākšu-lūmur,,,Female,,45639,Alākšu-lūmur,-,-,Female,,20144,"highly probable","Ash. 1884.638","BM 31942","Wunsch 1993b, no. 154A","Egibi Nūr-Sîn","Legal document","14.VI.08 Nbn",548,Babylon,,https://cdli.ucla.edu/P385115,https://digitalpasts.github.io/nabucco/items/31666,-,-,-,5263,pledge,-,"TypeLegal documentSubtypepromissory note, without interest"
Amat-Ninlil,Zēr-Bābili,Pahāru,Female,,49841,Amat-Ninlil,Zēr-Bābili,Pahāru,Male,,15321,"highly probable","MNB 1818",,"Wunsch 1993b, no. 250","Egibi Nūr-Sîn","Legal document","01.III.17 Nbn",539,Šahrīn,,https://cdli.ucla.edu/P387183,https://nabucco.arts.kuleuven.be/item/30961,-,-,-,5807,debtor,-,"TypeLegal documentSubtypepromissory note, without interest"
Anonymous,,,Male,Slave,44691,Anonymous,-,-,Male,,17438,"highly probable","VAT 3032",,"San Nicolò and Ungnad 1929-1935, no. 239","Sîn-ilī (Babylon)","Legal document","23.XIIb.42 Nbk II",562,Bānītāya,,-,-,-,-,-,5128,"master (of a slave)",zazakku,"TypeLegal documentSubtypepromissory note, without interest"
"Anonymous group",,,Male,,5448,-,-,-,-,-,-,"less probable","BM 64208",,"Waerzeggers 2014, no. 128","Ṣāhit-ginê A","Legal document","[-].[-].25 Dar I",497/496,Babylon,,-,https://nabucco.arts.kuleuven.be/item/27775,-,-,https://www.britishmuseum.org/collection/object/W_1882-0918-4183,719,broken/unclear,dayyānu,"TypeLegal documentSubtypepromissory note, without interest"
"Anonymous group",,,Male,Land,67705,-,-,-,-,-,-,"less probable","BM 102286",,Unpublished,"Ilia A+B","Legal document","10.X.27 Nbk II",577,Borsippa,,,-,-,-,https://www.britishmuseum.org/collection/object/W_1906-0512-207,7944,unclear,-,"TypeLegal documentSubtypepromissory note, without interest"
