Name,Patronym,"Family name",Gender,Owns,"Attestation ID",ind.Name,ind.Patronym,"ind.Family name",ind.Gender,Biography,PID,Probability,"Museum no.",Duplicate,Publication,Archive,Type,Date,"Julian date","Place of writing",Has,"Cdli URL","Nabucco URL","Achemenet URL","Oracc URL","British Museum URL","Tablet ID",Role,Title,"Type and objects"
-,-,-,-,,-,-,-,-,-,-,-,"less probable","VAT 5014",,"VS 6, 64","Rē’i-alpi (Borsippa)","Legal document","14.V.01 Nbn",555,Borsippa,,,,,,,4381,-,-,"TypeLegal documentSubtypepromissory note"
,,,Male,,50878,-,-,-,-,-,-,"less probable","BM 94852",,unpublished,"Ilia A+B","Legal document","05.[-].[-] [-]",-,Broken/Unclear,,-,-,-,-,https://www.britishmuseum.org/collection/object/W_1901-1012-505,5858,"king in date","šar Bābili","TypeLegal documentSubtypepromissory note"
,,Gallābu,Male,,30511,-,-,Gallābu,Male,,13254,"highly probable","YBC 9158",,unpublished,"Ea-ilūtu-bāni, Ilī-bāni, Nanāhu","Legal document","28.V.32 Nbk II",573,Borsippa,,https://cdli.ucla.edu/P309880,https://nabucco.arts.kuleuven.be/item/25555,,,,2788,eponym,-,"TypeLegal documentSubtypepromissory note"
,,Ilūtu-bāni,Male,,3870,-,-,Ilūtu-bāni,Male,,13257,"highly probable","HS 597",,"Joannès 1989, p. 210","Ea-ilūtu-bāni, Ilī-bāni, Nanāhu","Legal document","03.VIb.41 Nbk II",564,"Hallatu (2, Borsippa)",,,https://nabucco.arts.kuleuven.be/item/25471,,,,499,eponym,-,"TypeLegal documentSubtypepromissory note"
,,Ilūtu-bāni,Male,,7178,-,-,Ilūtu-bāni,Male,,13257,"highly probable","AO 10248",,"Joannès 1989, p. 318","Ea-ilūtu-bāni, Ilī-bāni, Nanāhu","Legal document","11.I.12 Dar I",510,Hadirānu-ša-Nabû,,https://cdli.ucla.edu/P387254,https://digitalpasts.github.io/nabucco/items/24970,,,,938,eponym,-,"TypeLegal documentSubtypepromissory note"
,,Sūhāya,Male,,4049,-,-,Sūhāya,Unclear,,13502,"highly probable","HS 601",,"Joannès 1989, pp. 213-214","Ea-ilūtu-bāni, Ilī-bāni, Nanāhu","Legal document","21.VI.01 Nbn",555,Hurat-Sūhāya,,,https://nabucco.arts.kuleuven.be/item/24913,,,,509,eponym,-,"TypeLegal documentSubtypepromissory note"
,,Sūhāya,Male,,47959,-,-,Sūhāya,Unclear,,13502,"highly probable","HS 611",,"Joannès 1989, p. 221","Ea-ilūtu-bāni, Ilī-bāni, Nanāhu","Legal document","13.VI.10 Dar I",512,Borsippa,,,https://nabucco.arts.kuleuven.be/item/25339,,,,541,eponym,-,"TypeLegal documentSubtypepromissory note"
,Nabû-ahu-uṣur,,Male,,50877,-,-,-,-,-,-,"less probable","BM 94852",,unpublished,"Ilia A+B","Legal document","05.[-].[-] [-]",-,Broken/Unclear,,-,-,-,-,https://www.britishmuseum.org/collection/object/W_1901-1012-505,5858,broken/unclear,-,"TypeLegal documentSubtypepromissory note"
Abdā,,,Male,,50331,-,-,-,-,-,-,"less probable","CBS 5246",,"BE 10, 120",Murašû,"Legal document","15.I.07 Dar II",417,Malšam,"Epigraphs, Fingernails",https://cdli.ucla.edu/P261439,,http://www.achemenet.com/fr/item/?/sources-textuelles/textes-par-langues-et-ecritures/babylonien/archives-murasu/2133733,,,5901,representative/agent,-,"TypeLegal documentSubtypepromissory note"
Abdā,,,Male,House,50293,-,-,-,-,-,-,"less probable","CBS 5291",,"BE 10, 119",Murašû,"Legal document","15.I.07 Dar II",417,Malšam,"Epigraphs, Fingernails",https://cdli.ucla.edu/P261485,,http://www.achemenet.com/fr/item/?/sources-textuelles/textes-par-langues-et-ecritures/babylonien/archives-murasu/2133720,,,5890,representative/agent,-,"TypeLegal documentSubtypepromissory note"
Abdī,,,Male,,28408,Abdī,-,-,Male,,11216,"highly probable","AO 20336",,"Joannès 1980, no. 9","Ea-eppēš-ilī B (Babylon)","Legal document","14.II.30 Dar I",492,Ṭābānu,,https://cdli.ucla.edu/P493665,,,,,3358,"neighbour
share-holder",-,"TypeLegal documentSubtypepromissory note"
Abī-ul-īde,Nabû-ittannu,[Šangû]-Ištar-Bābili,Male,,7607,Abī-ul-īde,Nabû-ittannu,Šangû-Ištar-Bābili,Male,,6037,"highly probable","BM 42369(+)","BM 43545+; BM 42593+","Jursa 1999, pp. 163f.","Šangû-Šamaš A","Legal document","[-].[-].[31] [Dar I]",[491/490],Sippar,,-,https://nabucco.arts.kuleuven.be/item/33091,http://www.achemenet.com/fr/item/?/sources-textuelles/textes-par-langues-et-ecritures/babylonien/autres-archives-privees/1327813,-,https://www.britishmuseum.org/collection/object/W_1881-0701-129,972,"witness, regular (mukinnu)",-,"TypeLegal documentSubtypepromissory note"
Adad-ahu-iddin,Adad-[...],,Male,,4966,Adad-ahu-iddin,Adad-[...],-,Male,,6058,"less probable","BM 79260",,"Waerzeggers 2014, no. 114","Ṣāhit-ginê A","Legal document","[-].[-].23 Dar I",499/498,Sippar,,-,https://nabucco.arts.kuleuven.be/item/27844,-,-,https://www.britishmuseum.org/collection/object/W_1889-0426-557,646,"witness, regular (mukinnu)",-,"TypeLegal documentSubtypepromissory note"
Adad-aplu-iddin,Tabnēa,Šangû-Adad,Male,,64364,Adad-aplu-iddin,Tabnēa,Šangû-Adad,Male,,22184,"highly probable","BM 30792",,"Nbk 26","Egibi Nūr-Sîn","Legal document","16.VIII.02 Nbk II",603,Babylon,,-,-,-,-,https://www.britishmuseum.org/collection/object/W_1876-1117-519,7621,"scribe (ṭupšarru)",-,"TypeLegal documentSubtypepromissory note"
Adad-bēl-sihi(h)ti,Būru-šēzib,,Male,,4392,Adad-bēl-sihi(h)ti,Būru-šēzib,-,Male,,6064,"highly probable","BM 56796",,"Waerzeggers 2014, no. 94","Ṣāhit-ginê A","Legal document","26.IX.15+[x]? Dar I","after 507",Sippar,,https://cdli.ucla.edu/P314528,https://nabucco.arts.kuleuven.be/item/27733,-,-,https://www.britishmuseum.org/collection/object/W_1882-0714-1204,558,creditor,-,"TypeLegal documentSubtypepromissory note"
Adad-ibni,Gimillu,,Male,,22645,Adad-ibni,Gimillu,-,Male,,8764,"highly probable","BM 30123",,"Adelhofer 2017, no. 23",Sîn-tabni,"Legal document","28.XII.03 Cyr",535,Uruk,,-,-,-,-,https://www.britishmuseum.org/collection/object/W_1825-0503-115,2722,"witness, regular (mukinnu)",-,"TypeLegal documentSubtypepromissory note"
Adad-napištu-uṣur,,,Male,Field,45170,Adad-napištu-uṣur,-,-,Male,,26154,"highly probable","BM 25735",,unpublished,"Ilia A+B","Legal document","[-].[-].01 Cam",529/528,Kār-Nabû,,,-,-,-,https://www.britishmuseum.org/collection/object/W_1898-0216-789,5193,"land owner",-,"TypeLegal documentSubtypepromissory note"
Adad-rapā,Adad-šarru-uṣur,,Male,,4957,Adad-rapā,Adad-šarru-uṣur,-,Male,,6073,"highly probable","BM 79184",,"Waerzeggers 2014, no. 113","Ṣāhit-ginê A","Legal document","13.XII.23 Dar I",498,Sippar,,-,https://nabucco.arts.kuleuven.be/item/27808,-,-,https://www.britishmuseum.org/collection/object/W_1889-0426-481,644,"witness, regular (mukinnu)",-,"TypeLegal documentSubtypepromissory note"
Adad-šarru-uṣur,Iltehr-abi,,Male,,1756,Adad-šarru-uṣur,Iltehr-abi,-,Male,,6076,probable,"BM 56731",,"Waerzeggers 2014, no. 31","Ṣāhit-ginê A","Legal document","08.IX.03 Dar I",519,Sippar,,https://cdli.ucla.edu/P314505,http://nabucco.arts.kuleuven.be/item/28003,-,-,https://www.britishmuseum.org/collection/object/W_1882-0714-1139,229,"witness, regular (mukinnu)",-,"TypeLegal documentSubtypepromissory note"
Adad-šarru-uṣur,Iltehr-abi,,Male,,1765,Adad-šarru-uṣur,Iltehr-abi,-,Male,,6076,probable,"BM 92734",,"Waerzeggers 2014, no. 32","Ṣāhit-ginê A","Legal document","18.X.03 Dar I",518,Sippar,Epigraphs,-,http://nabucco.arts.kuleuven.be/item/28036,-,-,https://www.britishmuseum.org/collection/object/W_1882-0918-A-335,230,"witness, regular (mukinnu)",-,"TypeLegal documentSubtypepromissory note"
Adad-šarru-uṣur,[Kalbāya],,Male,,7731,Adad-šarru-uṣur,Kalbāya,-,Male,,6040,"highly probable","BM 42383","VAT 22; VAT 33+; BM 42449; BM 42451+; Unknown (81-7-1, F 234)","Jursa 1999, pp. 168f.","Šangû-Šamaš A","Legal document","[07].[V].[26]? [Dar I]",[496],Babylon,,-,https://nabucco.arts.kuleuven.be/item/32764,http://www.achemenet.com/fr/item/?/sources-textuelles/textes-par-langues-et-ecritures/babylonien/autres-archives-privees/1327834,-,https://www.britishmuseum.org/collection/object/W_1881-0701-143,977,"witness, regular (mukinnu)",-,"TypeLegal documentSubtypepromissory note"
Adad-šēzib,Iddin-Nabû,,Male,,48843,Adad-šēzib,Iddin-Nabû,-,Male,,17818,"highly probable","BM 64535",,"Stolper 1992, pp. 214-217",Mardonios,"Legal document","20.III.08 Xer I",478,Babylon,,,-,-,-,https://www.britishmuseum.org/collection/object/W_1882-0918-4515,5685,"witness, regular (mukinnu)",-,"TypeLegal documentSubtypepromissory note"
Adad-šumu-ēreš,Nūrea,Šumu-libši,Male,,66309,Adad-šumu-ēreš,Nūrea,Šumu-libši,Male,,19329,"highly probable","MLC 1769",,"BRM 1, 67","Egibi Nūr-Sîn","Legal document","16.IV.06 Cam",524,Babylon,,https://cdli.ucla.edu/P296439,-,-,-,-,7846,"witness, regular (mukinnu)",-,"TypeLegal documentSubtypepromissory note"
