Name,Patronym,"Family name",Gender,Owns,"Attestation ID",ind.Name,ind.Patronym,"ind.Family name",ind.Gender,Biography,PID,Probability,"Museum no.",Duplicate,Publication,Archive,Type,Date,"Julian date","Place of writing",Has,"Cdli URL","Nabucco URL","Achemenet URL","Oracc URL","British Museum URL","Tablet ID",Role,Title,"Type and objects"
Ahu-[...],Sîn-[...],,Male,House,43747,Ahu-[...],Sîn-[...],-,Male,,16195,"highly probable","UM 52-30-005",,"UET 4, 6",Sîn-uballiṭ,"Legal document","08.IV.12 Npl",614,Dūr-Šūqīti,,https://cdli.ucla.edu/P414702,-,-,,,5043,neighbour,-,"TypeLegal documentSubtypepurchase by proxy"
Amat-Ningal,Nabû-šumu-uṣur,Rē’i-alpi,Female,,37396,Amat-Ningal,Nabû-šumu-uṣur,Rē’i-alpi,Female,,18237,"highly probable","BM 25627",,unpublished,"Rē’i-alpi (Borsippa)","Legal document","11.VI.00 Nbn",556,Borsippa,,,-,-,-,https://www.britishmuseum.org/collection/object/W_1898-0216-681,4351,seller,-,"TypeLegal documentSubtypepurchase by proxy"
Ambā,Kīnāya,,Male,,57018,Ambā,Kīnāya,-,Male,,19331,"highly probable","BM 41433",,"Wunsch 2000b, no. 221","Egibi Nūr-Sîn","Legal document","24.I.18 Dar I",504,Babylon,,-,https://nabucco.arts.kuleuven.be/item/29512,http://www.achemenet.com/en/item/?/textual-sources/texts-by-publication/Wunsch_CM_20/1328851,,https://www.britishmuseum.org/collection/object/W_1881-0625-44,6725,"witness, regular (mukinnu)",-,"TypeLegal documentSubtypepurchase by proxy"
Amurru-šarrani,Bēlšunu,Šumu-libši,Male,,63267,Amurru-šarrani,Bēlšunu,Šumu-libši,Male,,21339,"highly probable","BM 30520",,"Nbn 59","Egibi Nūr-Sîn","Legal document","04.II.02 Nbn",554,Babylon,,-,-,-,,https://www.britishmuseum.org/collection/object/W_1876-1117-247,7480,"witness, regular (mukinnu)",-,"TypeLegal documentSubtypepurchase by proxy"
Anonymous,,,Male,,58756,-,-,-,-,-,-,"less probable","MMA 79.7.11",,"CTMMA 3, no. 48","Egibi Nūr-Sîn","Legal document","19.XII.02 Nbn",553,Babylon,,https://cdli.ucla.edu/P412326,https://nabucco.arts.kuleuven.be/item/29668,-,-,-,6943,"object of transaction",-,"TypeLegal documentSubtypepurchase by proxy"
Aplāya,Nabû-šumu-iddin,,Male,House,43741,Aplāya,Nabû-šumu-iddin,-,Male,,16247,"highly probable","UM 52-30-005",,"UET 4, 6",Sîn-uballiṭ,"Legal document","08.IV.12 Npl",614,Dūr-Šūqīti,,https://cdli.ucla.edu/P414702,-,-,,,5043,neighbour,-,"TypeLegal documentSubtypepurchase by proxy"
Arad-Bābu,Mušēzib-Marduk,Ašlāku,Male,"Field, Garden, Land",57007,Arad-Bābu,Mušēzib-Marduk,Ašlāku,Male,,2698,"highly probable","BM 41433",,"Wunsch 2000b, no. 221","Egibi Nūr-Sîn","Legal document","24.I.18 Dar I",504,Babylon,,-,https://nabucco.arts.kuleuven.be/item/29512,http://www.achemenet.com/en/item/?/textual-sources/texts-by-publication/Wunsch_CM_20/1328851,,https://www.britishmuseum.org/collection/object/W_1881-0625-44,6725,"buyer
representative/agent
scribe (ṭupšarru)",-,"TypeLegal documentSubtypepurchase by proxy"
Arad-Marduk,Etellu,Nabû-bullissu,Male,,60482,Arad-Marduk,Etellu,Nabû-bullissu,Male,,28377,"highly probable","BM 30499",,"Nbn 367","Egibi Nūr-Sîn","Legal document","05.IX.09 Nbn",547,Babylon,,-,https://nabucco.arts.kuleuven.be/item/28774,-,,https://www.britishmuseum.org/collection/object/W_1876-1117-226,7153,"witness, regular (mukinnu)",-,"TypeLegal documentSubtypepurchase by proxy"
Ardia,Dādia,Nabāya,Male,,65052,Ardia,Dādia,Nabāya,Male,,7,"highly probable","BM 33113",,"Bertin 2244","Egibi Nūr-Sîn","Legal document","15.IV.[12] Dar I",[510],Babylon,,https://cdli.ucla.edu/P405049,-,-,-,https://www.britishmuseum.org/collection/object/W_1879-0730-14,7685,"witness, regular (mukinnu)",-,"TypeLegal documentSubtypepurchase by proxy"
Bānûnu,Ṣillāya,[Rab-banê],Male,"Garden, Land",54000,Nergal-bānûnu,Ṣillāya,Rab-banê,Male,,22190,probable,"BM 31872+",,"Wunsch 2000b, no. 35","Egibi Nūr-Sîn","Legal document","14.XIIb.03 Nbn",552,Babylon,,-,https://nabucco.arts.kuleuven.be/item/30091,http://www.achemenet.com/en/item/?/textual-sources/texts-by-publication/Wunsch_CM_20/1328302,-,https://www.britishmuseum.org/collection/object/W_1876-1117-1599,6344,"buyer
represented by agent",-,"TypeLegal documentSubtypepurchase by proxy"
Bēl-ahhē-erība,Bēl-ušēzib,Dābibī,Male,Slave,61051,Bēl-ahhē-erība,Bēl-ušēzib,Dābibī,Male,,20963,"highly probable","BM 31589",,"Wunsch 1997-1998, no. 9","Egibi Nūr-Sîn","Legal document","[-].[-].[11]? [Nbn]",[545/544],Broken/Unclear,,-,-,-,-,https://www.britishmuseum.org/collection/object/W_1876-1117-1316,7219,seller,-,"TypeLegal documentSubtypepurchase by proxy"
Bēl-ibni,Nabû-ēreš,Nabû-mukīn-apli,Male,Garden,46594,Bēl-ibni,Nabû-ēreš,Nabû-mukīn-apli,Male,"Possibly the same person as Bibānu/-/-.",22693,"highly probable","BM 94662",,unpublished,"Rē’i-alpi (Borsippa)","Legal document","12.VI.04 Dar I",518,Borsippa,,-,-,-,-,https://www.britishmuseum.org/collection/object/W_1901-1012-315,5402,seller,-,"TypeLegal documentSubtypepurchase by proxy"
Bēl-iddin,Balāṭu,Atkuppu,Male,,46548,Bēl-iddin,Balāṭu,Atkuppu,Male,,25017,"highly probable","BM 26610",,unpublished,"Rē’i-alpi (Borsippa)","Legal document","10.VI.04 Dar I",518,Borsippa,,,-,-,-,https://www.britishmuseum.org/collection/object/W_1898-0514-428,5395,"witness, regular (mukinnu)",-,"TypeLegal documentSubtypepurchase by proxy"
Bēl-iddin,Bānia,Arrabtu,Male,,61055,Bēl-iddin,Bānia,Arrabu,Male,,20210,"highly probable","BM 31589",,"Wunsch 1997-1998, no. 9","Egibi Nūr-Sîn","Legal document","[-].[-].[11]? [Nbn]",[545/544],Broken/Unclear,,-,-,-,-,https://www.britishmuseum.org/collection/object/W_1876-1117-1316,7219,"witness, regular (mukinnu)",-,"TypeLegal documentSubtypepurchase by proxy"
Bēl-iddin,Iddin-Nabû,Gahal,Male,,46598,Bēl-iddin,Iddin-Nabû,Gahal,Male,,25460,"highly probable","BM 94662",,unpublished,"Rē’i-alpi (Borsippa)","Legal document","12.VI.04 Dar I",518,Borsippa,,-,-,-,-,https://www.britishmuseum.org/collection/object/W_1901-1012-315,5402,"witness, regular (mukinnu)",-,"TypeLegal documentSubtypepurchase by proxy"
Bēl-iddin,Šulāya,Nabû-unnâ,Male,,63266,Bēl-iddin,Šulāya,Nabû-unnâ,Male,,22297,"highly probable","BM 30520",,"Nbn 59","Egibi Nūr-Sîn","Legal document","04.II.02 Nbn",554,Babylon,,-,-,-,,https://www.britishmuseum.org/collection/object/W_1876-1117-247,7480,"witness, regular (mukinnu)",-,"TypeLegal documentSubtypepurchase by proxy"
Bēl-iqīša,Nergal-ušallim,Sîn-karābī-išme,Male,,59850,Bēl-iqīša,Nergal-ušallim,Sîn-karābī-išme,Male,,19198,"highly probable","BM 31164",,"Nbn 244","Egibi Nūr-Sîn","Legal document","14.XIIb.06 Nbn",549,Babylon,,-,-,-,-,https://www.britishmuseum.org/collection/object/W_1876-1117-891,7078,"scribe (ṭupšarru)",-,"TypeLegal documentSubtypepurchase by proxy"
Bēl-kāṣir,Bēl-rēmanni,Bābūtu,Male,,58764,Bēl-kāṣir,Bēl-rēmanni,Bābūtu,Male,,18982,"highly probable","MMA 79.7.11",,"CTMMA 3, no. 48","Egibi Nūr-Sîn","Legal document","19.XII.02 Nbn",553,Babylon,,https://cdli.ucla.edu/P412326,https://nabucco.arts.kuleuven.be/item/29668,-,-,-,6943,"scribe (ṭupšarru)",-,"TypeLegal documentSubtypepurchase by proxy"
Bēl-kēšir,Kudurru,Ea-ibni,Male,,37408,Bēl-kēšir,Kudurru,Ea-ibni,Male,,26254,"highly probable","BM 25627",,unpublished,"Rē’i-alpi (Borsippa)","Legal document","11.VI.00 Nbn",556,Borsippa,,,-,-,-,https://www.britishmuseum.org/collection/object/W_1898-0216-681,4351,"witness, regular (mukinnu)",-,"TypeLegal documentSubtypepurchase by proxy"
Bēl-rēmanni,Marduk-mukīn-apli,Sîn-damāqu,Male,,61052,Bēl-rēmanni,Marduk-mukīn-apli,Sîn-udammiq,Male,,15330,"highly probable","BM 31589",,"Wunsch 1997-1998, no. 9","Egibi Nūr-Sîn","Legal document","[-].[-].[11]? [Nbn]",[545/544],Broken/Unclear,,-,-,-,-,https://www.britishmuseum.org/collection/object/W_1876-1117-1316,7219,"representative/agent
scribe (ṭupšarru)",-,"TypeLegal documentSubtypepurchase by proxy"
Bēl-uballiṭ,Balāṭu,Atkuppu,Male,,45823,Bēl-uballiṭ,Balāṭu,Atkuppu,Male,,22692,"highly probable","BM 82619",,unpublished,"Rē’i-alpi (Borsippa)","Legal document","10.I.04 Dar I",518,Borsippa,,,-,-,-,https://www.britishmuseum.org/collection/object/W_1894-0611-13,5290,"proxy
representative/agent",-,"TypeLegal documentSubtypepurchase by proxy"
Bēl-uballiṭ,Balāṭu,Atkuppu,Male,"Field, Garden",46543,Bēl-uballiṭ,Balāṭu,Atkuppu,Male,,22692,"highly probable","BM 26610",,unpublished,"Rē’i-alpi (Borsippa)","Legal document","10.VI.04 Dar I",518,Borsippa,,,-,-,-,https://www.britishmuseum.org/collection/object/W_1898-0514-428,5395,"proxy
representative/agent",-,"TypeLegal documentSubtypepurchase by proxy"
Bēlšunu,Bēl-ahhē-iddin,Sîn-imittu,Male,,59847,Bēlšunu,Bēl-ahhē-iddin,Sîn-imittu,Male,,19244,"highly probable","BM 31164",,"Nbn 244","Egibi Nūr-Sîn","Legal document","14.XIIb.06 Nbn",549,Babylon,,-,-,-,-,https://www.britishmuseum.org/collection/object/W_1876-1117-891,7078,representative/agent,-,"TypeLegal documentSubtypepurchase by proxy"
Bēlšunu,Bēl-ēṭir,Burāqu,Male,Slave,60479,Bēlšunu,Bēl-ēṭir,Burāqu,Male,,21546,"highly probable","BM 30499",,"Nbn 367","Egibi Nūr-Sîn","Legal document","05.IX.09 Nbn",547,Babylon,,-,https://nabucco.arts.kuleuven.be/item/28774,-,,https://www.britishmuseum.org/collection/object/W_1876-1117-226,7153,"buyer
proxy",-,"TypeLegal documentSubtypepurchase by proxy"
Bunnānu,Nergal-ušēzib,Rab-banê,Male,,54003,Bunnānu,Nergal-ušēzib,Rab-banê,Male,,19502,"highly probable","BM 31872+",,"Wunsch 2000b, no. 35","Egibi Nūr-Sîn","Legal document","14.XIIb.03 Nbn",552,Babylon,,-,https://nabucco.arts.kuleuven.be/item/30091,http://www.achemenet.com/en/item/?/textual-sources/texts-by-publication/Wunsch_CM_20/1328302,-,https://www.britishmuseum.org/collection/object/W_1876-1117-1599,6344,"witness, regular (mukinnu)",-,"TypeLegal documentSubtypepurchase by proxy"
Cambyses,,,Male,,45020,Cambyses,-,-,Male,,16420,"highly probable","BM 82628",,unpublished,"Rē’i-alpi (Borsippa)","Legal document","15.X.06 Cam",523,Borsippa,,-,-,-,-,https://www.britishmuseum.org/collection/object/W_1894-0611-22,5171,"king in date","šar Bābili šar mātāti","TypeLegal documentSubtypepurchase by proxy"
Dādia,Bunnānu,Ibni-Adad,Male,"Garden, Land",45824,Dādia,Bunnānu,Ibni-Adad,Male,,22691,"highly probable","BM 82619",,unpublished,"Rē’i-alpi (Borsippa)","Legal document","10.I.04 Dar I",518,Borsippa,,,-,-,-,https://www.britishmuseum.org/collection/object/W_1894-0611-13,5290,"seller
witness, regular (mukinnu)",-,"TypeLegal documentSubtypepurchase by proxy"
Dādia,Bunnānu,Ibni-Adad,Male,"Field, Garden",46542,Dādia,Bunnānu,Ibni-Adad,Male,,22691,"highly probable","BM 26610",,unpublished,"Rē’i-alpi (Borsippa)","Legal document","10.VI.04 Dar I",518,Borsippa,,,-,-,-,https://www.britishmuseum.org/collection/object/W_1898-0514-428,5395,"seller
witness, regular (mukinnu)",-,"TypeLegal documentSubtypepurchase by proxy"
Darius,,,Male,,45832,Darius,-,-,Male,,16371,"highly probable","BM 82619",,unpublished,"Rē’i-alpi (Borsippa)","Legal document","10.I.04 Dar I",518,Borsippa,,,-,-,-,https://www.britishmuseum.org/collection/object/W_1894-0611-13,5290,"king in date","šar Bābili šar mātāti","TypeLegal documentSubtypepurchase by proxy"
Darius,,,Male,,46541,Darius,-,-,Male,,16371,"highly probable","BM 26610",,unpublished,"Rē’i-alpi (Borsippa)","Legal document","10.VI.04 Dar I",518,Borsippa,,,-,-,-,https://www.britishmuseum.org/collection/object/W_1898-0514-428,5395,"king in date","šar Bābili šar mātāti","TypeLegal documentSubtypepurchase by proxy"
Darius,,,Male,,46600,Darius,-,-,Male,,16371,"highly probable","BM 94662",,unpublished,"Rē’i-alpi (Borsippa)","Legal document","12.VI.04 Dar I",518,Borsippa,,-,-,-,-,https://www.britishmuseum.org/collection/object/W_1901-1012-315,5402,"king in date","šar Bābili šar mātāti","TypeLegal documentSubtypepurchase by proxy"
Darius,,,Male,,57019,Darius,-,-,Male,,16371,"highly probable","BM 41433",,"Wunsch 2000b, no. 221","Egibi Nūr-Sîn","Legal document","24.I.18 Dar I",504,Babylon,,-,https://nabucco.arts.kuleuven.be/item/29512,http://www.achemenet.com/en/item/?/textual-sources/texts-by-publication/Wunsch_CM_20/1328851,,https://www.britishmuseum.org/collection/object/W_1881-0625-44,6725,"king in date","šar Bābili šar mātāti","TypeLegal documentSubtypepurchase by proxy"
Darius,,,Male,,65049,Darius,-,-,Male,,16371,"highly probable","BM 33113",,"Bertin 2244","Egibi Nūr-Sîn","Legal document","15.IV.[12] Dar I",[510],Babylon,,https://cdli.ucla.edu/P405049,-,-,-,https://www.britishmuseum.org/collection/object/W_1879-0730-14,7685,"king in date","šar Bābili šar mātāti","TypeLegal documentSubtypepurchase by proxy"
