Name,Patronym,"Family name",Gender,Owns,"Attestation ID",ind.Name,ind.Patronym,"ind.Family name",ind.Gender,Biography,PID,Probability,"Museum no.",Duplicate,Publication,Archive,Type,Date,"Julian date","Place of writing",Has,"Cdli URL","Nabucco URL","Achemenet URL","Oracc URL","British Museum URL","Tablet ID",Role,Title,"Type and objects"
Abnātu,Nabû-šumu-iddin,Arkât-ilāni,Female,Land,55710,Abnātu,Nabû-šumu-iddin,Arkât-ilāni,Female,,19257,"highly probable",Unknown,,"Wunsch 2000b, no. 116","Egibi Nūr-Sîn","Legal document","16.V.08 Nbn",548,Borsippa,,-,https://nabucco.arts.kuleuven.be/item/28576,http://www.achemenet.com/en/item/?/textual-sources/texts-by-publication/Wunsch_CM_20/1328545,-,-,6572,seller,-,"TypeLegal documentSubtypepurchase-related"
Ahhē-iddin-Marduk,Marduk-šākin-šumi,Ēṭiru,Male,,53155,Ahhē-iddin-Marduk,Marduk-šākin-šumi,Ēṭiru,Male,,21098,"highly probable","BM 33103","BM 32738; BM 41935; BM 42215","Wunsch 2000b, no. 8A","Egibi Nūr-Sîn","Legal document","12.XII.02+[x] Nbn","after 553",Babylon,,-,https://nabucco.arts.kuleuven.be/item/28567,http://www.achemenet.com/en/item/?/textual-sources/texts-by-publication/Wunsch_CM_20/1328221,-,https://www.britishmuseum.org/collection/object/W_1879-0730-4,6263,"plaintiff
recipient",-,"TypeLegal documentSubtypepurchase-related"
Anonymous,,,Male,,63397,-,-,-,-,-,-,"less probable","BM 31140",,"Nbk 103","Egibi Nūr-Sîn","Legal document","13.I.14 Nbk II",591,Babylon,,https://cdli.ucla.edu/P507765,https://nabucco.arts.kuleuven.be/item/30379,-,-,https://www.britishmuseum.org/collection/object/W_1876-1117-867,7499,"object of transaction",qallu,"TypeLegal documentSubtypepurchase-related"
"Anonymous group",,,Male,,58285,-,-,-,-,-,-,"less probable","BM 31110",,"Wunsch 2000b, no. 167","Egibi Nūr-Sîn","Legal document","22.II.09 Cyr",530,Babylon,,https://cdli.ucla.edu/P507669,https://nabucco.arts.kuleuven.be/item/28495,http://www.achemenet.com/en/item/?/textual-sources/texts-by-publication/Wunsch_CM_20/1328692,,https://www.britishmuseum.org/collection/object/W_1876-1117-837,6663,judge,dayyānu,"TypeLegal documentSubtypepurchase-related"
"Anonymous group",,Eppēš-ilī,Male,,54828,"Anonymous Group",-,Eppēš-ilī,Male,,27902,"highly probable","BM 30516",,"Wunsch 2000b, no. 66","Egibi Nūr-Sîn","Legal document","04.II.17 Nbn",539,Babylon,,-,https://nabucco.arts.kuleuven.be/item/30151,http://www.achemenet.com/en/item/?/textual-sources/texts-by-publication/Wunsch_CM_20/1328395,-,https://www.britishmuseum.org/collection/object/W_1876-1117-243,6463,"co-owner
land owner",-,"TypeLegal documentSubtypepurchase-related"
"Anonymous group",Nabû-ahhē-iddin,Egibi,Male,Land,54826,"Anonymous Group",Nabû-ahhē-iddin,Egibi,Male,,25390,"highly probable","BM 30516",,"Wunsch 2000b, no. 66","Egibi Nūr-Sîn","Legal document","04.II.17 Nbn",539,Babylon,,-,https://nabucco.arts.kuleuven.be/item/30151,http://www.achemenet.com/en/item/?/textual-sources/texts-by-publication/Wunsch_CM_20/1328395,-,https://www.britishmuseum.org/collection/object/W_1876-1117-243,6463,"co-owner
land owner",-,"TypeLegal documentSubtypepurchase-related"
Apladdu-natan,Addī,,Male,House,31798,Apladdu-natan,Niqmadū,-,Male,,15594,"highly probable","BM 32871",,"Wunsch 1993b, no. 109","Egibi Nūr-Sîn","Legal document","24.XI.02 Nbn",553,Babylon,Seals,-,https://nabucco.arts.kuleuven.be/item/28843,-,-,https://www.britishmuseum.org/collection/object/W_1877-1002-2,3643,"buyer
represented by agent",-,"TypeLegal documentSubtypepurchase-related"
Apladdu-[abā]ri,Apladdu-natan,,Male,House,50015,Apladdu-abāri,-,-,Male,,18254,"highly probable","BM 31675",,"Wunsch 1993b, no. 256","Egibi Nūr-Sîn","Legal document","22.VII.[-] Nbn",-,Babylon,,-,https://nabucco.arts.kuleuven.be/item/29695,-,-,https://www.britishmuseum.org/collection/object/W_1876-1117-1402,5828,broken/unclear,-,"TypeLegal documentSubtypepurchase-related"
Aplāya,Iqīša-Marduk,Sî[n]-nād[in-šumi],Male,"Field, Garden, Land",53108,Aplāya,Iqīša-Marduk,Sîn-nādin-šumi,Male,,1936,"highly probable","BM 32184",,"Wunsch 2000b, no. 7","Egibi Nūr-Sîn","Legal document","10.IX.02 Ner",558,Broken/Unclear,,-,https://nabucco.arts.kuleuven.be/item/29380,http://www.achemenet.com/en/item/?/textual-sources/texts-by-publication/Wunsch_CM_20/1328218,-,https://www.britishmuseum.org/collection/object/W_1876-1117-1911,6257,"buyer
representative/agent",-,"TypeLegal documentSubtypepurchase-related"
Arad-Bābu,Mušēzib-Marduk,Ašlāku,Male,,62363,Arad-Bābu,Mušēzib-Marduk,Ašlāku,Male,,2698,"highly probable","BM 30637",,"Dar 467","Egibi Nūr-Sîn","Legal document","24.I.18 Dar I",504,Babylon,,https://cdli.ucla.edu/P405016,https://nabucco.arts.kuleuven.be/item/29596,http://www.achemenet.com/en/item/?/textual-sources/texts-by-regions/babylonia/babylon/1662554,-,https://www.britishmuseum.org/collection/object/W_1876-1117-364,7384,"witness, regular (mukinnu)",-,"TypeLegal documentSubtypepurchase-related"
Arad-Nabû,Bēl-ušallim,[Adad]-nāṣir,Male,Land,53394,Arad-Nabû,Bēl-ušallim,Adad-nāṣir,Male,,18516,"highly probable","BM 26392",,"No publication",Atkuppu,"Legal document","26.XIIb.17 Nbk II",587,Borsippa,,-,-,-,-,https://www.britishmuseum.org/collection/object/W_1898-0514-210,6291,buyer,-,"TypeLegal documentSubtypepurchase-related"
Arad-Nergal,Ea-zēru-iqīša,Bābūtu,Male,,53624,Arad-Nergal,Ea-zēru-iqīša,Bābūtu,Male,,19350,"highly probable","Liverpool 29-11-77, 35",,"Wunsch 2000b, no. 32","Egibi Nūr-Sîn","Legal document","04.VIII.19 Dar I",503,Babylon,,-,https://nabucco.arts.kuleuven.be/item/28834,http://www.achemenet.com/en/item/?/textual-sources/texts-by-publication/Wunsch_CM_20/1328293,-,-,6319,witness,-,"TypeLegal documentSubtypepurchase-related"
Ardia,Bēl-ahhē-iqīša,Egibi,Male,,54780,Ardia,Bēl-ahhē-iqīša,Egibi,Male,,19130,"highly probable","BM 30363",,"Wunsch 2000b, no. 61","Egibi Nūr-Sîn","Legal document","22.VI.05 Cam",525,Babylon,,-,https://nabucco.arts.kuleuven.be/item/29254,http://www.achemenet.com/en/item/?/textual-sources/texts-by-publication/Wunsch_CM_20/1328380,-,https://www.britishmuseum.org/collection/object/W_1876-1117-85,6457,witness,-,"TypeLegal documentSubtypepurchase-related"
Ardia,Nabû-šumu-iškun,Ilūtu-bāni,Male,,55713,Ardia,Nabû-šumu-iškun,Ilūtu-bāni,Male,,19134,"highly probable",Unknown,,"Wunsch 2000b, no. 116","Egibi Nūr-Sîn","Legal document","16.V.08 Nbn",548,Borsippa,,-,https://nabucco.arts.kuleuven.be/item/28576,http://www.achemenet.com/en/item/?/textual-sources/texts-by-publication/Wunsch_CM_20/1328545,-,-,6572,"witness, regular (mukinnu)",-,"TypeLegal documentSubtypepurchase-related"
Arrabu,Adad-ahhē-šullim,,Male,Slave,47709,Arrabu,Adad-ahhē-šullim,-,Male,,13617,"highly probable","BM 30509",,"Wunsch 1993b, no. 193","Egibi Nūr-Sîn","Legal document","08.XII.11 Nbn",544,Babylon,,-,https://nabucco.arts.kuleuven.be/item/28660,-,-,https://www.britishmuseum.org/collection/object/W_1876-1117-236,5530,"payer
seller",-,"TypeLegal documentSubtypepurchase-related"
Aššur-ahu-uṣur,Nabû-nādin-apli,,Male,,47716,Aššur-ahu-uṣur,Nabû-nādin-apli,-,Male,,15560,"highly probable","BM 30509",,"Wunsch 1993b, no. 193","Egibi Nūr-Sîn","Legal document","08.XII.11 Nbn",544,Babylon,,-,https://nabucco.arts.kuleuven.be/item/28660,-,-,https://www.britishmuseum.org/collection/object/W_1876-1117-236,5530,"witness, regular (mukinnu)",-,"TypeLegal documentSubtypepurchase-related"
Balāṭu,[...],[...],Male,Land,56497,Balāṭu,[...],[...],Male,,28161,"highly probable","BM 32743",,"Wunsch 2000b, no. 174","Egibi Nūr-Sîn","Legal document",-,-,Broken/Unclear,Seals,-,https://nabucco.arts.kuleuven.be/item/29509,http://www.achemenet.com/en/item/?/textual-sources/texts-by-publication/Wunsch_CM_20/1328713,,https://www.britishmuseum.org/collection/object/W_1876-1117-2513,6670,"recipient
seller",-,"TypeLegal documentSubtypepurchase-related"
Bazuzu,Etellu,Išparu,Male,,54774,Bazuzu,Etellu,Išparu,Male,,19150,"highly probable","BM 30363",,"Wunsch 2000b, no. 61","Egibi Nūr-Sîn","Legal document","22.VI.05 Cam",525,Babylon,,-,https://nabucco.arts.kuleuven.be/item/29254,http://www.achemenet.com/en/item/?/textual-sources/texts-by-publication/Wunsch_CM_20/1328380,-,https://www.britishmuseum.org/collection/object/W_1876-1117-85,6457,seller,-,"TypeLegal documentSubtypepurchase-related"
Bēl-ahhē-iddin,,,Male,,54776,Bēl-ahhē-iddin,-,-,Male,,28994,"highly probable","BM 30363",,"Wunsch 2000b, no. 61","Egibi Nūr-Sîn","Legal document","22.VI.05 Cam",525,Babylon,,-,https://nabucco.arts.kuleuven.be/item/29254,http://www.achemenet.com/en/item/?/textual-sources/texts-by-publication/Wunsch_CM_20/1328380,-,https://www.britishmuseum.org/collection/object/W_1876-1117-85,6457,broken/unclear,-,"TypeLegal documentSubtypepurchase-related"
Bēl-ahhē-iddin,,,Male,,55681,Bēl-ahhē-iddin,-,Nūr-Sîn,Male,,22176,"highly probable","BM 31356",,"Wunsch 2000b, no. 113","Egibi Nūr-Sîn","Legal document","20.VI.09 Nbn",547,Babylon,,-,https://nabucco.arts.kuleuven.be/item/30013,http://www.achemenet.com/en/item/?/textual-sources/texts-by-publication/Wunsch_CM_20/1328536,-,https://www.britishmuseum.org/collection/object/W_1876-1117-1083,6569,"judge
sealer of the tablet
witness, official (ina/ana mahar)",dayyānu,"TypeLegal documentSubtypepurchase-related"
Bēl-ahhē-iddin,Nabû-zēru-ušebši,Malāhu,Male,,52352,Bēl-ahhē-iddin,Nabû-zēru-ušebši,Malāhu,Male,,19356,"highly probable","BM 31507",,"Wunsch 1993b, no. 315","Egibi Nūr-Sîn","Legal document","02.IX.00 Cam",530,Babylon,,-,https://nabucco.arts.kuleuven.be/item/29356,-,-,https://www.britishmuseum.org/collection/object/W_1876-1117-1234,6149,witness,-,"TypeLegal documentSubtypepurchase-related"
Bēl-ēṭir,,,Male,,55682,Bēl-ēṭir,-,Sîn-tabni,Male,,22273,"highly probable","BM 31356",,"Wunsch 2000b, no. 113","Egibi Nūr-Sîn","Legal document","20.VI.09 Nbn",547,Babylon,,-,https://nabucco.arts.kuleuven.be/item/30013,http://www.achemenet.com/en/item/?/textual-sources/texts-by-publication/Wunsch_CM_20/1328536,-,https://www.britishmuseum.org/collection/object/W_1876-1117-1083,6569,"judge
sealer of the tablet
witness, official (ina/ana mahar)",dayyānu,"TypeLegal documentSubtypepurchase-related"
Bēl-iddin,Nabû-mukīn-zēri,Balāṭu,Male,,56453,Bēl-iddin,Nabû-mukīn-zēri,Balāṭu,Male,,19179,"highly probable","BM 31110",,"Wunsch 2000b, no. 167","Egibi Nūr-Sîn","Legal document","22.II.09 Cyr",530,Babylon,,https://cdli.ucla.edu/P507669,https://nabucco.arts.kuleuven.be/item/28495,http://www.achemenet.com/en/item/?/textual-sources/texts-by-publication/Wunsch_CM_20/1328692,,https://www.britishmuseum.org/collection/object/W_1876-1117-837,6663,"witness, regular (pāni)",-,"TypeLegal documentSubtypepurchase-related"
Bēl-iddin,Nabû-mukīn-zēri,Sîn-šadûnu,Male,,52355,Bēl-iddin,Nabû-mukīn-zēri,Sîn-šadûnu,Male,,18937,"highly probable","BM 31507",,"Wunsch 1993b, no. 315","Egibi Nūr-Sîn","Legal document","02.IX.00 Cam",530,Babylon,,-,https://nabucco.arts.kuleuven.be/item/29356,-,-,https://www.britishmuseum.org/collection/object/W_1876-1117-1234,6149,"scribe (ṭupšarru)",-,"TypeLegal documentSubtypepurchase-related"
Bēl-iddin,Sîn-ēreš,Ibni-ilu,Male,Land,53621,Bēl-iddin,Sîn-ēreš,Ibni-ilu,Male,,19191,"highly probable","Liverpool 29-11-77, 35",,"Wunsch 2000b, no. 32","Egibi Nūr-Sîn","Legal document","04.VIII.19 Dar I",503,Babylon,,-,https://nabucco.arts.kuleuven.be/item/28834,http://www.achemenet.com/en/item/?/textual-sources/texts-by-publication/Wunsch_CM_20/1328293,-,-,6319,buyer,-,"TypeLegal documentSubtypepurchase-related"
Bēl-iqīša,,Sîn-tabni,Male,,55684,Bēl-iqīša,-,Sîn-tabni,Male,,24328,"highly probable","BM 31356",,"Wunsch 2000b, no. 113","Egibi Nūr-Sîn","Legal document","20.VI.09 Nbn",547,Babylon,,-,https://nabucco.arts.kuleuven.be/item/30013,http://www.achemenet.com/en/item/?/textual-sources/texts-by-publication/Wunsch_CM_20/1328536,-,https://www.britishmuseum.org/collection/object/W_1876-1117-1083,6569,"scribe (ṭupšarru)",-,"TypeLegal documentSubtypepurchase-related"
Bēl-ittannu,Iqīša-Marduk,Ur-Nanna,Male,,53629,Bēl-ittannu,Iqīša-Marduk,Ur-Nanna,Male,,539,"highly probable","Liverpool 29-11-77, 35",,"Wunsch 2000b, no. 32","Egibi Nūr-Sîn","Legal document","04.VIII.19 Dar I",503,Babylon,,-,https://nabucco.arts.kuleuven.be/item/28834,http://www.achemenet.com/en/item/?/textual-sources/texts-by-publication/Wunsch_CM_20/1328293,-,-,6319,witness,-,"TypeLegal documentSubtypepurchase-related"
Bēl-ittannu,Iqīša-Marduk,Ur-Nanna,Male,,62371,Bēl-ittannu,Iqīša-Marduk,Ur-Nanna,Male,,539,"highly probable","BM 30637",,"Dar 467","Egibi Nūr-Sîn","Legal document","24.I.18 Dar I",504,Babylon,,https://cdli.ucla.edu/P405016,https://nabucco.arts.kuleuven.be/item/29596,http://www.achemenet.com/en/item/?/textual-sources/texts-by-regions/babylonia/babylon/1662554,-,https://www.britishmuseum.org/collection/object/W_1876-1117-364,7384,"scribe (ṭupšarru)",-,"TypeLegal documentSubtypepurchase-related"
Bēl-ittannu,Kīnāya,Ea-dipār-ilī,Male,,53630,Bēl-ittannu,Kīnāya,Ea-dipār-ilī,Male,,19206,"highly probable","Liverpool 29-11-77, 35",,"Wunsch 2000b, no. 32","Egibi Nūr-Sîn","Legal document","04.VIII.19 Dar I",503,Babylon,,-,https://nabucco.arts.kuleuven.be/item/28834,http://www.achemenet.com/en/item/?/textual-sources/texts-by-publication/Wunsch_CM_20/1328293,-,-,6319,witness,-,"TypeLegal documentSubtypepurchase-related"
Bēl-kēšir,Šulāya,Egibi,Male,,54779,Bēl-kēšir,Šulāya,Egibi,Male,,18940,"highly probable","BM 30363",,"Wunsch 2000b, no. 61","Egibi Nūr-Sîn","Legal document","22.VI.05 Cam",525,Babylon,,-,https://nabucco.arts.kuleuven.be/item/29254,http://www.achemenet.com/en/item/?/textual-sources/texts-by-publication/Wunsch_CM_20/1328380,-,https://www.britishmuseum.org/collection/object/W_1876-1117-85,6457,witness,-,"TypeLegal documentSubtypepurchase-related"
Bēl-nādin-ahi,Marduk-nāṣir,Nabû-lēssu,Male,,45914,Bēl-nādin-ahi,Marduk-nāṣir,Nabû-lēssu,Male,,16573,"highly probable","VAT 2964",,"San Nicolò and Ungnad 1929-1935, no. 667","Sîn-ilī (Babylon)","Legal document","28!.IV.08 Nbn",548,Babylon,,-,-,-,-,-,5303,"witness, regular (mukinnu)",-,"TypeLegal documentSubtypepurchase-related"
Bēl-nāṣir,Rāši-ili,Šamaš-abāri,Male,,45353,Bēl-nāṣir,Rāši-ili,Šamaš-abāri,Male,,16671,"highly probable","VAT 3044",,"San Nicolò and Ungnad 1929-1935, no. 49","Sîn-ilī (Babylon)","Legal document","02.I.01 Nbn",555,Babylon,,-,-,-,-,-,5213,"recipient of letter order
scribe (ṭupšarru)",ṭupšarru,"TypeLegal documentSubtypepurchase-related"
Bēl-nāṣir,Rāši-ili,Šamaš-abāri,Male,,45915,Bēl-nāṣir,Rāši-ili,Šamaš-abāri,Male,,16671,"highly probable","VAT 2964",,"San Nicolò and Ungnad 1929-1935, no. 667","Sîn-ilī (Babylon)","Legal document","28!.IV.08 Nbn",548,Babylon,,-,-,-,-,-,5303,"scribe (ṭupšarru)",-,"TypeLegal documentSubtypepurchase-related"
Bēl-šūzizanni,,,Male,,62359,Bēl-šūzizanni,-,-,Male,,26804,"highly probable","BM 30637",,"Dar 467","Egibi Nūr-Sîn","Legal document","24.I.18 Dar I",504,Babylon,,https://cdli.ucla.edu/P405016,https://nabucco.arts.kuleuven.be/item/29596,http://www.achemenet.com/en/item/?/textual-sources/texts-by-regions/babylonia/babylon/1662554,-,https://www.britishmuseum.org/collection/object/W_1876-1117-364,7384,"object of transaction","amīlūtu
broken/unclear","TypeLegal documentSubtypepurchase-related"
Bēl-uballiṭ,Aplāya,Dābibī,Male,,15215,Bēl-uballiṭ,Aplāya,Dābibī,Male,,1747,"highly probable","BM 31024",,"Wunsch 1993b, no. 6","Egibi Nūr-Sîn","Legal document","10.II.31 [Nbk II]",574,Babylon,,-,https://nabucco.arts.kuleuven.be/item/29065,-,-,https://www.britishmuseum.org/collection/object/W_1876-1117-751,1850,"witness, regular (mukinnu)",-,"TypeLegal documentSubtypepurchase-related"
Bēl-uballiṭ,Balāṭu,Atkuppu,Male,"Field, Garden",46563,Bēl-uballiṭ,Balāṭu,Atkuppu,Male,,22692,"highly probable","BM 82713",,unpublished,"Rē’i-alpi (Borsippa)","Legal document","10.VI?.04 Dar I",518,Borsippa,,-,-,-,-,https://www.britishmuseum.org/collection/object/W_1894-0717-31,5397,"buyer
representative/agent
witness",-,"TypeLegal documentSubtypepurchase-related"
Bēl-uballiṭ,Marduk-šumu-uṣur,Adad-šammê,Male,,45913,Bēl-uballiṭ,Marduk-šumu-uṣur,Adad-šammê,Male,,16203,"highly probable","VAT 2964",,"San Nicolò and Ungnad 1929-1935, no. 667","Sîn-ilī (Babylon)","Legal document","28!.IV.08 Nbn",548,Babylon,,-,-,-,-,-,5303,"witness, regular (mukinnu)",-,"TypeLegal documentSubtypepurchase-related"
Bēl-udammiq,Bēl-ahhē-iddin,Egibi,Male,,56452,Bēl-udammiq,Bēl-ahhē-iddin,Egibi,Male,"He was married to a daughter of Nabû-ahhē-iddin of the Egibi family.",15343,"highly probable","BM 31110",,"Wunsch 2000b, no. 167","Egibi Nūr-Sîn","Legal document","22.II.09 Cyr",530,Babylon,,https://cdli.ucla.edu/P507669,https://nabucco.arts.kuleuven.be/item/28495,http://www.achemenet.com/en/item/?/textual-sources/texts-by-publication/Wunsch_CM_20/1328692,,https://www.britishmuseum.org/collection/object/W_1876-1117-837,6663,"witness, regular (pāni)",-,"TypeLegal documentSubtypepurchase-related"
