Name,Patronym,"Family name",Gender,Owns,"Attestation ID",ind.Name,ind.Patronym,"ind.Family name",ind.Gender,Biography,PID,Probability,"Museum no.",Duplicate,Publication,Archive,Type,Date,"Julian date","Place of writing",Has,"Cdli URL","Nabucco URL","Achemenet URL","Oracc URL","British Museum URL","Tablet ID",Role,Title,"Type and objects"
,,Iddin-Papsukkal,Male,,39994,-,-,-,-,-,-,"less probable","AB 241",,"OECT 12, 56","Rē’i-alpi (Borsippa)","Legal document","21.XII.06 Cyr",532,Borsippa,,,,,,,4660,eponym,-,"TypeLegal documentSubtypepurchase"
,,Ilūtu-bāni,Male,,31867,-,-,Ilūtu-bāni,Male,,13257,"highly probable","AO 10298",,"Joannès 1989, pp. 299-300","Ea-ilūtu-bāni, Ilī-bāni, Nanāhu","Legal document","16.III.07 Kan",641,Borsippa,Fingernails,https://cdli.ucla.edu/P387071,https://digitalpasts.github.io/nabucco/items/25603,,,,1451,eponym,-,"TypeLegal documentSubtypepurchase"
,,Ilūtu-bāni,Male,,32314,-,-,Ilūtu-bāni,Male,,13257,"highly probable","AO 10317",,"TCL 12, 9","Ea-ilūtu-bāni, Ilī-bāni, Nanāhu","Legal document","03.XII.07 Ššu",661,Borsippa,,https://cdli.ucla.edu/P387074,https://digitalpasts.github.io/nabucco/items/25615,,,,2527,eponym,-,"TypeLegal documentSubtypepurchase"
Adad-ahhē-bulliṭ,Aqara,Nūr-Sîn,Male,,58773,Adad-ahhē-bulliṭ,Aqara,Nūr-Sîn,Male,,20996,"highly probable","MMA 79.7.13",,"CTMMA 3, no. 47","Egibi Nūr-Sîn","Legal document","05.XII.02 Nbn",553,Babylon,,https://cdli.ucla.edu/P412325,-,-,-,-,6944,"witness, regular (mukinnu)",-,"TypeLegal documentSubtypepurchase"
Adad-ahhē-bulliṭ,Aqara,Nūr-Sîn,Male,,66318,Adad-ahhē-bulliṭ,Aqara,Nūr-Sîn,Male,,20996,"highly probable","Unknown ?",,"Delaunay and Moldenke 1977, no. 11","Egibi Nūr-Sîn","Legal document","05.XII.02 Nbn",553,Babylon,,-,-,-,-,-,7847,"witness, regular (mukinnu)",-,"TypeLegal documentSubtypepurchase"
Adad-ahu-iddin,Rēmūtu,,Male,House,64826,Adad-ahu-iddin,Rēmūtu,-,Male,,23063,"highly probable","BM 30690",,"Dar 325","Egibi Nūr-Sîn","Legal document","15.IV.12 Dar I",510,Babylon,Fingernails,https://cdli.ucla.edu/P405050,https://nabucco.arts.kuleuven.be/item/28966,http://www.achemenet.com/en/item/?/textual-sources/texts-by-publication/Strassmaier_Darius/1659318,,https://www.britishmuseum.org/collection/object/W_1876-1117-417,7672,neighbour,-,"TypeLegal documentSubtypepurchase"
Adad-ibni,Zāriqu-zēru-ibni,Šangû-Zāriqu,Male,,59211,Adad-ibni,Zāriqu-zēru-ibni,Šangû-Zāriqu,Male,,22217,"highly probable","BM 30228",,"Wunsch 1997-1998, no. 4","Egibi Nūr-Sîn","Legal document","16.VI.00 Ner",560,Babylon,,-,https://nabucco.arts.kuleuven.be/item/28972,-,-,https://www.britishmuseum.org/collection/object/W_1875-0609-1,6998,"witness, regular (mukinnu)",-,"TypeLegal documentSubtypepurchase"
Adad-nūrī,Ahi-šūrī,,Male,Slave,47691,Adad-nūrī,Ahi-šūrī,-,Male,,13640,"highly probable","BM 31616",,"Wunsch 1993b, no. 191","Egibi Nūr-Sîn","Legal document","22.X.11 Nbn",544,Babylon,,-,https://nabucco.arts.kuleuven.be/item/29920,-,-,https://www.britishmuseum.org/collection/object/W_1876-1117-1343,5525,guarantor,-,"TypeLegal documentSubtypepurchase"
Adad-šumu-ēreš,Nūrea,Šumu-libši,Male,,57500,Adad-šumu-ēreš,Nūrea,Šumu-libši,Male,,19329,"highly probable","BM 30579",,"Nbn 801","Egibi Nūr-Sîn","Legal document","04.VIII.14 Nbn",542,Babylon,,-,https://nabucco.arts.kuleuven.be/item/29083,-,,https://www.britishmuseum.org/collection/object/W_1876-1117-306,6780,"witness, extra",-,"TypeLegal documentSubtypepurchase"
Adad-zēru-ibni,Gulānu,,Male,House,25390,Adad-zēru-ibni,Gulānu,-,Male,,15184,"highly probable","Unknown (IM)",,"UET 4, 7","Gallābu (Ur)","Legal document","18.[-].29 Nbk II",576/575,Ur,,https://cdli.ucla.edu/P414703,-,,,,3040,neighbour,-,"TypeLegal documentSubtypepurchase"
