Name,Patronym,"Family name",Gender,Owns,"Attestation ID",ind.Name,ind.Patronym,"ind.Family name",ind.Gender,Biography,PID,Probability,"Museum no.",Duplicate,Publication,Archive,Type,Date,"Julian date","Place of writing",Has,"Cdli URL","Nabucco URL","Achemenet URL","Oracc URL","British Museum URL","Tablet ID",Role,Title,"Type and objects"
,,,Male,,49439,-,-,-,-,-,-,"less probable","BM 95021",,unpublished,"Ilia A+B","Legal document","15?.[-].17 [Dar I]?",[505/504]?,"Not mentioned",,-,-,-,-,https://www.britishmuseum.org/collection/object/W_1901-1012-674,5758,"scribe (ṭupšarru)",-,"TypeLegal documentSubtypereceipt"
(H)adbagā,Iddin-Nabû,,Male,,30709,-,-,-,-,-,-,"less probable","CBS 5401",,"BE 9, 39",Murašû,"Legal document","26.VII.34 Art I",431,Nippur,Seals,https://cdli.ucla.edu/P261595,,http://www.achemenet.com/fr/item/?/sources-textuelles/textes-par-langues-et-ecritures/babylonien/archives-murasu/2043450,,,3529,"witness, regular (mukinnu)",-,"TypeLegal documentSubtypereceipt"
(H)adbagā,Mizdaēšu,,Male,,26512,-,-,-,-,-,-,"less probable","CBS 5385",,"BE 9, 12",Murašû,"Legal document","13.VII.28 Art I",437,Nippur,Seals,https://cdli.ucla.edu/P261579,-,http://www.achemenet.com/fr/item/?/sources-textuelles/textes-par-langues-et-ecritures/babylonien/archives-murasu/2042711,-,-,3172,"sealer of the tablet
witness, official (ina/ana mahar)","dayyānu ša Nār-Sîn","TypeLegal documentSubtypereceipt"
<Ina>-ṣil[li-...],[...],,Male,Field,2459,-,-,-,-,-,-,"less probable","CBS 12965",,"Stolper 1985, no. 46",Murašû,"Legal document","09.V.29 Art I",436,Nippur,"Seals, Epigraphs",https://cdli.ucla.edu/P267568,,http://www.achemenet.com/fr/item/?/sources-textuelles/textes-par-langues-et-ecritures/babylonien/archives-murasu/3488391,,,319,"land owner",-,"TypeLegal documentSubtypereceipt"
Abdā,,,Male,Land,40324,-,-,-,-,-,-,"less probable","CBS 5307",,"BE 9, 70",Murašû,"Legal document","13.XII.39 Art I",425,Nippur,Seals,https://cdli.ucla.edu/P261501,,http://www.achemenet.com/fr/item/?/sources-textuelles/textes-par-langues-et-ecritures/babylonien/archives-murasu/2044261,,,4675,"land owner",-,"TypeLegal documentSubtypereceipt"
Abdī,Nabû-rē[...],,Male,,59962,Abdī,Nabû-rē[...],-,Male,,23062,"highly probable","BM 31415",,"Camb 351","Egibi Nūr-Sîn","Legal document","27.[-].06 Cam",524/523,Babylon,,-,https://nabucco.arts.kuleuven.be/item/30175,http://www.achemenet.com/en/item/?/textual-sources/texts-by-regions/babylonia/babylon/1681568,-,https://www.britishmuseum.org/collection/object/W_1876-1117-1142,7091,"witness, regular (mukinnu)",-,"TypeLegal documentSubtypereceipt"
Abī-ul-īde,,,Male,,44217,-,-,-,-,-,-,"less probable","CBS 5235",,"BE 10, 5",Murašû,"Legal document","17.XII.00 Dar II",423,Nippur,Seals,https://cdli.ucla.edu/P261428,,http://www.achemenet.com/fr/item/?/sources-textuelles/textes-par-langues-et-ecritures/babylonien/archives-murasu/2132238,,,5088,"sender of letter order",sēpiru/sepīru,"TypeLegal documentSubtypereceipt"
Adad-ahhē-iddin,Mukīn-zēri,Egibi,Male,,49253,Adad-ahhē-iddin,Mukīn-zēri,Egibi,Male,,15384,"highly probable","BM 30944",,"Wunsch 1993b, no. 222","Egibi Nūr-Sîn","Legal document","20.I.14 Nbn",542,Babylon,,-,https://nabucco.arts.kuleuven.be/item/31852,-,-,https://www.britishmuseum.org/collection/object/W_1876-1117-671,5735,"witness, regular (mukinnu)",-,"TypeLegal documentSubtypereceipt"
Adad-ahu-iddin,Būru-zēru-iddin,,Male,,5029,Adad-ahu-iddin,Būru-zēru-iddin,-,Male,,6061,probable,"BM 72749",,"Waerzeggers 2014, no. 116","Ṣāhit-ginê A","Legal document","20.II.24 Dar I",498,Sippar,,-,https://nabucco.arts.kuleuven.be/item/27916,-,-,https://www.britishmuseum.org/collection/object/W_1882-0918-12757,657,"recipient
representative/agent",-,"TypeLegal documentSubtypereceipt"
Adad-ēreš,,,Male,,618,Adad-ēreš,-,-,Male,,20137,"highly probable","BM 31226",,"Abraham 2004, no. 41","Egibi Nūr-Sîn","Legal document","09.VII.26 Dar I",496,Babylon,,-,http://nabucco.arts.kuleuven.be/item/31963,-,-,https://www.britishmuseum.org/collection/object/W_1876-1117-953,77,"represented by agent","rab dūri ša Bābili","TypeLegal documentSubtypereceipt"
