Name,Patronym,"Family name",Gender,Owns,"Attestation ID",ind.Name,ind.Patronym,"ind.Family name",ind.Gender,Biography,PID,Probability,"Museum no.",Duplicate,Publication,Archive,Type,Date,"Julian date","Place of writing",Has,"Cdli URL","Nabucco URL","Achemenet URL","Oracc URL","British Museum URL","Tablet ID",Role,Title,"Type and objects"
Abdī,,,Male,Land,30640,Abdī,-,-,Male,,11216,"highly probable","SIL 19",,"Walter 2011, pp. 94-99","Ea-eppēš-ilī B (Babylon)","Legal document","12.[-].16 Dar I",506/505,Babylon,,https://cdli.ucla.edu/P481098,,,,,3520,"land owner
recipient",-,"TypeLegal documentSubtypesettlement of accounts"
Ahu-id[din],,,Male,,21175,-,-,-,-,-,-,"less probable","CBS 13089",,"Stolper 1985, no. 113",Murašû,"Legal document","[-].[-].33+[x] Art I","after 432/431",Broken/Unclear,Fingernails,https://cdli.ucla.edu/P268174,,http://www.achemenet.com/fr/item/?/sources-textuelles/textes-par-langues-et-ecritures/babylonien/archives-murasu/3491018,,,2581,"witness, regular (mukinnu)",-,"TypeLegal documentSubtypesettlement of accounts"
Ahu-[iddin],[...],,Male,,5927,Ahu-iddin,[...],-,Male,,20142,"highly probable","BM 33935",,"Abraham 2004, no. 77","Egibi Nūr-Sîn","Legal document","25.XI.[-] Dar I",-,Broken/Unclear,Seals,https://cdli.ucla.edu/P405096,https://nabucco.arts.kuleuven.be/item/32650,-,-,https://www.britishmuseum.org/collection/object/W_SP-31,777,"witness, regular (mukinnu)",-,"TypeLegal documentSubtypesettlement of accounts"
Anonymous,Bānûnu,Rab-banê,Male,,54464,Anonymous,Bānûnu,Rab-banê,Male,,23743,"highly probable","BM 30725",,"Wunsch 2000b, no. 40","Egibi Nūr-Sîn","Legal document","06.VI.13 Nbn",543,Babylon,,-,https://nabucco.arts.kuleuven.be/item/32146,http://www.achemenet.com/en/item/?/textual-sources/texts-by-publication/Wunsch_CM_20/1328317,-,https://www.britishmuseum.org/collection/object/W_1876-1117-452,6418,creditor,-,"TypeLegal documentSubtypesettlement of accounts"
"Anonymous group",,,Male,Land,49175,-,-,-,-,-,-,"less probable","CBS 5281",,"BE 10, 94",Murašû,"Legal document","08.IX.04 Dar II",420,Nippur,"Seals, Fingernails",https://cdli.ucla.edu/P261475,,http://www.achemenet.com/fr/item/?/sources-textuelles/textes-par-langues-et-ecritures/babylonien/archives-murasu/2133395,,,5728,"passive (mentioned in relation to sb or sth else)","bēl qašti","TypeLegal documentSubtypesettlement of accounts"
"Anonymous group",,Amīl-Ea,Male,,10934,"Anonymous Group",-,Amīl-Ea,Male,,23106,"highly probable","MMA 86.11.308",,"CTMMA 3, no. 17","Esagilāya A","Legal document","10.VI.06 Nbn",550,Babylon,Drawings,https://cdli.ucla.edu/P412295,,,,,1349,"passive (mentioned in relation to sb or sth else)",-,"TypeLegal documentSubtypesettlement of accounts"
"Anonymous group",Nabû-ahhē-iddin,Egibi,Male,,54462,"Anonymous Group",Nabû-ahhē-iddin,Egibi,Male,,25390,"highly probable","BM 30725",,"Wunsch 2000b, no. 40","Egibi Nūr-Sîn","Legal document","06.VI.13 Nbn",543,Babylon,,-,https://nabucco.arts.kuleuven.be/item/32146,http://www.achemenet.com/en/item/?/textual-sources/texts-by-publication/Wunsch_CM_20/1328317,-,https://www.britishmuseum.org/collection/object/W_1876-1117-452,6418,creditor,-,"TypeLegal documentSubtypesettlement of accounts"
"Anonymous group",Nabû-ahhē-iddin,Egibi,Male,"Land, Slave",54719,"Anonymous Group",Nabû-ahhē-iddin,Egibi,Male,,25390,"highly probable","BM 30512",,"Wunsch 2000b, no. 56","Egibi Nūr-Sîn","Legal document","19.VI.14 Nbn",542,Babylon,,-,https://nabucco.arts.kuleuven.be/item/29644,http://www.achemenet.com/en/item/?/textual-sources/texts-by-publication/Wunsch_CM_20/1328365,-,https://www.britishmuseum.org/collection/object/W_1876-1117-239,6451,recipient,-,"TypeLegal documentSubtypesettlement of accounts"
Anu-mukīn-apli,Anu-ahu-iddin,Ea-qâlu-išemme,Male,"Field, Garden, House, Slave",5913,Anu-mukīn-apli,Anu-ahu-iddin,Ea-qâlu-išemme,Male,,1954,"highly probable","BM 33935",,"Abraham 2004, no. 77","Egibi Nūr-Sîn","Legal document","25.XI.[-] Dar I",-,Broken/Unclear,Seals,https://cdli.ucla.edu/P405096,https://nabucco.arts.kuleuven.be/item/32650,-,-,https://www.britishmuseum.org/collection/object/W_SP-31,777,"recipient
sealer of the tablet",-,"TypeLegal documentSubtypesettlement of accounts"
Aplāya,Nergal-uballiṭ,Bēl-eṭēri,Male,,63876,Aplāya,Nergal-uballiṭ,Bēl-eṭēri,Male,,23146,"highly probable","BM 30348",,"Nbk 172","Egibi Nūr-Sîn","Legal document","01.I.27 Nbk II",578,Babylon,,https://cdli.ucla.edu/P405101,https://nabucco.arts.kuleuven.be/item/29305,-,-,https://www.britishmuseum.org/collection/object/W_1876-1117-69,7561,"scribe (ṭupšarru)",-,"TypeLegal documentSubtypesettlement of accounts"
