Name,Patronym,"Family name",Gender,Owns,"Attestation ID",ind.Name,ind.Patronym,"ind.Family name",ind.Gender,Biography,PID,Probability,"Museum no.",Duplicate,Publication,Archive,Type,Date,"Julian date","Place of writing",Has,"Cdli URL","Nabucco URL","Achemenet URL","Oracc URL","British Museum URL","Tablet ID",Role,Title,"Type and objects"
Arāku,Amāru,,Male,,55845,Arāku,Amāru,-,Male,,18370,"highly probable","Ash. 1937.631",,"Zilberg 2019, pp. 478-479","Carian archive","Legal document","20+[x].I.03 Cam",527,Bannēšāya,,https://cdli.ucla.edu/P385415,,,,,6587,sub-lessee,-,"TypeLegal documentSubtypesub-lease (ana errēšūti)"
Aralti,,,Male,Land,55841,Aralti,Hamtū,-,Male,,18366,"highly probable","Ash. 1937.631",,"Zilberg 2019, pp. 478-479","Carian archive","Legal document","20+[x].I.03 Cam",527,Bannēšāya,,https://cdli.ucla.edu/P385415,,,,,6587,neighbour,-,"TypeLegal documentSubtypesub-lease (ana errēšūti)"
Bēl-ik[...],Nabû-ahu-iddin,Bēl-eṭēri,Male,,65114,Bēl-ik[...],Nabû-ahu-iddin,Bēl-eṭēri,Male,,28045,"highly probable","BM 31705",,"Bertin 1953","Egibi Nūr-Sîn","Legal document","05.VII.02 Dar I",520,"Nuhšānītu (1)",,-,https://nabucco.arts.kuleuven.be/item/28579,-,-,https://www.britishmuseum.org/collection/object/W_1876-1117-1432,7692,"witness, regular (mukinnu)",-,"TypeLegal documentSubtypesub-lease (ana errēšūti)"
Cambyses,,,Male,,55863,Cambyses,-,-,Male,,16420,"highly probable","Ash. 1937.631",,"Zilberg 2019, pp. 478-479","Carian archive","Legal document","20+[x].I.03 Cam",527,Bannēšāya,,https://cdli.ucla.edu/P385415,,,,,6587,"king in date","šar Bābili u mātāti","TypeLegal documentSubtypesub-lease (ana errēšūti)"
Darius,,,Male,,65117,Darius,-,-,Male,,16371,"highly probable","BM 31705",,"Bertin 1953","Egibi Nūr-Sîn","Legal document","05.VII.02 Dar I",520,"Nuhšānītu (1)",,-,https://nabucco.arts.kuleuven.be/item/28579,-,-,https://www.britishmuseum.org/collection/object/W_1876-1117-1432,7692,"king in date","šar Bābili šar mātāti","TypeLegal documentSubtypesub-lease (ana errēšūti)"
Enlil-kīnu,Šamaš-iqbi,,Male,,55862,Enlil-kīnu,Šamaš-iqbi,-,Male,,18375,"highly probable","Ash. 1937.631",,"Zilberg 2019, pp. 478-479","Carian archive","Legal document","20+[x].I.03 Cam",527,Bannēšāya,,https://cdli.ucla.edu/P385415,,,,,6587,"scribe (ṭupšarru)",-,"TypeLegal documentSubtypesub-lease (ana errēšūti)"
Itti-Nabû-balāṭu,Bunene-bān-zēri,Bēl-eṭēri,Male,,65110,Itti-Nabû-balāṭu,Bunene-bān-zēri,Bēl-eṭēri,Male,,21642,"highly probable","BM 31705",,"Bertin 1953","Egibi Nūr-Sîn","Legal document","05.VII.02 Dar I",520,"Nuhšānītu (1)",,-,https://nabucco.arts.kuleuven.be/item/28579,-,-,https://www.britishmuseum.org/collection/object/W_1876-1117-1432,7692,sub-lessor,-,"TypeLegal documentSubtypesub-lease (ana errēšūti)"
Kalbāya,[...]-uṣuršu,Ša-nāšišu,Male,,65115,Kalbāya,[...]-uṣuršu,Ša-nāšišu,Male,,24441,"highly probable","BM 31705",,"Bertin 1953","Egibi Nūr-Sîn","Legal document","05.VII.02 Dar I",520,"Nuhšānītu (1)",,-,https://nabucco.arts.kuleuven.be/item/28579,-,-,https://www.britishmuseum.org/collection/object/W_1876-1117-1432,7692,"witness, regular (mukinnu)",-,"TypeLegal documentSubtypesub-lease (ana errēšūti)"
Līšir,Šamaš-uballiṭ,,Male,,55856,Līšir,Šamaš-uballiṭ,-,Male,,18388,"highly probable","Ash. 1937.631",,"Zilberg 2019, pp. 478-479","Carian archive","Legal document","20+[x].I.03 Cam",527,Bannēšāya,,https://cdli.ucla.edu/P385415,,,,,6587,"witness, regular (mukinnu)",-,"TypeLegal documentSubtypesub-lease (ana errēšūti)"
Madānu-šarru-uṣur,,,Male,Field,55843,Madānu-šarru-uṣur,-,-,Male,,18389,"highly probable","Ash. 1937.631",,"Zilberg 2019, pp. 478-479","Carian archive","Legal document","20+[x].I.03 Cam",527,Bannēšāya,,https://cdli.ucla.edu/P385415,,,,,6587,"land owner","ša muhhi sūti","TypeLegal documentSubtypesub-lease (ana errēšūti)"
Māku’a-iltammeš-ladīn,Abī-idrī,,Male,,55861,Māku’a-iltammeš-ladīn,Abī-idrī,-,Male,,18391,"highly probable","Ash. 1937.631",,"Zilberg 2019, pp. 478-479","Carian archive","Legal document","20+[x].I.03 Cam",527,Bannēšāya,,https://cdli.ucla.edu/P385415,,,,,6587,"witness, regular (mukinnu)",-,"TypeLegal documentSubtypesub-lease (ana errēšūti)"
Murašû,Iddin-Marduk,Ilia,Male,Land,65109,Murašû,Iddin-Marduk,Ilia,Male,,12220,"highly probable","BM 31705",,"Bertin 1953","Egibi Nūr-Sîn","Legal document","05.VII.02 Dar I",520,"Nuhšānītu (1)",,-,https://nabucco.arts.kuleuven.be/item/28579,-,-,https://www.britishmuseum.org/collection/object/W_1876-1117-1432,7692,owner,-,"TypeLegal documentSubtypesub-lease (ana errēšūti)"
Nabû-ahhē-bulliṭ,Bēl-uballiṭ,Uballissu-Marduk,Male,,65116,Nabû-ahhē-bulliṭ,Bēl-uballiṭ,Uballissu-Marduk,Male,,28254,"highly probable","BM 31705",,"Bertin 1953","Egibi Nūr-Sîn","Legal document","05.VII.02 Dar I",520,"Nuhšānītu (1)",,-,https://nabucco.arts.kuleuven.be/item/28579,-,-,https://www.britishmuseum.org/collection/object/W_1876-1117-1432,7692,"scribe (ṭupšarru)",-,"TypeLegal documentSubtypesub-lease (ana errēšūti)"
Nabû-ahu-rēmanni,,,Male,,65111,Nabû-ahu-rēmanni,-,-,Male,,29100,"highly probable","BM 31705",,"Bertin 1953","Egibi Nūr-Sîn","Legal document","05.VII.02 Dar I",520,"Nuhšānītu (1)",,-,https://nabucco.arts.kuleuven.be/item/28579,-,-,https://www.britishmuseum.org/collection/object/W_1876-1117-1432,7692,lessee,-,"TypeLegal documentSubtypesub-lease (ana errēšūti)"
Nabû-nāṣir,,,Male,Land,55842,Nabû-nāṣir,-,-,Male,,18396,"highly probable","Ash. 1937.631",,"Zilberg 2019, pp. 478-479","Carian archive","Legal document","20+[x].I.03 Cam",527,Bannēšāya,,https://cdli.ucla.edu/P385415,,,,,6587,neighbour,-,"TypeLegal documentSubtypesub-lease (ana errēšūti)"
Nergal-ušallim,Iddin-Marduk,Nappāhu,Male,,65113,Nergal-ušallim,Iddin-Marduk,Nappāhu,Male,,21902,"highly probable","BM 31705",,"Bertin 1953","Egibi Nūr-Sîn","Legal document","05.VII.02 Dar I",520,"Nuhšānītu (1)",,-,https://nabucco.arts.kuleuven.be/item/28579,-,-,https://www.britishmuseum.org/collection/object/W_1876-1117-1432,7692,"witness, regular (mukinnu)",-,"TypeLegal documentSubtypesub-lease (ana errēšūti)"
Ninurta-ahu-iddin,Lā-qīpu,,Male,,55855,Ninurta-ahu-iddin,Lā-qīpu,-,Male,,18399,"highly probable","Ash. 1937.631",,"Zilberg 2019, pp. 478-479","Carian archive","Legal document","20+[x].I.03 Cam",527,Bannēšāya,,https://cdli.ucla.edu/P385415,,,,,6587,sub-lessee,-,"TypeLegal documentSubtypesub-lease (ana errēšūti)"
Qīštia,,,Male,,65112,Qīštia,-,-,Male,,29219,"highly probable","BM 31705",,"Bertin 1953","Egibi Nūr-Sîn","Legal document","05.VII.02 Dar I",520,"Nuhšānītu (1)",,-,https://nabucco.arts.kuleuven.be/item/28579,-,-,https://www.britishmuseum.org/collection/object/W_1876-1117-1432,7692,"passive (mentioned in relation to sb or sth else)",-,"TypeLegal documentSubtypesub-lease (ana errēšūti)"
