Name,Patronym,"Family name",Gender,Owns,"Attestation ID",ind.Name,ind.Patronym,"ind.Family name",ind.Gender,Biography,PID,Probability,"Museum no.",Duplicate,Publication,Archive,Type,Date,"Julian date","Place of writing",Has,"Cdli URL","Nabucco URL","Achemenet URL","Oracc URL","British Museum URL","Tablet ID",Role,Title,"Type and objects"
Ahi-yalid,,,Male,Field,1156,-,-,-,-,-,-,"less probable","CBS 4999","CBS 12998","Stolper 1985, no. 14",Murašû,"Legal document","25.VII.40 [Art I]",[425],Nippur,Seals,https://cdli.ucla.edu/P261192,,http://www.achemenet.com/fr/item/?/sources-textuelles/textes-par-langues-et-ecritures/babylonien/archives-murasu/3486748,,,142,"land owner",-,"TypeLegal documentSubtypesub-lease contract (ana sūti)"
Ahu-lētī,,,Male,Field,1157,-,-,-,-,-,-,"less probable","CBS 4999","CBS 12998","Stolper 1985, no. 14",Murašû,"Legal document","25.VII.40 [Art I]",[425],Nippur,Seals,https://cdli.ucla.edu/P261192,,http://www.achemenet.com/fr/item/?/sources-textuelles/textes-par-langues-et-ecritures/babylonien/archives-murasu/3486748,,,142,"land owner",-,"TypeLegal documentSubtypesub-lease contract (ana sūti)"
"Anonymous group",,,Male,Field,7535,-,-,-,-,-,-,"less probable","CBS 4999","CBS 12998","Stolper 1985, no. 14",Murašû,"Legal document","25.VII.40 [Art I]",[425],Nippur,Seals,https://cdli.ucla.edu/P261192,,http://www.achemenet.com/fr/item/?/sources-textuelles/textes-par-langues-et-ecritures/babylonien/archives-murasu/3486748,,,142,"land owner",kinattu,"TypeLegal documentSubtypesub-lease contract (ana sūti)"
"Anonymous group",,,Male,Field,7542,-,-,-,-,-,-,"less probable","CBS 12998","CBS 4999","Stolper 1985, no. 15",Murašû,"Legal document","[25].[VII].[40] [Art I]",[425],Nippur,,https://cdli.ucla.edu/P267602,,http://www.achemenet.com/fr/item/?/sources-textuelles/textes-par-langues-et-ecritures/babylonien/archives-murasu/3486751,,,145,"land owner",kinattu,"TypeLegal documentSubtypesub-lease contract (ana sūti)"
"Anonymous group",,,Male,Field,8329,-,-,-,-,-,-,"less probable","CBS 12864",,"Stolper 1985, no. 3",Murašû,"Legal document","20.I.[22] Art I",[443],Nippur,Epigraphs,https://cdli.ucla.edu/P267465,,http://www.achemenet.com/fr/item/?/sources-textuelles/textes-par-langues-et-ecritures/babylonien/archives-murasu/3484101,,,110,"land owner","bēl qašāti","TypeLegal documentSubtypesub-lease contract (ana sūti)"
"Anonymous group",,,Male,Field,9800,-,-,-,-,-,-,"less probable","CBS 12894",,"Stolper 1985, no. 27",Murašû,"Legal document","25.VII.40 Art I",425,Nippur,Seals,https://cdli.ucla.edu/P267495,,http://www.achemenet.com/fr/item/?/sources-textuelles/textes-par-langues-et-ecritures/babylonien/archives-murasu/3486807,,,217,"land owner",-,"TypeLegal documentSubtypesub-lease contract (ana sūti)"
"Anonymous group",,,Male,Field,9806,-,-,-,-,-,-,"less probable","CBS 12894",,"Stolper 1985, no. 27",Murašû,"Legal document","25.VII.40 Art I",425,Nippur,Seals,https://cdli.ucla.edu/P267495,,http://www.achemenet.com/fr/item/?/sources-textuelles/textes-par-langues-et-ecritures/babylonien/archives-murasu/3486807,,,217,"land owner",nippurāya,"TypeLegal documentSubtypesub-lease contract (ana sūti)"
Anu-[zēru-id]din,Anu-rē’išunu,,Male,,1114,-,-,-,-,-,-,"less probable","CBS 5174+",,"Stolper 1985, no. 13",Murašû,"Legal document","[-].III?.38 Art I",427,Broken/Unclear,,https://cdli.ucla.edu/P261366,,http://www.achemenet.com/fr/item/?/sources-textuelles/textes-par-langues-et-ecritures/babylonien/archives-murasu/3486745,,,140,"witness, regular (mukinnu)",-,"TypeLegal documentSubtypesub-lease contract (ana sūti)"
Aplāya,Enlil-balāssu-iqbi,,Male,,1133,-,-,-,-,-,-,"less probable","CBS 4999","CBS 12998","Stolper 1985, no. 14",Murašû,"Legal document","25.VII.40 [Art I]",[425],Nippur,Seals,https://cdli.ucla.edu/P261192,,http://www.achemenet.com/fr/item/?/sources-textuelles/textes-par-langues-et-ecritures/babylonien/archives-murasu/3486748,,,142,"witness, regular (mukinnu)",-,"TypeLegal documentSubtypesub-lease contract (ana sūti)"
Aplāya,Enlil-balāssu-iqbi,,Male,,1657,-,-,-,-,-,-,"less probable","CBS 12894",,"Stolper 1985, no. 27",Murašû,"Legal document","25.VII.40 Art I",425,Nippur,Seals,https://cdli.ucla.edu/P267495,,http://www.achemenet.com/fr/item/?/sources-textuelles/textes-par-langues-et-ecritures/babylonien/archives-murasu/3486807,,,217,"witness, regular (mukinnu)",-,"TypeLegal documentSubtypesub-lease contract (ana sūti)"
