Name,Patronym,"Family name",Gender,Owns,"Attestation ID",ind.Name,ind.Patronym,"ind.Family name",ind.Gender,Biography,PID,Probability,"Museum no.",Duplicate,Publication,Archive,Type,Date,"Julian date","Place of writing",Has,"Cdli URL","Nabucco URL","Achemenet URL","Oracc URL","British Museum URL","Tablet ID",Role,Title,"Type and objects"
Adad-rahātu,,,Male,,4361,Adad-rahātu,-,-,Male,,6070,"highly probable","BM 74622",,"Waerzeggers 2014, no. 91","Ṣāhit-ginê A","Legal document","26.V.14 Dar I",508,Bar-tibni,,-,https://nabucco.arts.kuleuven.be/item/28219,-,-,https://www.britishmuseum.org/collection/object/W_1882-0918-A-347,539,"land owner",-,"TypeLegal documentSubtypesub-lease contract"
Ahu-iddin,,,Male,,1711,-,-,-,-,-,-,"less probable","CBS 13031",,"Stolper 1985, no. 9",Murašû,"Legal document","[-].[-].[04] [Dar II]",[420/419],Broken/Unclear,Seals,https://cdli.ucla.edu/P268116,,http://www.achemenet.com/fr/item/?/sources-textuelles/textes-par-langues-et-ecritures/babylonien/archives-murasu/3484119,,,127,"sealer of the tablet",-,"TypeLegal documentSubtypesub-lease contract"
Amiṣiri’,,,Female,Field,779,-,-,-,-,-,-,"less probable","CBS 5199",,"Stolper 1985, no. 1",Murašû,"Legal document","25.[-].[34] Art I",[431/430],Broken/Unclear,Seals,https://cdli.ucla.edu/P261391,,http://www.achemenet.com/fr/item/?/sources-textuelles/textes-par-langues-et-ecritures/babylonien/archives-murasu/3484095,,,105,"land owner",-,"TypeLegal documentSubtypesub-lease contract"
Anonymous,,,Male,Field,8113,Anonymous,-,-,Male,,13184,"highly probable","BM 42423",,"Jursa 1999, pp. 179f.","Šangû-Šamaš A","Legal document","14.I.34 Dar I",488,Sippar,,-,https://nabucco.arts.kuleuven.be/item/33223,http://www.achemenet.com/fr/item/?/sources-textuelles/textes-par-langues-et-ecritures/babylonien/autres-archives-privees/1328017,-,https://www.britishmuseum.org/collection/object/W_1881-0701-183,1081,"land owner","mār šarri","TypeLegal documentSubtypesub-lease contract"
Anonymous,,,Male,Field,46685,Anonymous,-,-,Male,,17443,"highly probable","VAT 3080",,"San Nicolò and Ungnad 1929-1935, no. 378","Sîn-ilī (Babylon)","Legal document","02.VII.15 Nbn",541,Harrān-Kiš,,-,-,-,-,-,5413,"land owner","bēl eqli","TypeLegal documentSubtypesub-lease contract"
Apamû,,,Female,,7381,Apamû,-,-,Female,,20615,"highly probable","BM 85009",,"Waerzeggers 2010, no. 94",Bēlia’u,"Legal document","[-].VI.20 Dar I",502,Borsippa,,https://cdli.ucla.edu/P521581,-,-,-,https://www.britishmuseum.org/collection/object/W_1899-0116-47,999,"passive (mentioned in relation to sb or sth else)",-,"TypeLegal documentSubtypesub-lease contract"
Apamû,,,Female,,14279,Apamû,-,-,Female,,20615,"highly probable","BM 25706",,"Waerzeggers 2010, no. 122","Ibnāya B-C-D","Legal document","04.VII.26 Dar I",496,Borsippa,,https://cdli.ucla.edu/P521608,-,-,-,https://www.britishmuseum.org/collection/object/W_1898-0216-760,1709,"passive (mentioned in relation to sb or sth else)",-,"TypeLegal documentSubtypesub-lease contract"
Aplāya,Iddināya,,Male,,724,Aplāya,Iddināya,-,Male,,29013,"highly probable","BM 31690+",,"Abraham 2004, no. 56","Egibi Nūr-Sîn","Legal document","18.VIII.31 Dar I",491,Babylon,,-,http://nabucco.arts.kuleuven.be/item/31825,-,-,https://www.britishmuseum.org/collection/object/W_1876-1117-1417,92,"guarantor
lessee
sub-lessor",-,"TypeLegal documentSubtypesub-lease contract"
Aplāya,Kalbāya,,Male,,13631,Aplāya,Kalbāya,-,Male,,13194,"highly probable","BM 43554+",,"Jursa 1999, p. 240","Šangû-Šamaš A","Legal document",-,-,Broken/Unclear,,-,https://nabucco.arts.kuleuven.be/item/33103,http://www.achemenet.com/fr/item/?/sources-textuelles/textes-par-langues-et-ecritures/babylonien/autres-archives-privees/1328125,-,https://www.britishmuseum.org/collection/object/W_1881-0701-1318,1604,sub-lessee,-,"TypeLegal documentSubtypesub-lease contract"
Aplāya,Mušēzib-Marduk,Balīhû,Male,,8124,Šamaš-aplu-iddin,Mušēzib-Marduk,Balīhû,Male,,5908,"highly probable","BM 42423",,"Jursa 1999, pp. 179f.","Šangû-Šamaš A","Legal document","14.I.34 Dar I",488,Sippar,,-,https://nabucco.arts.kuleuven.be/item/33223,http://www.achemenet.com/fr/item/?/sources-textuelles/textes-par-langues-et-ecritures/babylonien/autres-archives-privees/1328017,-,https://www.britishmuseum.org/collection/object/W_1881-0701-183,1081,"witness, regular (mukinnu)",-,"TypeLegal documentSubtypesub-lease contract"
Aqara,[Iddinā]ya,,Male,,1682,-,-,-,-,-,-,"less probable","CBS 12960",,"Stolper 1985, no. 28",Murašû,"Legal document","[-].[-].[37] Art I",[428/427],Nippur,Seals,https://cdli.ucla.edu/P267563,,http://www.achemenet.com/fr/item/?/sources-textuelles/textes-par-langues-et-ecritures/babylonien/archives-murasu/3486810,,,220,"witness, regular (mukinnu)",-,"TypeLegal documentSubtypesub-lease contract"
