Name,Patronym,"Family name",Gender,Owns,"Attestation ID",ind.Name,ind.Patronym,"ind.Family name",ind.Gender,Biography,PID,Probability,"Museum no.",Duplicate,Publication,Archive,Type,Date,"Julian date","Place of writing",Has,"Cdli URL","Nabucco URL","Achemenet URL","Oracc URL","British Museum URL","Tablet ID",Role,Title,"Type and objects"
Aplāya,Marduk-zēru-ibni,,Male,,8436,Aplāya,Marduk-zēru-ibni,-,Male,,12686,"highly probable","IM 65084",,"Hunger 1970, no. 17",Šamšēa,"Legal document","06?.XI?.06? -",-,Uruk,,-,-,-,-,-,1052,"scribe (ṭupšarru)",-,"TypeLegal documentSubtypesummary"
Arad-Ištar,Bēlšunu,,Male,,8705,Arad-Ištar,Bēlšunu,-,Male,,12684,"highly probable","IM 65084",,"Hunger 1970, no. 17",Šamšēa,"Legal document","06?.XI?.06? -",-,Uruk,,-,-,-,-,-,1052,debtor,-,"TypeLegal documentSubtypesummary"
Arad-Ištar,Nanāya-ēreš,,Male,,8678,Arad-Ištar,Nanāya-ēreš,-,Male,,12683,"highly probable","IM 65084",,"Hunger 1970, no. 17",Šamšēa,"Legal document","06?.XI?.06? -",-,Uruk,,-,-,-,-,-,1052,"witness, regular (mukinnu)",-,"TypeLegal documentSubtypesummary"
Bābu-iqīša,Pir’u,,Male,,8454,Bābu-iqīša,Pir’u,-,Male,,12675,"highly probable","IM 65084",,"Hunger 1970, no. 17",Šamšēa,"Legal document","06?.XI?.06? -",-,Uruk,,-,-,-,-,-,1052,"witness, regular (mukinnu)",-,"TypeLegal documentSubtypesummary"
Bēl-ahu-ušebši,Ša-pî-Bēl,,Male,,8703,Bēl-ahu-ušebši,Ša-pî-Bēl,-,Male,,12668,"highly probable","IM 65084",,"Hunger 1970, no. 17",Šamšēa,"Legal document","06?.XI?.06? -",-,Uruk,,-,-,-,-,-,1052,"witness, regular (mukinnu)",-,"TypeLegal documentSubtypesummary"
Bēl-ēreš,Kunāya,Sîn-tabni,Male,,8675,Bēl-ēreš,Kunāya,Sîn-tabni,Male,,12467,"highly probable","IM 65084",,"Hunger 1970, no. 17",Šamšēa,"Legal document","06?.XI?.06? -",-,Uruk,,-,-,-,-,-,1052,"witness, regular (mukinnu)",-,"TypeLegal documentSubtypesummary"
Bēl-iddin,Nāṣiru,,Male,,8702,Bēl-iddin,Nāṣiru,-,Male,,12660,"highly probable","IM 65084",,"Hunger 1970, no. 17",Šamšēa,"Legal document","06?.XI?.06? -",-,Uruk,,-,-,-,-,-,1052,"witness, regular (mukinnu)",-,"TypeLegal documentSubtypesummary"
Bēl-išdīa-ukīn,,,Male,,8694,Bēl-išdīa-ukīn,-,-,Male,,12657,"highly probable","IM 65084",,"Hunger 1970, no. 17",Šamšēa,"Legal document","06?.XI?.06? -",-,Uruk,,-,-,-,-,-,1052,pledge,qallu,"TypeLegal documentSubtypesummary"
Bēl-uballiṭ,Marduk-erība,,Male,,8469,Bēl-uballiṭ,Marduk-erība,-,Male,,12655,"highly probable","IM 65084",,"Hunger 1970, no. 17",Šamšēa,"Legal document","06?.XI?.06? -",-,Uruk,,-,-,-,-,-,1052,"witness, regular (mukinnu)",-,"TypeLegal documentSubtypesummary"
Bēl-zēru-<x>,Bēl-iddin,,Male,Slave,8470,Bēl-zēru-[...],Bēl-iddin,-,Male,,12651,"highly probable","IM 65084",,"Hunger 1970, no. 17",Šamšēa,"Legal document","06?.XI?.06? -",-,Uruk,,-,-,-,-,-,1052,"debtor
master (of a slave)",-,"TypeLegal documentSubtypesummary"
Eanna-būdia,,,Male,,8471,Eanna-būdia,-,-,Male,,12648,"highly probable","IM 65084",,"Hunger 1970, no. 17",Šamšēa,"Legal document","06?.XI?.06? -",-,Uruk,,-,-,-,-,-,1052,pledge,qallu,"TypeLegal documentSubtypesummary"
Eanna-līpī-uṣur,Nabû-šumu-ēreš,,Male,,8589,Eanna-līpī-uṣur,Nabû-šumu-ēreš,-,Male,,12647,"highly probable","IM 65084",,"Hunger 1970, no. 17",Šamšēa,"Legal document","06?.XI?.06? -",-,Uruk,,-,-,-,-,-,1052,"witness, regular (mukinnu)",-,"TypeLegal documentSubtypesummary"
Gimillu,Nādin-zēri,,Male,,8465,Gimillu,Nādin-zēri,-,Male,,12640,"highly probable","IM 65084",,"Hunger 1970, no. 17",Šamšēa,"Legal document","06?.XI?.06? -",-,Uruk,,-,-,-,-,-,1052,"witness, regular (mukinnu)",-,"TypeLegal documentSubtypesummary"
Ibnāya,Bulluṭu,,Male,Prebend,8708,Ibnāya,Bulluṭu,-,Male,,12515,"highly probable","IM 65084",,"Hunger 1970, no. 17",Šamšēa,"Legal document","06?.XI?.06? -",-,Uruk,,-,-,-,-,-,1052,debtor,-,"TypeLegal documentSubtypesummary"
Ibnāya,Marduk,,Male,,8710,Ibnāya,Marduk,-,Male,,12514,"highly probable","IM 65084",,"Hunger 1970, no. 17",Šamšēa,"Legal document","06?.XI?.06? -",-,Uruk,,-,-,-,-,-,1052,"witness, regular (mukinnu)",-,"TypeLegal documentSubtypesummary"
