Name,Patronym,"Family name",Gender,Owns,"Attestation ID",ind.Name,ind.Patronym,"ind.Family name",ind.Gender,Biography,PID,Probability,"Museum no.",Duplicate,Publication,Archive,Type,Date,"Julian date","Place of writing",Has,"Cdli URL","Nabucco URL","Achemenet URL","Oracc URL","British Museum URL","Tablet ID",Role,Title,"Type and objects"
Ahu-erība,Bēl-iddin,,Male,,68129,-,-,-,-,-,-,"less probable","BM 30877",,"Bertin 2773","Egibi Nūr-Sîn","Legal document","17.XII.[-] Dar I",-,Huṣṣēti-ša-Bēl-ēṭir,,-,https://nabucco.arts.kuleuven.be/item/29161,-,-,https://www.britishmuseum.org/collection/object/W_1876-1117-604,7995,"oath taker","širku ša Bēl","TypeLegal documentSubtypesummons"
Ahu-lūmur,Humhum-ahhē-[iddin],,Male,,8155,Ahu-lūmur,Humhum-ahhē-iddin,-,Male,,9037,"highly probable","BM 30926",,"Abraham 2004, no. 103","Egibi Nūr-Sîn","Legal document","18.I.11 Dar I",511,Babylon,,https://cdli.ucla.edu/P512083,https://nabucco.arts.kuleuven.be/item/32656,http://www.achemenet.com/fr/item/?/3349245==Strassmaier%20--Inschriften%20von%20Darius&l=a&c=1&t=1.4/4/96/1/1658654,-,https://www.britishmuseum.org/collection/object/W_1876-1117-653,1079,"witness, regular (mukinnu)",-,"TypeLegal documentSubtypesummons"
Ahumāya,Bēl-iddin,Šigûa,Male,,3832,Ahumāya,Bēl-iddin,Šigûa,Male,,13159,"highly probable","BM 74586",,"Waerzeggers 2014, no. 79","Ṣāhit-ginê A","Legal document","04.VII.11 Dar I",511,Babylon,,-,https://nabucco.arts.kuleuven.be/item/27838,-,-,https://www.britishmuseum.org/collection/object/W_1882-0918-A-309,485,"witness, regular (mukinnu)",-,"TypeLegal documentSubtypesummons"
Amurru-bēlāni,Amurru-kitrī,,Male,,64997,Amurru-bēlāni,Amurru-kitrī,-,Male,,22016,"highly probable","Liverpool 77-5-4, 3",,"Liv 3","Egibi Nūr-Sîn","Legal document","18.VIII.11 Nbk II",594,Ālu-ša-Amurru,,-,https://nabucco.arts.kuleuven.be/item/29062,-,-,-,7679,"witness, regular (mukinnu)",-,"TypeLegal documentSubtypesummons"
Amurru-iddin,Rēmūt-ilī,,Male,,61205,Amurru-iddin,Rēmūt-ilī,-,Male,,22018,"highly probable","BM 30346",,"Nbk 365","Egibi Nūr-Sîn","Legal document","07.VIII.40 Nbk II",565,Upia,,-,https://nabucco.arts.kuleuven.be/item/29599,-,,https://www.britishmuseum.org/collection/object/W_1876-1117-66,7237,"witness, regular (mukinnu)",-,"TypeLegal documentSubtypesummons"
Amurru-zēru-ibni,Amurru-rīhtu-[uṣur],,Male,,63479,Amurru-zēru-ibni,Amurru-rīhtu-uṣur,-,Male,,22025,"highly probable","BM 31135",,"Nbk 119","Egibi Nūr-Sîn","Legal document","17.I.20 Nbk II",585,Babylon,"Other markings",https://cdli.ucla.edu/P507771,https://nabucco.arts.kuleuven.be/item/30121,-,-,https://www.britishmuseum.org/collection/object/W_1876-1117-862,7508,"debtor
obligor",-,"TypeLegal documentSubtypesummons"
Anonymous,,,Male,,61150,-,-,-,-,-,-,"less probable","BM 30805",,"Nbk 363","Egibi Nūr-Sîn","Legal document","19.VI.40 Nbk II",565,Upia,,-,https://nabucco.arts.kuleuven.be/item/28549,-,-,https://www.britishmuseum.org/collection/object/W_1876-1117-532,7232,broken/unclear,"rab urâti","TypeLegal documentSubtypesummons"
Anonymous,,,Male,,61201,-,-,-,-,-,-,"less probable","BM 30346",,"Nbk 365","Egibi Nūr-Sîn","Legal document","07.VIII.40 Nbk II",565,Upia,,-,https://nabucco.arts.kuleuven.be/item/29599,-,,https://www.britishmuseum.org/collection/object/W_1876-1117-66,7237,"object of transaction",qallu,"TypeLegal documentSubtypesummons"
Anonymous,,,Male,House,59161,-,-,-,-,-,-,"less probable","BM 31009",,"Sack 1994, no. 55","Egibi Nūr-Sîn","Legal document","09.IV.03 Ner",557,Babylon,,-,https://nabucco.arts.kuleuven.be/item/29098,-,-,https://www.britishmuseum.org/collection/object/W_1876-1117-736,6993,"passive (mentioned in relation to sb or sth else)","mār šarri","TypeLegal documentSubtypesummons"
Aplāya,Erībāya,Balīhû,Male,,62502,Aplāya,Erībāya,Balīhû,Male,,23859,"highly probable","BM 33157",,"Dar 339","Egibi Nūr-Sîn","Legal document","01.[-].12 Dar I",510,Babylon,,-,https://nabucco.arts.kuleuven.be/item/29152,http://www.achemenet.com/en/item/?/textual-sources/texts-by-languages-and-scripts/babylonian/egibi-archive/1659640,,https://www.britishmuseum.org/collection/object/W_1879-1108-4,7397,"witness, regular (mukinnu)",-,"TypeLegal documentSubtypesummons"
Aplāya,Kabtia,Damequ,Male,,59165,Aplāya,Kabtia,Damequ,Male,,24169,"highly probable","BM 31858",,"Ner 58","Egibi Nūr-Sîn","Legal document","19.V.03 Ner",557,Babylon,,-,https://nabucco.arts.kuleuven.be/item/28603,-,-,https://www.britishmuseum.org/collection/object/W_1876-1117-1585,6994,"broken
guarantor
person to be summoned",-,"TypeLegal documentSubtypesummons"
Aplāya,Mušēzib-Marduk,Balīhû,Male,,6297,Šamaš-aplu-iddin,Mušēzib-Marduk,Balīhû,Male,,5908,"highly probable","Peek 12",,"Waerzeggers 2014, no. 165","Ṣāhit-ginê A","Legal document","24.VI.34 Dar I",488,Sippar,Seals,-,https://nabucco.arts.kuleuven.be/item/27889,-,-,-,838,"witness, regular (mukinnu)",-,"TypeLegal documentSubtypesummons"
Aplāya,Nergal-iddin,,Male,,9013,Aplāya,Nergal-iddin,-,Male,,9115,"highly probable","BM 31359",,"Abraham 2004, no. 115","Egibi Nūr-Sîn","Legal document","15.I.14 Dar I",508,Šahrīn,,-,https://nabucco.arts.kuleuven.be/item/32113,http://www.achemenet.com/fr/item/?/3349245==Strassmaier%20--Inschriften%20von%20Darius&l=a&c=1&t=1.4/4/96/1/1660320,-,https://www.britishmuseum.org/collection/object/W_1876-1117-1086,1171,"witness, regular (mukinnu)",-,"TypeLegal documentSubtypesummons"
Aplāya,Šumu-ukīn,,Male,,65000,Aplāya,Šumu-ukīn,-,Male,,25214,"highly probable","Liverpool 77-5-4, 3",,"Liv 3","Egibi Nūr-Sîn","Legal document","18.VIII.11 Nbk II",594,Ālu-ša-Amurru,,-,https://nabucco.arts.kuleuven.be/item/29062,-,-,-,7679,"scribe (ṭupšarru)",-,"TypeLegal documentSubtypesummons"
Arad-Bābu,Mušēzib-Marduk,Ašlāku,Male,,8136,Arad-Bābu,Mušēzib-Marduk,Ašlāku,Male,,2698,"highly probable","BM 30926",,"Abraham 2004, no. 103","Egibi Nūr-Sîn","Legal document","18.I.11 Dar I",511,Babylon,,https://cdli.ucla.edu/P512083,https://nabucco.arts.kuleuven.be/item/32656,http://www.achemenet.com/fr/item/?/3349245==Strassmaier%20--Inschriften%20von%20Darius&l=a&c=1&t=1.4/4/96/1/1658654,-,https://www.britishmuseum.org/collection/object/W_1876-1117-653,1079,"obligor
testifier",-,"TypeLegal documentSubtypesummons"
Arad-Bēl,Damqia,Nādin-še’i,Male,,62506,Arad-Bēl,Damqia,Nādin-še’i,Male,,2710,"highly probable","BM 33157",,"Dar 339","Egibi Nūr-Sîn","Legal document","01.[-].12 Dar I",510,Babylon,,-,https://nabucco.arts.kuleuven.be/item/29152,http://www.achemenet.com/en/item/?/textual-sources/texts-by-languages-and-scripts/babylonian/egibi-archive/1659640,,https://www.britishmuseum.org/collection/object/W_1879-1108-4,7397,"witness, regular (mukinnu)",-,"TypeLegal documentSubtypesummons"
Ardia,Bānia,Eppēš-ilī,Male,,3828,Ardia,Bānia,Eppēš-ilī,Male,,13320,"highly probable","BM 74586",,"Waerzeggers 2014, no. 79","Ṣāhit-ginê A","Legal document","04.VII.11 Dar I",511,Babylon,,-,https://nabucco.arts.kuleuven.be/item/27838,-,-,https://www.britishmuseum.org/collection/object/W_1882-0918-A-309,485,"witness, regular (mukinnu)",-,"TypeLegal documentSubtypesummons"
Ardia,Dādia,Nabāya,Male,,235,Ardia,Dādia,Nabāya,Male,,7,"highly probable","BM 30629",,"Abraham 2004, no. 17","Egibi Nūr-Sîn","Legal document","12.VII.06 Dar I",516,Hursag-kalamma,,-,http://nabucco.arts.kuleuven.be/item/30568,-,-,https://www.britishmuseum.org/collection/object/W_1876-1117-356,31,"witness, regular (mukinnu)",-,"TypeLegal documentSubtypesummons"
Ardia,Dādia,Nabāya,Male,,62500,Ardia,Dādia,Nabāya,Male,,7,"highly probable","BM 33157",,"Dar 339","Egibi Nūr-Sîn","Legal document","01.[-].12 Dar I",510,Babylon,,-,https://nabucco.arts.kuleuven.be/item/29152,http://www.achemenet.com/en/item/?/textual-sources/texts-by-languages-and-scripts/babylonian/egibi-archive/1659640,,https://www.britishmuseum.org/collection/object/W_1879-1108-4,7397,"witness, regular (mukinnu)",-,"TypeLegal documentSubtypesummons"
Arrabu,Saggillu,Rab-banê,Male,,60358,Arrabu,Saggillu,Rab-banê,Male,,20991,"highly probable","BM 31093",,"Nbk 183","Egibi Nūr-Sîn","Legal document","28.IV.28 Nbk II",577,Babylon,,-,https://nabucco.arts.kuleuven.be/item/29224,-,,https://www.britishmuseum.org/collection/object/W_1876-1117-820,7139,defendant,-,"TypeLegal documentSubtypesummons"
Aspašin,,,Male,SlaveAgent,62494,Aspašin,-,-,Male,,21446,"highly probable","BM 33157",,"Dar 339","Egibi Nūr-Sîn","Legal document","01.[-].12 Dar I",510,Babylon,,-,https://nabucco.arts.kuleuven.be/item/29152,http://www.achemenet.com/en/item/?/textual-sources/texts-by-languages-and-scripts/babylonian/egibi-archive/1659640,,https://www.britishmuseum.org/collection/object/W_1879-1108-4,7397,"master (of a slave)",-,"TypeLegal documentSubtypesummons"
Atkal-ana-Bābu,"[...]-iddin, [...]mu or [...]-šumi",Naggāru,Male,,652,Atkal-ana-Bābu,"[...]-iddin, [...]mu or [...]-šumi",Naggāru,Male,,24157,"highly probable","BM 31360",,"Abraham 2004, no. 45","Egibi Nūr-Sîn","Legal document","02.IX.26 [Dar I]",[496],Broken/Unclear,,-,http://nabucco.arts.kuleuven.be/item/32503,-,-,https://www.britishmuseum.org/collection/object/W_1876-1117-1087,81,"witness, regular (mukinnu)",-,"TypeLegal documentSubtypesummons"
Aya-ahhāya,Šani-Yāma,,Male,,61139,Aya-ahhāya,Šani-Yāma,-,Male,,22243,"highly probable","BM 30806",,"Nbk 361","Egibi Nūr-Sîn","Legal document","21.IV.40 Nbk II",565,Upia,,-,https://nabucco.arts.kuleuven.be/item/30196,-,-,https://www.britishmuseum.org/collection/object/W_1876-1117-533,7231,obligee,-,"TypeLegal documentSubtypesummons"
Bābu-ēreš,Nabû-tabni-uṣur,,Male,,61214,Bābu-ēreš,Nabû-tabni-uṣur,-,Male,,22252,"highly probable","BM 31162",,"Nbk 366","Egibi Nūr-Sîn","Legal document","23.VIII.40 Nbk II",565,Upia,,-,https://nabucco.arts.kuleuven.be/item/29989,-,,https://www.britishmuseum.org/collection/object/W_1876-1117-889,7240,obligee,-,"TypeLegal documentSubtypesummons"
Bagasarū,,,Male,Field,8114,Bagasarū,-,-,Male,,13620,"highly probable","BM 30926",,"Abraham 2004, no. 103","Egibi Nūr-Sîn","Legal document","18.I.11 Dar I",511,Babylon,,https://cdli.ucla.edu/P512083,https://nabucco.arts.kuleuven.be/item/32656,http://www.achemenet.com/fr/item/?/3349245==Strassmaier%20--Inschriften%20von%20Darius&l=a&c=1&t=1.4/4/96/1/1658654,-,https://www.britishmuseum.org/collection/object/W_1876-1117-653,1079,"land owner",ganzabaru,"TypeLegal documentSubtypesummons"
Balāssu,Ahhēšu,,Male,,61143,Balāssu,Ahhēšu,-,Male,,24999,"highly probable","BM 30806",,"Nbk 361","Egibi Nūr-Sîn","Legal document","21.IV.40 Nbk II",565,Upia,,-,https://nabucco.arts.kuleuven.be/item/30196,-,-,https://www.britishmuseum.org/collection/object/W_1876-1117-533,7231,"witness, regular (mukinnu)",-,"TypeLegal documentSubtypesummons"
Baltain,,,Female,,62541,Baltain,-,-,Female,,27896,"highly probable","BM 33150",,"Dar 504","Egibi Nūr-Sîn","Legal document","15.V.20 Dar I",502,Babylon,,-,https://nabucco.arts.kuleuven.be/item/29449,http://www.achemenet.com/en/item/?/textual-sources/texts-by-regions/babylonia/babylon/1663387,,https://www.britishmuseum.org/collection/object/W_1879-0730-51,7401,"object of transaction",amtu,"TypeLegal documentSubtypesummons"
Balṭia,Uballiṭ-Marduk,,Male,,61146,Balṭia,Uballiṭ-Marduk,-,Male,,28400,"highly probable","BM 30805",,"Nbk 363","Egibi Nūr-Sîn","Legal document","19.VI.40 Nbk II",565,Upia,,-,https://nabucco.arts.kuleuven.be/item/28549,-,-,https://www.britishmuseum.org/collection/object/W_1876-1117-532,7232,obligor,-,"TypeLegal documentSubtypesummons"
Bānûnu,Ṣillāya,Rab-banê,Male,,59157,Nergal-bānûnu,Ṣillāya,Rab-banê,Male,,22190,"highly probable","BM 31009",,"Sack 1994, no. 55","Egibi Nūr-Sîn","Legal document","09.IV.03 Ner",557,Babylon,,-,https://nabucco.arts.kuleuven.be/item/29098,-,-,https://www.britishmuseum.org/collection/object/W_1876-1117-736,6993,"witness, regular (mukinnu)",-,"TypeLegal documentSubtypesummons"
Bānûnu,Ṣillāya,Rab-banê,Male,,59168,Nergal-bānûnu,Ṣillāya,Rab-banê,Male,,22190,"highly probable","BM 31858",,"Ner 58","Egibi Nūr-Sîn","Legal document","19.V.03 Ner",557,Babylon,,-,https://nabucco.arts.kuleuven.be/item/28603,-,-,https://www.britishmuseum.org/collection/object/W_1876-1117-1585,6994,"witness, regular (mukinnu)",-,"TypeLegal documentSubtypesummons"
Baruh-il,,,Male,,61140,Baruh-il,-,-,Male,,22260,"highly probable","BM 30806",,"Nbk 361","Egibi Nūr-Sîn","Legal document","21.IV.40 Nbk II",565,Upia,,-,https://nabucco.arts.kuleuven.be/item/30196,-,-,https://www.britishmuseum.org/collection/object/W_1876-1117-533,7231,obligee,-,"TypeLegal documentSubtypesummons"
Basia,Nabû-šumu-ukīn,Ša-nāšišu,Male,,6296,Basia,Nabû-šumu-ukīn,Ša-nāšišu,Male,,13356,"highly probable","Peek 12",,"Waerzeggers 2014, no. 165","Ṣāhit-ginê A","Legal document","24.VI.34 Dar I",488,Sippar,Seals,-,https://nabucco.arts.kuleuven.be/item/27889,-,-,-,838,"witness, regular (mukinnu)",-,"TypeLegal documentSubtypesummons"
