Name,Patronym,"Family name",Gender,Owns,"Attestation ID",ind.Name,ind.Patronym,"ind.Family name",ind.Gender,Biography,PID,Probability,"Museum no.",Duplicate,Publication,Archive,Type,Date,"Julian date","Place of writing",Has,"Cdli URL","Nabucco URL","Achemenet URL","Oracc URL","British Museum URL","Tablet ID",Role,Title,"Type and objects"
Ahūšunu,Ninazu-uballiṭ,Sîn-ilānu,Male,,28894,Ahūšunu,Ninazu-uballiṭ,Sîn-ilānu,Male,,15188,"highly probable","Unknown (IM)",,"UET 4, 55","Gallābu (Ur)","Legal document","04.XI.14 Dar II",409,Ur,,https://cdli.ucla.edu/P414751,-,,,,3385,"sealer of the tablet
witness, regular (mukinnu)",-,"TypeLegal documentSubtypesustenance contract"
Amat-Mār-bīti-uṣur,,,Male,,33157,Amat-Mār-bīti-uṣur,-,-,Male,,18236,"highly probable","EAH 216",,"BE 8/1, 106","Rē’i-alpi (Borsippa)","Legal document","02.XI.05 Dar I",516,Borsippa,,,,,,,3805,"object of transaction",ardu,"TypeLegal documentSubtypesustenance contract"
Bēl-aplu-iddin,,,Male,House,1285,Bēl-aplu-iddin,Dādia,Rab-banê,Male,,4285,"highly probable","VAT 116",,"Baker 2004, no. 31",Nappāhu,"Legal document","11.III.03 Cam",527,Babylon,,https://cdli.ucla.edu/P371781,https://nabucco.arts.kuleuven.be/item/21904,,,,160,debtor,-,"TypeLegal documentSubtypesustenance contract"
Bēl-ēṭir,Nabû-zēru-ukīn,Miṣirāya,Male,,33172,Bēl-ēṭir,Nabû-zēru-ukīn,Miṣirāya,Male,,22908,"highly probable","EAH 216",,"BE 8/1, 106","Rē’i-alpi (Borsippa)","Legal document","02.XI.05 Dar I",516,Borsippa,,,,,,,3805,"witness, regular (mukinnu)",-,"TypeLegal documentSubtypesustenance contract"
Bēl-rēmanni,Šamaš-zēru-ibni,Atû,Male,,1821,Bēl-rēmanni,Šamaš-zēru-ibni,Atû,Male,,3214,"highly probable","BM 114728",,"Baker 2004, no. 35",Nappāhu,"Legal document","21.[VIb].03 Cam",527,Babylon,,https://cdli.ucla.edu/P512041,http://nabucco.arts.kuleuven.be/nabucco/item/21856,-,-,https://www.britishmuseum.org/collection/object/W_1920-1213-20,235,"witness, regular (mukinnu)",-,"TypeLegal documentSubtypesustenance contract"
Bēl-usātu,Nabû-mušētiq-uddi,Nūr-Sîn,Male,,1814,Bēl-usātu,Nabû-mušētiq-uddi,Nūr-Sîn,Male,,3025,"highly probable","BM 114728",,"Baker 2004, no. 35",Nappāhu,"Legal document","21.[VIb].03 Cam",527,Babylon,,https://cdli.ucla.edu/P512041,http://nabucco.arts.kuleuven.be/nabucco/item/21856,-,-,https://www.britishmuseum.org/collection/object/W_1920-1213-20,235,"witness, regular (mukinnu)",-,"TypeLegal documentSubtypesustenance contract"
Bēlšunu,Kubbutu,Sîn-iqīša,Male,,28939,Bēlšunu,Kubbutu,Sîn-iqīša,Male,,15231,"highly probable","Unknown (IM)",,"UET 4, 55","Gallābu (Ur)","Legal document","04.XI.14 Dar II",409,Ur,,https://cdli.ucla.edu/P414751,-,,,,3385,"witness, regular (mukinnu)",-,"TypeLegal documentSubtypesustenance contract"
Cambyses,,,Male,,9302,Cambyses,-,-,Male,,16420,"highly probable","VAT 116",,"Baker 2004, no. 31",Nappāhu,"Legal document","11.III.03 Cam",527,Babylon,,https://cdli.ucla.edu/P371781,https://nabucco.arts.kuleuven.be/item/21904,,,,160,"king in date","šar Bābili u mātāti","TypeLegal documentSubtypesustenance contract"
Cambyses,,,Male,,9452,Cambyses,-,-,Male,,16420,"highly probable","BM 114728",,"Baker 2004, no. 35",Nappāhu,"Legal document","21.[VIb].03 Cam",527,Babylon,,https://cdli.ucla.edu/P512041,http://nabucco.arts.kuleuven.be/nabucco/item/21856,-,-,https://www.britishmuseum.org/collection/object/W_1920-1213-20,235,"king in date",broken/unclear,"TypeLegal documentSubtypesustenance contract"
Cyrus,,,Male,,32140,Cyrus,-,-,Male,,16416,"highly probable","BM 13150",,"Waerzeggers 2010, no. 158","Rē’i-alpi (Borsippa)","Legal document","02.II.05 Cyr",534/533,Borsippa,,https://cdli.ucla.edu/P404834,-,-,-,https://www.britishmuseum.org/collection/object/W_1896-0328-241,3676,"king in date","šar Bābili šar mātāti","TypeLegal documentSubtypesustenance contract"
